2800000008	Matthieu
280101004a	Livre de la generation de Jeſus Chriſt, fils de David, fils d’Abraham.
2801020056	Abraham engendra Iſaac. Et Iſaac engendra Jacob. Et Jacob engendra Juda ſes freres.
280103005b	Et Juda engendra Pharez Zara de Thamar. Et Pharez engendra Eſrom. Et Eſrom engendra Aram.
2801040058	Et Aram engendra Aminadab. Et Aminadab engendra Naaſſon. Et Naaſſon engendra Salmon.
2801050059	Salmon engendra Boos de Rachab. Et Boos engendra Obed de Ruth. Et Obed engendra Jeſſé.
280106006e	Et Jeſſé engendra le Roi David. Et le Roi David engendra Salomon, de celle qui avoit eſté femme d’Urie.
280107004b	Et Salomon engendra Roboam. Et Roboam engendra Abia. Et Abia engendra Aſa.
2801080052	Et Aſa engendra Joſaphat. Et Joſaphat engendra Joram. Et Joram engendra Hozias.
2801090052	Et Hozias engendra Joatham. Et Joatham engendra Achaz. Et Achaz engendra Ezechias.
28010a0056	Et Ezechias engendra Manaſſé. Et Manaſſé engendra Amon. Et Amon engendra Joſias
28010b007b	Et Joſias engendra Jakim. Et Jakim engendra Jechonias ſes freres, ſur le temps qu’ils furent tranſportez en Babylone.
28010c0079	Et apres qu’ils eurent eſte tranſportez en Babylone, Jechonias engendra Salathiël. Et Salathiël engendra Zorobabel.
28010d0051	Et Zorobabel engendra Abiud. Et Abiud engendra Eliakim. Et Eliakim engendra Azor.
28010e0049	Et Azor engendra Sadoc. Et Sadoc engendra Achim. Et Achim engendra Eliud.
28010f0052	Et Eliud engendra Eleazar. Et Eleazar engendra Matthan. Et Matthan engendra Jacob.
280110005f	Et Jacob engendra Joſeph, le mari de Marie, de laquelle eſt né Jeſus, qui eſt dit Chriſt.
2801110120	Toutes les generations donc depuis Abraham juſques à David, font quatorze generations. Et depuis David juſques au temps qu’ils furent tranſportez en Babylone, quatorze generations. Et depuis qu’ils eurent eſté tranſportez en Babylone, juſques à Chriſt, quatorze generations.
28011200ab	Or la naiſſance de Jeſus Chriſt advint ainſi: Marie ſa mere eſtant fiancée à Joſeph, devant qu’ils fuſſent emſemble, elle ſe trouva enceinte du S. Eſprit.
2801130084	Alors Joſeph ſon mari, d’autant qu’il eſtoit juſte, qu’il ne la vouloit point diffamer, la voulut laiſſer ſecrettement.
28011400db	Mais comme il penſoit à ces choſes, voivi, l’Ange du Seigneur lui apparut en ſonge, diſant, Joſeph fils de David, ne crain point de recevoir Marie ta femme: car ce qui eſt engendré en elle, eſt du S. Eſprit.
2801150065	Et elle enfantera un fils, tu appelleras ſon nom Jesus: car il ſauvera ſon peuple de leurs pechez.
280116006c	Or tout ceci eſt advenu, afin que fuſt accompli ce dont le Seigneur avoit parlé par le Prophete, diſant,
280117007f	Voici, la vierge ſera enceinte, enfantera un fils, on appellera ſon nom Emmanuel, qui vaut autant à dire que Dieu-avec-nous.
280118007a	Joſeph donc eſtant eſveillé de ſon dormir, fit ainſi que l’Ange du Seigneur lui avoit commandé, receut ſa femme.
2801190068	Et ne la connut point juſques à ce qu’elle euſt enfanté ſon premier né, appella ſon nom Jeſus.
280201007f	OR Jeſus eſtant né en Beth-lehem ville de Judée, au temps du Roi Herode, voici des Sages d’Orient, arriver en Jeruſalem,
2802020076	Diſans, Où eſt le Roi des Juifs qui eſt né? car nous avons veu ſon eſtoile en Orient, ſommes venus l’adorer.
280203004d	Or le Roi Herode ayant entendu cela, fut troublé, toute Jeruſalem avec lui.
2802040086	Et ayant aſſemblé tous les principaux Sacrificateurs les Scribes du peuple, il s’informa d’eux, où le Chriſt devoit naiſtre.
280205005c	Et ils lui dirent, En Beth-lehem ville de Judée: car il eſt ainſi écrit par le Prophete,
28020600a6	Et toi Beth-lehem terre de Juda, tu n’es nullement la plus petite entre les gouverneurs de Juda, car de toi ſortira le conducteur qui paiſtra mon peuple Iſraël.
2802070085	Alors Herode ayant appellé en ſecret les Sages, s’enquit d’eux ſoigneuſement du temps que l’eſtoile leur eſtoit apparuë.
28020800d1	Et les envoyant en Beth-lehem, il leur dit, Allez, vous enquerez ſoigneuſement touchant le petit enfant: quand vous l’aurez trouvé, faites le moi ſçavoir, afin que j’y aille auſſi, que je l’adore.
