0100000016	ሜꬌቴꬃ ማጻፋ
0101010031	ጾሲ ኮይሮ ሳሎኔ ሳኣ ሜꬊዴስ።
01010200cf	ሄ ዎዴ ሳኣይ ሎኢ ጊጊቤናኔ ኣይኮይካ ባይንዳ ሜላ ዴስ፤ ጪማሶሆታ ꬉማይ ጎዚ ኦይኪዴስ፤ ጾሳ ኣያናይ ሃꬃፌ ቦላራ ማይኢ ኡቲዴስ።
010103004a	ሄሳፌ ጉዬ ጾሲ፥ «ፖኦ ጊዶ» ጊን ፖኦ ጊዲዴስ።
0101040052	ፖኦይ ሎኦ ጊዲዳይሳ ጾሲ ቤኢዲ ፖኦ ꬉማፔ ሻኪዴስ።
01010500a7	ጾሲ ፖኦዛ፥ «ጋላስ»፥ ꬉማዛ፥ «ኦማርስ» ጊ ሱንꬂዴስ። ጋዴይ ቃሚዴሲኔ ዎንቲዴስ፤ ሄሲካ ኮይሮ ጋላሳ።
010106011b	ሄሳፌ ጉዬ ጾሲ፥ «ቦላራ ዲዛ ሃꬃ ጋርሳራ ዲዛ ሃꬃፌ ሻኪዛ ሳሎ ጉፋንꬆይ ሃኖ» ጊን ሃኒዴስ። ጾሲ ሳሎ ጉፋንꬆ ጊግሲዲ፥ ሳሎ ጉፋንꬆፌ ቦላራ ዲዛ ሃꬃ ጋርሳራ ዲዛ ሃꬃፌ ሻኪዴስ።
0101080093	ጾሲ ሄ ጉፋንꬆዛ፥ «ሳሎ» ጊ ሱንꬂዴስ። ጋዴይ ቃሚዴሲኔ ዎንቲዴስ፤ ሄሲካ ናምኣንꬆ ጋላሳ።
0101090093	ሄሳፌ ጉዬ ጾሲ፥ «ሳሎፔ ጋርሳራ ዲዛ ሃꬂ ኢሲሶን ሺቂ ኤሊኮ ሜላ ቢታይ ቆንጮ» ጊን ሃኒዴስ።
01010a00cc	ጾሲ ሄ ሜላ ሶሆዛ፥ «ቢታ» ጊ ሱንꬂዴስ፤ ቃሴ ኢሲሶን ኤሊዳ ሃꬃ፥ «ኣባ» ጊ ሱንꬂዴስ፤ ሂስቲዲ ጾሲ ሄሲ ሎኦ ጊዲዳይሳ ቤኢዴስ።
01010b00d6	ሄሳፌ ሲሚን ጾሲ፥ «ቢታይ ሚꬂኔ ማታ ሞኪሶ፤ ዜሬꬃ ኣይፌራ ዲዛ ሚꬂኔ ዜሬꬃ ኣይፌራ ዲዛ ቴሪዛ ሚꬅ ዱማ ዱማ ቆሞ ሞኪሶ» ጊን ሃኒዴስ።
01010c0085	ሄሳ ጊሻስ ቢታይ ሚꬂኔ ማታ ዱማ ዱማ ቆሞን ሞኪሲን ጾሲ ሄሲ ሎኦ ጊዲዳይሳ ቤኢዴስ።
01010d0050	ጋዴይ ቃሚዴሲኔ ዎንቲዴስ፤ ሄሲካ ሄꬓንꬆ ጋላሳ።
01010e00a6	ሄሳፌ ጉዬ ጾሲ፥ «ጋላስ ቃማፌ ሻካናስ ፖኦቲ ሳሎ ጉፋንꬆን ጊዴቶ፤ ኢስቲ ጋላስ፥ ዎዴኔ ላይꬅ ኤሪሴቶ፤
01010f0068	ቢታ ቦላን ፖኢሳና ማላ ኢስቲ ሳሎ ጉፋንꬆን ፖኤቶ» ጊን ሃኒዴስ።
01011000b6	ጾሲ ናምኡ ጊታ ፖኦታ፥ ጊታቲዛይሲ ጋላስ ፖኣና ማላኔ ጉጺዛይሲ ኦማርስ ፖኣና ማላ ሜꬊዴስ፤ ጾሊንቴታካ ሜꬊዴስ።
01011100ff	ጾሲ ኢስታ ሃ ቢታ ቦላን ፖኢሳና ማላ፥ ጋላሲኔ ቃማ ሃራና ማላኔ ፖኦዛ ꬉማፔ ሻካና ማላ፥ ሳሎ ጉፋንꬆን ኢስታ ዎꬂዴስ። ሂስቲዲ ጾሲ ሄሲ ሎኦ ጊዲዳይሳ ቤኢዴስ።
0101130053	ጋዴይ ቃሚዴሲኔ ዎንቲዴስ፤ ሄሲካ ኦይዳንꬆ ጋላሳ።
01011400d0	ሄሳፌ ጉዬ ጾሲ፥ «ሼምፖራ ዲዛ ዱማ ዱማ ሜꬌቴꬃቲ ሃꬃ ጊዶን ዳሬቶ፤ ካፎቲካ ቢታፌ ቦላራኔ ሳሎ ጉፋንꬆፌ ጋርሳራ ፒራꬌቶ» ጊዴስ።
01011500e2	ሂስቲዲ ጾሲ ኣባን ዲዛ ጊታ ዶኣታ፥ ሃꬃ ጊዶን ዎጺ ቃጺዛ ሜꬌቴꬃታ ኡባ፥ ካፎ ኡባ ዱማ ዱማ ቆሞን ሜꬊዴስ። ሄሲካ ሎኦ ጊዲዳይሳ ጾሲ ቤኢዴስ።
0101160091	ጾሲ ኢስታስ፥ «ዬሌቲቴ፤ ዳሪቴ፤ ኣባ ሃꬃ ኩሚቴ፤ ካፎይካ ቢታ ቦላን ጮራቶ» ጊ ኣንጂዴስ።
0101170053	ጋዴይ ቃሚዴሲኔ ዎንቲዴስ፤ ሄሲካ ኢቻሻንꬆ ጋላሳ።
01011800e2	ሄሳፌ ጉዬ ጾሲ፥ «ሼምፖራ ዲዛ ሜꬌቴꬃቲ ባ ቆሞን ቆሞን ሜሄቲ፥ ቢታራ ጎሼቲዛ ሜꬌቴꬃቲኔ ዶኣቲ ባ ቆሞን ቆሞን ቢታ ቦላ ኬዜቶ» ጊን ሃኒዴስ።
