0100000014	Medheteththa Maxaafa
0101010025	Xoossi koyro salonne sa7a medhdhides.
0101020090	He wode sa7ay lo7i giigibeennanne aykkoyka baynda mela dees; ciimmasohota dhumay goozi oykkides; Xoossa Ayanay haaththafe bollara may7i uttides.
0101030037	Hessafe guye Xoossi, «Poo7o gido» giin poo7o gidides.
010104003f	Poo7oy lo7o gididayssa Xoossi be7idi poo7o dhumappe shaakkides.
0101050074	Xoossi poo7oza, «Gallas», dhumaza, «Omars» gi sunththides. Gadey qammidessinne wontides; hessika koyro gallassa.
01010600e5	Hessafe guye Xoossi, «Bollara diza haaththaa garsara diza haaththaafe shaakkiza salo gufanththoy hano» giin hanides. Xoossi salo gufanththo giigsidi, salo gufanththofe bollara diza haaththaa garsara diza haaththaafe shaakkides.
010108006c	Xoossi he gufanththoza, «Salo» gi sunththides. Gadey qammidessinne wontides; hessika nam7anththo gallassa.
010109006f	Hessafe guye Xoossi, «Saloppe garsara diza haaththi issison shiiqi eelliko mela biittay qoncco» giin hanides.
01010a009a	Xoossi he mela sohoza, «Biitta» gi sunththides; qasse issison eellida haaththaa, «Abba» gi sunththides; histtidi Xoossi hessi lo7o gididayssa be7ides.
01010b00a7	Hessafe simmiin Xoossi, «Biittay miththinne maata mokiso; zereththa ayfera diza miththinne zereththa ayfera diza teeriza mith dumma dumma qommo mokiso» giin hanides.
01010c0069	Hessa gishshas biittay miththinne maata dumma dumma qommon mokisiin Xoossi hessi lo7o gididayssa be7ides.
01010d003e	Gadey qammidessinne wontides; hessika heedzdzanththo gallassa.
01010e0079	Hessafe guye Xoossi, «Gallas qammafe shaakkanaas poo7oti salo gufanththon gidetto; istti gallas, wodenne layth erisetto;
01010f004c	biitta bollan poo7isana mala istti salo gufanththon poo7etto» giin hanides.
0101100085	Xoossi nam7u gita poo7ota, gitatizayssi gallas poo7ana malanne guuxxizayssi omars poo7ana mala medhdhides; xoolinttetakka medhdhides.
01011100c2	Xoossi istta ha biitta bollan poo7isana mala, gallassinne qamma haarana malanne poo7oza dhumappe shaakkana mala, salo gufanththon istta woththides. Histtidi Xoossi hessi lo7o gididayssa be7ides.
010113003a	Gadey qammidessinne wontides; hessika oydanththo gallassa.
01011400a7	Hessafe guye Xoossi, «Shemppora diza dumma dumma medheteththati haaththa giddon daretto; kafotikka biittafe bollaranne salo gufanththofe garsara piradhdhetto» gides.
01011500ae	Histtidi Xoossi abban diza gita do7ata, haaththa giddon woxxi qaaxxiza medheteththata ubbaa, kafo ubbaa dumma dumma qommon medhdhides. Hessika lo7o gididayssa Xoossi be7ides.
0101160068	Xoossi isttas, «Yelettite; darite; abba haaththaa kumite; kafoykka biitta bollan coratto» gi anjjides.
010117003f	Gadey qammidessinne wontides; hessika ichchashanththo gallassa.
01011800b1	Hessafe guye Xoossi, «Shemppora diza medheteththati ba qommon qommon meheti, biittara gooshettiza medheteththatinne do7ati ba qommon qommon biitta bolla kezetto» giin hanides.
01011900b9	Xoossi do7ata istta qommon qommon, mehetakka istta qommon qommoninne biittara gooshettiza medheteththatakka ubbaa istta qommon qommon medhdhides; hessika lo7o gididayssa Xoossi be7ides.
01011a00b3	Hessafe simmiin Xoossi, «Ane as nu leemison nuna misatissidi medhdhoos; istti abba moleta, salo kafota, meheta, biitta bolla woxxi qaaxxiza medheteththata ubbaa haaretto» gides.
01011b0069	Hessaththo Xoossi as ba leemison bana misatissidi medhdhides; izi istta addenne macca ooththi medhdhides.
01011c00ba	Xoossi isttas, «Yelettite; corattite; hayssa biittaa kumitenne haarite; abba mole, salo kafotanne biitta bolla woxxi qaaxxiza, shemppora diza medheteththata ubbaa haarite» gi anjjides.
01011d00b9	Hessafe simmiin Xoossi, «Be7ite! Tani ha biitta ubbaa bollan zereththa ayfera diza miththinne zereththa ayfera diza teeriza mith ubbaa inttes immadis; isttika inttes miza quma gidetto.
01011e00f0	Qasseka ha biittaa bolla diza mehenne do7a ubbaas, salo kafotas ubbaas, biittara gooshettiza medheteththata ubbaassinne shemppora paxa diza medheteththata ubbaas miza miish gidana mala, cilila miththinne maata kumeth immadis» giin hanides.
01011f0083	Xoossi ba medhdhidayssa ubbaaka xeellidi daro lo7o gididayssa be7ides. Gadey qammidessinne wontides; hessika usuppunththa gallassa.
0102010043	Salo bollanne sa7a bolla dizay wuri hayssaththo oosetti polettides.
010202006c	Xoossi ba ooththida ooso usuppunththa gallas polidi ba ooththida ooso ubbaafe laappunththa gallas shempides.
0102030090	Qasse Xoossi laappunththa gallassaa anjjidessinne dumma gallas ooththides; ays giikko Xoossi ba ooththiza ooso wursidi shempiday he gallassanna.
010204004c	Saloynne sa7ay medhettiday hessa malanna. GODAY sa7anne salo medhdhida wode,
0102050088	sa7a bollan maatay, miththi, ay miishshika mokkibeenna; ays giikko GODAY ira bukisibeenna; qasse biitta ooththiza asikka medhettibeenna.
0102060048	Gidikkoka haaththi biittafe pude maacotti kezidi biitta ubbaa irxxisees.
010207006f	Hessafe guye GODAY biittafe issi as medhdhidi iza siidhen de7o shemppo punnin addezi shemppora dizaade gidides.
010208006a	Kase GODAY arshey mokkiza baggara Edene geetettizason lo7oso giigsidi ba medhdhida addeza heen woththides.
01020900af	GODAY xeellanaas lo7iza, maanaaska mal7iza dumma dumma qommo mith biittafe mokisides; Edene giddon de7o immiza miththi dees; hessaththoka lo7onne iita erisiza mith woththides.
01020a006b	Gannate ushshiza shaafa haaththi Edeneppe goggees. Edeneppe kezidaappe guye, oyddu shaafa gidi shaakettees.
01020b0066	Koyro shaafaa sunththi Pisoone; Pisooney worqqay diza Hawila geetettiza biittaa yuusho ubbaan goggees.
01020c005a	He biittaa worqqay geeshsha worqqa; qasse al7o shittoynne keehi lo7iza shuchchi heen dees.
01020d0056	Nam7anththo shaafaa sunththi Giyoone; Giyooney Tophphiya biitta yuusho ubbaan goggees.
01020e008d	Heedzdzanththo shaafaa sunththi Xegroose; Xegroosey Asooreppe arshey mokkiza baggara goggees; qasse oydanththo shaafay Efiraaxise geetettees.
01020f004e	Addezi Edenen ooththana malanne naagana mala GODAA Xoossay iza efi woththides.
0102100052	Histtidi GODAA Xoossay addeza, «Edene miththa teera ubbaafe neni maana giikko ma;
010211007a	gido attiin lo7onne iita erisiza miththay teerappe mooppa; ays giikko neni izippe mida gallas tumu hayqqana» gi azazides.
0102120071	Hessafe guye GODAA Xoossay, «Addezi barkka dizayssi lo7o deenna; tani izas injjetiza maado as medhdhana» gides.
01021300e2	GODAA Xoossay kase meheta do7ata salo kafota ubbaa biittafe medhdhides; qasse addezi istta ay giidi sunththanakko siyanaas izakko ehiin addezi shemppora diza medheteththata ubbaa sunththida sunththay isttas sunth gidi attides.
010214007a	Hessaththo addezi meheta, salo kafotanne, do7ata ubbaa sunththides; gido attiin Addaames injjetiza maado asi beettibeenna.
010215008c	Hessa gishshas GODAA Xoossay addeza dhisko dhiskisidi, izi dhiskon dishin iza mille meqeththatappe issaa ekkidi he sohozan asho kunththides.
0102160050	GODAA Xoossay addezappe ekkida meqeththaa maccas medhdhidi izo addezakko ehides.
0102170099	Ehiin addezi, «Hekko! Ha meqeththaya ta meqeththafe, ha ashoyakka ta ashoppe ekettidaaro; izakka attumasappe ekettida gishshas, maccas geetettu» gides.
0102180061	Hessa gishshas asi ba aawaanne ba aayo aggees; ba machcheyra issife dees; istti nam7ay issi asho.
0102190061	Addezinne iza machcheya nam7ayka paxa kallo deettes; gido attiin issay issaas yeellati erettenna.
