2800000007	Maatosa
2801010051	Dawite na, Abrame na gidida Yesus Kristosa yeletetha zarkey hayssappe kaalizayssa
2801020054	Abiramey Yisaqa yelides. Yisaqay Yaqoobe yelides. Yaqobey Yudane iza ishata yelides.
2801030054	Yuday Timarippe Faresane Zara yelides. Faresy Asrome yelides. Asromey Arame yelides.
2801040052	Aramey Aminadabe yelides. Aminadabey Ne7asone Yelides. Ne7asoney Selimone yelides.
280105005e	Selimoney Bo7eze Ere7abippe yelides. Bo7ezey Urutippe Iyobede yelides. Iyobedey Iseye yelides.
2801060046	Iseyey kawo Dawite yelides. Dawitey Oriyo machcheyfe Solomone yelides.
2801070052	Solomoney Robi7ame yelides. Robi7amey Aabbiya yelides. Aabbiyaykka Aasafe yelides.
280108004f	Asafey Yosafaxxe yelides. Yosafaxxey Iyorame yelides. Iyoramey Oziyane yelides.
280109004d	Oziyaney Iyoatamme yelides, Iyoatamey Akaze yelides, Akazey Hizqassa yelides.
28010a0050	Hizqassay Minasse yelides, Minassey Ammoxe yelides, Amoxxeykka Yosiyasa yelides.
28010b003e	Yosiyasay Babiloone di7o layth Ikoniyanene iza ishata yelides.
28010c0059	Babiloone di7oppe guye Ikkoniyaney Salatiyale yelides, Salatiyaleykka Zarubabele yelides,
28010d0057	Zerubabeley Abiyodde yelides, Abiyodey Eliyaqqemme yelides, Eliyaqqemmey Azare yelides.
28010e004c	Azarey Sadeqqe yelides, Sadoqqey Akimme yelides, Akimeykka Eliyodde yelides,
28010f004d	Eliyodey Alazare Yelidess, Alazarey Matane yelides, Mataney Yaqqobbe yelides.
2801100054	Yaqoobeykka Kirstosa getetidaysa Yesusa yelida Maramo ekana gigisida Yosefo yelides.
28011100cc	Hesa gish Abirameppe yidi Dawite gakanas tamane oydu yeleteth, qasse Dawiteppe Babiloone di7o wode gakanas taammane oydu yeleteth, Babiloone di7oppe Kirstossa yeleteth gakanas tamane oydu yeleteth gidana.
2801120095	Yesus Kirstosa yeletetha tarikey hessa mala; iza ayeya Marama Yosefos gigista utada dishin izi izira gagonta dishin Xillo Ayanan qanthatada bistadus.
2801130070	Izo gigisida Yosefoy xillo asa gidida gish Maramo asa sinthan qonce kesonta qotara aganas ba wozinara qachidess.
280114009e	Haysa izi qopishin Xossa kitanchay agumora izas qoncidi “Dawite na Yossefo ne gigisida Marama qanthatiday Xillo Ayanan gidida gish izo ne so efanas baboppa,
2801150065	Iza adde na yelana, izi asa nagarappe ashanade gidida gish iza sunth ne Yesusa ga sunthana” gidess.
28011600d5	Godday nabe Isayasa dunan “hekko gela7oya qanthatana, atumanakka yelana, naza sunthaykka Amanu7ele getistana, hessa birshechikka (Xossi nunara) gusa getetidi xafetidaysi polistana mala haysi wurikka hanidess.”
2801180055	Yossefoykka dhiskkoppe begidi Goodda kitanchay iza azazida mala Maramo ba so efidess.
2801190064	Gido atin bada iza koyro naza yelana gakanas izo ekibeyna. Yeletida gutha naza suntha Yesusa gidess.
2802010072	Kawo Herodosa wode Yesusay Bistaleme Yihudan yelettidappe guye away mokiza bagappe erata/eranchati Yerusalame yidi
280202006f	“Yeletida Ayhude kawoy awan dize? away mokiza bagara iza xolinteza beyidi izas goynana yidos” gidi oychida.
2802030054	kawo Herodosay hessa siyidi dagamidess, Yerusalamen diza asay wuri izara dagamidess.
2802040068	izika qesista halaqatane woga tamarsizayta kumeth shishidi “Kirstosay awan yeletane” gidi oychidess.
28020500d1	istikka izas “nabey ‘Yuda bitan dizare hane Bistaleme ta dere Isra7eele nagizadey neppe kezana gish hanko Yuda harizaytappe azanikka guxakka’ gidi xafida gish izi Bistaleme Yudan yeletana” gidi yotida.
2802070082	Hesafe guye Herodosay he erata/ eranchata/era asata geemara xeygisidine ista hasa7isidi xolintezi istas betida likke wode eridess.
2802080091	Erata Bistaleme yedidi “bidi gutha naza koyte takka bada izas goynana mala demida mala ha taakko simidi izi awan dizakkon tas yotite” gidess.
2802090092	Eratikka/eranchatikka kawoy istas gidaysa siydappe guye bida. Away mokida bagara istas betida xolintey ista kalethidi gutha nazi dizaso gathidess.
28020a002a	isti xolinteza be7ida wode daro ufa7etida.
28020b0091	Keth gelidi gutha naza iza ayeyra Maramira demidine gulbatidi izas goynida. Be saxine saxine doyidi worqqa, ixanene, karbe giza miish izas imida.
28020c006f	Isti Herodosakko simononta mala agumon kehi nagistana mala getetida gish hara ogera ba dere simida. Gibxe gango
28020d00f0	Era asati/erati/eranchati/ bidappe guye Goda kitanchay Yosefos agumora betidi “Herodosay gutha naza wodhana koyiza gish ne simana wode ta nena erisana gakanas dendada gutha naza ayeyra ekada duge Gibxe biitta baqatada hen dasha” gidess.
28020e0049	Hesa gish Yosefoy dendidi ayiyo nazara ekidi gidothara duge Gibxe bidess.
28020f008a	Herodosay hayqana gakanas hen de7idess. “Ta naza ta Gibxe bitappe xeygadis” gidi Goday kasse nabe dunan hasa7idays hayssan poletidess.
