2800000009	ማቶስ
280101007d	ዳውትተከ አብራሀመታ ሱሳ ማችባብ የሱስ ክርስቶሰታ አጥርንታ ኮችንከስ ኬኔ።
280102008a	አብራሀም ይሳቀም አጬ፥ ይሳቅ ያይቆበም አጬ፥ ያይቆብ ይሁደምከ እስመንንከስም አጬ፥
28010300b1	ይሁዳ ፋረስምኬ ዛሬም ትእማር ጋይምድን ኤተንንዘንካ አጬ፥ ፋርስ ሀስሮንም አጬ፥ ሄስሮንመረ አራምንም አጬ፥
2801040077	አራም አምናዳብም አጬ፥ አምናዳብ ነአሶንም አጬ ነአሶነረ ሰልሞንም አጬ፥
28010500c8	ሰልሞነረ ቦኤዝም ረአብ ጋይምድን ኤተንዘንካ አጬ፥ ቦኤዝ እዮበድም ሩት ጋይምድን ኤተንዘንካ አጬ፥ እዮበደረ እሰይም አጬ፥
2801060084	እሰየረ ባንችን ዳዊተም አጬ፥ ባንችን ዳውተረ ኦርዮታ ኬነንዘንካ ሰሎሞንም አጬ፥
2801070074	ሰሎሞነረ ሮብአምም አጬ፥ ሮብአመረ አብያም አጬ፥ አብየረ አሳፍም አጬ፥
2801080080	አሳፈረ እዮሳፈጥም አጬ፥ እዮሳፈጠረ እዮራምም አጬ፥ እዮራመረ ኦዝያንም አጬ፥
280109007d	ኦዛነረ እዮአታምም አጬ፥ እዮአታመረ አካዝም አጬ፥ አካዘረ ህዝቅያሰም አጬ፥
28010a0077	ህዝቅያሰረ ምናሰም አጬ፥ ምናሰረ አሞጽም አጬ፥ አሞጸረ እዮስያሰም አጬ፥
28010b00b7	እዮስያሰረ እስራኤል ዎርሰና ባብሎን ፍጨናሪ ዎእስት ከት ተይምሳን ስለናር እኮንያንምከ ክታ እስመንከስም አጬ፥
28010c0094	ባብሎን ፍጨናርንካ ከት ማቻን ቡር እኮንያን ሰላትያልም አጬ፥ ሰላትያለረ ዘሩባበልም አጬ፥
28010d007d	ዘሩባበለረ አብድዩም አጬ፥ አብድዮረ ኤልያቀም አጬ፥ ኤልያቀረ አዞርም አጬ፥
28010e006e	አዞረረ ሳዶቀም አጬ፥ ሶዶቀረ አክምም አጬ፥ አክመረ ኤልዮድም አጬ፥
28010f007d	ኤልዮደረ አልዓዛርም አጬ፥ አልዓዛረረ ማታንም አጬ፥ ማታነረ ያይቆበም አጬ፥
280110007d	ያይቆበረ ክርስቶስ ጋይምስባብ የሱሰም አጫን ማራመም ሶርስባብ ዮሴፍም አጬ።
280111016c	ይና አብራሀመዘንካ ዳዊት የለልታ ታሜከ ኦይድ አጥሪ፥ ዳውትዘንካ ባብሎን ፍጨናር ዎእስምት ተይምሳን የለልታ ታሜከ ኦይድ አጥሪ፥ ባብሎን ፍጨናር ዎእስምት ተይምሳንዘንካ ክርስቶስ አጥርምተርን የለልታ ታሜከ ኦይድ አጥርዬ።
28011200db	የሱስ ክርስቶሰታ አጥርና ኮግንዴ፥ እንደና ማራመረ ዮሴፍካንታ ሶርምሶ ኮት ዶቅድንካ፥ አⷝነካ የላክዶቆ አያን ጭልንካ ስርሶ Ꮊፈርሴ።
28011300c0	ሶርስባብ ዮሰፍ ላቅም ኤድ ይ ማቻንኦላር፥ ማራመም ኤታ እሪ ኦስንስካንታ ዝጋክዬ፥ ኮካንታ ኖ ኮትም ዛቅካንታ ገቀርሴ።
280114014b	ኬዛር ማቼ ኮም ሪን ገቅርዘን ክት ዶቅድንካ፥ ጮይስታ ክታይንች Ꮊምስካ Ꮊፈርሶ ኩን ጋይሴ፥ “ዳውተታ ሱሰና ዮሰፎ! የስ ሶርሳን ማራመረ ኮት ስርሳንዳ አያን ጭልንካ ማቻንካንታ፥ ኮትም እንቻካንታ Ꮊይ ጳሴ።
28011500b5	ና አⷝና ይንች አእተረ፥ ኖየረ ይንታ ዎርሰንም ከታ ጎመናርንካ አቅዝድንካንታ ክታ ላምንመረ የሱስ ጋይተረዬ”።
2801160097	ኮነረ ሙዳ ማቻንዳ ጮይስ ኩን ጋይሶ ሳብዘንካ ኤሰርሶ ከዝባብጎካ ኬዝምሳንዳ ቦድምድንግንዴ፥
2801170101	“ኮሰቸቴ፥ አንጃ ሙነክንዳ ስርተረ፥ አⷝና ይንቸረ አእተረ፤ ክታ ላምነረ ‘አማኑኤል’ ጋይምሶ ኤልምተረ” አማኑኤል ጋይንትና “ሳብ ዎንካ ክክኔ” ጋይንትዬ።
28011800c2	ዮሴፍ ግንእናርንካ ይ ንግዛንደትካ፥ ጮይስታ ክታይንችና ክትሳንግንዳ ማራመም ይንታ ማና ማስካንታ ይንታ ኤር ተይ Ꮊዴ።
28011900aa	ማታጋካ ዳት፥ ና ይንታ ይንችንም ኮት አእተርን የለልታ ኮትም የላክዬ፥ ክታ ላምንመረ የሱስ ጋይሶ ኤልሴ።
2802010116	ባንችን ሄሮድሰታ ስለናር፥ ይሁዳ ፍጨናር Ꮊፈርድን ቤተልሄም ካተመናር የሱስ አጠርሳንᎺይካ፥ ቤዝም ሰድሰኮ ጎርስምድባብከስ Ꮊይታ ዉትንታጎካ የሩሳሌም ካተመናር Ꮊደኬ።
28020200f2	“ኩነረ ጋየረኮ ኦይሰኬ፥ አይሁድንታ ባንች ማትካንታ አጠርምስባብ ኡለና Ꮊብረረ? ቤዝንም Ꮊይንታ ዉትንታጎካ ሰድሶቶ ክትም ጎዝደር Ꮊቶቴ” ጋይሰኬ።
28020300a5	ባንችን ሄሮድስ ኮሪን ይ ኤሰርሳንደትካ ገቅሴ። የሩሳሌም ካተማ ኤድንከሰረ ሙዳ ክትካ ክክን ገቅሰኬ።
28020400d2	ቀሰንከስም ገችዝድባብከስም ሙደንምከ ሙሴታ ህግንም ኤስዝድባብከስም ሳንስሶ ክርስቶስ Ꮊብር ክት አጠርሳናንከረ ከትም ኦይሰኬ።
