2800000006	Matiyu
2801010084	Ga̱n ka̱ɗe taka̱rda gwe na̱ma mbokti ang ten mbala̱n jwe Yesu Almasihu yen ga̱ Dauda, yen ga̱ Iba̱rahim yil tet tumalsi wu.
2801020062	Iba̱rahim ka̱ɗe aba ga̱ Ishaku, Ishaku ka̱ zi Yakubu, Yek Yakubu zi Yehuda suk yilkeni jwasi,
2801030073	Yehuda ka̱ɗe aba ga̱ Peres suk Zera, ana gwasa̱n ka̱ɗe Tamar. Peres ka̱ zi Heza̱ron, Yek Heza̱ron zi Aram,
2801040045	Aram ka̱ zi Aminadab, Aminadab ka̱ zi Nashon, Yek Nashon zi Salmon,
2801050081	Salmon ka̱ zi Bo'az ma̱lgwe ana gwas ka̱ɗe Rahab wu. Bo'az ka̱ zi Obida ma̱lgwe ana gwas ka̱ɗe Rut wu. Yek Obida zi Yese,
280106006b	Yese ka̱ zi Dauda guu, Dauda ka̱ zi Sulemanu ma̱lgwe ana gwas wo, tek go kili ga̱ Wuriya ka̱ɗe ti wu.
2801070049	Yek Sulemanu guu zi Rehobowam. Yek Rehobowam zi Abija, Abija ka̱ zi Asa,
2801080046	Asa ka̱ zi Yehoshapat. Yek Yehoshapat zi Joram, Joram ka̱ zi Yuziya.
280109003f	Yek Yuziya zi Jotam, Jotam ka̱ zi Ahaz, Ahaz ka̱ zi Hezekiya.
28010a0041	Yek Hezekiya zi Manasa, Manasa ka̱ zi Amon, Amon ka̱ zi Josiya.
28010b0062	Yek Josiya zi Yekoniya suk yilkeni jwasi ka̱ sa'i gwe sa̱ yem ma̱n Yehuda ɗe zhel a Babila wu.
28010c0066	Kaal ɗa̱ da̱mti zhel gwasa̱n a Babila, yek Yekoniya zi Shayeltiyel, Shayeltiyel ka̱ zi Zerubabel.
28010d0043	Yek Zerubabel zi Abihud, Abihud ka̱ zi Eliyakim, Eliyakim zi Azor.
28010e0036	Yek Azor zi Zadok, Zadok ka̱ zi Akim. Akim zi Eliyud.
28010f0043	Yek Eliyud zi Eliyaza, Eliyaza ka̱ zi Matan, Matan ka̱ zi Yakubu.
2801100055	Yek Yakubu zi Yusupu kos ga̱ Maryam ma̱lgwe zi Yesu gwe asa̱ mbet ɗe Almasihu wu.
2801110104	Tet ten Iba̱rahim hal yek la Dauda mbala̱n ɗe kutl cet wupsi ka̱n. A Tet ten Daude yek la da̱mti zhel gwasa̱n a Babila go mbala̱n ɗe kutl cet wupsi ka̱ pak. Tet ten da̱mti zhel gwasa̱n a Babila yek la Almasihu mago mbala̱n ɗe kutl cet wupsi ka̱n.
28011200c8	Kangwe za̱t ga̱ Yesu Almasihu ni wu wuggu. A Yusupu yi ɗe yen kos ga̱ Maryam ana ga̱ Yesu, tun ba̱sa̱ ɓo pa̱l hapti so yek ta̱ mbi yen tuki tumal Shishi ga̱ Nya a ba̱ta̱ ɓo yis maani so.
28011300a1	Ama na̱k ɗe hwa mbala̱n ka̱ɗe Yusupu yen kos gwas wu, yek ba̱ta̱ lami ɗe ta̱s lak Maryam ka̱ nsha ka̱ dlo mbala̱n so. Yek ta̱ gwe ta̱s zakti mukli.
28011400f1	Ama tun a ta̱ yima daamti gwas ten pa̱lti nu, yek Yen shinti ga̱ Nya tul malti ka̱ tlunka̱ti. Yek ta̱ wulti ɗe, Yusupu yen ga̱ Dauda, kan Maryam ɗe kili gwa, ba̱ ɓanti cik so, yen tuk gwe ta̱ mbi go sut mal Shishi ga̱ Nya ka̱n.
2801150069	Ta zi yen, aka̱ zit shin ɗe Yesu, na̱k ɗe tik ka kis mbala̱n jwas ɗa̱ka̱ pa̱lti byas wul ka̱wu.
280116005d	Ili pi na̱k gwisi ta̱ ga̱ɓa gwe Nya dla̱m tumal ma̱n dla̱mti ga̱ɓa gwas wu njika̱n.
28011700a1	Ga̱ɓa gwe wule, “Yek ge yen kili gwe ɓo yis maani sowu a mbi yen tuki, ata̱ zi yen maani, asa zit shin ɗe Imanuwel.” Gwe yek ɗe, “Nya ni sukmi wu.”
280118008c	Ɗe Yusupu pa̱da̱l tet yemba̱l wu, yek ta̱ kop ilgwe yen shinti ga̱ Nyami hwit ɗe ta̱s pa̱li wu, yek ta̱ hap Maryam ɗe kili gwasi.
2801190056	Ama yek ba̱ta̱ yisti so se na̱k ta̱ zi yen cina gwasi, yek ta̱ zit shin ɗe Yesu.
28020100b5	Sa̱ zi Yesu ka̱ ba̱n Baitalami ka̱ atl ga̱ Yehudiya, ka̱ sa'i gwe Hiridus ni ɗe bal guu wu, yek ma̱n yisti kyatla̱l jon tet gaba̱s tul Wurshelima, Yek sa̱ kum ga̱zi ɗe,
2802020083	“Guu ga̱ ma̱n Yehuda gwe sa̱ ya za̱t wuk gwi? Ma̱ yen kyatla̱l gwas a tu gaba̱s, yek ka̱n ma̱ tuli ta̱n ngusit atli.”
2802030046	Hiridus guu kumi nu wugo, yek ili hwotti suk mas ma̱n Wurshelima i'e.
28020400b4	Yek Hiridus guu mo mas kiɗi ma̱n Pa̱ris suk ma̱n yisti mba̱t ga̱ɓa ga̱ Musa yek ta̱ ngemsi ɗe, “Ɓohwe a'ako ka̱n ma̱n dla̱mti ga̱ɓa Nya wule sa zi Almasihu ko?”
280205007c	Yek sa̱ ballit ɗe, “Ka̱ ba̱n Baitalami ka̱ atl ga̱ Yehudiya,” na̱k ɗe ma̱n dla̱mti ga̱ɓa ga̱ Nya lishi ɗe,
28020600ff	“‘Ki ba̱n Baitalami ga̱ atl ga̱ Yehudiya, ko njaa, kik ɗe nak'eni ka̱ ba̱n jwe ni ka̱ atl ga̱ Yehudiya wu so, ten ɗe ka̱ ki ka̱n sa zi bal guu gon, ma̱lgwe a da̱m ɗe bacina ga̱ mbala̱n ji ma̱n Yisiraila ata̱ pi kyo gwasa̱n wu.’”
2802070058	Yek Hiridus guu mbe mbala̱mi mukli, yek ta̱ kum ga̱z ga̱ sa'i gwe kyadla̱li yil wu.
2802080076	Yek ta̱ wulsi ɗe, “Lak ngo yenni i'e, kume ka̱ mbit wu, a ka̱a̱ lak hwini nini ammago ba lak ngusit atl pak.”
2802090098	Ɗe sa̱ kum ga̱ɓa ga̱ guumi wu, yek sa̱ zigaa. Yek kyatla̱l gwe sa̱ yeni wu ngusi kopti na̱ si yek lak dla̱l sut gaa ga̱ lubii gwe yeni ni wu.
28020a0035	Sa̱ yen kyadla̱li wugo yek sa̱ pa̱l hwol tuk i'e.
28020b00b0	Ɗe sa̱ te ka̱ lubiimi wugo, yek sa̱ yen yeni suk Maryam ana gwasi yek sa̱ ngus a cina ɗatka̱. Yek sa̱ ɓul ngura jwasa̱n yek sa̱ ba̱lti zinariya, suk luban, suk mur.
28020c0087	Ama yek yen shinti ga̱ Nya da̱lisi ka̱ng ka̱ tlunka̱t ɗe ba̱s koɓi tumal Hiridus so, yek sa̱ pal ga̱za̱n tu ten zobsi tantu.
28020d011c	Ma̱n yisti kyadla̱li zigaa wugo yek yen shinti ga̱ Nya ga̱ɓa suk Yusupu ka̱ tlunka̱ti yek ta̱ wulti ɗe, “Tlinya ta̱k kan yeni suk ana gwasi ta̱k aɓa̱n te Masar ka, ta̱k da̱ma̱n teka se a hwikii ilgwe kaa pa̱li ka̱ kaali wu ten ɗe Hiridus a ngwe ta̱s tlo yeni.”
28020e004e	Yek Yusupu tlinya yek ta̱ kan yeni suk ane ka̱ gasi yek sa̱ ap te Masar ka,
28020f00c1	yek sa̱ da̱n a Masar hal se sa'i gwe Hiridus guu ma̱sh wu. Na̱k gwisi pi ta̱ njika̱n ga̱ɓa gwe Nya dla̱m tumal ma̱n dla̱mti ga̱ɓa gwas wu ɗe, “Tet Masar ka̱n a mbe yen gini.”
2802100136	Ɗe Hiridus guu lak yisi ɗe ma̱n yisti kyadla̱li palla̱t ɗe ka̱dla̱n wugo, yek mbadl gwas lil i'e, yek ta̱ laki ta̱s tlo mas mil maani ji ba̱n Baitalami suk jwe ni njaa ka̱li wu ka. Yek sa̱ tlo mas mil mani ma̱n gin ɗe lop suk ji atl ɗaasi ka ndakce na̱ sa'i gwe ma̱n yisti kyadla̱li hwit wu.
