1300000005	Psalm
1301010093	Heil dem, der nicht einhergeht nach der Frevler Weise, / Der sich nicht einläßt auf den Weg der Sünder / Noch in der Spötter Kreis sich mischt,
130102005a	Der vielmehr am Gesetze Jahwes sich ergötzt / Und Tag und Nacht darüber forschend sinnt!
13010300ae	So gleicht er einem Baum, gepflanzt an Wasserbächen, / Der seine Früchte bringt zu rechter Zeit / Und dessen Blätterschmuck nicht welkt: / Sein ganzes Tun gerät ihm wohl.
1301040051	Ganz anders ist es mit den Frevlern! / Sie werden wie die Spreu vom Wind verweht.
1301050062	Drum können auch die Frevler im Gericht nicht bestehn / Noch Sünder bleiben unter den Gerechten.
1301060052	Denn Jahwe kennt der Gerechten Weg, / Der Weg der Frevler aber endet im Verderben!
1302010052	Warum sind die Heiden so wild erregt? / Warum sinnen die Völker, was nichtig ist?
130202006b	Der Erde Könige lehnen sich auf, / Und die Würdenträger beraten sich / Wider Jahwe und seinen Gesalbten:
1302030045	"Auf, laßt uns sprengen ihre Bande / Und von uns werfen ihre Seile!"
130204003b	Der in den Himmeln thronet, lacht, / Adonái spottet ihrer.
130205004b	Dann aber redet er sie an im Zorn / Und wird sie schrecken in seinem Grimm:
1302060044	"Ich habe meinen König eingesetzt / auf Zion, meinem heilgen Berg!"
130207006b	"Ich will verkünden Jahwes Spruch: / Er hat mir gesagt: 'Mein Sohn bist du, / Ich habe dich heute gezeugt!
1302080056	Fordre von mir, so geb ich dir Völker zum Erbe / Und die Enden der Erde zum Eigentum.
1302090057	Du sollst sie zerschmettern mit eisernem Stab, / Wie Töpfergeschirr sie zerschlagen!'"
13020a0055	Nun denn, ihr Könige, seid verständig! / Lasset euch warnen, ihr Richter auf Erden!
13020b003b	Dienet Jahwe mit Ehrfurcht / Und jubelt ihm zu mit Zittern!
13020c009b	Küsset den Sohn, damit er nicht zürne / Und ihr umkommet auf euerm Weg! / Denn bald wird sein Zorn entbrennen. / Heil allen, die bei ihm Zuflucht suchen!
1303010037	Ein Psalm Davids, als er vor seinem Sohne Absalom floh.
1303020049	Jahwe, wie sind meiner Dränger so viel! / Viele erheben sich wider mich.
1303030044	Gar manche sagen von mir: / "Er findet keine Hilfe bei Gott." (Sela)
130304004c	Du aber, Jahwe, bist mir ein Schild, / Du, mein Ruhm, du erhebst mein Haupt.
1303050050	Zu Jahwe rufe ich laut, / Und er erhöret mich von seinem heiligen Berge. (Sela)
130306005a	Ich legte mich nieder und schlummerte ein; / Nun bin ich erwacht, weil Jahwe mich stützt.
1303070059	Vor viel Scharen Kriegsvolk fürcht ich mich nicht, / Die sich ringsum wider mich lagern.
13030800c8	Auf, Jahwe! Hilf mir, mein Gott! / Du hast ja stets all meine Feinde ins Antlitz geschlagen, / Du hast der Frevler Zähne zerschmettert. Bei Jahwe ist Hilfe. / Dein Segen komme über dein Volk! (Sela)
130401003d	Dem Sangmeister, mit Saitenspielbegleitung. Ein Psalm Davids.
130402008c	Wenn ich rufe, erhöre mich, Gott meines Heils! / Du hast mich ja schon aus Drangsal errettet; / So sei mir nun gnädig und hör mein Gebet!
130403007d	Ihr Männer von Ansehn, wie lange wollt ihr meine Ehre schänden, / Indem ihr das Nichtige liebt und auf Lügen sinnt? (Sela)
130404004a	Wisset, daß Jahwe mich reich begnadet: Jahwe hört, wenn ich zu ihm rufe.
130405005d	Wollt ihr zürnen, so sündigt doch nicht! / Prüft euer Herz im stillen und schweigt! (Sela)
1304060028	Bringt rechte Opfer und traut auf Jahwe!
1304070064	Viele sagen: "Wer läßt uns Gutes schaun?" / O, erheb über uns das Licht deines Angesichts, Jahwe!
13040800d2	Du hast mir Freude ins Herz gegeben; / Das ist ein besserer Schatz als all ihr Korn und Most. Nun will ich in Frieden mich niederlegen zum Schlaf; / Denn du, o Jahwe, lässest mich ungestört und sicher wohnen.
130501002f	Dem Sangmeister, auf Flöten. Ein Psalm Davids.
1305020034	Höre, Jahwe, meine Worte, / Merke auf mein Seufzen!
1305030055	Horch auf mein Hilferufen, / Mein König und mein Gott, / Denn ich will zu dir beten!
1305040072	Am Morgen höre, Jahwe, meine Stimme! / Am Morgen richt ich (mein Gebet) zu dir / Und schaue (nach Erhörung) aus.
130505005f	Denn nicht ein Gott, dem Böses wohlgefällt, bist du; / Der Frevler darf nicht bei dir weilen.
130506004a	Nicht dürfen Prahler vor dein Auge treten, / Du hassest alle Übeltäter.
1305070058	Du bringst die Lügenredner um; / Wer mit Mord und Tücke umgeht, den verabscheut Jahwe.
130508007e	Ich aber darf ob deiner reichen Gnade in dein Haus eingehn, / Ich darf vor deinem heilgen Tempel niederknien in deiner Frucht.
130509005d	Jahwe, leite mich in deiner Gerechtigkeit um meiner Feinde willen; / Ebne deinen Weg vor mir!
13050a008b	Denn in ihrem Munde ist keine Wahrheit, / Ihr Herz ist voller Frevel. / Ein offenes Grab ist ihre Kehle, / Mit ihrer Zunge schmeicheln sie.
13050b0096	Laß sie büßen, Elohim, / Daß sie in ihren Plänen scheitern! / Ob ihrer Sünden Menge stoße sie hinweg, / Denn sie sind widerspenstig gegen dich!
13050c0100	Doch freuen laß sich alle, die bei dir Zuflucht suchen; / Auf ewig laß sie jauchzen, da du sie beschirmst! / Frohlocken werden in dir alle, / Die deinen Namen lieben. Denn du, o Jahwe, segnest den Gerechten. / Gleich einem Schild umgibst du ihn mit Huld.
13060100ab	Dem Sangmeister mit Saitenspielbegleitung, in der achten Tonart. / Ein Psalm Davids. Jahwe, nicht in deinem Zorne strafe mich, / Und nicht in deinem Grimme züchtige mich!
1306020067	Sei mir, o Jahwe, gnädig; denn ich bin verschmachtet! / Heile mich, o Jahwe, denn meine Glieder beben!
130603004e	Ja, meine Seele ist gar sehr erschrocken; / Du aber, Jahwe, — wie so lange!?
130604005b	Wende dich doch wieder zu mir, Jahwe, rette meine Seele, / Hilf mir um deiner Gnade willen!
1306050058	Denn im Totenreich gedenket man dein nicht, / Wer könnte in der Unterwelt dich preisen?
1306060084	Erschöpft bin ich von meinem Seufzen, / Ich schwemme jede Nacht mein Bett (mit Tränen), / Mit meinen Zähren netze ich mein Lager.
130607004a	Verdunkelt ist vor Gram mein Auge, / Gealtert wegen aller meiner Dränger.
1306080052	Hinweg von mir, ihr Übeltäter alle! / Denn Jahwe hat gehört mein lautes Weinen.
1306090043	Hören wird Jahwe auf mein Flehn, / Jahwe wird mein Gebet annehmen.
13060a006d	Zuschanden werden und gar sehr erschrecken müssen alle meine Feinde, / Sie weichen vor Scham gar plötzlich.
130701004d	Ein Gedicht Davids, das er Jahwe sang wegen der Reden des Benjaminiten Kusch.
130702005e	Jahwe, mein Gott, bei dir such ich Schutz, / Hilf mir von all meinen Drängern und rette mich,
130703005e	Daß sie mich nicht wie Löwen zerfleischen, / Mich nicht zermalmen, weil niemand mich rettet!
1307040053	Jahwe, mein Gott, hab ich solches verübt, / Findet sich Unrecht an meinen Händen;
130705004e	Hab ich meinem Freunde Böses getan, / Und meinen Gegner grundlos geplündert:
1307060076	So verfolge der Feind mich und hole mich ein, / Er trete mein Leben zu Boden / Und leg in den Staub meine Ehre! (Sela)
130707007f	Jahwe steh auf in deinem Zorn, / Steh auf wider meiner Dränger Grimm, / Wach auf, mir zur Hilfe, du hast ja Gericht verordnet!
1307080052	Die Schar der Völker laß dich umringen, / Und über ihr kehre zur Höhe zurück!
1307090062	Jahwe richtet die Völker: / Schaffe mir Recht, o Jahwe, / Nach meiner Gerechtigkeit und Unschuld!
13070a0074	Laß doch enden der Frevler Bosheit / Und stärke die Frommen! / Du prüfest ja Herzen und Nieren, / Gerechter Gott!
13070b003b	Meinen Schild hält Gott, / Der den redlichen Herzen hilft.
13070c0045	Ein gerechter Richter ist Elohim / Und ein Gott, der täglich zürnt.
13070d0065	Bekehrt sich der Sünder nicht, so schärft er sein Schwert, / Hält seinen Bogen gespannt und zielt;
13070e004e	Er richtet gegen ihn Todesgeschosse, / Seine Pfeile macht er zu Feuerbränden.
13070f005d	Sieh, Frevel empfängt der Böse: / Dann geht er schwanger mit Unheil und wird Trug gebären.
1307100056	Er hat eine Grube gegraben und ausgehöhlt / Und sinkt in den Abgrund, den er gemacht.
13071100cb	Das Unheil, das er geplant, fällt auf sein Haupt zurück, / Und auf seinen Scheitel stürzt sein Frevel. Danken will ich Jahwe für sein gerechtes Walten / Und lobsingen dem Namen Jahwes, des Höchsten.
1308010032	Dem Sangmeister, auf der Gittit. Ein Psalm Davids.
1308020074	Jahwe, unser Herrscher, / Wie herrlich ist dein Name auf der ganzen Erde! / Deine Hoheit zeigst du droben im Himmel.
1308030091	Aus Kinder- und Säuglingsmund hast du ein Bollwerk gegründet / Deinen Widersachern zum Trutz, / Um Feind und Empörer zum Schweigen zu bringen.
1308040060	So oft ich die Himmel betrachte, deiner Hände Werk, / Den Mond und die Sterne, die du bereitet:
130805006b	Was ist da der Mensch, daß du sein gedenkst, / Und der Menschensohn, daß du für ihn so liebreich sorgst?
130806006d	Du hast ihn nur wenig geringer gemacht als die himmlischen Wesen, / Mit Ehre und Würde hast du ihn gekrönt.
1308070069	Du hast ihn zum Herrscher gemacht über deiner Hände Werke, / Alles hast du ihm unter die Füße gelegt:
130808003e	Schafe und Rinder insgesamt, / Dazu auch die Tiere der Felder,
13080900a3	Die Vögel des Himmels und die Fische im Meer. / Auch durchzieht er die Bahnen der Meere. Jahwe, unser Herrscher, / Wie herrlich ist dein Name auf der ganzen Erde!
13090100b2	Dem Sangmeister, nach (der Melodie des Liedes:) "Stirb für den Sohn". Ein Psalm Davids. Anbetend preisen will ich Jahwe von ganzem Herzen, / All deine Wunder will ich erzählen;
1309020057	Auch will ich mich freuen und jauchzen in dir; / Aufspielen deinem Namen, du Höchster!
1309030068	Bedenk ich doch: meine Feinde sind rückwärts gewichen, / Sie sind gestrauchelt und umgekommen vor dir.
1309040067	Denn du hast mein Recht geführt und meine Sache, / Du sitzest auf dem Thron als ein gerechter Richter.
1309050069	Grimmig schaltest du Völker, verderbtest den Frevler, / Ihren Namen hast du vertilgt auf immer und ewig.
1309060071	Ha die Feinde! Dahin sind sie, vernichtet für immer; / Ihre Städte hast du zerstört, vertilgt ihr Gedächtnis:
130907004b	Während Jahwe auf ewig thront; / Er hat zum Gericht seinen Stuhl gestellt.
130908004c	Er richtet den Erdkreis recht, / Er spricht den Völkern ein gerades Urteil.
1309090049	Werden wird Jahwe ein Hort dem Bedrückten, / Ein Hort in Zeiten der Not.
13090a0061	Drum trauen dir, die deinen Namen kennen; / Denn du verlässest nicht, die dich, o Jahwe, suchen.
13090b004c	Singt Jahwe, der auf Zion wohnt, / Verkündet inmitten der Völker sein Tun!
13090c005c	Denn als Rächer des Bluts hat er ihrer gedacht, / Nicht vergessen des Schreiens der Dulder.
13090d007b	Gnädig sei mir, o Jahwe! Sieh an das Leid, / Das mir meine Hasser bereiten, — / Du, der mich erhebt aus des Todes Toren!
13090e006b	Dann will ich erzählen all deinen Ruhm; / In den Toren der Tochter Zion / Will ich ob deiner Hilfe jubeln.
13090f0087	Tief sind versunken die Völker / In der Grube, die sie gegraben; / In dem Netz, das sie heimlich gelegt, / Hat sich ihr Fuß gefangen.
130910007b	Kund geworden ist Jahwe: er hat Gericht geübt; / In seiner Hände Werk / Hat sich der Böse verstrickt. (Higgajôn, (Sela)
130911004f	Ja, müssen die Frevler zur Hölle fahren, / Alle Heiden, die Gottes vergessen.
130912005f	Kann denn des Armen auf immer vergessen werden? / Ist's mit der Elenden Hoffnung aus für ewig?
1309130056	Komm, Jahwe, daß der Mensch nicht trotze, / Laß die Heiden vor dir gerichtet werden!
1309140071	Schick ihnen, Jahwe, Schreckenswarnung! / Dann erkennen die Heiden, daß sie nur sterbliche Menschen sind. (Sela)
130a01004e	Lang schon, Jahwe, stehst du fern! / Warum verbirgst du dich zur Zeit der Not?
130a02007b	Beim Übermut der Frevler muß sich der Dulder ängsten: / Möchten sie gefangen werden in den Ränken, die sie ausgedacht!
130a030065	Denn der Frevler rühmt sich des, was sein Herz begehrt, / Der Ungerechte schmäht und höhnet Jahwe.
130a040064	Der Böse denkt in seinem Stolz: "Er strafet nicht; / Es ist kein Gott!" Dahin geht all sein Denken.
130a050099	Was er sich vornimmt, das gelingt ihm stets; / Es bleiben deine Strafgerichte himmelweit entfernt von ihm. / All seine Widersacher schnaubt er zornig an.
130a060048	Er denkt: "Ich wanke nimmer, / Für alle Zukunft komm ich nicht in Not."
130a07005e	Sein Mund ist voll Verwünschung, Lug und Trug; / An seiner Zunge kleben Unheil und Verderben.
130a080078	Er liegt im Hinterhalt in den Gehöften, / Er mordet insgeheim Unschuldige; / Es spähen seine Augen nach den Schwachen.
130a0900a1	Er lauert im Versteck gleich einem Löwen, der im Dickicht liegt, / Er lauert, um den Armen zu erhaschen, / Er hascht den Armen, schleift ihn weg in seinem Netz.
130a0a0045	Er duckt sich, kauert nieder, / In seine Klauen fallen die Wehrlosen.
130a0b0058	Er denkt in seinem Herzen: "Gott vergißt es, / Verbirgt sein Antlitz, sieht es nimmer."
130a0c004f	Komm, stehe auf, o Jahwe El!, erhebe deine Hand! / Vergiß nicht der Gebeugten!
130a0d0065	Warum darf denn der Frevler lästern Elohim, / In seinem Herzen denken: "Nun, du strafst doch nicht?"
130a0e00ba	Richtend aber siehst du es, du schauest Müh und Herzeleid, / Um sie (den Frevlern) zu vergelten! / Auf dich verlässet sich der Schwache, / Und dem Verwaisten zeigst du dich als Helfer.
130a0f0060	Schmettre doch des Frevlers Arm zu Boden! / Des Bösen Unrecht strafe, daß er vor dir schwinde!
130a10004f	Jahwe ist König auf immer und ewig, / Die Heiden verschwinden aus seinem Land.
130a110067	Treulich hörst du, o Jahwe, den Wunsch der Dulder, / Du stärkest ihr Herz, du neigest ihnen dein Ohr.
130a12006a	Schaffst du den Waisen, den Bedrückten Recht, / So wird der Mensch, der Erdenwurm, nicht länger trotzen.
130b010073	Dem Sangmeister. Von David. / Auf Jahwe trau ich! / wie könnt ihr mir da raten: / Flieh wie ein Vogel ins Gebirge!
130b020097	Denn sieh, die Frevler spannen den Bogen, / sie haben den Pfeil auf die Sehne gelegt, / Im Dunkeln zu schießen auf solche, die redlichen Herzens sind.
130b030048	Wenn die Grundpfeiler niederstürzen, / Was vermöchte da der Gerechte?"
130b040086	Jahwe wohnt in seinem heiligen Tempel, / Jahwes Thron ist im Himmel: / Seine Augen schauen, / Seine Blicke prüfen die Menschenkinder.
130b050056	Jahwe prüft den Gerechten; / Die Frevler und alle, die Unrecht lieben, die hasset er.
130b060060	Er läßt auf die Frevler Feuerkohlen und Schwefel regnen, / Versengender Glutwind ist ihr Teil.
130b070055	Denn Jahwe ist gerecht, er liebt Gerechtigkeit. / Die Frommen schauen sein Angesicht!
130c010038	Dem Sangmeister, in der achten Tonart. Ein Psalm Davids.
130c020058	Hilf, Jahwe, denn die Frommen sind dahin! / Die Treue schwindet bei den Menschenkindern.
130c030054	Sie reden miteinander Lüge, / Doppelzüngig reden sie mit schmeichlerischen Lippen.
130c040047	Es rotte Jahwe alle Schmeichellippen aus / Und jede prahlerische Zunge.
130c05006c	Sie sprechen: "Wir sind stark durch unsre Zunge; / Wenn unsre Lippen mit uns sind, wer ist dann unser Herr?"
130c06009a	"Weil die Dulder leiden müssen, weil die Armen seufzen, / Will ich mich nun erheben", so spricht Jahwe, / "Will Hilfe senden dem, der danach schmachtet."
130c070073	Jahwes Worte sind lautre Worte: / Silber, das in der Werkstatt gereinigt zur Erde fließt, / Geläutert siebenfach.
130c0800bc	Du, Jahwe, wirst sie schirmen, / Wirst sie vor diesen Menschen für immer bewahren. Es schreiten ringsum Frevler stolz einher, / Weil niedrige Gemeinheit hochkommt bei den Menschenkindern.
130d010022	Dem Sangmeister. Ein Psalm Davids.
130d020066	Wie lange, Jahwe, willst du mein so ganz vergessen, / Wie lange noch dein Angesicht vor mir verbergen?
130d03008e	Wie lange soll ich mich mit Sorgen quälen / Und Kummer in mir nähren Tag für Tag? / Wie lange soll mein Feind sich noch erheben über mich?
130d04006c	Schau her, erhöre mich, Jahwe, mein Gott! / Mach meine Augen hell, damit ich nicht in Todesschlaf versinke!
130d05007a	Sonst könnte ja mein Feind sich rühmen: / "Ich hab ihn bezwungen", / Und meine Dränger könnten jubeln, daß ich wanke.
130d06007c	Doch ich vertrau auf deine Gnade; / Jauchzen soll mein Herz ob deines Heils. / Preisen will ich Jahwe: er hat mir wohlgetan!
130e010091	Dem Sangmeister. Von David. / Die Toren denken bei sich: "Es ist kein Gott." / Verderbt, abscheulich handeln sie; / Da ist keiner, der Gutes tut.
130e020074	Jahwe schaut vom Himmel herab auf die Menschenkinder, / Daß er sehe, ob jemand Einsicht habe / Und frage nach Gott.
130e030068	Aber sie alle sind abgefallen, alle entartet; / Da ist keiner, der Gutes tut, / Auch nicht ein einziger.
130e04007c	"Sind denn so unvernünftig alle Übeltäter, / Die mein Volk verzehren, wie man Brot verzehrt, / Die nicht zu Jahwe beten?"
130e050044	Dann beben sie schaudernd, / Denn Gott weilt bei dem gerechten Volk.
130e060051	Mögt ihr auch vereiteln der Dulder Wunsch — / Jahwe bleibt doch ihre Zuflucht.
130e07007a	Ach, käme aus Zion für Israel Heil! / Wendet Jahwe das Los seines Volks, / So wird Jakob sich freun und Israel jauchzen.
130f010067	Ein Psalm Davids. / Wer darf in deinem Zelte weilen, Jahwe, / Wer darf auf deinem heilgen Berge wohnen?
130f020055	Er, der unsträflich wandelt und das Rechte tut, / Der Wahres denkt in seinem Herzen.
130f03007c	Er verleumdet nicht mit seiner Zunge, / Fügt einem andern nichts Böses zu / Und bringt nicht Schimpf auf seinen Nächsten.
130f0400ad	Gering ist er in seinen eignen Augen und verachtet; / Doch ehrt er die, die Jahwe fürchten. / Wenn er auch schwört zu seinem eignen Schaden — / Er ändert es doch nicht.
130f05009a	Sein Geld leiht er nicht aus auf Zins, / Er läßt sich nicht bestechen zum Schaden von Unschuldigen. / Wer so handelt, der wird in Ewigkeit nicht wanken.
1310010044	Ein Gedicht von David. / Behüte mich, Gott, denn ich fliehe zu dir!
1310020048	Ich spreche zu Jahwe: "Mein Herr bist du, / Du bist mein höchstes Gut."
131003006c	Und zu den Heiligen, die im Lande sind, (sag ich): / "Das sind die Herrlichen, an ihnen hab ich meine Lust."
