0100000006	1 Mose
0101010066	Im Anfang schuf Gott die Himmel [Im Hebr. steht das Wort "Himmel" immer in der Mehrzahl] und die Erde.
01010200f9	Und die Erde war wüst und leer, und Finsternis war über der [W. über der Fläche der] Tiefe; [Eig. eine rauschende, tiefe Wassermenge; so auch Kap. 7,11;8,2 2. Mo. 49,25] und der Geist Gottes schwebte über den Wassern. [W. über der Fläche der]
0101030033	Und Gott sprach: Es werde Licht! und es ward Licht.
0101040056	Und Gott sah das Licht, daß es gut war; und Gott schied das Licht von der Finsternis.
0101050081	Und Gott nannte das Licht Tag, und die Finsternis nannte er Nacht. Und es ward Abend und es ward Morgen: erster Tag. [O. ein Tag]
010106006a	Und Gott sprach: Es werde eine Ausdehnung inmitten der Wasser, und sie scheide die Wasser von den Wassern!
010107009b	Und Gott machte die Ausdehnung und schied die Wasser, welche unterhalb der Ausdehnung, von den Wassern, die oberhalb der Ausdehnung sind. Und es ward also.
0101080059	Und Gott nannte die Ausdehnung Himmel. Und es ward Abend und es ward Morgen: zweiter Tag.
0101090085	Und Gott sprach: Es sammeln sich die Wasser unterhalb des Himmels an einen Ort, und es werde sichtbar das Trockene! Und es ward also.
01010a006e	Und Gott nannte das Trockene Erde, und die Sammlung der Wasser nannte er Meere. Und Gott sah, daß es gut war.
01010b00bb	Und Gott sprach: Die Erde lasse Gras hervorsprossen, Kraut, das Samen hervorbringe, Fruchtbäume, die Frucht tragen nach ihrer Art, in welcher ihr Same sei auf der Erde! Und es ward also.
01010c00b6	Und die Erde brachte Gras hervor, Kraut, das Samen hervorbringt nach seiner Art, und Bäume, die Frucht tragen, in welcher ihr Same ist nach ihrer Art. Und Gott sah, daß es gut war.
01010d0032	Und es ward Abend und es ward Morgen: dritter Tag.
01010e00b4	Und Gott sprach: Es werden Lichter an der Ausdehnung des Himmels, um den Tag von der Nacht zu scheiden, und sie seien zu Zeichen und zur Bestimmung von Zeiten und Tagen und Jahren;
01010f0067	und sie seien zu Lichtern an der Ausdehnung des Himmels, um auf die Erde zu leuchten! Und es ward also.
0101100097	Und Gott machte die zwei großen Lichter: das große Licht zur Beherrschung des Tages, und das kleine Licht zur Beherrschung der Nacht, und die Sterne.
010111004f	Und Gott setzte sie an die Ausdehnung des Himmels, um auf die Erde zu leuchten,
010112009a	und um zu herrschen am Tage und in der [O. über den Tag und über die] Nacht und das Licht von der Finsternis zu scheiden. Und Gott sah, daß es gut war.
0101130032	Und es ward Abend und es ward Morgen: vierter Tag.
01011400ac	Und Gott sprach: Es wimmeln die Wasser vom Gewimmel lebendiger Wesen, [W. Seelen; so auch später] und Gevögel fliege über der Erde angesichts der Ausdehnung des Himmels!
01011500c9	Und Gott schuf die großen Seeungeheuer und jedes sich regende, lebendige Wesen, wovon die Wasser wimmeln, nach ihrer Art, und alles geflügelte Gevögel nach seiner Art. Und Gott sah, daß es gut war.
010116008f	Und Gott segnete sie und sprach: Seid fruchtbar und mehret euch und füllet die Wasser in den Meeren, und das Gevögel mehre sich auf der Erde!
0101170033	Und es ward Abend und es ward Morgen: fünfter Tag.
01011800a4	Und Gott sprach: Die Erde bringe hervor lebendige Wesen nach ihrer Art: Vieh und Gewürm [Eig. sich Regendes] und Getier der Erde nach seiner Art! Und es ward also.
01011900ad	Und Gott machte das Getier der Erde nach seiner Art, und das Vieh nach seiner Art, und alles, was sich auf dem Erdboden regt, nach seiner Art. Und Gott sah, daß es gut war.
