0100000006	1 Mose
0101010038	Zu Anbeginn hat Gott erschaffen den Himmel und die Erde.
0101020075	Die Erde aber war wüst und wirr, und auf der Urflut lag Finsternis. Gottes Geist aber schwebte über den Gewässern.
010103002e	Da sprach Gott: "Licht werde!" Und Licht ward.
010104004e	Und Gott sah: Das Licht war gut. So schied Gott zwischen Licht und Finsternis.
0101050082	Und Gott bestimmte für das Licht den Tag. Und für die Finsternis bestimmte er die Nacht. So ward Abend und ward Morgen. Ein Tag.
0101060060	Und Gott sprach: "Mitten in den Wassern sei eine Feste! Sie scheide zwischen Wasser und Wasser!"
0101070077	So machte Gott die Feste und schied zwischen dem Wasser unter der Feste und dem Wasser über der Feste. Und so ward es.
0101080054	Der Feste sprach Gott den Himmel zu. So ward Abend und ward Morgen. Ein zweiter Tag.
0101090072	Und Gott sprach: "An einem Orte sammle sich das Wasser unterm Himmel, und das Trockene erscheine!" Und so ward es.
01010a0080	Für das Trockensein bestimmte Gott die Erde, und für die Sammlung der Wasser bestimmte er die Meere. Und Gott sah: Gut war es.
01010b00aa	Und Gott sprach: "Sprießen lasse die Erde Grünes! Samentragendes Kraut und Fruchtbäume, nach ihrer Art Früchte tragend, darin ihr Same für die Erde!" Und so ward es.
01010c0092	Die Erde brachte Grünes, Kraut mit Samen je nach seiner Art und Bäume mit Früchten, darin ihr Same je nach ihrer Art. Und Gott sah: Gut war es.
01010d002f	So ward Abend und ward Morgen. Ein dritter Tag.
01010e0096	Und Gott sprach: "Leuchten seien an der Himmelsfeste, zwischen Tag und Nacht zu scheiden! Dann dienen sie zu Zeichen und Gezeiten, zu Tagen und Jahren
01010f004d	und zu Leuchten an der Himmelsfeste, die Erde zu bescheinen." Und so ward es.
010110009d	So machte Gott die zwei großen Leuchten, die größere Leuchte zum Walten über den Tag und die kleinere Leuchte zum Walten über die Nacht, und die Sterne.
010111003d	Und Gott ließ sie an der Himmelsfeste auf die Erde scheinen,
0101120070	über den Tag und die Nacht walten und zwischen dem Licht und der Finsternis scheiden. Und Gott sah: Gut war es.
010113002f	So ward Abend und ward Morgen. Ein vierter Tag.
010114006f	Und Gott sprach: "Das Wasser wimmle von lebendem Gewimmel, und auf Erden an der Himmelsfeste fliege Geflügel."
01011500bb	So schuf Gott die großen Meerestiere und alle anderen lebenden Wimmelwesen, wovon die Wasser wimmeln, nach ihren Arten und der beschwingten Vögel jegliche Art. Und Gott sah: Gut war es.
010116007f	Da segnete Gott sie und sprach: "Seid fruchtbar! Mehret euch! Füllet der Meere Gewässer! Auf Erden mehre sich das Geflügel!"
0101170030	So ward Abend und ward Morgen. Ein fünfter Tag.
0101180072	Und Gott sprach:"Die Erde zeuge Lebewesen je nach ihrer Art! Vieh, Gewürm und das Wild der Erde!" Und so ward es.
0101190092	So machte Gott das Wild der Erde nach seiner Art, das Vieh nach seiner Art und alles Gewürm des Bodens nach seiner Art. Und Gott sah: Gut war es.
01011a00fb	Und Gott sprach. "Lasset uns Menschen machen als unser Bild nach unserem Gleichnis! Herrschen sollen sie über des Meeres Fische, über des Himmels Vögel, über das Vieh auf der ganzen Erde überall und über alle Wimmelwesen, die auf Erden wimmeln!"
01011b006c	Und Gott schuf den Menschen als sein Bild. Als Gottes Bild schuf er ihn. Er schuf sie als Mann und als Weib.
01011c00e6	Und Gott segnete sie. Und Gott sprach zu ihnen: "Seid fruchtbar! Mehret euch! Füllet die Erde! Macht sie euch untertan! Herrschet über des Meeres Fische, über des Himmels Vögel und über alle Lebewesen, die auf Erden wimmeln!"
01011d00a3	Und Gott sprach: "Euch überlasse ich alles samentragende Kraut auf der ganzen Erde und alle Bäume mit samentragender Baumfrucht, daß sie euch zur Nahrung diene.
01011e009c	Und alles andere grüne Kraut diene zur Nahrung allem Wilde, allen Vögeln des Himmels und allem Gewürm auf Erden, in dem Lebensgeist ist." Und so ward es.
01011f006f	Und Gott sah alles, was er gemacht hatte. Und sehr gut war es. So ward Abend und ward Morgen. Ein sechster Tag.
0102010042	So wurden vollendet der Himmel und die Erde und all ihre Vielfalt.
0102020089	Da feierte Gott am siebten Tage von seiner Arbeit, die er getan. Und er ruhte am siebten Tage ganz von seiner Arbeit, die er getan hatte.
0102030085	So segnete Gott den siebten Tag und weihte ihn. Denn an ihm hatte er völlig von seiner Arbeit geruht, die Gott zu tun geplant hatte.
010204008a	Dies ist die Entstehung des Himmels und der Erde, als sie erschaffen worden sind. Damals, als der Herr Gott Erde und Himmel gemacht hatte,
01020500be	war kein Feldgesträuch im Lande, und kein Feldgewächs sproßte; denn der Herr Gott hatte dem Lande noch keinen Regen gegeben. Auch waren keine Menschen da, die den Erdboden bebaut hätten.
0102060054	Und eine Wasserflut stieg von der Erde auf und tränkte des Erdbodens ganze Fläche.
0102070086	Da bildete der Herr Gott den Menschen aus Staub vom Boden und blies ihm Lebensodem in die Nase. So ward der Mensch zu einem Lebewesen.
010208007c	Nun hatte der Herr Gott im Osten einen Garten in Eden gepflanzt; dort ließ er nun den Menschen sein, den er gebildet hatte.
01020900d0	Allerlei Bäume, lieblich zur Schau und köstlich als Speise, hatte der Herr Gott aus dem Erdboden sprießen lassen, in des Gartens Mitte aber den Baum des Lebens und den Baum der Erkenntnis von Gut und Bös.
01020a0077	Und ein Fluß kam von Eden her, den Garten zu bewässern; er aber war von da ab geteilt und zu vier Häuptern geworden.
01020b004c	Pischon heißt der erste, der das ganze Sandland umfließt, wo das Gold ist.
01020c0058	Fein ist das Gold dieses Landes; dort gibt es auch Harztränen (Bdellium) und Onyxstein.
01020d0047	Und der zweite Strom heißt Gichon, der das ganze Land Kusch umfließt.
01020e0069	Der dritte Strom heißt Tigris, der östlich von Assur vorüberfließt. Der vierte Strom ist der Euphrat.
01020f0063	Der Herr Gott nahm also den Menschen und setzte ihn in Edens Garten, daß er ihn bebaue und pflege.
010210006c	Und der Herr Gott gebot dem Menschen und sprach: "Von allen Bäumen im Garten darfst du nach Belieben essen.
010211007f	Nur von dem Baume, der Gutes und Böses keimen lehrt, darfst du nicht essen. Denn sobald du von ihm issest, bist du des Todes."
0102120089	Und der Herr Gott sprach: "Nicht gut ist es, daß der Mensch allein sei; ich will ihm eine Gehilfin schaffen, die ihm gleichgeartet ist."
01021300ec	Nun formte der Herr Gott aus dem Erdboden alle Tiere des Feldes und alle Vögel des Himmels. Diese brachte er zum Menschen, um zu sehen, wozu er sie bestimmte, und genau das wozu er ein Lebewesen bestimmte, sollte seine Bestimmung sein.
01021400a8	Und so gab der Mensch allem Vieh und des Himmels Vögeln und allem Wilde eine Bestimmung; aber für einen Menschen hatte keines als Beistand gepaßt, ihm gleichgeartet.
010215009e	Da ließ der Herr Gott einen Tiefschlaf auf den Menschen sinken, und als dieser eingeschlafen, nahm er eine seiner Rippen und füllte ihre Lücke mit Fleisch.
0102160072	Dann baute der Herr Gott die Rippe, die er vom Menschen genommen, zu einem Weibe aus und brachte sie zum Menschen.
0102170095	Da sprach der Mensch: "Diesmal ist es Bein von meinem Bein und Fleisch von meinem Fleisch. Deshalb heißt sie Weib, weil sie vom Manne genommen ist."
010218005d	Darum läßt ein Mann Vater und Mutter und hängt sich an sein Weib, und sie werden Ein Leib.
0102190062	Die beiden aber, der Mensch und sein Weib, waren nackt; aber sie schämten sich nicht voreinander.
01030100d7	Die Schlange aber ist schlauer gewesen, als des Feldes Tiere alle, die der Herr Gott gemacht hat. Und so sprach sie zu dem Weibe: "Daß doch Gott gesprochen haben soll: Ihr dürft von keinem Baum des Gartens essen!"
0103020058	Da sprach das Weib zur Schlange: "Wir dürfen von der Frucht der Bäume im Garten essen.
0103030095	Nur von der Frucht des Baumes mitten im Garten sprach Gott: 'Davon dürft ihr nicht essen, ja nicht einmal daran rühren, sonst müßt ihr sterben.'"
0103040040	Die Schlange sprach zum Weibe: "Ihr werdet gewiß nicht sterben.
0103050077	Nein! Gott weiß: Sobald ihr davon esset, gehen euch die Augen auf, und ihr seid wie Gott, erkennend Gutes und Böses."
01030600dc	Da sah das Weib: Der Baum war köstlich zum Speisen und Wollust den Augen, und berückend war der Baum, um zur Erkenntnis zu gelangen. So nahm sie von seiner Frucht und aß. Dann gab sie ihrem Manne bei ihr. Auch er aß.
0103070080	Da gingen beiden die Augen auf, und sie erkannten, daß sie nackt waren. Und sie flochten Feigenlaub und machten sich Schürzen.
01030800b8	Da hörten sie das Geräusch des Herrn Gottes, der sich im Garten beim Tageswinde erging. Und der Mensch verbarg sich mit seinem Weibe vor dem Herrn Gott unter den Bäumen des Gartens.
0103090042	Der Herr Gott aber rief den Menschen und fragte ihn: "Wo bist du?"
