0100000006	1 Mose
010101002d	Im Anfang schuf Gott den Himmel und die Erde;
0101020096	die Erde war aber eine Wüstenei und Öde, und Finsternis lag über der weiten Flut, und der Geist Gottes schwebte (brütend) über der Wasserfläche.
0101030037	Da sprach Gott: »Es werde Licht!«, und es ward Licht.
0101040051	Und Gott sah, daß das Licht gut war; da schied Gott das Licht von der Finsternis
010105007e	und nannte das Licht »Tag«, der Finsternis aber gab er den Namen »Nacht«. Und es wurde Abend und wurde Morgen: erster Tag.
010106009c	Dann sprach Gott: »Es entstehe ein festes Gewölbe inmitten der Wasser und bilde eine Scheidewand zwischen den beiderseitigen Wassern!« Und es geschah so.
010107007f	So machte Gott das feste Gewölbe und schied dadurch die Wasser unterhalb des Gewölbes von den Wassern oberhalb des Gewölbes.
0101080060	Und Gott nannte das feste Gewölbe »Himmel«. Und es wurde Abend und wurde Morgen: zweiter Tag.
0101090093	Dann sprach Gott: »Es sammle sich das Wasser unterhalb des Himmels an einen besonderen Ort, damit das Trockene sichtbar wird!« Und es geschah so.
01010a008f	Und Gott nannte das Trockene »Erde«, dem Wasser aber, das sich gesammelt hatte, gab er den Namen »Meer«. Und Gott sah, daß es gut war. –
01010b00b5	Dann sprach Gott: »Die Erde lasse junges Grün sprossen, samentragende Pflanzen und Bäume, die je nach ihrer Art Früchte mit Samen darin auf der Erde tragen!« Und es geschah so:
01010c00b8	die Erde ließ junges Grün hervorgehen, Kräuter, die je nach ihrer Art Samen trugen, und Bäume, die Früchte mit Samen darin je nach ihrer Art trugen. Und Gott sah, daß es gut war.
01010d0031	Und es wurde Abend und wurde Morgen: dritter Tag.
01010e00df	Dann sprach Gott: »Es sollen Lichter am Himmelsgewölbe entstehen, um Tag und Nacht voneinander zu scheiden; die sollen Merkzeichen sein und zur (Bestimmung von) Festzeiten sowie zur (Zählung von) Tagen und Jahren dienen;
01010f006b	und sie sollen Lichter am Himmelsgewölbe sein, um Licht über die Erde zu verbreiten!« Und es geschah so.
01011000a8	Da machte Gott die beiden großen Lichter: das größere Licht zur Herrschaft über den Tag und das kleinere Licht zur Herrschaft über die Nacht, dazu auch die Sterne.
0101110058	Gott setzte sie dann an das Himmelsgewölbe, damit sie Licht über die Erde verbreiteten
010112007e	und am Tage und in der Nacht die Herrschaft führten und das Licht von der Finsternis schieden. Und Gott sah, daß es gut war.
0101130031	Und es wurde Abend und wurde Morgen: vierter Tag.
010114008e	Dann sprach Gott: »Es wimmle das Wasser von einem Gewimmel lebender Wesen, und Vögel sollen über der Erde am Himmelsgewölbe hin fliegen!«
01011500c4	Da schuf Gott die großen Seetiere und alle Arten der kleinen Lebewesen, die da sich regen, von denen die Gewässer wimmeln, dazu alle Arten der beschwingten Vögel. Und Gott sah, daß es gut war.
01011600a3	Da segnete Gott sie mit den Worten: »Seid fruchtbar und mehret euch und erfüllet das Wasser in den Meeren, und auch die Vögel sollen sich auf der Erde mehren!«
0101170032	Und es wurde Abend und wurde Morgen: fünfter Tag.
0101180099	Dann sprach Gott: »Die Erde bringe alle Arten lebender Wesen hervor, Vieh, Kriechgetier und wilde Landtiere, jedes nach seiner Art!« Und es geschah so.
01011900b1	Da machte Gott alle Arten der wilden Landtiere und alle Arten des Viehs und alles Getier, das auf dem Erdboden kriecht, jedes nach seiner Art. Und Gott sah, daß es gut war. –
01011a0113	Dann sprach Gott: »Laßt uns Menschen machen nach unserm Bilde, uns ähnlich, die da herrschen sollen über die Fische im Meer und über die Vögel des Himmels, über das (zahme) Vieh und über alle (wilden) Landtiere und über alles Gewürm, das auf dem Erdboden kriecht!«
01011b0071	Da schuf Gott den Menschen nach seinem Bilde: nach dem Bilde Gottes schuf er ihn; als Mann und Weib schuf er sie.
01011c00f5	Gott segnete sie dann mit den Worten: »Seid fruchtbar und mehrt euch, füllt die Erde an und macht sie euch untertan und herrscht über die Fische im Meer und über die Vögel des Himmels und über alle Lebewesen, die auf der Erde sich regen!«
01011d00b4	Dann fuhr Gott fort: »Hiermit übergebe ich euch alle samentragenden Pflanzen auf der ganzen Erde und alle Bäume mit samentragenden Früchten: die sollen euch zur Nahrung dienen!
01011e00c8	Aber allen Tieren der Erde und allen Vögeln des Himmels und allem, was auf der Erde kriecht, was Lebensodem in sich hat, weise ich alles grüne Kraut der Pflanzen zur Nahrung an.« Und es geschah so.
01011f0081	Und Gott sah alles an, was er geschaffen hatte, und siehe: es war sehr gut. Und es wurde Abend und wurde Morgen: der sechste Tag.
0102010041	So waren der Himmel und die Erde mit ihrem ganzen Heer vollendet.
010202009e	Da brachte Gott am siebten Tage sein Werk, das er geschaffen hatte, zur Vollendung und ruhte am siebten Tage von aller seiner Arbeit, die er vollbracht hatte.
0102030083	Und Gott segnete den siebten Tag und heiligte ihn; denn an ihm hat Gott von seinem ganzen Schöpfungswerk und seiner Arbeit geruht.
010204008e	a Dies ist die Entstehungsgeschichte des Himmels und der Erde, als sie geschaffen wurden. b Zur Zeit, als Gott der HERR Erde und Himmel schuf,
0102050103	als es auf der Erde noch keine Sträucher auf dem Felde gab und noch keine Pflanzen auf den Fluren gewachsen waren, weil Gott der HERR noch keinen Regen auf die Erde hatte fallen lassen und auch noch keine Menschen da waren, um den Ackerboden zu bestellen –
0102060064	es stieg aber ein Wasserdunst von der Erde auf und tränkte die ganze Oberfläche des Erdbodens –:
0102070094	da bildete Gott der HERR den Menschen aus Erde vom Ackerboden und blies ihm den Lebensodem in die Nase; so wurde der Mensch zu einem lebenden Wesen.
010208007d	Hierauf pflanzte Gott der HERR einen Garten in Eden nach Osten hin und versetzte dorthin den Menschen, den er gebildet hatte.
01020900ef	Dann ließ Gott der HERR allerlei Bäume aus dem Erdboden hervorwachsen, die lieblich anzusehen waren und wohlschmeckende Früchte trugen, dazu auch den Baum des Lebens mitten im Garten und den Baum der Erkenntnis des Guten und des Bösen.
01020a0076	Es entsprang aber ein Strom in Eden, um den Garten zu bewässern, und teilte sich von dort aus, und zwar in vier Arme.
01020b006a	Der erste heißt Pison: dieser ist es, der das ganze Land Hawila umfließt, woselbst sich das Gold findet,
01020c0065	und das Gold dieses Landes ist kostbar; dort kommt auch das Bedolachharz vor und der Edelstein Soham.
01020d0051	Der zweite Strom heißt Gihon: dieser ist es, der das ganze Land Kusch umfließt.
01020e0079	Der dritte Strom heißt Hiddekel: dieser ist es, der östlich von Assyrien fließt; und der vierte Strom ist der Euphrat.
01020f0079	Als nun Gott der HERR den Menschen genommen und ihn in den Garten Eden versetzt hatte, damit er ihn bestelle und behüte,
010210006a	gab Gott der HERR dem Menschen die Weisung: »Von allen Bäumen des Gartens darfst du nach Belieben essen;
0102110096	aber vom Baum der Erkenntnis des Guten und des Bösen – von dem darfst du nicht essen; denn sobald du von diesem ißt, mußt du des Todes sterben.«
010212008c	Hierauf sagte Gott der HERR: »Es ist nicht gut für den Menschen, daß er allein ist: ich will ihm eine Hilfe schaffen, die zu ihm paßt.«
01021300e2	Da bildete Gott der HERR aus Erde alle Tiere des Feldes und alle Vögel des Himmels und brachte sie zu dem Menschen, um zu sehen, wie er sie benennen würde; und wie der Mensch sie alle benennen würde, so sollten sie heißen.
01021400b4	So legte denn der Mensch allem Vieh und den Vögeln des Himmels und allen wilden Tieren Namen bei; aber für einen Menschen fand er keine Hilfe darunter, die zu ihm gepaßt hätte.
