0100000006	1 Mose
010101002d	Am Anfang schuf Gott den Himmel und die Erde.
010102008b	Und die Erde war eine Leere und Öde, und Finsternis war auf den Angesichten des Abgrunds; und der Geist Gottes schwebte über den Wassern.
0101030033	Und Gott sprach: Es werde Licht, und es ward Licht.
0101040068	Und Gott sah das Licht, daß es gut war, und Gott schied zwischen dem Licht und zwischen der Finsternis.
0101050074	Und Gott nannte das Licht Tag und die Finsternis nannte Er Nacht; und es war Abend und es war Morgen, der erste Tag.
010106006e	Und Gott sprach: Es sei eine Ausbreitung inmitten der Wasser und scheide zwischen den Wassern für die Wasser.
0101070099	Und Gott machte die Ausbreitung und schied zwischen den Wassern die unter der Ausbreitung und den Wassern die über der Ausbreitung waren, und ward also.
010108005a	Und Gott nannte die Ausbreitung Himmel; und es war Abend und es war Morgen der zweite Tag.
0101090075	Und Gott sprach: Die Wasser unter dem Himmel sammeln sich an einen Ort, und das Trockene erscheine. Und es ward also.
01010a006d	Und Gott nannte das Trockene Erde, und die Sammlung der Wasser nannte Er Meer. Und Gott sah, daß es gut war.
01010b00c1	Und Gott sprach: Die Erde lasse hervorkeimen das junge Grün, das Kraut, das Samen säet, den Fruchtbaum, der Frucht trägt nach seiner Art, worin sein Samen ist auf der Erde. Und es ward also.
01010c00bd	Und die Erde brachte hervor das junge Grün, das Kraut, das Samen säet nach seiner Art, und den Baum, der Frucht trägt worin sein Samen ist nach seiner Art. Und Gott sah, daß es gut war.
01010d0033	Und es war Abend und es war Morgen, der dritte Tag.
01010e00c4	Und Gott sprach: Es seien Lichter an der Ausbreitung des Himmels, zu scheiden zwischen dem Tag und zwischen der Nacht, und sollen sein zu Zeichen und zu bestimmten Zeiten, und zu Tagen und Jahren;
01010f0065	Und sie seien zu Lichtern an der Ausbreitung des Himmels, zu leuchten auf der Erde. Und es ward also.
010110008c	Und Gott machte die zwei großen Lichter, das große Licht am Tag zu herrschen, und das kleine Licht bei Nacht zu herrschen, und die Sterne.
010111004a	Und Gott gab sie an die Ausbreitung des Himmels, zu leuchten auf der Erde,
0101120086	Und zu herrschen am Tage und bei Nacht, und zu scheiden zwischen dem Licht und zwischen der Finsternis. Und Gott sah, daß es gut war.
0101130033	Und es war Abend und es war Morgen, der vierte Tag.
01011400a5	Und Gott sprach: Es wimmle das Wasser vom Gewimmel, von der lebendigen Seele und das Gevögel fliege über der Erde, über die Angesichte der Ausbreitung der Himmel.
01011500d1	Und Gott schuf die großen Walfische, und jede lebendige Seele, die da kriecht, wovon die Wasser wimmeln, nach ihrer Art, und alles Gevögel, das da Flügel hat, nach seiner Art. Und Gott sah, daß es gut war.
010116008c	Und Gott segnete sie und sprach: Seid fruchtbar und mehret euch und füllet die Wasser in den Meeren, und das Gevögel mehre sich auf Erden.
0101170034	Und es war Abend und es war Morgen, der fünfte Tag.
010118009e	Und Gott sprach: Die Erde bringe hervor die lebendige Seele nach ihrer Art, Vieh und Kriechtier und das wilde Tier der Erde nach seiner Art. Und es ward also.
01011900ab	Und Gott machte das wilde Tier der Erde nach seiner Art, und das Vieh nach seiner Art und alles Kriechtier auf dem Erdboden nach seiner Art. Und Gott sah, daß es gut war.
