010000000e	Kĩambĩrĩria
0101010048	Kĩambĩrĩria-inĩ kĩa maũndũ mothe, Ngai nĩombire igũrũ na thĩ.
01010200a1	Hĩndĩ ĩyo thĩ ndĩarĩ ũrĩa yatariĩ na ndĩarĩ na kĩndũ, nayo nduma yarĩ igũrũ rĩa kũrĩa kũriku, nake Roho wa Ngai aareerete igũrũ rĩa maaĩ.
0101030056	Nake Ngai agĩathana, akiuga atĩrĩ, “Nĩkũgĩe ũtheri,” na gũkĩgĩa ũtheri.
0101040052	Ngai akĩona atĩ ũtheri ũcio warĩ mwega, nake akĩgayũkania ũtheri na nduma.
01010500ab	Ngai agĩĩta ũtheri ũcio “mũthenya,” nayo nduma akĩmĩĩta “ũtukũ.” Na gũkĩgĩa hwaĩ-inĩ, na gũkĩgĩa rũciinĩ. Ũcio ũgĩtuĩka mũthenya wa mbere.
010106007d	Nake Ngai agĩathana, akiuga atĩrĩ, “Nĩkũgĩe wariĩ mũnene gatagatĩ ka maaĩ ũgayũkanie maaĩ na marĩa mangĩ.”
01010700aa	Nĩ ũndũ ũcio Ngai agĩĩkĩra wariĩ ũcio na akĩgayũkania maaĩ marĩa maarĩ thĩ ya wariĩ ũcio na maaĩ marĩa maarĩ igũrũ rĩaguo. Na gũgĩtuĩka o ũguo.
0101080086	Ngai agĩĩta wariĩ ũcio “matu mairũ.” Na gũkĩgĩa hwaĩ-inĩ na gũkĩgĩa rũciinĩ. Ũcio ũgĩtuĩka mũthenya wa keerĩ.
010109009d	Nake Ngai agĩathana, akiuga atĩrĩ, “Maaĩ marĩa marĩ thĩ ya matu mairũ nĩ mongane handũ hamwe na kũgĩe thĩ nyũmũ.” Na gũgĩtuĩka o ũguo.
01010a0094	Ngai agĩĩta kũrĩa kũmũ “thĩ,” namo maaĩ marĩa maacookanĩrĩire akĩmeeta “maria.” Nake Ngai akĩona atĩ ũndũ ũcio warĩ mwega.
