2800000004	Mata
280101005b	Kakaɗ tǝghǝr kǝ hulfa Yesu Kǝristi, zǝra Dauda kwa ghǝravaan ndakwani zǝra Ibrahim.
280102005a	Ibrahim wa yaa Ishaku, ya nǝ Ishaku kǝ Yakuba, ya nǝ Yakub kǝ Yahuda ard zaraabahaana.
2801030065	Ya nǝ Yahuda kǝ Ferez ard Zera. Babbaatǝr Tamara. Ya nǝ Ferez kǝ Hezron, ya nǝ Hezron kǝ Aram,
2801040051	ya nǝ Aram kǝ Amminadab, ya nǝ Amminadab kǝ Nashon, ya nǝ Nashon kǝ Salmon.
2801050070	Ya nǝ Salmon kǝ Bowaz, ɗaaga babbaan Rahab. Ya nǝ Bowaz kǝ Obed, ɗaaga babbaan Rut. Ya nǝ Obed kǝ Yesse,
2801060069	ya nǝ Yesse kǝ Tlǝkes Dauda. Ya nǝ Dauda kǝ Saluman, ɗaaga babbaan Betshaba, kwandza uusa Uri wura.
280107004f	Ya nǝ Saluman kǝ Rehobowam, ya nǝ Rehobowam kǝ Abija, ya nǝ Abija kǝ Asa,
2801080050	ya nǝ Asa kǝ Yehoshafat, ya nǝ Yehoshafat kǝ Yoram, ya nǝ Yoram kǝ Uzziya,
2801090049	ya nǝ Uzziya kǝ Yotam, ya nǝ Yotam kǝ Ahaz, ya nǝ Ahaz kǝ Hezekaya,
28010a004d	ya nǝ Hezekaya kǝ Manasse, ya nǝ Manasse kǝ Aman, ya nǝ Aman kǝ Yosiya,
28010b0065	ya nǝ Yosiya kǝ Yekoniya ard zaraabahaan sartakwa hutsavtǝra nǝ uudah damma Babila kiyava ɛɛva.
28010c007f	Tǝhalakwa lanngavtǝrda nǝ iitǝr damma Babila, kaa yigayig nǝ Yekoniya kǝ Shayeltiyel, ya nǝ Shayeltiyel kǝ Zerubbabela,
28010d0053	ya nǝ Zerubbabel kǝ Abihud, ya nǝ Abihud kǝ Eliyakim, ya nǝ Eliyakim kǝ Azor,
28010e0045	ya nǝ Azor kǝ Zadok, ya nǝ Zadok kǝ Akim, ya nǝ Akim kǝ Eliyud,
28010f0050	ya nǝ Eliyud kǝ Eliyazar, ya nǝ Eliyazar kǝ Mattan, ya nǝ Mattan kǝ Yakub,
2801100058	ya nǝ Yakub kǝ Isuvu zhiila Maryam, Maryam wa yaayig kǝ Yesu kwa ɗahav dǝ Kǝristi.
