2800000008	Maatoosa
2801010061	Hayssafe kaallidi xaafettidayssi Dawite na7a Abrahaame na7a gidida Yesuus Kiristtoosa yeletethaa.
2801020055	Abrahamey Yisaaqa yelis; Yisaaqi Yayqooba yelis; Yayqoobi Yihudanne iya ishata yelis;
280103005a	Yihudi Ti7imaarippe Faaresenne Zaara yelis; Faaresi Esiroome yelis; Esiroomey Raame yelis;
2801040050	Raamey Aminaadabe yelis; Aminaadabey Na7asoone yelis; Na7asooney Salmoona yelis;
280105005b	Salmooney Ra7abippe Boo7eze yelis; Boo7ezi Urutippe Iyobeede yelis; Iyobeedi Isseyye yelis;
280106004d	Isseyyey kawuwa Dawite yelis; Dawitey koyro Ooriyo machcheefe Solomone yelis;
2801070047	Solomoney Robi7aame yelis; Robi7aamey Abiya yelis; Abiyey Asaafe yelis;
280108004e	Asaafi Iyosaafexe yelis; Iyosaafixey Iyoraame yelis; Iyoraamey Ooziyane yelis;
280109004c	Ooziyaney Iyo7atame yelis; Iyo7atamey Akkaza yelis; Akkazi Hiziqiyasa yelis;
28010a0049	Hiziqiyasi Minaase yelis; Minaasey Amoona yelis; Amooni Iyosiyaasa yelis;
28010b005e	Isra7eele asay di7ettidi Babiloone biittaa bida wode Iyosiyaasi Ikoniyananne iya ishata yelis.
28010c0075	Babiloone biitta Isra7eele asay di7ettidi bidaappe guye Ikoniyaani Selaatiyale yelis. Selaatiyaley Zerubaabela yelis;
28010d004d	Zerubaabeli Abdiyu yelis; Abdiyuy Eliyaaqeme yelis; Eliyaaqemey Azaara yelis;
28010e0044	Azaari Sadooqe yelis; Sadooqey Akiime yelis; Akiimey Eliyuuda yelis;
28010f0049	Eliyuudi Alaazara yelis; Alaazari Maatane yelis; Maataney Yayqooba yelis;
280110004f	Yayqoobi Yoosefa yelis; Yoosefi Kiristtoosa giya Yesuusa yelida Mayraami azina.
28011100c4	Hiza, yeletethay Abrahameppe Dawite gakkanaw tammanne oydda. Dawiteppe bidi Babiloone di7uwa gakkanaw tammanne oydda. Babiloone di7uwappe bidi Kiristtoosa gakkanaw tammanne oyddu yeletethi gidees.
280112009d	Yesuus Kiristtoosa yeletethaa taarikey hayssafe kaalleyssa. Iya aaya Mayraama Yoosefas oyshetta de7ashe Yoosefara gahettonna Geeshsha Ayyaanaappe qanthatasu.
2801130064	Yoosefi Xillo asi gidida gisho iyo asan kessanaw koyibeenna. Yaaniya gisho qosan iyo agganaw qoppis.
28011400a9	I he qofan de7ishin Xoossaa kiitanchchoy amuhon qonccidi, “Dawite na7aw, Yoosefa, Mayraama qanthatiday Geeshsha Ayyaanaappe gidiya gisho iyo ekkanaw yayyofa” yaagis.
2801150066	Iya adde na7a yelana, I ba deriya entta nagaraappe ashshiya gisho iya sunthaa ne Yesuusa gada xeegana.
280116001d	Goday nabiya Isayaasa doonan,
28011700c3	“Hekko geela7iya qanthatana; adde na7akka yelana; iya sunthay Ammanu7eela geetettana” goyssi polettana mela ha ubbay hanis. Ammanu7eela geyssas birshshethay “Xoossay nuura de7ees” guussu.
2801180055	Yoosefi dhiskkofe barkkidi Godaa kiitanchchoy kiittidayssa mela Mayraamo ba soo efis.
280119005c	Shin ba bayra na7a yelana gakkanaw iyo bochchibeenna; yelettida na7akka Yesuusa gidi xeegis.
2802010088	Kawuwa Heroodisa woden Yesuusi Yihuda biittan Beeteleme kataman yelettidayssafe guye xoolintto taybiya asati dolohappe Yerusalaame yidi,
2802020086	“Yelettida Ayhude kawoy awun de7ii? Nuuni doloha baggara keyida iya xoolinttuwa be7idi iyaw goynnanaw yida” yaagidi oychchidosona.
280203005b	Kawoy Heroodisi hessa si7ida wode dagammis. Yerusalaamen de7iya asay ubbayka dagammidosona.
2802040080	Heroodisi kahine halaqatanne higge asttamaareta baakko xeegidi, “Kiristtoosi awun yelettanddeshsha?” yaagidi entta oychchis.
2802050026	Enttika, “Yihuda Beetelemena; nabey,
28020600a3	‘Yihudan de7iya Beeteleme, Yihudan de7iya gooba katamatappe, neeni aybinkka guuxaka. Ta deriya Isra7eele aysanayssi, neeppe keyana’ gidi xaafis” yaagidosona.
2802070075	Hessafe guye, Heroodisi dolohappe yida asata geeman xeegidi, xoolinttuwa entti be7ida wodiya enttafe geeshshidi eris.
280208009f	I enttana Beeteleme yeddishe, “Bidi yelettida na7aa minthidi koyite; iya hintte demmida wode takka bada iyaw goynnana mela simmidi yishe taw odite” yaagis.
280209008c	Enttika kawoy Heroodisi gidayssa si7idi bidosona. Entti doloha baggara be7ida xoolinttoy enttana kaalethishe na7ay de7iyasuwa gakkanaw efis.
28020a003c	Entti he xoolinttuwa be7ida wode gita ufayssi ufayttidosona.
28020b0099	Soo gelidi na7aa ba aaye Mayraamira de7eyssa be7idosona. Iyaw gulbbatidi goynnidosona. Bantta saaxiniya dooyidi worqqa, ixaanenne karbbe iyaw immidosona.
28020c0067	Entti Heerodisakko guye simmona mela Xoossay amuhon enttaw odin, hara ogera bantta biittaa simmidosona.
