0100000009	መተꬅ
0101010034	ፆሳይ ኮይሮ ሳሎታነ ሳአ መꬍስ።
01010200c1	ሄ ዎደ ሳእ ጊጎናነ አይብካ ባይና መላ ደኤስ። ꬉም ቢታ ማእዳ ዎልቃማ ሃꬃታ ቦላ ደኤስ። ፆሳ አያናይ ሃꬃፈ ቦላራ ቃፄስ።
010103005b	ሄሳፈ ጉየ፥ ፆሳይ፥ “ፖኦይ ሀኖ” ያግን፥ ፖኦይ ሀንስ።
0101040058	ፖኦይ ሎኦ ግድዳይሳ ፆሳይ በእስ፤ ፖኡዋ ꬉማፐ ሻክስ።
01010500ae	ፆሳይ ፖኡዋ፥ “ጋላስ” ግድ ሱንꬅስ፤ ቃስ ꬉማ “ቃማ” ግድ ሱንꬅስ። ሳእ ቃምስ ዎንትስ፤ ሄስ ኮይሮ ጋላስ።
01010600a1	ሄሳፈ ጉየ፥ ፆሳይ፥ “ቦላራ ደእያ ሃꬃ ጋርሳን ደእያ ሃꬃፈ ሻክያ ሳሎ ጉፋንꬆይ ሀኖ” ያግን ሀንስ።
010107008d	ፆሳይ ሳሎ ጉፋንꬆ ጊግስድ፥ ሳሎ ጉፋንꬆፈ ቦላራ ደእያ ሃꬃ ጋርሳን ደእያ ሃꬃፈ ሻክስ።
010108008c	ፆሳይ ሄ ጉፋንꬁዋ፥ “ሳሎ” ግድ ሱንꬅስ። ሳእ ቃምስ፤ ዎንትስ፤ ሄስ ናምአንꬆ ጋላሳ።
01010900a5	ሄሳፈ ጉየ፥ ፆሳይ፥ “መላ በሳይ ቆንጫናዳ ሳሎፐ ጋርሳን ደእያ ሃꬅ ኡባይ እስ በሲ ሺቆ” ያግን ሀንስ።
01010a00d4	ፆሳይ ሄ መላ በሳ፥ “ቢታ” ግድ ሱንꬅስ፤ ቃስ እስ በሳን ሺቅዳ ሃꬃ፥ “አባ” ግድ ሱንꬅስ። ያትድ፥ ፆሳይ ሄስ ሎኦ ግድዳይሳ በእስ።
01010b00d6	ሄሳፈ ጉየ፥ ፆሳይ፥ “ቢታይ ምꬅ ማታ ዶልሶ፤ ዘረꬃ አይፈይ ደእያ ካꬅነ ዘረꬃ አይፈይ ግዶን ደእያ ምꬅ ዶሎ” ያግስ፤ ሄሳዳካ ሀንስ።
01010c0077	ቢታይ ምꬅ ማታ እያ ቆሞን ቆሞን ዶልስስ። ፆሳይ ሄስ ሎኦ ግድዳይሳ በእስ።
01010d0041	ሳእ ቃምስ ዎንትስ፤ ሄስ ሄꬓንꬆ ጋላስ።
01010e00b8	ሄሳፈ ጉየ፥ ፆሳይ፥ “ጋላሳ ቃማፈ ሻካናዉ ፖኦት ሳሎን ሀኖ። ኤንቲ ቃማ፥ ጋላሳ፥ ዎደነ ላይꬅ ኤርሳናዉ ማላ ግዶ።
01010f0070	ቢታ ቦላ ፖአና መላ ኤንቲ ሳሎ ጉፋንꬆን ሀኖ” ያግስ፤ ሄሳዳካ ሀንስ።
010110009e	ፆሳይ ናምኡ ግታ ፖኦታ መꬍስ። አዊ ጋላስ፥ አጌን ቃማ ፖአና መላ ኦꬅስ። ሄሳዳካ ፆልንቶታ መꬍስ።
