010000000a	Medhetethi
0101010024	Xoossay koyro salotanne sa7a medhis.
0101020091	He wode sa7i giigonanne aybika bayna mela de7ees. Dhumi biitta ma77ida wolqaama haathata bolla de7ees. Xoossa Ayyaanay haathaafe bollara qaaxees.
010103003e	Hessafe guye, Xoossay, “Poo7oy hano” yaagin, poo7oy hanis.
010104003e	Poo7oy lo77o gididaysa Xoossay be7is; poo7uwa dhumape shaakis.
010105007a	Xoossay poo7uwa, “Gallas” gidi sunthis; qassi dhumaa “Qamma” gidi sunthis. Sa7i qammis wontis; hessi koyro gallas.
0101060075	Hessafe guye, Xoossay, “Bollara de7iya haatha garsan de7iya haathaafe shaakiya salo gufanthoy hano” yaagin hanis.
0101070067	Xoossay salo gufantho giigisidi, salo gufanthofe bollara de7iya haatha garsan de7iya haathaafe shaakis.
010108005d	Xoossay he gufanthuwa, “Salo” gidi sunthis. Sa7i qammis; wontis; hessi nam7antho gallasa.
0101090075	Hessafe guye, Xoossay, “Mela bessay qoncanaada Salope garsan de7iya haathi ubbay issi bessi shiiqo” yaagin hanis.
01010a009c	Xoossay he mela bessaa, “Biitta” gidi sunthis; qassi issi bessan shiiqida haatha, “Abba” gidi sunthis. Yaatidi, Xoossay hessi lo77o gididaysa be7is.
01010b0096	Hessafe guye, Xoossay, “Biittay mithi maata doliso; zeretha ayfey de7iya kathinne zeretha ayfey giddon de7iya mithi dolo” yaagis; hessadaka hanis.
01010c0053	Biittay mithi maata iya qommon qommon dolisis. Xoossay hessi lo77o gididaysa be7is.
01010d002c	Sa7i qammis wontis; hessi heedzantho gallas.
01010e0081	Hessafe guye, Xoossay, “Gallasa qammafe shaakanaw poo7oti salon hano. Enti qamanne, gallas, wodenne laythi erisanaw malla gido.
01010f004e	Biitta bolla poo7ana mela enti salo gufanthon hano” yaagis; hessadaka hanis.
010110006d	Xoossay nam7u gita poo7ota medhis. Awi gallas, ageeni qamma poo7ana mela oothis. Hessadaka Xoolintota medhis.
0101110035	Xoossay enti ha sa7a bolla poo7ana mela salon wothis.
010112006b	Hessi, gallasinne qamma haarana melanne poo7o dhumape shaakana melasa. Xoossay hessi lo77o gididaysa be7is.
010113002b	Sa7i qammis wontis; hessi oyddantho gallas.
0101140090	Hessafe guye, Xoossay, “De7oy de7iya dumma dumma medhetethati haathan daro; kafotika sa7ape bollara, salo gufanthofe garsan piradho” yaagis.
