2800000007	Matiewo
280101003c	Abalahama biga, jakobo biga, JESU kiristu yajanba yela n ne:
2801020051	Abalahama mali Isaka; Isaka ń mali Jakobo; Jakobo ń mali Juda yeni o ninjaba;
2801030058	Juda bo taa Tamaar, ki mali Fares yeni Saara; Fares ń mali Esrom; Esrom ń mali Aram;
280104004c	Aram ń mali Aminadab; Aminadab ń mali Naasɔn; Naasɔn ń mali Salmɔn;
2801050045	Salmɔn ń taa Rahab, ki mali Bɔas; Bɔas ń taa Rut ki mali Obed;
2801060061	Obed ń mali Isayi; Isayi ń mali Dafid; O badciamo Dafid ń taa Uri denpua, ki mali Salomɔn;
2801070043	Salomɔn ń mali Robuam; Robuam ń mali Abia; Abiya ń mali Asa;
2801080044	Asa ń mali Josafat; Josafat ń mali Joram; Joram ń mali Osiyas;
2801090045	Osiyas ń mali Juatam; Juatam ń mali Ahas; Ahas ń mali Esekihas;
28010a0047	Esekihas ń mali Manase; Manase ń mali Amɔn; Amɔn ń mali Josias;
28010b0062	Josias ń mali Jekonias yeni o ninjaba, ban cuo ba ya yogu ki gede yeni ba Babilɔni, ti yonbidi.
28010c0052	Babiloni yonbdi ń pendi, ke Jekonias mali Salatiel; Salatiel ń mali Sorobabel;
28010d004c	Sorobabel ń mali Abiyud; Abiyud ń mali Eliakim; Eliakim ń mali Asɔar;
28010e0043	Asɔar ń mali Sadɔk; Sadɔk ń mali Akim; Akim ń mali Eliyud.
28010f004a	Eliyud ń mali Eleyasaar; Eleyasaar ń mali Matan; Matan ń mali Jakob;
280110004d	Jakob ń mali Josef, Maari calo, Maari, yua n mali Jesu, ban yi yua kiristu.
28011100d3	Lan wani, lan cili Abalahama, ki tuoni Dafiid, li tie piiga n nifiima na, lan taa Dafiid ki tuoni Babiloni yonbidi, li mo tie piiga n nifiima na, ki taa Babiloni yonbdi hali kiristu li mo tie piiga n nifiima na.
28011200ac	Jesu kiristu ń mali maama n ne. Maari, o naá bo tie Josef cikpenga i, ki punbi U Tienu Foŋanma paalu po, ke bi dá ki taani yeni bi yaba (ki dá ki kuni ti cikpendi)
280113006d	O calo, Josef ń bo tie nitegnka, kaa bua ke o fiagi o yeni, o den jagi ke wan wuoni, ki yie o ŋasiili nni.
28011400cb	Wan taa lan ya maalma yeni, O Diedo maleki ń legdi o po ti dangdi nni, ki maadi o: Dafiid bijua Josef, da jie yeni ŋan kuani a denpua Maari kelima, wan punbi ya biga ne ñani U Tienu Foŋanma kani i.
280115004c	O ba mali bonjaga, ŋan yini o Jesu; wani n ba faabi o buolu u tuonbiidi po.
280116005d	Ne kuli tieni ke O Diedo ń bo cedi ke bi sawalpuaba tuodi ki waani yaali ń tieni ki dudi:
2801170084	I ba la powandiali (ya jifaano dá ki bani ja) ba punbi, ki mali bonjaga, ban yini o Emanuyel, li niima nni tie U Tienu ye yeni ti.
280118006c	Josef ń den findi, o den tieni nani O Diedo maleki ń waani o yaala, o den ga o denpua ke bi taani ki ye.
2801190047	Ama, o den ki taani yeni o hali ke o ban mali bonjaga ke o yini o Jesu.
2802010099	Jesu den mali Betelema, Jude dogu nni, ya yogu ke Herodi den tie badciamo; lanyogu ke ya badtieba n bani i ŋmaali cogma ñani puoli, ki cua Jerusalema,
2802020074	yedi: Jufinba badciamo, ban mali yua mɔlane ye le? Kelima, ti la ke o ŋmaabiga pudi puoli, ke ti cua ki ba pugi o.
280203005a	O badciamo Herodi ń gbadi lanya maama, o yama ń ŋmadi lan mugi Jerusalema yaaba kuli.
280204006e	O badciamo ń taani salga yidkaacianba yeni u dogu nn gbanbanda, ki buali ki bandi ban ba mali Kiristu naana.
2802050056	Ban maadi o: li tie Betelema, Jude dogu nni; kelima o sawalpualo ń diani yaali n ne:
2802060082	Fini, Betelema, Juda tinga, fini ka ñidi ki cie, Juda dogciami siiga, kelima bado ba ña a niini, ki ya kpaa n buolu Isirayeli.
