2800000019	Κατα Ματθαιον
280101006c	Βίβλος γενέσεως Ἰησοῦ Χριστοῦ, υἱοῦ Δαυῒδ υἱοῦ Ἀβραάμ.
28010200dd	Ἀβραὰμ ἐγέννησε τὸν Ἰσαάκ, Ἰσαὰκ δὲ ἐγέννησε τὸν Ἰακώβ, Ἰακὼβ δὲ ἐγέννησε τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ,
28010300de	Ἰούδας δὲ ἐγέννησε τὸν Φαρὲς καὶ τὸν Ζαρὰ ἐκ τῆς Θάμαρ, Φαρὲς δὲ ἐγέννησε τὸν Ἐσρώμ, Ἐσρὼμ δὲ ἐγέννησε τὸν Ἀράμ,
28010400be	Ἀρὰμ δὲ ἐγέννησε τὸν Ἀμιναδάβ, Ἀμιναδὰβ δὲ ἐγέννησε τὸν Ναασσών, Ναασσὼν δὲ ἐγέννησε τὸν Σαλμών,
28010500da	Σαλμὼν δὲ ἐγέννησε τὸν Βοὸζ ἐκ τῆς Ῥαχάβ, Βοὸζ δὲ ἐγέννησε τὸν Ὠβὴδ ἐκ τῆς Ῥούθ, Ὠβὴδ δὲ ἐγέννησε τὸν Ἰεσσαί,
28010600cb	Ἰεσσαὶ δὲ ἐγέννησε τὸν Δαυῒδ τὸν βασιλέα. Δαυῒδ δὲ ὁ βασιλεὺς ἐγέννησε τὸν Σολομῶνα ἐκ τῆς τοῦ Οὐρίου,
28010700ac	Σολομὼν δὲ ἐγέννησε τὸν Ῥοβοάμ, Ῥοβοὰμ δὲ ἐγέννησε τὸν Ἀβιά, Ἀβιὰ δὲ ἐγέννησε τὸν Ἀσά,
28010800b1	Ἀσὰ δὲ ἐγέννησε τὸν Ἰωσαφάτ, Ἰωσαφὰτ δὲ ἐγέννησε τὸν Ἰωράμ, Ἰωρὰμ δὲ ἐγέννησε τὸν Ὀζίαν,
28010900ae	Ὀζίας δὲ ἐγέννησε τὸν Ἰωάθαμ, Ἰωάθαμ δὲ ἐγέννησε τὸν Ἄχαζ, Ἄχαζ δὲ ἐγέννησε τὸν Ἐζεκίαν,
28010a00b7	Ἐζεκίας δὲ ἐγέννησε τὸν Μανασσῆ, Μανασσῆς δὲ ἐγέννησε τὸν Ἀμών, Ἀμὼν δὲ ἐγέννησε τὸν Ἰωσίαν,
