2800000019	Κατα Ματθαιον
280101006c	Βίβλος γενέσεως Ἰησοῦ Χριστοῦ, υἱοῦ Δαβίδ, υἱοῦ Ἀβραάμ.
28010200e0	Ἀβραὰμ ἐγέννησε τὸν Ἰσαάκ· Ἰσαὰκ δὲ ἐγέννησε τὸν Ἰακώβ· Ἰακὼβ δὲ ἐγέννησε τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ·
28010300e1	Ἰούδας δὲ ἐγέννησε τὸν Φαρὲς καὶ τὸν Ζαρὰ ἐκ τῆς Θάμαρ· Φαρὲς δὲ ἐγέννησε τὸν Ἑσρώμ· Ἑσρὼμ δὲ ἐγέννησε τὸν Ἀράμ·
28010400c1	Ἀρὰμ δὲ ἐγέννησε τὸν Ἀμιναδάβ· Ἀμιναδὰβ δὲ ἐγέννησε τὸν Ναασσών· Ναασσὼν δὲ ἐγέννησε τὸν Σαλμών·
28010500dd	Σαλμὼν δὲ ἐγέννησε τὸν Βοὸζ ἐκ τῆς Ῥαχάβ· Βοὸζ δὲ ἐγέννησε τὸν Ὠβὴδ ἐκ τῆς Ῥούθ· Ὠβὴδ δὲ ἐγέννησε τὸν Ἰεσσαί·
28010600ce	Ἰεσσαὶ δὲ ἐγέννησε τὸν Δαβὶδ τὸν βασιλέα. Δαβὶδ δὲ ὁ βασιλεὺς ἐγέννησε τὸν Σολομῶντα ἐκ τῆς τοῦ Οὐρίου·
28010700af	Σολομὼν δὲ ἐγέννησε τὸν Ῥοβοάμ· Ῥοβοὰμ δὲ ἐγέννησε τὸν Ἀβιά· Ἀβιὰ δὲ ἐγέννησε τὸν Ἀσά·
28010800b4	Ἀσὰ δὲ ἐγέννησε τὸν Ἰωσαφάτ· Ἰωσαφὰτ δὲ ἐγέννησε τὸν Ἰωράμ· Ἰωρὰμ δὲ ἐγέννησε τὸν Ὀζίαν·
28010900b1	Ὀζίας δὲ ἐγέννησε τὸν Ἰωάθαμ· Ἰωάθαμ δὲ ἐγέννησε τὸν Ἄχαζ· Ἄχαζ δὲ ἐγέννησε τὸν Ἑζεκίαν·
28010a00ba	Ἑζεκίας δὲ ἐγέννησε τὸν Μανασσῆ· Μανασσῆς δὲ ἐγέννησε τὸν Ἀμών· Ἀμὼν δὲ ἐγέννησε τὸν Ἰωσίαν·
28010b00af	Ἰωσίας δὲ ἐγέννησε τὸν Ἰεχονίαν καὶ τοὺς ἀδελφοὺς αὐτοῦ, ἐπὶ τῆς μετοικεσίας Βαβυλῶνος.
28010c00c9	Μετὰ δὲ τὴν μετοικεσίαν Βαβυλῶνος, Ἰεχονίας ἐγέννησε τὸν Σαλαθιήλ· Σαλαθιὴλ δὲ ἐγέννησε τὸν Ζοροβάβελ·
28010d00c4	Ζοροβάβελ δὲ ἐγέννησε τὸν Ἀβιούδ· Ἀβιοὺδ δὲ ἐγέννησε τὸν Ἐλιακείμ· Ἐλιακεὶμ δὲ ἐγέννησε τὸν Ἀζώρ·
28010e00ae	Ἀζὼρ δὲ ἐγέννησε τὸν Σαδώκ· Σαδὼκ δὲ ἐγέννησε τὸν Ἀχείμ· Ἀχεὶμ δὲ ἐγέννησε τὸν Ἐλιούδ·
28010f00bb	Ἐλιοὺδ δὲ ἐγέννησε τὸν Ἐλεάζαρ· Ἐλεάζαρ δὲ ἐγέννησε τὸν Ματθάν· Ματθὰν δὲ ἐγέννησε τὸν Ἰακώβ·
28011000b0	Ἰακὼβ δὲ ἐγέννησε τὸν Ἰωσὴφ τὸν ἄνδρα Μαρίας, ἐξ ἧς ἐγεννήθη Ἰησοῦς, ὁ λεγόμενος Χριστός.
280111018b	Πᾶσαι οὖν αἱ γενεαὶ ἀπὸ Ἀβραὰμ ἕως Δαβὶδ γενεαὶ δεκατέσσαρες· καὶ ἀπὸ Δαβὶδ ἕως τῆς μετοικεσίας Βαβυλῶνος, γενεαὶ δεκατέσσαρες· καὶ ἀπὸ τῆς μετοικεσίας Βαβυλῶνος ἕως τοῦ Χριστοῦ, γενεαὶ δεκατέσσαρες.
2801120140	Τοῦ δὲ Ἰησοῦ Χριστοῦ ἡ γέννησις οὕτως ἦν· μνηστευθείσης γὰρ τῆς μητρὸς αὐτοῦ Μαρίας τῷ Ἰωσήφ, πρὶν ἢ συνελθεῖν αὐτούς, εὑρέθη ἐν γαστρὶ ἔχουσα ἐκ πνεύματος ἁγίου.
28011300c9	Ἰωσὴφ δὲ ὁ ἀνὴρ αὐτῆς, δίκαιος ὤν, καὶ μὴ θέλων αὐτὴν παραδειγματίσαι, ἐβουλήθη λάθρᾳ ἀπολῦσαι αὐτήν.
280114017b	Ταῦτα δὲ αὐτοῦ ἐνθυμηθέντος, ἰδού, ἄγγελος Κυρίου κατ᾿ ὄναρ ἐφάνη αὐτῷ, λέγων, Ἰωσήφ, υἱὸς Δαβίδ, μὴ φοβηθῇς παραλαβεῖν Μαριὰμ τὴν γυναῖκά σου· τὸ γὰρ ἐν αὐτῇ γεννηθὲν ἐκ πνεύματός ἐστιν ἁγίου.
28011500d9	Τέξεται δὲ υἱόν, καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν· αὐτὸς γὰρ σώσει τὸν λαὸν αὐτοῦ ἀπὸ τῶν ἁμαρτιῶν αὐτῶν.
28011600a8	Τοῦτο δὲ ὅλον γέγονεν, ἵνα πληρωθῇ τὸ ῥηθὲν ὑπὸ τοῦ Κυρίου διὰ τοῦ προφήτου, λέγοντος,
2801170101	Ἰδού, ἡ παρθένος ἐν γαστρὶ ἕξει καὶ τέξεται υἱόν, καὶ καλέσουσι τὸ ὄνομα αὐτοῦ Ἐμμανουήλ, ὅ ἐστι μεθερμηνευόμενον, Μεθ᾿ ἡμῶν ὁ Θεός.
28011800e4	Διεγερθεὶς δὲ ὁ Ἰωσὴφ ἀπὸ τοῦ ὕπνου, ἐποίησεν ὡς προσέταξεν αὐτῷ ὁ ἄγγελος Κυρίου· καὶ παρέλαβε τὴν γυναῖκα αὐτοῦ,
28011900d0	καὶ οὐκ ἐγίνωσκεν αὐτὴν ἕως οὗ ἔτεκε τὸν υἱὸν αὐτῆς τὸν πρωτότοκον· καὶ ἐκάλεσε τὸ ὄνομα αὐτοῦ Ἰησοῦν.
2802010109	Τοῦ δὲ Ἰησοῦ γεννηθέντος ἐν Βηθλεὲμ τῆς Ἰουδαίας, ἐν ἡμέραις Ἡρῴδου τοῦ βασιλέως, ἰδού, μάγοι ἀπὸ ἀνατολῶν παρεγένοντο εἰς Ἱεροσόλυμα,
28020200fc	λέγοντες, Ποῦ ἐστὶν ὁ τεχθεὶς βασιλεὺς τῶν Ἰουδαίων; Εἴδομεν γὰρ αὐτοῦ τὸν ἀστέρα ἐν τῇ ἀνατολῇ, καὶ ἤλθομεν προσκυνῆσαι αὐτῷ.
280203008e	Ἀκούσας δὲ Ἡρῴδης ὁ βασιλεὺς ἐταράχθη, καὶ πᾶσα Ἱεροσόλυμα μετ᾿ αὐτοῦ·
28020400d4	καὶ συναγαγὼν πάντας τοὺς ἀρχιερεῖς καὶ γραμματεῖς τοῦ λαοῦ, ἐπυνθάνετο παρ᾿ αὐτῶν ποῦ ὁ Χριστὸς γεννᾶται.
280205009c	Οἱ δὲ εἶπον αὐτῷ, Ἐν Βηθλεὲμ τῆς Ἰουδαίας· οὕτω γὰρ γέγραπται διὰ τοῦ προφήτου,
