2800000019	Κατα Ματθαιον
280101006d	Βίβλος γενέσεως Ἰησοῦ Χριστοῦ υἱοῦ Δαυεὶδ υἱοῦ Ἀβραάμ.
28010200e6	Ἀβραὰμ ἐγέννησεν τὸν Ἰσαάκ· Ἰσαὰκ δὲ ἐγέννησεν τὸν Ἰακώβ· Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ·
28010300e7	Ἰούδας δὲ ἐγέννησεν τὸν Φαρὲς καὶ τὸν Ζαρὰ ἐκ τῆς Θαμάρ· Φαρὲς δὲ ἐγέννησεν τὸν Ἐσρώμ· Ἐσρὼμ δὲ ἐγέννησεν τὸν Ἀράμ·
28010400c7	Ἀρὰμ δὲ ἐγέννησεν τὸν Ἀμιναδάβ· Ἀμιναδὰβ δὲ ἐγέννησεν τὸν Ναασσών· Ναασσὼν δὲ ἐγέννησεν τὸν Σαλμών·
28010500e7	Σαλμὼν δὲ ἐγέννησεν τὸν Βοὸς ἐκ τῆς Ῥαχάβ· Βοὸς δὲ ἐγέννησεν τὸν Ἰωβὴδ ἐκ τῆς Ῥούθ· Ἰωβὴδ δὲ ἐγέννησεν τὸν Ἰεσσαί·
28010600bf	Ἰεσσαὶ δὲ ἐγέννησεν τὸν Δαυεὶδ τὸν βασιλέα· Δαυεὶδ δὲ ἐγέννησεν τὸν Σολομῶνα ἐκ τῆς τοῦ Οὐρίου·
28010700b7	Σολομὼν δὲ ἐγέννησεν τὸν Ῥοβοάμ· Ῥοβοὰμ δὲ ἐγέννησεν τὸν Ἀβιά· Ἀβιὰ δὲ ἐγέννησεν τὸν Ἀσάφ·
28010800be	Ἀσὰφ δὲ ἐγέννησεν τὸν Ἰωσαφάτ· Ἰωσαφὰτ δὲ ἐγέννησεν τὸν Ἰωράμ· Ἰωρὰμ δὲ ἐγέννησεν τὸν Ὀζείαν·
28010900b9	Ὀζείας δὲ ἐγέννησεν τὸν Ἰωάθαμ· Ἰωάθαμ δὲ ἐγέννησεν τὸν Ἄχαζ· Ἄχαζ δὲ ἐγέννησεν τὸν Ἐζεκίαν·
28010a00c2	Ἐζεκίας δὲ ἐγέννησεν τὸν Μανασσῆ· Μανασσῆς δὲ ἐγέννησεν τὸν Ἀμώς· Ἀμὼς δὲ ἐγέννησεν τὸν Ἰωσείαν·
28010b00b2	Ἰωσείας δὲ ἐγέννησεν τὸν Ἰεχονίαν καὶ τοὺς ἀδελφοὺς αὐτοῦ ἐπὶ τῆς μετοικεσίας Βαβυλῶνος.
28010c00cc	Μετὰ δὲ τὴν μετοικεσίαν Βαβυλῶνος Ἰεχονίας ἐγέννησεν τὸν Σαλαθιήλ· Σαλαθιὴλ δὲ ἐγέννησεν τὸν Ζοροβάβελ·
28010d00ca	Ζοροβάβελ δὲ ἐγέννησεν τὸν Ἀβιούδ· Ἀβιοὺδ δὲ ἐγέννησεν τὸν Ἐλιακείμ· Ἐλιακεὶμ δὲ ἐγέννησεν τὸν Ἀζώρ·
28010e00b4	Ἀζὼρ δὲ ἐγέννησεν τὸν Σαδώκ· Σαδὼκ δὲ ἐγέννησεν τὸν Ἀχείμ· Ἀχεὶμ δὲ ἐγέννησεν τὸν Ἐλιούδ·
28010f00c1	Ἐλιοὺδ δὲ ἐγέννησεν τὸν Ἐλεάζαρ· Ἐλεάζαρ δὲ ἐγέννησεν τὸν Μαθθάν· Μαθθὰν δὲ ἐγέννησεν τὸν Ἰακώβ·
28011000b1	Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰωσὴφ τὸν ἄνδρα Μαρίας, ἐξ ἧς ἐγεννήθη Ἰησοῦς ὁ λεγόμενος Χριστός.
280111018b	Πᾶσαι οὖν αἱ γενεαὶ ἀπὸ Ἀβραὰμ ἕως Δαυεὶδ γενεαὶ δεκατέσσαρες, καὶ ἀπὸ Δαυεὶδ ἕως τῆς μετοικεσίας Βαβυλῶνος γενεαὶ δεκατέσσαρες, καὶ ἀπὸ τῆς μετοικεσίας Βαβυλῶνος ἕως τοῦ χριστοῦ γενεαὶ δεκατέσσαρες.
