2800000019	Κατα Ματθαιον
2801010061	βιβλος γενεσεως ιησου χριστου υιου δαυιδ υιου αβρααμ
28010200c9	αβρααμ εγεννησεν τον ισαακ ισαακ δε εγεννησεν τον ιακωβ ιακωβ δε εγεννησεν τον ιουδαν και τους αδελφους αυτου
28010300cc	ιουδας δε εγεννησεν τον φαρες και τον ζαρα εκ της θαμαρ φαρες δε εγεννησεν τον εσρωμ εσρωμ δε εγεννησεν τον αραμ
28010400b2	αραμ δε εγεννησεν τον αμιναδαβ αμιναδαβ δε εγεννησεν τον ναασσων ναασσων δε εγεννησεν τον σαλμων
28010500ca	σαλμων δε εγεννησεν τον βοες εκ της ραχαβ βοες δε εγεννησεν τον ιωβηδ εκ της ρουθ ιωβηδ δε εγεννησεν τον ιεσσαι
28010600a7	ιεσσαι δε εγεννησεν τον δαυιδ τον βασιλεα δαυιδ δε εγεννησεν τον σολομωνα εκ της του ουριου
28010700a0	σολομων δε εγεννησεν τον ροβοαμ ροβοαμ δε εγεννησεν τον αβια αβια δε εγεννησεν τον ασαφ
28010800a4	ασαφ δε εγεννησεν τον ιωσαφατ ιωσαφατ δε εγεννησεν τον ιωραμ ιωραμ δε εγεννησεν τον οζιαν
28010900c4	οζιας δε εγεννησεν τον ιωαθαμ ιωαθαμ δε εγεννησεν τον {VAR1: αχας αχας} {VAR2: αχαζ αχαζ} δε εγεννησεν τον εζεκιαν
28010a00aa	εζεκιας δε εγεννησεν τον μανασση μανασσης δε εγεννησεν τον αμως αμως δε εγεννησεν τον ιωσιαν
28010b00a0	ιωσιας δε εγεννησεν τον ιεχονιαν και τους αδελφους αυτου επι της μετοικεσιας βαβυλωνος
28010c00bd	μετα δε την μετοικεσιαν βαβυλωνος ιεχονιας εγεννησεν τον σαλαθιηλ σαλαθιηλ δε εγεννησεν τον ζοροβαβελ
28010d00b0	ζοροβαβελ δε εγεννησεν τον αβιουδ αβιουδ δε εγεννησεν τον ελιακιμ ελιακιμ δε εγεννησεν τον αζωρ
28010e009a	αζωρ δε εγεννησεν τον σαδωκ σαδωκ δε εγεννησεν τον αχιμ αχιμ δε εγεννησεν τον ελιουδ
28010f00ac	ελιουδ δε εγεννησεν τον ελεαζαρ ελεαζαρ δε εγεννησεν τον ματθαν ματθαν δε εγεννησεν τον ιακωβ
28011000a0	ιακωβ δε εγεννησεν τον ιωσηφ τον ανδρα μαριας εξ ης εγεννηθη ιησους ο λεγομενος χριστος
2801110168	πασαι ουν αι γενεαι απο αβρααμ εως δαυιδ γενεαι δεκατεσσαρες και απο δαυιδ εως της μετοικεσιας βαβυλωνος γενεαι δεκατεσσαρες και απο της μετοικεσιας βαβυλωνος εως του χριστου γενεαι δεκατεσσαρες
2801120136	του δε {VAR1: [ιησου]} {VAR2: ιησου} χριστου η γενεσις ουτως ην μνηστευθεισης της μητρος αυτου μαριας τω ιωσηφ πριν η συνελθειν αυτους ευρεθη εν γαστρι εχουσα εκ πνευματος αγιου
28011300ab	ιωσηφ δε ο ανηρ αυτης δικαιος ων και μη θελων αυτην δειγματισαι εβουληθη λαθρα απολυσαι αυτην
2801140152	ταυτα δε αυτου ενθυμηθεντος ιδου αγγελος κυριου κατ οναρ εφανη αυτω λεγων ιωσηφ υιος δαυιδ μη φοβηθης παραλαβειν μαριαν την γυναικα σου το γαρ εν αυτη γεννηθεν εκ πνευματος εστιν αγιου
28011500be	τεξεται δε υιον και καλεσεις το ονομα αυτου ιησουν αυτος γαρ σωσει τον λαον αυτου απο των αμαρτιων αυτων
2801160091	τουτο δε ολον γεγονεν ινα πληρωθη το ρηθεν υπο κυριου δια του προφητου λεγοντος
28011700eb	ιδου η παρθενος εν γαστρι εξει και τεξεται υιον και καλεσουσιν το ονομα αυτου εμμανουηλ ο εστιν μεθερμηνευομενον μεθ ημων ο θεος
28011800df	εγερθεις δε {VAR1: [ο]} {VAR2: ο} ιωσηφ απο του υπνου εποιησεν ως προσεταξεν αυτω ο αγγελος κυριου και παρελαβεν την γυναικα αυτου
28011900a4	και ουκ εγινωσκεν αυτην εως {VAR1: [ου]} {VAR2: ου} ετεκεν υιον και εκαλεσεν το ονομα αυτου ιησουν
28020100f1	του δε ιησου γεννηθεντος εν βηθλεεμ της ιουδαιας εν ημεραις ηρωδου του βασιλεως ιδου μαγοι απο ανατολων παρεγενοντο εις ιεροσολυμα
28020200e1	λεγοντες που εστιν ο τεχθεις βασιλευς των ιουδαιων ειδομεν γαρ αυτου τον αστερα εν τη ανατολη και ηλθομεν προσκυνησαι αυτω
280203007c	ακουσας δε ο βασιλευς ηρωδης εταραχθη και πασα ιεροσολυμα μετ αυτου
28020400bf	και συναγαγων παντας τους αρχιερεις και γραμματεις του λαου επυνθανετο παρ αυτων που ο χριστος γενναται
280205008d	οι δε ειπαν αυτω εν βηθλεεμ της ιουδαιας ουτως γαρ γεγραπται δια του προφητου
28020600fd	και συ βηθλεεμ γη ιουδα ουδαμως ελαχιστη ει εν τοις ηγεμοσιν ιουδα εκ σου γαρ εξελευσεται ηγουμενος οστις ποιμανει τον λαον μου τον ισραηλ
28020700a9	τοτε ηρωδης λαθρα καλεσας τους μαγους ηκριβωσεν παρ αυτων τον χρονον του φαινομενου αστερος
280208010d	και πεμψας αυτους εις βηθλεεμ ειπεν πορευθεντες εξετασατε ακριβως περι του παιδιου επαν δε ευρητε απαγγειλατε μοι οπως καγω ελθων προσκυνησω αυτω
28020900f8	οι δε ακουσαντες του βασιλεως επορευθησαν και ιδου ο αστηρ ον ειδον εν τη ανατολη προηγεν αυτους εως ελθων εσταθη επανω ου ην το παιδιον
