2800000003	Mat
2801010045	Ina ndazhazhana kǝ tugwa mbǝrt Yasu Kristu, zǝr Dod, zǝr Brakhim.
2801020058	Brakhim kǝ yiga Ishaku, Ishaku kǝ yiga Yakub, Yakub kǝ yiga Yakhud zǝ zarbabakh sar,
280103005b	Yakhud kǝ yiga Perez zǝ Zera ai yiga Tamar, Perez kǝ yiga Khezron, Khezron kǝ yiga Ram,
280104004c	Ram kǝ yiga Aminadab, Aminadab kǝ yiga Nakhshon, Nakhshon kǝ yiga Salmon,
280105005c	Salmon kǝ yiga Boaz, bab sara Rakhab, Boaz kǝ yiga Obed bab sara Rutl, Obed kǝ yiga Yese,
280106003e	Yese kǝ yiga Dod shik. Dod kǝ yiga Sulemanu ai yiga nus Uri.
2801070046	Sulemanu kǝ yiga Rekhobom, Rekhobom kǝ yiga Abij. Abij kǝ yiga Asa,
2801080048	As kǝ yiga Jekhoshafat. Jekhoshafat kǝ yiga Joram, Joram kǝ yiga Uzi.
2801090042	Uzi kǝ yiga Jotlam, Jotlam kǝ yiga Ahaz. Ahaz kǝ yiga Khezikay,
28010a0041	Khezikay kǝ yiga Manas. Manas kǝ yiga Amon, Amon kǝ yiga Yosi.
28010b0073	Yosi kǝ yiga Yekoni, zǝ zarbabakh sar ǝn tǝ sarte tsa khutsalud udakh ya Yakhud da man vǝɓ ǝn Khay ya Babil.
28010c0071	Ən tǝ khal kǝ ɓǝtral ɓa tsud da khaya Babil. Ka yiga Yekoni ad Sheyaltiyal. Sheyaltiyal kǝ yiga Zerobabel,
28010d004e	Zerobabel kǝ yiga Abikhud. Abikhud kǝ yiga Eliyakim. Eliyakim kǝ yiga Azor,
28010e003e	Azor kǝ yiga Zadok, Zadok kǝ yiga Akim, Akim kǝ yiga Eliyud
28010f0048	Eliyud kǝ yiga Eliyazar, Eliyazar kǝ yiga Matan, Matan kǝ yiga Yakub,
2801100059	Yakub kǝ yiga Yusuvu zil Maryam, Maryam tsuguna ka yigan ad Yasu ai ɗakhdud dǝ Kristu.
280111011d	Tsiyif ǝnt Brakhim kakh da tǝ Dod, a nala kǝ kǝlgwidz klatǝm ufaɗ. Tsiyif ǝn tǝ Dod, tsa kǝlgwidz klatǝm ufaɗ ǝn sarte a dzǝtrarud ak Izrailakh da man vǝɓ ǝn Babil. Tsiyif ǝn tǝ sarte tsǝn manud vǝɓ ǝn Babil da tǝ sarte yigdud Kristu tsa kǝlgwidz klatǝm ufaɗ.
28011200ac	Auna ɗule a yigdud Yasu Kristu. Ən sarta sǝb Maryam bab Yasu kǝ Jisav, kǝda nguɗatra sǝba tsuda, ka dzoghǝr khuɗ tsin tǝ dǝva dǝ ndzǝɗa Sǝɗikw Chuwaɗaɗan.
2801130082	Jambu sar Jisava ud charan, nagh ba dǝ kǝɗara zhiru ǝn tatak udakh bi. Ka ɗayanan ad ghǝr kǝ tǝkaghera tsitar ɓǝghanyan.
28011400e8	Madvin ǝn ɗaya ghǝra, dzagwdlam ǝmdlawala zǝrɓǝla Yazhigǝl tsin ǝn suwan. Niya tsin, “Jisav zǝr Dod, a ɗuwa gǝdza kǝ zǝɓ Maryam kǝ nǝga kǝ nusagh, wirva khuɗsarna a sa tǝdǝva dǝ ndzǝɗa Siɗikw Chuwaɗaɗan.
280115006b	Da yigayiga dǝ zǝr dǝɗungw, da barva bǝg kha ɗakha Yasu. Wirva in da kat yakhtar ǝn khaipakh tar.”
2801160057	Daghan ina a dzoghǝr kǝ righada dǝge a kwarga Dadzikan tǝ dǝva dǝ tlayang kwarne,
2801170094	“Da dlǝgh khuɗ dughmbǝl, da yiga yiga ad zer. Ka da barva ɗakhud Manuwel.” Dǝge tuku Manuwel na in kwarne “Dagha kǝnda zǝ Yazhigǝl.”
280118008a	Tsiyif kǝ Yusuvu ǝn khara, ka gatars kǝ lave a kwararkhe zǝrɓǝla Yazhigǝl. Yusuvu tsuguna ka ɓǝf ad Maryam kǝ nǝga kǝ nus sar.
2801190049	A khǝnarghǝr bi, ba yiga tsin zǝr sar. Ka barva Yusuvu ad ɗakha Yasu.
28020100dd	A yava Yasu ǝn kǝs ya Baitalkhami ǝn ǝntla khay ya Yakhudi ǝn kwarga shik Khiridus. Ən tǝ yanen kǝ sart, ka sosǝg kǝ li tsatsǝg ǝn tǝghǝr kǝ kwadladlakh sǝgo ǝn mbǝrt kǝs, da wurshalim. Ka ndiɗa tsitar
28020200aa	kwarne, “Ən vara fitl na yavan ai da nǝga kǝ shik Yakhudakh ni? Wirva a nǝgha tsǝkǝnda kwadladl sar sǝgo ǝn mbǝrt kǝs, wirva yana a so da ɗabaɗaba kǝnd.”
2802030058	Tsǝna kǝ Khiridus Shik ad yan, ka tsiyif mǝkǝn sar zǝva udakh daghan ǝn Wurshalim.
280204007b	Ka dzakhanǝf ad zik zikan na kǝ zil kǝsakh, zǝ li tsagdu ndzikha ndzikh Mus. Ka ndiɗatǝrwal ad vake da yigdud Kristu.
2802050092	Ka nǝv itar tsin, “Ən kǝs ya Baitalkhami, ǝn ǝntla khay ya Yakhudi. Wirva a vindzga ndǝk yan tlayangen ad dǝge a kwarga Yazhigǝl kwarne,
28020600ca	“‘Ghǝra tsugun Baitalkhami ǝntla khay ya Yakhud, Khǝɗikan bakhǝn li man tlǝkǝs ǝn Yakhud bi; Wirva da sǝgawal ǝn tǝb tsǝkur dadake da man tlǝks, Dadake da zighw udakhar ya Israil.’”
