0100000005	Dadaa
0101010027	Waaqi jalqaba ol-gubba'aa fi lafa dade.
0101020080	Latti akka hin qadduuyyu; duwwaalle'e. Dukkanti qilee abbaaya'aa irra jirtiiyyu; Ayyaanni Waaqaalle bisaan irra tatacho'aa ture.
0101030038	Achiin duuba Waaqi, «Ifi te'uu ti» jedhe. Ifille te'e.
0101040047	Waaqi ifi dansaa akka te'e dhagge; inni ifa dukkana irraa gargar baase.
0101050055	Waaqi ifaan «Guyyaa», dukkanaan «Halkan» jedhee maqaa baase. Kun guyyaa qaraa ti.
0101060067	Waaqi, «Bisaan gad hafee fi bisaan ol hafe akka gargar baasu, gubbaan gombobbittiin teetuu ti» jedhe.
010107009e	Maarre Waaqi gubbaa gombobbittii godhee, bisaan gubbaa gombobbittii tanaan gad jiru, bisaan gubbaa gombobbittii tanaan ol jiruun gargar baase. Akkasuma teete.
010108006a	Waaqi gubbaa gombobbittii «Gubbaa» jedhee maqaa baase. Dhiite, bariitelle'e. Kun guyyaa lammeesso'oo ti.
010109006f	Waaqi, «Latti godduun akka mudhattuuf, bisaan gubba'aan jala jiru wolitti dacha'uu ti» jedhe. Akkasuma teete.
01010a007d	Waaqi, lafa goddu'uun, «Lafa», bisaan wolitti dacha'een, «Abbaayaa» jedhee maqaa baase. Tunille dansaa akka teete dhagge.
01010b00bb	Achiin duuba Waaqi, «Latti biqiltoota adda addaa: mukoota lafa irraa ka akkuma gosa ifiititti midhaan buusuu fi midhaan sanyii ifi keessaa qabu buusu, baachuu ti» jedhe. Akkasuma teete.
01010c00b7	Maarre latti biqiltoota adda addaa: mukoota lafa irraa ka akkuma gosa ifiititti midhaan buusuu fi midhaan sanyii ifi keessaa qabu buusu baache; Waaqi tunille dansaa akka teete dhagge.
01010d0036	Latti dhiite, bariitelle'e; kun guyyaa sadeesso'oo ti.
01010e009a	Akkasuma Waaqi, «Guyya'aa fi halkan gargar baasiisaaf gubbaa irratti ifooti jiraatanuu ti! Isaan beessisa yenna'aa, beessisa bonaa-gannaatii fi wogga'aa,
01010f005f	ifoota gubba'aa te'anee lafa irratti ka ifa kennanu te'anuu ti» jedhe. Tunille akkasuma teete.
010110006b	Waaqi ifa gugurdaa lama godhe; ifi guddichi guyyaa, ifi diqqayyichi halkan akka ifu godhe. Urjootalle dade.
0101110038	Waaqi akka lafa irratti issanuuf gubbaa irra isaan keye.
010112009f	Guyya'aa fi halkan irratti baallii akka isaan qabatanuuf, ifa dukkana irraa gargar akka baasanuuf inni achi isaan keye. Waaqi tunille dansaa akka teete dhagge.
0101130036	Latti dhiite, bariitelle'e; kun guyyaa arfeesso'oo ti.
0101140086	Achiin duuba Waaqi, «Bisaan lubbuu qabeeyyii adda addaatiin ka guutame te'uu ti; sinbirrootille lafaan gubbaa irra kaatuu ti» jedhe.
01011500ab	Maarre Waaqi bineensa gugurdaa abbaayaa keessaa, lubbuu qabeeyyii bisaan keessa le'anu mara, sinbirroota gosa adda addaa mara dade. Waaqi Tunille dansaa akka teete dhagge.
0101160073	Waaqi, «Hora'aa heddadha'a; bisaan abbaaya'aa guuta'a; sinbirrootille lafa irra guuttuu ti» jedhee isaan eebbise.
0101170037	Latti dhiite, bariitelle'e; kun guyyaa shaneesso'oo ti.
010118009d	Achiin duuba Waaqi, «Latti, dada lubbuu qabanu, gosa adda addaa mara: horii, bineensota lafarra lowanu, bineensa gudda'aa fi diqqaa mara baattuu ti» jedhe.
01011900c9	Waaqi bineensota lafaa akka gosa isaaniititti, horii akka gosa isaaniititti, bineensota lafa irra lowanu mara akka gosa isaaniititti dade. Inni tunille dansaa akka teete dhagge. Tunille akkasuma teete.
01011a00ec	Achiin duuba Waaqi, «Kowa'a, akka bifaa fi akka fakkeenna keennaatitti, nama dannaa ti. Nami qurxummii abbaaya'aa, sinbirroota, horii, bineensota lafa irraa maraa fi bineensota lafa irra lowanu mara irratti baallii qabaatuu ti» jedhe.
01011b0052	Maarre Waaqi akka bifa ifiititti nama dade. Dhiiraa fi dubartii godhee isaan dade.
01011c00ce	Waaqi, «Hora'a, heddadha'a, lafa guuta'a, harkatti isii galfadha'a! Qurxummii abbaaya'aa irratti, sinbirroottan irratti, dada lafa irra munyuuqanu mara irratti baallii qabaatanuu ti» jedhee isaan eebbise.
01011d0086	Waaqi, «Ani biqiltuu midhaan buuttuu fi midhaan sanyii ifi keessaa qabu buuttu ta lafa irraa duudii akka nyaattanuuf isinii kenneera.
01011e00a1	Akkasuma bineensa maraa fi sinbirroota qilleensaa maraaf, akka sagalee isaaniif te'u marraa fi biqiltuu baalaa isaaniif kenneera» jedhe; tunille akkasuma teete.
01011f0071	Waaqi waan huje mara ilaale; martinuu guddoo dansaa teete; latti dhiite, bariitelle'e; kun guyyaa jayeesso'oo ti.
0102010064	Maarre ol-gubba'aa fi latti, wonni isaan keessa jiranu martille akka kanaan dadamanee muummeffamane.
010202003e	Waaqi hujii huje mara hobbaasee, guyyaa torbeesso'oo foorfate.
010203007a	Waaqi waan dade mara hobbaasee, guyyaa torbeesso'ootitti waan foorfateef, guyyaa torbeesso'oo san eebbise; woyyoonselle'e.
0102040066	Kun dabarsii dadama ol-gubba'aa fi lafaa ti. Yennaa Mootiin Waan Maraa Waaqi ol-gubba'aa fi lafa dade,
010205009f	inni lafa irratti bokkeya waan roobisiisee hin jirreef, nami lafa hujulle waan hin jirreef, biqiltuun lafa irra hin jirtuuyyu; wonni tokkolle lattee hin jirtu.
0102060043	Teetuu malee, maddi lafa keessaa ol bayee lafa duudii obaasaa ture.
01020700a4	Achiin duuba Mootiin Waan Maraa Waaqi biyyee lafa irraa fuudhee, nama tolchee, hafuura jiru'uu funnaan isaatitti baafate; namille dada lubbuu qabaatee jiraatu te'e.
0102080066	Mootiin Waan Maraa Waaqi karaa aduun baatu Edenitti oorruu dhaabe; nama dade sanille achi keessa keye.
