0100000006	Kinohi
010101002e	I KINOHI hana ke Akua i ka lani a me ka honua.
0101020079	He ano ole ka honua, ua olohelohe; a maluna no o ka hohonu ka pouli. Hoopunana iho la ka Uhane o ke Akua maluna o ka wai.
0101030036	I iho la ke Akua, I malamalama; a ua malamalama ae la.
0101040071	Nana ae la ke Akua i ka malamalama, ua maikai: a hookaawale ae la ke Akua mawaena o ka malamalama, a me ka pouli.
0101050081	Kapa mai la ke Akua i ka malamalama, he Ao, a kapa mai hoi ia i ka pouli, he Po. A o ke ahiahi a me ke kakahiaka, o ka la mua ia.
0101060058	I iho la ke Akua, I aouli mawaena o na wai, i mea hookaawale i kekahi wai me kekahi wai.
010107007c	Hana iho la ke Akua i ke aouli; a hookaawale ae la ia i ka wai malalo o ke aouli, me ka wai maluna o ke aouli: a pela io no.
010108005e	Kapa iho la ke Akua i ke aouli, he Lani. A o ke ahiahi a me ke kakahiaka, o ka lua ia o ka la.
0101090066	I iho la ke Akua, E hui pu na wai malalo o ka lani i kahi hookahi, i ikea ai kahi maloo: a pela io no.
01010a0082	Kapa iho la ke Akua i kahi maloo, he Aina; a kapa iho la oia i na wai i hui pu ia 'i, o na moana: a nana ae la ke Akua, ua maikai.
01010b00c0	I iho la ke Akua, E hooulu mai ka honua i ka mauu, a me ka launahele e hua ana i ka hua, a me ka laau hua e hua ana hoi ma kona ano iho, iloko ona iho kona hua maluna o ka honua: a pela io no.
01010c00c2	A hooulu mai la ka honua i ka mauu, a me ka launahele e hua ana i ka hua ma kona ano iho, a me ka laau e hua ana i ka hua, iloko ona kona hua ma kona ano iho: nana iho la hoi ke Akua, ua maikai.
01010d0036	A o ke ahiahi a me ke kakahiaka, o ke kolu ia o ka la.
01010e00a1	I iho la ke Akua, I mau malamalama iloko o ke aouli o ka lani, i mea hookaawale i ke ao a me ka po; i mau hoailona lakou no na kau, a no na la, a me na makahiki:
01010f0062	I mau kukui hoi lakou iloko o ke aouli o ka lani, e hoomalamalama mai ai i ka honua: a pela io no.
01011000a4	Hana iho la ke Akua i na malamalama nui elua: o ka malamalama nui, e alii ai maluna o ke ao, a o ka malamalama uuku iho, e alii ai maluna o ka po, a me na hoku hoi.
0101110057	Kau aku la ke Akua ia mau mea ma ke aouli o ka lani, e hoomalamalama mai ai i ka honua,
010112007b	E hooalii hoi maluna o ke ao a me ka po, a e hookaawale ae i ka malamalama a me ka pouli: a nana iho la ke Akua, ua maikai.
0101130034	A o ke ahiahi a me ke kakahiaka, o ka ha ia o ka la.
0101140087	I iho la ke Akua, E hoohua nui mai na wai i na mea ola e holo ana, a me na manu e lele ae maluna o ka honua, ma ka lewa akea o ka lani.
01011500c5	Hana iho la ke Akua i na ia nui, a me na mea ola a pau e holo ana, a ka wai i hoohua nui mai ai ma ko lakou ano iho a me na mea eheu hoi a pau ma ko lakou ano iho: a nana iho la ke Akua, ua maikai.
