010000000c	בראשית
010101003e	בראשית ברא אלהים את השמים ואת הארץ
0101020075	והארץ היתה תהו ובהו וחשך על פני תהום ורוח אלהים מרחפת על פני המים
0101030033	ויאמר אלהים יהי אור ויהי אור
0101040065	וירא אלהים את האור כי טוב ויבדל אלהים בין האור ובין החשך
010105006e	ויקרא אלהים לאור יום ולחשך קרא לילה ויהי ערב ויהי בקר יום אחד
0101060062	ויאמר אלהים יהי רקיע בתוך המים ויהי מבדיל בין מים למים
0101070092	ויעש אלהים את הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי כן
0101080057	ויקרא אלהים לרקיע שמים ויהי ערב ויהי בקר יום שני
0101090074	ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ותראה היבשה ויהי כן
01010a006d	ויקרא אלהים ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כי טוב
01010b009d	ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו בו על הארץ ויהי כן
01010c0097	ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי אשר זרעו בו למינהו וירא אלהים כי טוב
01010d0031	ויהי ערב ויהי בקר יום שלישי
01010e00a7	ויאמר אלהים יהי מארת ברקיע השמים להבדיל בין היום ובין הלילה והיו לאתת ולמועדים ולימים ושנים
01010f0052	והיו למאורת ברקיע השמים להאיר על הארץ ויהי כן
01011000af	ויעש אלהים את שני המארת הגדלים את המאור הגדל לממשלת היום ואת המאור הקטן לממשלת הלילה ואת הכוכבים
0101110049	ויתן אתם אלהים ברקיע השמים להאיר על הארץ
0101120071	ולמשל ביום ובלילה ולהבדיל בין האור ובין החשך וירא אלהים כי טוב
0101130031	ויהי ערב ויהי בקר יום רביעי
0101140081	ויאמר אלהים--ישרצו המים שרץ נפש חיה ועוף יעופף על הארץ על פני רקיע השמים
01011500c8	ויברא אלהים את התנינם הגדלים ואת כל נפש החיה הרמשת אשר שרצו המים למינהם ואת כל עוף כנף למינהו וירא אלהים כי טוב
0101160074	ויברך אתם אלהים לאמר פרו ורבו ומלאו את המים בימים והעוף ירב בארץ
0101170031	ויהי ערב ויהי בקר יום חמישי
010118007d	ויאמר אלהים תוצא הארץ נפש חיה למינה בהמה ורמש וחיתו ארץ למינה ויהי כן
010119009b	ויעש אלהים את חית הארץ למינה ואת הבהמה למינה ואת כל רמש האדמה למינהו וירא אלהים כי טוב
01011a00ba	ויאמר אלהים נעשה אדם בצלמנו כדמותנו וירדו בדגת הים ובעוף השמים ובבהמה ובכל הארץ ובכל הרמש הרמש על הארץ
01011b0070	ויברא אלהים את האדם בצלמו בצלם אלהים ברא אתו זכר ונקבה ברא אתם
01011c00c5	ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ומלאו את הארץ וכבשה ורדו בדגת הים ובעוף השמים ובכל חיה הרמשת על הארץ
01011d00c0	ויאמר אלהים הנה נתתי לכם את כל עשב זרע זרע אשר על פני כל הארץ ואת כל העץ אשר בו פרי עץ זרע זרע לכם יהיה לאכלה
01011e009e	ולכל חית הארץ ולכל עוף השמים ולכל רומש על הארץ אשר בו נפש חיה את כל ירק עשב לאכלה ויהי כן
01011f0072	וירא אלהים את כל אשר עשה והנה טוב מאד ויהי ערב ויהי בקר יום הששי
0102010030	ויכלו השמים והארץ וכל צבאם
0102020087	ויכל אלהים ביום השביעי מלאכתו אשר עשה וישבת ביום השביעי מכל מלאכתו אשר עשה
0102030089	ויברך אלהים את יום השביעי ויקדש אתו כי בו שבת מכל מלאכתו אשר ברא אלהים לעשות
010204006f	אלה תולדות השמים והארץ בהבראם ביום עשות יהוה אלהים--ארץ ושמים
