010000000c	בראשית
0101010040	בראשית ברא אלהים את השמים ואת הארץ׃
0101020077	והארץ היתה תהו ובהו וחשך על פני תהום ורוח אלהים מרחפת על פני המים׃
0101030035	ויאמר אלהים יהי אור ויהי אור׃
0101040067	וירא אלהים את האור כי טוב ויבדל אלהים בין האור ובין החשך׃
0101050070	ויקרא אלהים לאור יום ולחשך קרא לילה ויהי ערב ויהי בקר יום אחד׃
0101060064	ויאמר אלהים יהי רקיע בתוך המים ויהי מבדיל בין מים למים׃
0101070094	ויעש אלהים את הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי כן׃
0101080059	ויקרא אלהים לרקיע שמים ויהי ערב ויהי בקר יום שני׃
0101090076	ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ותראה היבשה ויהי כן׃
01010a006f	ויקרא אלהים ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כי טוב׃
01010b009f	ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו בו על הארץ ויהי כן׃
01010c0099	ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי אשר זרעו בו למינהו וירא אלהים כי טוב׃
01010d0033	ויהי ערב ויהי בקר יום שלישי׃
01010e00a9	ויאמר אלהים יהי מארת ברקיע השמים להבדיל בין היום ובין הלילה והיו לאתת ולמועדים ולימים ושנים׃
01010f0054	והיו למאורת ברקיע השמים להאיר על הארץ ויהי כן׃
01011000b1	ויעש אלהים את שני המארת הגדלים את המאור הגדל לממשלת היום ואת המאור הקטן לממשלת הלילה ואת הכוכבים׃
010111004b	ויתן אתם אלהים ברקיע השמים להאיר על הארץ׃
0101120073	ולמשל ביום ובלילה ולהבדיל בין האור ובין החשך וירא אלהים כי טוב׃
0101130033	ויהי ערב ויהי בקר יום רביעי׃
0101140082	ויאמר אלהים ישרצו המים שרץ נפש חיה ועוף יעופף על הארץ על פני רקיע השמים׃
01011500ca	ויברא אלהים את התנינם הגדלים ואת כל נפש החיה הרמשת אשר שרצו המים למינהם ואת כל עוף כנף למינהו וירא אלהים כי טוב׃
0101160076	ויברך אתם אלהים לאמר פרו ורבו ומלאו את המים בימים והעוף ירב בארץ׃
0101170033	ויהי ערב ויהי בקר יום חמישי׃
010118007f	ויאמר אלהים תוצא הארץ נפש חיה למינה בהמה ורמש וחיתו ארץ למינה ויהי כן׃
010119009d	ויעש אלהים את חית הארץ למינה ואת הבהמה למינה ואת כל רמש האדמה למינהו וירא אלהים כי טוב׃
01011a00bc	ויאמר אלהים נעשה אדם בצלמנו כדמותנו וירדו בדגת הים ובעוף השמים ובבהמה ובכל הארץ ובכל הרמש הרמש על הארץ׃
01011b0072	ויברא אלהים את האדם בצלמו בצלם אלהים ברא אתו זכר ונקבה ברא אתם׃
01011c00c7	ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ומלאו את הארץ וכבשה ורדו בדגת הים ובעוף השמים ובכל חיה הרמשת על הארץ׃
01011d00c2	ויאמר אלהים הנה נתתי לכם את כל עשב זרע זרע אשר על פני כל הארץ ואת כל העץ אשר בו פרי עץ זרע זרע לכם יהיה לאכלה׃
01011e00a0	ולכל חית הארץ ולכל עוף השמים ולכל רומש על הארץ אשר בו נפש חיה את כל ירק עשב לאכלה ויהי כן׃
01011f0074	וירא אלהים את כל אשר עשה והנה טוב מאד ויהי ערב ויהי בקר יום הששי׃
0102010032	ויכלו השמים והארץ וכל צבאם׃
0102020089	ויכל אלהים ביום השביעי מלאכתו אשר עשה וישבת ביום השביעי מכל מלאכתו אשר עשה׃
010203008b	ויברך אלהים את יום השביעי ויקדש אתו כי בו שבת מכל מלאכתו אשר ברא אלהים לעשות׃
0102040070	אלה תולדות השמים והארץ בהבראם ביום עשות יהוה אלהים ארץ ושמים׃
01020500b8	וכל שיח השדה טרם יהיה בארץ וכל עשב השדה טרם יצמח כי לא המטיר יהוה אלהים על הארץ ואדם אין לעבד את האדמה׃
0102060046	ואד יעלה מן הארץ והשקה את כל פני האדמה׃
010207008d	וייצר יהוה אלהים את האדם עפר מן האדמה ויפח באפיו נשמת חיים ויהי האדם לנפש חיה׃
010208005f	ויטע יהוה אלהים גן בעדן מקדם וישם שם את האדם אשר יצר׃
01020900a2	ויצמח יהוה אלהים מן האדמה כל עץ נחמד למראה וטוב למאכל ועץ החיים בתוך הגן ועץ הדעת טוב ורע׃
01020a0066	ונהר יצא מעדן להשקות את הגן ומשם יפרד והיה לארבעה ראשים׃
01020b005d	שם האחד פישון הוא הסבב את כל ארץ החוילה אשר שם הזהב׃
01020c0045	וזהב הארץ ההוא טוב שם הבדלח ואבן השהם׃
01020d004f	ושם הנהר השני גיחון הוא הסובב את כל ארץ כוש׃
01020e006f	ושם הנהר השלישי חדקל הוא ההלך קדמת אשור והנהר הרביעי הוא פרת׃
01020f005f	ויקח יהוה אלהים את האדם וינחהו בגן עדן לעבדה ולשמרה׃
0102100058	ויצו יהוה אלהים על האדם לאמר מכל עץ הגן אכל תאכל׃
0102110068	ומעץ הדעת טוב ורע לא תאכל ממנו כי ביום אכלך ממנו מות תמות׃
