2800000008	מתיו
2801010082	זֶה סֵפֶר תּוֹלְדֹת הַמָּשִׁיחַ יֵשׁוּעַ בֶּן־דָּוִד בֶּן־אַבְרָהָם׃
28010200c7	אַבְרָהָם הוֹלִיד אֶת־יִצְחָק וְיִצְחָק הוֹלִיד אֶת־יַעֲקֹב וְיַעֲקֹב הוֹלִיד אֶת־יְהוּדָה וְאֶת־אֶחָיו׃
28010300ca	וִיהוּדָה הוֹלִיד אֶת־פֶּרֶץ וְאֶת־זֶרַח מִתָּמָר וּפֶרֶץ הוֹלִיד אֶת־חֶצְרוֹן וְחֶצְרוֹן הוֹלִיד אֶת־רָם׃
28010400c0	וְרָם הוֹלִיד אֶת־עַמִּינָדָב וְעַמִּינָדָב הוֹלִיד אֶת־נַחְשׁוֹן וְנַחְשׁוֹן הוֹלִיד אֶת־שַׂלְמוֹן׃
28010500c0	וְשַׂלְמוֹן הוֹלִיד אֶת־בֹּעַז מֶרָחָב וּבֹעַז הוֹלִיד אֶת־עוֹבֵד מֵרוּת וְעוֹבֵד הוֹלִיד אֶת־יִשָׁי׃
28010600c6	וְיִשַׁי הוֹלִיד אֶת־הַמֶּלֶךְ דָּוִד וְדָוִד הוֹלִיד אֶת־שְׁלֹמֹה מֵהָאִשָּׁה אֲשֶׁר לָקַח מֵאוּרִיָּה׃
28010700b6	וּשְׁלֹמֹה הוֹלִיד אֶת־רְחַבְעָם וּרְחַבְעָם הוֹלִיד אֶת־אֲבִיָּה וַאֲבִיָּה הוֹלִיד אֶת־אָסָא׃
28010800c0	וְאָסָא הוֹלִיד אֶת־יְהוֹשָׁפָט וִיהוֹשָׁפָט הוֹלִיד אֶת־יְהוֹרָם וִיהוֹרָם הוֹלִיד אֶת־עֻזִּיָּהוּ׃
28010900b2	וְעֻזִּיָּהוּ הוֹלִיד אֶת־יוֹתָם וְיוֹתָם הוֹלִיד אֶת־אָחָז וְאָחָז הוֹלִיד אֶת־חִזְקִיָּהוּ׃
28010a00c4	וְחִזְקִיָּהוּ הוֹלִיד אֶת־מְנַשֶּׁה וּמְנַשֶּׁה הוֹלִיד אֶת־אָמוֹן וְאָמוֹן הוֹלִיד אֶת־יֹאשִׁיָּהוּ׃
28010b0096	וְיֹאשִׁיָּהוּ הוֹלִיד אֶת־יְכָנְיָהוּ וְאֶת־אֶחָיו בִּימֵי גְלוֹתָם בָּבֶלָה׃
