2800000005	Matta
280101004a	Kulo thlǝmngya chichiiya Yeeso Ƙǝrǝsti ya, chichid Ndauda tǝ Ibrahim.
280102005f	Ibrahim nggǝtgha Ishaku, Ishaku nggǝtgha Yakubu. Yakubu nggǝtgha Yahuda tǝ wan manggighǝn.
2801030066	Yahuda nggǝtgha Peres tǝ Dzara. Ma ndan ndǝna Tamar. Peres nggǝtgha Hesron, Hesron nggǝtgha Aram,
280104004c	Aram nggǝtgha Aminadab, Aminadab nggǝtgha Nashon, Nashon nggǝtgha Salmon.
2801050065	Salmon Nggǝtgha Mboz. Man ndǝna Rahap. Mboz nggǝtgha Obed. Man ndǝna Ruth. Obed nggǝtgha Djeshi,
2801060060	Njessi nggǝtgha kutǝra Ndauda. Ndauda nggǝtgha Sulemanu. Man ndǝna Mbasheba, nu mǝra Uriya.
280107004b	Sulemanu nggǝtgha Rehobom, Rehobom nggǝtgha Abidja, Abidja nggǝtgha Asa,
2801080053	Asa nggǝtgha Djehoshafat, Djehoshafat nggǝtgha Djoram, Djoram nggǝtgha Adzariya,
280109004f	Adzariya nggǝtgha Djothlam, Djothlam nggǝtgha Ahas, Ahas nggǝtgha Hedzekiya,
28010a004a	Hedzekiya nggǝtgha Manasa, Manasa nggǝtgha Aman, Aman nggǝtgha Djosiya,
28010b0092	Djosiya nggǝtgha Djekoniya tǝ wanmanggighǝn, a sayidɗi ƙǝsang ngganda nafiya Yahuda ngyaɓang tsaurha nda kanda fa hu chehweed Mbabila ɗǝ.
28010c0075	A kwasamadɗi ɗǝna nda tǝ kanda a Mbabila ɗǝ, Djokoniya nggǝtgha Sheyaltiyel, Sheyaltiyel nggǝtgha Dzerubabel,
28010d0053	Dzerubabel nggǝtgha Abihudu, Abihudu nggǝtgha Eliyakim, Eliyakim nggǝtgha Adzor,
28010e0045	Adzor nggǝtgha Dzadok, Dzadok nggǝtgha Akim, Akim nggǝtgha Eliyud,
28010f004e	Eliyud nggǝtgha Eleyadza, Eleyadza nggǝtgha Mattan, Mattan nggǝtgha Yakubu,
2801100059	Yakubu nggǝtgha Yisufu, chimad Mairamu. Mairamu nggǝtgha Yeeso na nda aarha Ƙǝrǝsti.
2801110145	Chichiiya kumkap faɗa a thlakh mbǝd Ibrahim ɗǝgha thlakh mbǝd Ndauda ɗǝ. Thliirha a thlakh mbǝd Ndauda ɗǝgha hu sayidɗa ɗǝ ngyaɓang nanda tsaurha kanda fa a Mbabila, chichiiya kumkap faɗa ni. Thiirha ƙǝm a sayidɗi mal nanda Mbabila ɗǝgha hu sayidɗa ɗǝ nggǝt nanda Ƙǝrǝsti chichiiya kumkap faɗa ni.
28011200af	Kulo kwaman nggǝtta Yeeso Ƙǝrǝsti ya. A sayidɗi ngwanna Yisufu Mairamu man Yeeso, amma kanda kula kakhrha, ƙǝlagha Mairamu hai, nǝghǝn ahur yi Sǝsǝna tǝ Peɗǝnda.
280113008c	Yisufu ka niifa ni mbǝ midghǝn sǝ a fǝrang shilee nǝn Mairamu a yid fiya wa, ahu numadghǝn na midghǝn sǝ a kalghǝnǝn hai ɓǝɓee.
28011400d3	Amma ndǝghǝn hu numadɗi kee, ɓagha tǝthlǝnda Faara thlǝmadghǝn ɓa hu sǝsǝniirha ndanggǝn, “Yisufu, wan Ndauda, a tǝrǝmna kakh Mairamu wa, ƙǝsǝr huryidɗi keeghǝn yi Sǝsǝna tǝ Peɗǝnda ni.
2801150078	Nǝn a nggǝt wee hǝshin, ɗǝfang thlǝma na Yeeso Ƙǝsǝr ndǝghǝn ni a hǝrghang nafiyighǝn ahu ɗimiyid ndan.”
2801160049	Ənggini heu ya katǝra nǝn hai ka a lǝɗang ngganda ˈya ndana annabi.
2801170091	“Na wutararha a ɗǝfrha hur nggǝt wee hǝshin nǝn ɗǝfang thlǝma nda Imaniyel.” Thlǝmɗi ndaarha ni, “Faara nǝghǝn tǝ ƙǝm ha.”
2801180060	Mehenna Yisufu sǝ a ɓeena, takkwa ǝn ɗanǝn pǝrangna tǝthlǝnda Faara, kahanggǝn Mairamu.
280119006a	Amma sǝngwa ndǝn wee nuwun wa, ƙǝl a kwasamadɗi nggǝt nǝn wee hǝshin, ɗǝfang thlǝma nǝn Yeeso.
280201009d	Akwasamadɗi nggǝt nanda Yeeso a Mbaitalami ahu chehweed Yahudiya, a thlakh mbed kutǝryid Hirdus, ɓagha fasǝngya a Urshelima ɓa a man kyad yanfaara ɓa.
2802020091	Tsakh mee nda, “Ai wanɗi nggǝt nanda kutǝr Yahudaya? Na ɗan wufǝlngarghǝn a man kyad yanfaara, ɓa nan ɓa ka a tǝrang shilee nan in.”
2802030051	Hǝrǝmna kutǝra Hirdus sǝkƙǝn kee, ɓillagha kaan, heu tǝ nafiya Urshelima.
280204008a	Tǝrgha wumanggǝn mamngya firistaya ɓa, tǝ fasǝngya ngyakhrha Musa, tsahang mee nǝn kanda, “A yanggi na nda a nggǝt Ƙǝrǝsti?”
280205006d	Ndang ngganda, “Ahu tal Mbaitalami hu chehweed Yahudiya, ƙǝsǝr chirethlengga annabi hai kee tǝ ndaarha:
28020600be	‘Amma sa ƙǝm Mbaitalami na hu chehweed Yahudiya, ƙǝɗiwa ahur kutǝryid wupǝriya Yahuda wa. Ƙǝsǝr a fadwa na kutǝra a kyarha ɓa, nǝn a tsaurha tǝ lafrha nafina Isǝreela.’”
2802070069	Tǝrgha Hirdus aah fasǝnggina nǝn ɓa ɓǝɓee, tsahang mee nǝn kanda sayidɗi na nanda wufǝlngarɗi.
28020800c5	Thlǝn kanda nǝn Mbaitalami ɗǝ ndanggǝn kanda, “Ɗama ɗǝ ɗun sǝye laɓar wanɗa ɓa ya tǝ sammayirha. A walangɗun, ɓamaɓa ɓun pǝreƙǝn nggima ɗiyaɗǝ ɗi tǝrang shilee teena.”
28020900b7	A kwasamadɗi sǝk nanda laɓarɗi ki kutǝra, thlii nda wii fayindan nda. Wufǝlngarɗi ˈwa nanda narha a man kyad yanfaara ɓa nagha a mbendan ɗǝgha isha a mbǝɗi na wanɗa sǝ.
28020a0030	Na nanda wufǝlngarɗi tǝk mbǝnda nda fa kaan.
28020b00ad	Kyana nda mindǝɗa hai, na wanɗa nda tǝ man Mairamu, ɓǝra nda hai tǝrang shilee nda teena. Tǝrgha inang ngganda yawayindan ɗǝ fǝrang tǝfaasa nda tǝ urdi tǝ mur.
28020c0079	Yanang ngganda kanda ahu sǝsǝniirha a wunda tǝ thlǝmad Hirdus wa, nanǝn kee wuɗa nda tal ndan ɗǝ tǝ kwamana pak.
28020d011d	A kwasamadɗi wiina fasǝnggini, tǝrgha tǝthlǝnda Chinǝm ɓagha thlǝmad Yisufu ɓa hu sǝsǝniirha ndanggǝn, “Thliusǝ, tǝrang wanɗi tǝ man ɗaana tǝ kanda a Masar ɗǝ. Tsawama a mbǝɗi ƙǝl a pǝrang ɗi ndǝn kun, ƙǝsǝr Hirdus nǝn a kaɗa wanɗi a ɓǝlanggǝn.”
28020e004f	Tǝrgha thliigha sǝ tǝranggǝn wanɗi tǝ man a fǝɗigɗi wiigha Masar ɗǝ.
28020f009b	Tsawa nda a mbǝɗi ƙǝl merna Hirdus. Ənɗiya katǝra nǝn hai ka a lǝɗang ngganda ǝnɗi ndaana Chinǝm a mii annabi, “Aah yi waana ɓa a Masar.”
2802100148	Ƙǝlana na Hirdus hai fasǝnggini na a man kyad fara ɓa pǝpǝlǝk ndan hai, sǝbgha hurghǝn ɗǝ kaan. Thlǝnanggǝn sodjaya ɗǝ a ɓǝlangganda wangya hǝshya ɗǝ na nggu-ngguchit a Mbaitalami tǝ tulayighǝn, sǝlna hura yindan sǝri tǝ fingya sǝlwawa, mǝmǝlla sayidɗi pǝrangna fasǝnggini kyana wufǝlngarɗa ɓa.
2802110033	Tǝrgha ˈya thlǝkna annabi Djermiya lǝghǝdɗǝ:
280212008d	“Sǝkɗǝm huhwaarha a Ramah, tǝrha tǝ thlee hura, Rachal a tǝrha ka wanggighǝn karɗǝ nggabrha fa, ƙǝsǝr mǝr wanggighǝn ɗǝ.”
280213006b	A kwasamadɗi mǝrna Hirdus, tǝrgha tǝthlǝnda Chinǝm kyad fadghǝnǝn a Yisufu hu sǝsǝniirha a Masar,
280214008c	ndanggǝn, “Thliusǝ tǝrang wanɗiya tǝ man wuɗana chehweed Isǝreela ɗǝ, ƙǝsǝr nafini na a kaɗa yiɓǝd wanɗi mǝr nda ɗǝ.”
280215005a	Tǝrgha Yisufu thliigha sǝ, tǝranggǝn wanɗi tǝ man wuɗa nda chehweed Isǝreela ɗǝ.
28021600d8	Amma sǝknǝn wan Hirdus, Arkilus ni hu tsǝnggam chin, a ǝna kutǝryirha a chehweed Yahuda, tǝrǝm ɗǝrha nǝn mbǝɗaɗǝ. Yanangganda hu sǝsǝniirha a ɗǝɗa ɗǝ wa, tǝrgha kyalthgha chehweed Nggalili ɗǝ.
2802170075	Ɗǝgha tsaurha ahu tala na nda aarha Nadzarat, lǝghǝdgha ˈya thlǝkna annabiya: “Na nda aaghǝn Tǝnadzarat.”
2803010061	Akwasamad huraya Yahaya Tǝbaptisǝma a pǝr laɓar Faara a fiya a kaheerha na a chehweed Yahuda,
2803020055	nagha a ndaarha, “Malaman ɗimiyid nun, ƙǝsǝr Kutǝryid Talara nduwusɗa ɓa.”
2803030096	Niif ɗani ndaana annabi Ishaya: “Urarha a aah farha a kaheerha, ‘Tangsaaman kwamana Chinǝm sǝ, pǝpǝnaman kwaman sarya ɗǝ a ndǝghǝn.’”
2803040070	Luwud Yahaya ǝnagha ndan tǝ was thlǝkhmu, ƙǝnanggǝn muwun tǝ paama. Ənnadghǝn mii mbeerha tǝ aam ɗee.
2803050069	Fiya na a Urshalima tǝ Yahudiya heu tǝ chehweeya kahad na a mii kufad Urdun ɗǝnda thlǝmadghǝn ɗǝ.
280306004b	Kanda a pǝr ɗimiyid ndan, nagha a ǝnang mbaptisǝma kanda a kufad Urdun.
28030700cb	Amma nana Yahaya Farisaya tǝ Sadukiyaya hangga a ɓarha mbǝɗa ɓa nǝn a ǝnang mbaptisǝma fiya sǝ, ndanggǝn kanda, “Kun huthlingya! Wun ƙǝsgha thlǝmad nun a ɗa sǝsad Faara nun hai na ɓayi?
2803080034	Ənama ˈya kyadgha ndaarha malangɗun ɗimiyid nun.
28030900b9	A numaɗun ndon kee, ‘Chichid nǝm ni Ibrahim, mbǝ Faara a sǝsang ƙǝm wa.’ Niya ndang nda kun na Faara tǝ sǝsǝmnda ha na a ǝnang wundakhnaya nǝn Ibrahim sǝ tǝ feryini ya.
28030a0083	ˈWanda teena pangnda wurra a kul ɗǝfrha, kala ɗǝfrha mbuwa nggǝtta ngga nanda kyathlang nda ɗǝ muwangganda ahu waarha ɗǝ.
28030b00d2	Niyi a ǝnang mbaptisǝma kun tǝ aama. Amma niifa sǝ na ɓayi kalgha nggi mu, tsǝkki na a kwasanggi sahad pahamggǝn hai wa, ndǝghǝnggi ɓanǝn ǝnang mbaptisǝma kun tǝ Sǝsǝna tǝ Peɗǝnda tǝ waarha.
28030c00ab	Nǝghǝn tǝ ɗeng pǝra ha, nǝn a pǝrang ɗiɗiirha ɗǝ ngwanggǝn wan hwalidghǝn ahu ɓirukkun hai. Nǝn a njang nda ɗiɗidghǝn ɗǝ tǝ waarha mbuwa mǝra hai.”
28030d005c	Tǝrgha Yeeso thliigha a Nggalili ɗǝgha kufad Urdun ɗǝ ka a ǝnangga Yahaya mbaptisǝma.
28030e0084	Amma Yahaya karɗafa a ǝnang mbaptisǝma nǝn Yeeso, ndǝghǝn, “Kamɗǝ sani ǝne mbaptisǝma. Kama na ɓarha thlǝmanna ɓa?”
28030f0093	Nggǝmangga Yeeso ndǝghǝn, “Nanǝnya ngwa tsauka kee, ƙǝsǝr kamɗǝ a lǝɗanggǝm ǝngya heu na mid Faara.” Tǝrgha nggǝmngga Yahaya fa.
28031000a5	Hǝrǝm nanda ǝnang mbaptisǝma Yeeso, kyanǝn sǝ ahur aamɗi kee, tǝrgha talara inggaɗǝ na Sǝsǝn Faara nǝn a tǝra hai ƙǝla tǝtiliurha tsauka a tenggǝn.
280311005c	Sǝk urarha nda a talara hai, “Waana niya, nggǝmni, niyi a tǝk mbǝndǝghǝn fa kaan.”
280401005d	Tǝrgha Sǝsǝna tǝ Peɗǝnda ɗǝgha tǝ Yeeso a kaheerha ɗǝ ka a ƙǝƙǝrangga sheetan.
280402006d	Yeeso karɗǝ aama yi ɓeena kumnggit faɗa nda fǝɗigrha tǝ yan fara. Akwasamdghǝn ƙǝsgha miirha ndǝn.
280403006d	Tǝrgha sheetan ɓagha thlǝmadghǝn ɓa ndanggǝn, “Ana Wan Faara ni sa, tsawang feryini ya ka mburodi.”
28040400b6	Amma nggǝmangga Yeeso ndanggǝn, “Nǝghǝn chichirethlee hai hu ɗeleewar Faara: ‘Mbǝ tǝ mburodi kee na niifa ƙǝra sǝ wa, amma tǝ laɓaara na kyarha ɓa a mii Faara.’”
2804050071	Tǝrgha sheetan tǝranggǝn Urshelima ɗǝ wupǝri tǝ Peɗǝnda, tǝranggǝn ten Ƙǝn Faara sǝ na a Urshelima.
28040600eb	Ndanggǝn, “Ana Wan Faara ni sa, puru hweeɗe hai, ƙǝsǝr nǝghǝn chichirethlee hai hu ɗeleewar Faara, ‘Nǝn a ndang fathlǝnggighǝn a nggawo wa nda sǝ, tǝ haryindan na nda a nggawo sǝ, amana ɗǝghang sarwa feera fa.’”
280407005f	Nggǝmangga Yeeso, “Nǝghǝn chichireethlee hai, ‘a ƙǝƙǝrangna Chinǝm Faarwa wa.’”
2804080072	Nggǝrgha Sheetan tǝrang nda a ten wumnda sǝ na nzang kyaɗang kutǝryid ƙǝshiirha nǝn heu tǝ mamnggitghǝn.
2804090055	Ndanggǝn, “Ənggini heu ya niya furo ƙǝn, a ɓǝrna hai fǝree mamnggirha na.”
28040a00ca	Ndangga Yeeso, “Kalu kwamanna hai, Sheetan! Ƙǝsǝr nǝghǝn chichirethlee hai hu ɗeleewar Faara: ‘Tǝtani a ɗǝfang shilee na Chinǝm Faarwa in, ndǝghǝn katenggǝn na fǝrang mamnggirha.’”
28040b004f	Tǝrgha Sheetan mal Yeeso nǝn. Ɓagha fathlǝngya Faara ɓa ƙǝlaghǝn ndaha.
28040c0059	Sǝkna Yeeso muwang nda Yahaya hu porsǝna ɗǝ, mal Yahudiya nǝn ɗǝgha Nggalili ɗǝ.
28040d007b	ˈWa ɗǝrha nǝn Nadzarat ɗǝ a wudgha Kafarnahum ɗǝ na a mii wuri aama tǝ tsaurha, na a chehweed Dzebulu tǝ Naftali.
28040e0041	Ƙǝsǝr a lǝɗang ngganda ˈya ndana annabi Ishaya tǝ ndaarha:
28040f0097	“Chehwed Dzebuluna tǝ chehweed Naftali, kunna a kwaman wuri aama, tǝ ƙǝsǝr kufad Urdun, tǝ ƙǝm chehweed Nggalili yi fingya mbuwa wa Yahudaya.
280410006b	Nafiya na tsaurha a wula nanda kukwaryirha kaan, Fingya na tsaurha a mishim mǝrra kyad kukwaryirha ɓa.”
2804110090	Ka a farɗi ndǝn katǝrangna Yeeso pǝr laɓar Faara hai, nagha a ndaarha, “Malaman ɗimiyid nun, ƙǝsǝr Kutǝryid Talara nduwusɗa ɓa.”
28041200e2	Nana Yeeso a wiirha hai a mii wuri aam Nggalili, na nafiya nǝn sǝri a wanmanggi nda Siman na nda aarha Mbiturus tǝ wanman Andǝrawus. Na nda a ƙǝs tǝngya tǝ panggamnggi ndan ahu wuri aamɗi ƙǝsǝr fa ƙǝs tǝngya ni.
2804130059	Tǝrgha Yeeso ndanggǝn kanda, “Mbuwama samadna, niya tsawang kun fa ƙǝs fiya ɓa.”
2804140042	Tsu a mbǝɗi kee malangganda panggamnggi ndan mbu samadghǝn nda.
28041500c8	Chik nǝn ɗǝrha mbeeɗǝ, nggǝrghǝn na nafiya sǝri a wanmanggi, Yakubu wan Dzabadi tǝ wanman na Yahaya. Kanda ahu kombuwol chii ndan Dzabadi, a tangsang panggamnggi ndan ɗǝ, aagha Yeeso kanda.
280416004c	Tsu a mbǝɗi kee malangganda kombuwol ndan tǝ chi ndan mbu samadghǝn nda.
28041700d1	Yeeso wengɗǝ chehweed Nggalili kahad nagha a tsahang fiya ha hu ƙǝn tsahad Yahudaya nagha a pǝr Laɓara na Mbǝnggǝn yi kutǝryid Faara, tǝ ƙǝnang nda fiya natǝ wanhaya ɗǝɗamǝn tǝ ɓeerha farha.
28041800e7	Laɓarghǝn ɗǝɗa ɗǝ inggun ta Suriya ɗǝ. Ɓang haya nda ɓa, heu tǝ fingya natǝ wanhaya fa ɗǝɗamǝn-ɗǝɗamǝn, fingya ƙǝnangna ǝnkaheeya kanda hai, tǝ kachelya tǝ fingya mǝrna fandan hai, ƙǝnanggǝn kanda heu.
28041900b2	Fiya hangga mbuwa samadghǝn, fingya a Nggalili ɓa, fingya hu chehweerha ɓa na nda aarha talya kum, fingya a Urshelima ɓa tǝ Yahudiya tǝ fingya ƙǝm a pǝm kufad Urdun ɓa.
2805010072	Hǝrǝmna Yeeso na fiya wumnda hai hangga, tǝrgha wumnda sǝ tsauka hai. Ɓagha fatsahayighǝn thlǝmadghǝn ɓa,
280502001f	katǝranggǝn tsahang kanda ha.
280503005d	Fa parkayani nafiya sǝnggasǝ fa yamiya ni hu sǝsǝna, ƙǝsǝr Kutǝryid Talara yi ndanni.
2805040048	Fa parkayani nafiya na a tǝrha nanǝnya, ƙǝsǝr na nda a nggab kanda.
2805050057	Fa parkayani nafiya mbuwa tǝrang tendan sǝ, ƙǝsǝr na nda a har langad ƙǝshiirha.
2805060054	Fa parkayani nafiya na miirha a ƙǝsa tǝ hushim nggayirha; ƙǝsǝr nun a nggaala!
2805070054	Fa parkaya ni nafiya na fiya a haɗang kanda fa, ƙǝsǝr na nda a haɗang Faara fa.
2805080042	Fa parkayani nafiya na hur ndan chahal, ƙǝsǝr na nda ana Faara.
280509005a	Fa parkayani nafiya na ɓang tsau ɗǝɗemnggirha, ƙǝsǝr na nda aah kanda wangya Faara.
28050a0055	Fa parkayani nafiya na a sǝsaarha ka nggayirha, ƙǝsǝr Kutǝryid Talara yi ndanni.
28050b0081	Fa parkayani kun, ana fiya a ˈyar kun, sǝsangganda kun, kanda a nggaɓa kun tǝ ndaarha fa mbǝlfeeya ni kun, ƙǝsǝr ka nggi.
28050c0084	Ənama wutsǝfayirha tǝ tǝk mbǝnda fa, nun wal ƙǝnaghǝn hangga a talara. Ƙǝsǝr annabiya na ƙǝtǝm sǝsangganda kanda kee.
28050d0099	Kunni fǝs ƙǝshiirha. Amma a tǝr mbǝnda fǝsa ɗǝ, ƙǝƙǝn nǝm nggǝr nggǝrang ɓa? Ɓalwa targhǝn sǝ wa, ƙǝl iraɗǝ kee ishangga fiya hai.
28050e0056	Kunni kukwaryid ƙǝshiirha. Wupǝri na a mbǝrha na ɗangkam mbǝ ɓǝɓeerha hai wa.
28050f00a2	Tǝ ƙǝm mbǝm njang patilla tsǝɓanggǝm tǝ tǝɓa wa. A meghedghǝn nǝm ɗǝfang nda a mbǝd wagrǝghǝn tǝnǝn fǝrang kukwaryirha fiya na ahur mindǝɗi.
2805100071	Nǝghǝn kee ƙǝm, ngwa njargha kukwaryid nun hai a mbed fiya naghǝn nda, tǝna kowunni fal Chinun na a talara.
2805110096	A numaɗun ndon ɓani ɓa ka ɓi weleng ngyakhrha Musa ɗǝ tǝ yi annabiya wa. Ɓawi ɓa ka ɓi weleng kanda ɗǝ wa, amma ka ɓi lǝɗang nda kanda.
2805120098	Niya pǝrang ƙǝkafek kun, ƙǝl ma ngwala talara tǝ hweeɗe, mbǝ ˈyasǝ na ngguchit a ƙǝtta ɗǝ hu ngyakhrha Musa wa, ƙǝl ma lǝghǝdɗǝ heu.
280513010b	Kala niifa tǝɗangga yanɗi na ngguchit ahu ngyakhkini teena ya, tsahang nggǝnǝn fiya ha ƙǝm, nǝn a tsaurha ngguchit hu Kutǝryid Talara. Kala niifa ƙǝm ǝnagha taara tǝ ngyakhkiniya tsahanggǝn nǝn fiya ha ƙǝm nǝn a tsaurha manggǝn hu Kutǝryid Talara.
2805140084	Niya ndang nda kun, a kalwa nggayid nun yi fasǝngya ngyakhrha Musa tǝ yi Farisaya wa, mbun tam kyarha hu Kutǝryid Talara ɗǝ wa.
2805150090	“Sǝkɗun ˈya ndang nanda chichiyinǝm kaar tǝ ndaarha, ‘A ɓǝlɗun farha wa, kala niifa ɓǝlgha farha na a nda a ngwang kumarha sǝ.’
2805160145	Amma nggi ƙǝm niya ndang nda kun, kala niifa sǝbna hurghǝn ɗǝ tǝ shadghǝn na nda a ngwang kumarha sǝ. Niya nggǝr ndang nda kun niifa ndangga shadghǝn, ‘Ka wuɗe,’ na nda ɗǝrha tǝghǝn mbed fa ngwa kumaaya ɗǝ. Amma niifa ndangga shadghǝn, ‘Nura!’ na nda a muwang nda hu waarha ɗǝ mbuwa mǝra hai.”
2805170075	“Tsaunǝn kee, a nanna a fǝr ǝn fǝrrǝwa a Faara a mbǝd sataka, a ɗalna teena hai sǝɓang na hur shadwa ɗǝ,
2805180093	malu ǝn fǝrrǝwa a mbǝd sataka. Ɗuwa ɗǝ ˈwan ɗun tangsang pathlang nun tǝ shadwa, tǝrgha a ɓana ɓa, ɓa ɗǝrha mbeeɗǝ tǝ fǝrrǝwa.
280519010a	A huhwad niifa sa, kaɗu kwamana na a tangsanggun pathlang nun ƙǝkar kapa nun sǝla kǝn ngwa kumarha ɗǝ. A karna fa, ɗǝnǝn tǝsa a mbed tǝ ngwa kumarha ɗǝ. Tǝ ngwa kumarha ƙǝm nǝn fǝrang sa wan sǝsalya. Wan sǝsalya ƙǝm na nda muworha hu porsǝna.
28051a004b	Niya pǝro ƙǝkafek, mba kyarhaɓa wa ƙǝl tiina ǝnɗi kyo nanda heu.”
28051b003e	“Sǝkɗun ndǝn tǝ ndaarha, ‘A ǝnanna kulafayirha wa.’
28051c0085	Amma nggi ƙǝm niya ndang nda kun kala niifa ƙǝlangga nuneefa sunaghǝnǝn ˈwaɗǝ teena ǝnaɗǝ kulafayirha tǝghǝn ahurghǝn.
28051d00a6	A kyo yidwa yisǝma hu ɗimiyirha hai, kutethleng sǝ muwangga ɗǝ. A nggushi ƙǝɗeng na patu tal a fadwa ma muwangganda fadwa heu ahu waarha ɗǝ mbuwa mǝra hai.
28051e00b0	Ana harwa yisǝma a kyorha hu ɗimiyirha hai, kyathlang ɗǝ muwangga ɗǝ. A nggushi ƙǝɗeng na patu tal a fadwa ma muwangganda fadwa heu ahu waarha ɗǝ mbuwa mǝra hai.”
28051f0081	“Thlǝk ndan tǝ ndaarha, ‘Kala niifa kalgha nukkun hai tsawang ɗafa tǝta a chireethleng ɗeleewar nǝn sǝ yi kala hai.’
28052000c8	Amma nggi ƙǝm niya ndang nda kun kala niifa kalgha nukkun hai a mbǝ aten ɗimid kulafayirha wa, kyang nǝn hu kulafayirha hai. Kala niifa ƙǝm kakhka nuneefa kal nanda hai ǝnanǝn kulafayirha.”
28052100a3	“Nggǝr ɗun sǝkƙǝn a mii chichiiyi nǝm kaar tǝ ndaarha, ‘A tǝɗang ɗun ˈya in ndaanun a Faara wa, amma ƙǝsaama ɗǝfmi nun ha ǝna nun a Chinǝm.’
2805220064	Amma nggi niya ndang nda kun, a ɗǝf ɗun mee tǝ thlǝm talara wa, ƙǝsǝr mbǝd tsawud Faara ni.
28052300ad	A ɗǝf ɗun mee tǝ thlǝm hweeɗe wa, ƙǝsǝr ndǝna mbǝd yiɓǝd sar Faara. A ɗǝf ɗun mee tǝ thlǝm Urshalima wa, ƙǝsǝr wupǝri ni yi Faara, kutǝra na manggǝn.
280524006f	A ɗǝf ɗun mee tǝ thlǝm ten nun wa, ƙǝsǝr mbun mbang nggǝrang was nun hai tsauka pǝpet nduwa iˈim wa.
