2a00000004	Luka
2a0101004b	Ñimko a ha ha lyilyedama, se ná nüna añe na galyiw ĝipüñejoñe dada.
2a01020090	Sünda he ñu ná dju nudzoĝ iñiyo hohusedama se naje, seyo, Tawgyew i shi-ñu truñe kahisedaw se naje, se ñu ná ütrüyomdo ñí trukuida.
2a01030097	Sünambo, no je ütrüyomdo, he na he í, usupa yo hoksüñe kalyisedaw no, süvzüw Tiyofilus bábo, he na he í magabolyiw ĝi vyeimeje ujoñe vyeda.
2a0104004f	Hado cheholye, bá ha trudrülyedama, se ná umsowgo ba danghuweñe no vyedame.
2a010500c3	Nugo Herodes i Yahudiya ñetrü go ñetrü nugo dañe shüi ñeto ge ana lyikülye: Abiya müga go Jakariya cheñe mügaw a du. Üfum ye, mügaw Arõ yo samtolyiw namko yo a, iñiñi ye Elishiba.
2a01060096	Sünda se naksü Tawgyew uvro ge chiñifoñe, seyo Prabhu ichi shotuko dügyew ná je da shüw. Ǘĝü dadrülyedaw ná je madatruw-makitruw da shüw.
2a01070056	Sünda Elishiba i ügübzümdá naksü agü je ñiwbi. Sünda se naksü kewje keahubi.
2a01080058	Dzakariyas i í ñeŝü ná daĝañ kuwñe, Tawgyew uvro ge, i ñegru ge müga chew daw.
2a0109007f	Sündada mügaw ná daw basha yo dañe kako dzulaw ge iñiñi kakülye, Tawgyew í küĝüw ñegru ge jiñe shobrovzü foweñe.
2a010a0047	Sündada shobrovzü fomkoi sese vyew na nopsü ge kahuañe küĝütsü.
2a010b0072	Sese Tawgyew ichi sorgomuko a ye shobrovzü fodaw südzüvyepsüĝ vyego psüĝañe ge gudzukülyedaw ye, í hohu.
2a010c0040	Sünda Jakariya í hoglye ŝüpo lamosha, sünda í ĝew vyehua.
2a010d00c4	Seŝo ye sorgomuko i í che, “Jakariya, djuĝejodawe hado chemeje bá küĝüdaw ye dzühujemme sündada bafum Elishiba yo babó saw a sakülyejome, sünda ba se iñiñi ye Yohañ ñe ñijodawe.
2a010e0074	Sünda ba agü saahuñe ŝüpyo lüshüñe, lüshümfoajome seyo ŝüpyo nüna na agü sadabi cheñe lüshüjome.”
2a010f008b	Hado chemeje i Tawgyew üvro ge sawlyiw chiñifojome; seyo tsü keje matujome; seyo iyañ ulhu ge duluge yo ĝulo güdraw yo güdraavojobi.
2a01100042	Seyo Israyel yo naje ŝüpo nüna na Tawgyew ichi ge kakultrujome.
2a011100f4	I ñihow Eliya í ĝulo seyo küña dafidama dañe üvro üvro kutrojome hado chemeje awu na na üdrü-ulu ye agü nachi ge tchodügyejo; seyo zew chew madzüw na Tawgyewchi ge chiñidrüñe lakujo sünda Tawgyew ibó dafimsofiw dashütrüvojo.
2a01120073	Jakariya i sorgomuko í dzü, hei no künda danghujowa; hado chemeje nobó mukroadabi seyo nofum boje mukromyadabi.
2a011300a7	Sorgomuko i í trutcho, “No Gebriyalwa, Tawgyew ichi mukow kewwa sünda üdra gudzusaw ye wa; sündada nó badra chitruweñe seyo bá he ñu ye truweñe kiadaw yewa.
2a0114009c	Seyo hojo dawe, he ñu ye umsow makalu kuw ba mulyo ĝyojome, sünda mazefijomme, hado chemeje ba nó ñu ye, i ke damdrüñe dafiajoma, sei umsow mavye.”
2a01150077	Nüna na Jakariya í ĝyokrütsü, sünda mavyenghuahuw lyatsü, hado cheme ñegru ge aña künda uwalajemañe? Vyeñe.
2a011600a0	Sünda i ñopsü kahuadabi abó ñu mazefibi, sündawñe na danghuladabi i ñegru ulunge hama ñita homadadañe, sünda i sei vyeĝelalye seyo mulyo lyadabiñe.
2a01170030	Sünda i sehu datunofiahuñe i í ñe ge katcho.
2a0118005e	Setasaĝa yo ifum Elishiba somafobi, sünda hubye pom kuw i nudzoĝ ana cheñe müŝüñe vye.
2a01190050	“Nüna nafo ge nó bümazeamedañe nobó Tawgyew i he ñeto ye ana daidawa.”
2a011a006d	Elishiba agü ñiw yo hubye ĝe kuw sa a Tawgyewchi go sorgomuko Gebriyal i Galili iñiñi Nazrat ñetrü ge,
2a011b008a	Mimsa nano makaw a ichi ge kiku. Djú Joseb cheñe Dawud í ñeŝü go Muhusa a idra ĝulo daida, se nano makaw mimsa iñiñi ye Mariyamwa
2a011c009e	Sünda Sorgomuko i ichi ge ñelunge jimyoñe che, ba hu je adjüdjüw no je aĝimiw lüshütukoaiwe, Djú Tawgyew í nülvow tukoaidama! Tawgyew i badraŝome.
2a011d0049	I se ñu yo ŝüpyo ĝelamoag, sünda vyemche, hei küna ñu a djüjemma?
2a011e005e	Séŝo Sorgomuko i í che, Mariyamya; djuĝejoda, hado cheme Tawgyew í nülvo bá tukoaidawa.
2a011f005f	Sünda hojodawe, ba somafojome, sünda ba saw a sakülyejome, ba iñiñi ye Jisu ñe ñijodawe.
2a01200072	I ŝüĝlyiĝjome; seyo bá Soĝgro-yaloñe üsaw chejome; sünda Tawgyew i í awu Dawud i psüĝa ye í djüjome.
2a0121006b	Sünda i Yakub í ñeŝü ge shüwa nugo da shükejome; sünda í ĝadzü da shükyew ye keje mamütrajome.
2a01220050	Mariyam i Sorgomuko í che, “Hei künda lyijowa? Nobó muhuje madanghulubi.”
2a012300bd	Sorgomuko i í trutcho “ĝulo güdraw ye baso ge kamyojome, seyo Toĝgroyama í Ĝagra ye badru ge duñgudrujome; Hado chemeje í ĝulo güdraw yo sakülyalaibi, Í Tawgyew üsaw chejome.
2a01240098	Sünda hojo dawe, bá ñeŝüĝ go Elishiba i je mukromyadabi a saw sakülyemkoiba, hei ichimsoba í na Ügübzüm chebabi, i so mafow hubye ĝe kudaba.
2a0125003f	Hado chemeje Tawgyew ichi ge ha ñu je madafiwjo che ñiwme.”
2a01260094	Mariyam i che, “Howe, no Tawgyew i chiĝadambabi, bachi ñu trudo trüduyo dubroñe nodra ana lyimeje.” Sese sorgomuko ye itrü yo katrükralye.
2a01270050	Sündaw se ñeto Mariyam i kutcho yo gudzuñe pufo go Yahudi na ñetrü a ge ji.
2a01280035	Sünda Jakariya iñe ge jiñe Elishiba í gagañe da.
2a0129007f	Elishiba i Mariyam ichi gaga chewye dzühuhuwñe, seŝügudoye ulhu go agü yeje gog, sünda Ilishiba i ĝulo güdraw yo tukoa.
2a012a0062	Sünda i gow yo ŝogzuñe che, ba mim naĝi yo süvzüfowmme, seyo balhu go sheje ye ŝüvzüw me.
2a012b004b	Sünda noje hango yo nülvojema, no Tawgyew üyañ ye notrüĝañ a jikuda.
2a012c0075	Sünda holabya bachi gaga chew ye nofu ge dzühubyo dzühuĝyowñe seŝügudo ye nolhu go agü yeje lüshülye gogje.
2a012d006d	Sündada seiye ŝüvzüwmme, se í djuyo umsow vyeñe Tawgyew ichi go, ha ñu ye idra chedama, sei damsojebi.
2a012e0037	Sese Mariyam i che, “Nodrü-nolu yo Tawgyew i troime.
2a012f0040	Sünda noĝulo ye, nó gudraw choakejo Tawgyew yo lüshü damme.
2a01300091	Hado chemeje i í chiĝadam idru ge nülvo hoida, sündada holabya, ayo dalalye shüwa shüw pumnüshüĝi kuw nüna na nó ŝüvzübram chejome.
2a0131005e	Hado chemeje se bolugobraw Tawgyew i nobo chiĝa dew dew daida, sündada iñiñ ye güdraw me.
2a01320059	Sünda i nülvo ye se nadra jome, dju í ĝeima, saltso saltsow daw kuw sünañgudrujome.
2a01330059	I í bolugow ye sheiwa, seyo dju nudzo drü-lu ge dafowŝoñe daima sena daame-kiame vye.
2a01340049	I shotuko dümbraw na psüĝa go dügaaha; Sünda nülvodaw i udruda vye.
2a0135005b	Luhuŝümgraado na gañ uwyo da djü, séso dzomo-külyimodaw na ügzü ufobüla lyadügye.
2a0136005e	I í nüdzoĝ aki-awu na, kulo Israyel na ĝaksüla, hado chemeje se nülvo ye büvyesüdañe.
2a0137006a	Shüwa Abraham ñe i saltsoahuw nadra shüwa duñgudrujo, I küna ñi bupye-ñipye nadra chedama süna.”
2a0138003c	Mariyam i hubye dzü kuw idra ĝyoselyeñe, i ñe ge katcho.
2a01390036	Sese Elishiba i samdrü kudabi, sünda i saw sakülye.
2a013a0083	I ĝafopsüĝ-ĝampsüĝ seyo i ñeŝüĝ-ñepeĝ na sei dzühulye, Tawgyew i ídru ge ŝüpyo nülvo dadañe, idra ye lüshütuno.
2a013b0087	Sündalye ana a dadawa ñegi ŝügzü kuwñe se agü í fyuw ñeto kudabi sünda i ñiñi ye ichi awu Jakariya í iñiñ ye ñiweñeda.
2a013c003d	Séŝo iyañ i che, mowwe; i ñiñi ye Yohañ ñe ñijo dawe.
2a013d003f	Sünda na í che, bá ñeŝüĝ ge ana üñiñi djuchije ñiwa.
2a013e003e	Sese i ichi awu i damcheñe dzü, ba iñiñi í ha ñiĝoñda?
2a013f0062	Sündawñe i ĝijo kako prülañe ĝiag, iñiñi ye Yohañ me, sündawñe vyew na mavyenghuatsüg.
2a01400070	Sündawñe ichi umdzu ñe zebüla naksü seŝügudo ye zefikülye; Sünda i ñu zehuahuw ye Tawgyew i trokülye.
2a01410082	Sündawñe iñisa ye ĝyodo na vyew ĝemoatsü; sünda se ñu ye vyew se Yahudiya nachi ñetrü üñisa üñisa naje ŝüĝeatsü.
2a0142008e	Sünda vyew dzühudo na nudzoĝ nudzoĝ drü-lu ge vyelatsü che, “He agü ye künajojeŝoma?” Hado chemeje Tawgyew i ügzü ye idra dubi.
2a01430042	Sünda iyaw Jakariya i ĝulo güdraw yo tukoa, sünda ñihokülye.
2a01440064	Israyel go Tawgyew í ŝüvzüwe. Hado chemeje i í nudzo nüna ná hokrüvo, Sünda ná ĝaksüivo,
2a01450048	Seyo i kulo Dawud i ñe ge ñibo muchoaijo hosüw üŝüvzü a lahuaida.
2a0146007c	Sünambo i bzüga yomdo güdraw ñihow truw bupye-ñipye nayo, dju ñedzü üña no üña gomdo dulyisema, senayo trulyeida.
2a0147004d	Chemeje ñi vyeñiw-vyeĝaw nayo, seyo ñi homsüsew nagzü yo ñi muchoaida;
2a0148004a	Sei ye ñi bupye-ñipye na nülvo dañe nudzoĝ güdraw ñu i vyesüweñe,
2a01490037	Seyo se trasĝa sei, se í i ñi awu Abraham yo todoye,
2a014a0036	I ñi hei djüjo, sei ye ñí vyeñido nayo kahajoñe,
2a014b0058	Ivro ge chiñiw seyo güdraw ĝabo kaw ge shüdzowkuw maĝew ichi chiĝa dañgudruweñe.
2a014c0082	Seyo ba ye muhusa agüsa, Toĝgroyama i ñihobraw chejome, hado cheme ba Tawgyew ichi ĝabo dashütrüvojoñe uvro uvro kutrojome,
2a014d003e	Sei ichi nüna na djumuchoawe, dju, ná lalo yo güdraw pawma.
2a014e0063	Hei ñi Tawgyew í nülvo dado yo lyijome, seiyo ñidru ge udrugo yo müsaw a dzüto-rünokülyejo.
2a014f006c	Sei ye nukuĝuw seyo dzüjo ĝabo ge ĝyodo na müsaw djü, seyo ñishi í lüshüw ĝabo gudow lakutrokewe.
