2800000006	Máté
2801010056	Jézus Krisztusnak, Dávid fiának, Ábrahám fiának nemzetségéről szóló könyv.
2801020061	Ábrahám nemzette Izsákot, Izsák nemzette Jákóbot, Jákób nemzette Júdát és testvéreit.
2801030067	Júda nemzette Fáreszt és Zerahot Támártól, Fáresz nemzette Heszrónt, Heszrón nemzette Arámot.
2801040054	Arám nemzette Aminádábot, Aminádáb nemzette Nahsont, Nahson nemzette Szalmónt.
280105005c	Szalmón nemzette Boázt Ráhábtól, Boáz nemzette Obédet Ruthtól, Obéd nemzette Isait.
2801060057	Isai nemzette Dávid királyt. Dávid király nemzette Salamont Úriás feleségétől.
280107004f	Salamon nemzette Roboámot, Roboám nemzette Abijját, Abijja nemzette Ászát.
2801080054	Ásza nemzette Jósafátot, Jósafát nemzette Jórámot, Jórám nemzette Uzziást.
2801090051	Uzziás nemzette Jótámot, Jótám nemzette Áházt, Áház nemzette Ezékiást.
28010a0053	Ezékiás nemzette Manassét, Manassé nemzette Ámónt, Ámón nemzette Jósiást.
28010b004a	Jósiás nemzette Jekonjást és testvéreit a babiloni fogságravitelkor.
28010c0065	A babiloni fogságravitel után pedig Jekonjás nemzette Sealtiélt, Sealtiél nemzette Zerubbábelt.
28010d0054	Zerubbábel nemzette Abihudot, Abihud nemzette Eljákimot, Eljákim nemzette Azzurt.
28010e004d	Azzur nemzette Cádókot, Cádók nemzette Jákint, Jákin nemzette Elihudot.
28010f0054	Elihud nemzette Eleázárt, Eleázár nemzette Mattánt, Mattán nemzette Jákóbot.
2801100066	Jákób nemzette Józsefet, férjét Máriának, akitől született Jézus, akit Krisztusnak neveznek.
28011100c8	Az összes nemzetség tehát Ábrahámtól Dávidig tizennégy nemzetség, Dávidtól a babiloni fogságravitelig tizennégy nemzetség, a babiloni fogságraviteltől Krisztusig tizennégy nemzetség.
2801120091	Jézus Krisztus születése pedig így történt: Anyja, Mária, aki József jegyese volt, egybekelésük előtt viselős lett a Szentlélektől.
280113006d	József, a férje, igaz ember volt, és nem akarta őt gyalázatba keverni, titokban akarta őt elbocsátani.
28011400e9	Mikor pedig ezeket magában elgondolta, íme, az Úr angyala megjelent neki álmában, és ezt mondta: „József, Dávid fia, ne félj magadhoz venni Máriát, a te feleségedet, mert ami benne fogantatott, az a Szentlélektől van.
280115005f	Fiat fog majd szülni, és nevezd őt Jézusnak, mert ő szabadítja meg népét bűneitől.“
280116006c	Mindez pedig azért történt, hogy beteljesedjék, amit az Úr mondott a próféta által, aki így szólt:
