130000000a	Sálmarnir
1301010072	Mikil er gæfa þess manns sem ekki fer að ráðum óguðlegra, ekki á félagsskap við syndara sem hæða Guð,
1301020079	heldur hefur unun af því að hlýða Drottni og íhuga orð hans dag og nótt, og þannig nálgast hann sífellt meira.
1301030096	Hann líkist tré sem stendur við rennandi læk og ber sætan ávöxt sinn á réttum tíma og blöð þess visna ekki. Slíkum manni tekst allt vel.
130104005b	En hvað með syndarana? Það er önnur saga! Þeir fjúka burt eins og hismi undan vindi.
130105004e	Þeir munu ekki standast á degi dómsins né heldur í söfnuði réttlátra.
130106005d	Drottinn vakir yfir lífi og áformum hinna trúuðu, en vegur óguðlegra endar í vegleysu.
130201008a	Hvílík heimska að þjóðirnar skuli ráðast gegn Drottni! Furðulegt að menn láti sér detta í hug að þeir séu vitrari en Guð!
1302020051	Leiðtogar heimsins hittast og ráðgera samsæri gegn Drottni og Kristi konungi.
130203005d	„Komum,“ segja þeir, „og vörpum af okkur oki hans. Slítum okkur lausa frá Guði!“
1302040061	En á himnum hlær Guð að slíkum mönnum! Honum er skemmt með þeirra fánýtu ráðagerðum.
130205005a	Hann ávítar þá í reiði sinni og skýtur þeim skelk í bringu. Drottinn lýsir yfir:
1302060067	„Þennan konung hef ég útvalið og krýnt í Jerúsalem, minni helgu borg“. Hans útvaldi svarar:
13020700a1	„Ég mun kunngera áform Guðs, því að Drottinn sagði við mig: „Þú ert sonur minn. Í dag verður þú krýndur. Í dag geri ég þig dýrlegan“.“
1302080042	„Bið þú mig og ég mun leggja undir þig öll ríki heimsins.
130209004d	Stjórnaðu þeim með harðri hendi og mölvaðu þau eins og leirkrukku!“
13020a003b	Þið, konungar jarðarinnar! Hlustið meðan tími er til!
13020b0049	Þjónið Drottni með óttablandinni lotningu og fagnið með auðmýkt.
13020c00dd	Fallið á kné fyrir syni hans og kyssið fætur hans svo að hann reiðist ekki og tortími ykkur! Gætið ykkar, því að senn mun blossa reiði hans. En munið þetta: Sæll er hver sá sem leitar ásjár hjá honum.
130301009e	Sálmur eftir Davíð þegar hann flúði frá Absalon, syni sínum. Ó, Drottinn, það eru svo margir á móti mér, svo margir sem gera uppreisn gegn mér.
1303020030	Menn segja að Guð muni alls ekki hjálpa mér.
1303030074	En, Drottinn, þú ert skjöldur minn, sæmd mín og von. Þú lætur mig bera höfuðið hátt, þrátt fyrir allt.
1303040052	Ég hrópaði til Drottins og hann svaraði mér frá musteri sínu í Jerúsalem.
130305006d	Þá lagðist ég fyrir og sofnaði í friði. Síðar vaknaði ég öruggur, því að Drottinn gætir mín.
1303060049	Nú er ég óhræddur, jafnvel þótt tíu þúsund óvinir umkringi mig!
1303070099	Ég mun hrópa til Drottins: „Drottinn, rís þú upp! Bjargaðu mér, þú Guð minn!“ Og hann mun slá óvini mína og brjóta tennur illvirkjanna.
1303080042	Hjálpin kemur frá Guði. Blessun hans hvílir yfir þjóð hans.
13040100a7	Þú, Guð réttlætis míns, þú sem hefur annast mig í öllum mínum erfiðleikum. Hlusta nú þegar ég kalla á nýjan leik. Miskunna þú mér. Heyr bæn mína.
13040200d0	Drottinn Guð spyr: „Þið mannanna börn, ætlið þið endalaust að vanhelga nafn mitt með því að tilbiðja þessa heimskulegu hjáguði? Vitið þið ekki að heiður þeirra er bull og hégómi?“
1304030066	Takið eftir: Drottinn hefur sýnt mér mikla náð og hann mun hlusta og svara mér þegar ég kalla.
1304040078	Sýnið Drottni óttablandna lotningu og syndgið ekki gegn honum. Hugsið um þetta í hvílum ykkar og verið þögul.
1304050048	Setjið traust ykkar á Drottin, og færið honum þóknanlegar fórnir.
130406006b	Margir spyrja hvar hjálp sé að fá. Drottinn, þú ert sá sem hjálpar. Láttu ljós þitt lýsa okkur.
1304070061	Gleðin sem þú hefur veitt mér er mun meiri en þeirra sem gleðjast yfir ríkulegri uppskeru.
1304080061	Nú leggst ég til hvíldar í friði og sofna, því þú, Drottinn verndar mig gegn öllu illu.
1305010040	Drottinn, hlustaðu á orð mín. Heyr þú mína einlægu bæn.
130502006e	Hlustaðu á kveinstafi mína, þú Guð, konungur minn, því að ég mun aldrei biðja til neins nema þín.
130503005d	Á hverjum morgni horfi ég til himins, já til þín, og legg bænir mínar fram fyrir þig.
130504006c	Ég veit að þú fyrirlítur óguðleika og að þeir sem iðka hið illa fá ekki að dveljast hjá þér.
130505005f	Hrokafullir syndarar standast augnaráð þitt ekki, því að þú hatar illgjörðir þeirra.
1305060052	Þú munt eyða þeim sem tala lygi og þú hefur andstyggð á morðum og svikum.
1305070093	En hvað um mig? Af náð þinni fæ ég að ganga inn í musteri þitt, umvafinn vernd þinni og ást. Ég vil tilbiðja þig í djúpri lotningu.
130508009a	Drottinn, leiddu mig eins og þú lofaðir mér, annars munu óvinir mínir sigra mig. Segðu mér skýrt hvað ég á að gera, og hvert ég á að fara,
13050900ab	því að þeir reyna að blekkja mig. Hjörtu þeirra eru full af illsku. Tortíming og dauði býr í ráðum þeirra og þeir nota svik og pretti sér til framdráttar.
13050a009d	Ó, Guð láttu þá fá makleg málagjöld. Þeir lendi í eigin gildru. Hrintu þeim burt vegna hinna mörgu afbrota þeirra, því að þeir storka þér.
13050b008b	En þeir sem treysta þér gleðjast og kætast. Þeir hrópa af gleði því þú verndar þá. Þeir sem elska þig gleðjast yfir þér.
13050c005c	Því að þú, ó Guð, blessar hinn trúaða, þú verndar hann með skildi elsku þinnar.
130601002f	Æ, Drottinn! Ekki refsa mér í reiði þinni!
1306020059	Miskunnaðu mér því að ég örmagnast. Lækna mig, því að líkami minn er sjúkur.
1306030066	Ég er hræddur, veit ekki mitt rjúkandi ráð. Ó, Drottinn, reistu mig á fætur, og það fljótt!
1306040045	Komdu Drottinn og læknaðu mig. Bjargaðu mér í kærleika þínum.
130605004d	Því að ef ég dey, þá get ég ekki lengur lofað þig meðal vina minna.
130606004a	Ég er aðframkominn af kvöl. Hverja nótt væti ég koddann með tárum.
130607003a	Augu mín daprast af hryggð vegna illráða óvina minna.
1306080057	Farið! Látið mig í friði, þið illmenni, því að Drottinn hefur séð tár mín
1306090041	og heyrt grátbeiðni mína. Hann mun svara öllum mínum bænum.
13060a006e	Óvinir mínir munu verða til skammar og skelfingin mun steypast yfir þá. Guð mun reka þá sneypta burtu.
1307010059	Ég treysti þér, Drottinn, Guð minn, að þú frelsir mig frá þeim sem ofsækja mig.
1307020079	Þeir vilja ráðast á mig úr launsátri eins og ljón, særa mig og draga burt hálfdauðan. Láttu það ekki takast!
130703002c	En Drottinn, ef ég hefði illt fyrir stafni
1307040048	– ef ég launaði gott með illu eða beitti nágranna mína órétti,
130705005a	þá væri réttlátt að þú létir óvini mína eyða mér, fella mig og fótum troða.
1307060072	En Drottinn! Rís þú upp í reiði gegn ofstopa óvina minna. Vakna þú Drottinn! Láttu mig ná rétti mínum!
1307070062	Safnaðu saman öllum þjóðum. Taktu þér sæti hátt uppi yfir þeim og dæmdu syndir þeirra.
1307080063	En mig, Drottinn, lýstu mig réttlátan svo allir heyri, auglýstu réttlæti mitt og ráðvendni.
13070900ba	Stöðvaðu alla illsku, Drottinn, og blessa þá sem í einlægni tilbiðja þig. Því að þú, réttláti Guð, kannar hugarfylgsni mannanna og rannsakar viðhorf þeirra og tilgang.
13070a0055	Guð er skjöldur minn. Hann mun vernda mig. Hann frelsar þá sem hjartahreinir eru.
13070b0055	Guð er fullkomlega réttlátur dómari og dag hvern gremst honum illska hinna vondu.
13070c005a	Ef þeir iðrast ekki mun hann bregða sverði og eyða þeim. Hann hefur spennt boga sinn
13070d0038	og lagt eldlegar örvar á streng, – banvænar örvar.
13070e006f	Hinn illi bruggar launráð og íhugar vélabrögð sín. Hann lætur til skarar skríða með lygum og svikum.
13070f001c	Hann falli á eigin bragði.
130710004b	Ofbeldið sem hann ætlaði öðrum, verði honum sjálfum að fjörtjóni.
130711007b	Ég lofa og vegsama Drottinn, því hann er góður. Ég vil lofsyngja nafni Drottins, honum sem er öllum drottnum æðri.
1308010074	Ó, Drottinn Guð, mikið er nafn þitt! Jörðin er full af dýrð þinni og himnarnir endurspegla mikilleik þinn.
1308020088	Þú hefur kennt börnum að lofsyngja þér. Fyrirmynd þeirra og vitnisburður þaggi niður í óvinum þínum og valdi þeim skömm.
130803006d	Þegar ég horfi á himininn og skoða verk handa þinna, tunglið og stjörnurnar sem þú hefur skapað –
130804005a	þá undrast ég að þú skulir minnast mannsins, láta þér umhugað um mannanna börn.
130805005c	Og líka, að þú lést manninn verða litlu minni en Guð! Krýndir hann sæmd og heiðri!
