2800000007	Mataayo
28010100a3	Ganʉ nego amariina gi ikishoko kɨnʉ Yɨɨsu Kiriisitʉ aaruuriirɨ. Yɨɨsu Kiriisitʉ akarwɨra murwibhʉrʉ rwʉ ʉmʉtɨmi Daudi ni ikishoko cha Abhurahaamu.
280102006a	Abhurahaamu akiibhʉra Iisaka, Iisaka akiibhʉra Yaakobho, Yaakobho akiibhʉra Yuuda na abhahiiri bhaazɨ.
2801030075	Yuuda akiibhʉra Pɨrɨɨsi na Zeera kwa Tamaari, Pɨrɨɨsi akiibhʉra Hɨzirʉʉni, Hɨzirʉʉni akiibhʉra Araamu,
2801040060	Araamu akiibhʉra Aminadaabhu, Aminadaabhu akiibhʉra Nashʉni, Nashʉni akiibhʉra Sarimʉʉni,
2801050074	Sarimʉʉni akiibhʉra Bhoowazi kwa Rahaabhu, Bhoowazi akiibhʉra Ʉbhɨɨdi kwa Ruutu, Ʉbhɨɨdi akiibhʉra Yeese,
2801060075	na Yeese akiibhʉra ʉmʉtɨmi Daudi. Daudi akiibhʉra Sɨrɨmaani kʉmʉkari wʉnʉ aarɨ kʉbha ʉmʉkari wa Uriya,
2801070059	Sɨrɨmaani akiibhʉra Rehobhowamu, Rehobhowamu akiibhʉra Abhiya, Abhiya akiibhʉra Asa,
2801080057	Asa akiibhʉra Yehoshafaati, Yehoshafaati akiibhʉra Yoraamu, Yoraamu akiibhʉra Uziya,
2801090050	Uziya akiibhʉra Yosamu, Yosamu akiibhʉra Ahaazi, Ahaazi akiibhʉra Hɨzɨkiya,
28010a0056	Hɨzɨkiya akiibhʉra Manaasɨ, Manaasɨ akiibhʉra Amʉni, Amʉni akiibhʉra Yʉsiya,
28010b0090	na Yʉsiya akiibhʉra Yɨkʉniya na bhaumwabhʉ. Ribhaga rɨkahɨta, Abhiiziraɨri bhakagwatwa, bhakahirwa mobhohocha mucharʉ cha Bhaabhɨɨri.
28010c0083	Hanʉ Abhiiziraɨri bhaamarirɨ kʉsaamibhwa iyo, Yɨkʉniya akiibhʉra Sheyaritiyɨri, Sheyaritiyɨri akiibhʉra Zɨrubhabhɨɨri,
28010d0063	Zɨrubhabhɨɨri akiibhʉra Abhihudi, Abhihudi akiibhʉra Ɨriyakimu, Ɨriyakimu akiibhʉra Azʉri,
28010e004e	Azʉri akiibhʉra Zadʉki, Zadʉki akiibhʉra Akimu, Akimu akiibhʉra Ɨriudi,
28010f005a	Ɨriudi akiibhʉra Ɨrɨazaari, Ɨrɨazaari akiibhʉra Matani, Matani akiibhʉra Yaakobho,
2801100073	Yaakobho akiibhʉra Yuusufu, umusubhɨ wa Mariyamu, na Mariyamu akiibhʉra Yɨɨsu wʉnʉ akubhirikirwa Kiriisitʉ.
280111018e	Mmbe, kurwa kwa Abhurahaamu kuhikɨra ukwibhurwa kʉ ʉmʉtɨmi Daudi kwarɨ na zinyibhʉrʉ ikumi ni inyɨ. Na kurwa kwa Daudi kuhikɨra ribhaga rɨnʉ Abhiiziraɨri bhaasaamiibhwɨ mobhohocha mucharʉ cha Bhaabhɨɨri, kwarɨ na zinyibhʉrʉ ɨzɨndɨ ikumi ni inyɨ. Na kurwa ribhaga rɨnʉ bhasaamiibhwɨ iyo kuhikɨra ukwibhurwa kwa Kiriisitʉ, kwarɨ na zinyibhʉrʉ ɨzɨndɨ ikumi ni inyɨ.
28011200d0	Ganʉ nego amangʼana gu ukwibhurwa kwa Yɨɨsu Kiriisitʉ. Mariyamu unina Yɨɨsu, aarɨ arunjibhwɨ na Yuusufu. Nawe hanʉ aarɨ akɨɨrɨ kuryakara, Mariyamu akagega ɨnda kʉbhʉnaja bhwe Ekoro Ɨndɨndu.
2801130090	Yuusufu umusubhɨ waazɨ, aarɨ ʉmʉʉtʉ we eheene mʉbhʉtangɨ bhwa Mungu. Atɨɨndirɨ asuuchɨ Mariyamu, kʉgayo akeenda amwangɨ kimbisi.
2801140115	Nawe, hanʉ Yuusufu aarɨ ariiseega gayo, rogendo rʉmwɨ maraika wʉ Ʉmʉkʉrʉ Mungu akamuhwarʉkɨra mokerooto, akamʉbhʉʉrɨra, “Yuusufu, umwana wʉ ʉmʉtɨmi Daudi, ʉtʉʉbhaha kukwɨra Mariyamu, kʉ kʉbha ɨnda yaazɨ ayibhwɨnɨ kʉbhʉnaja bhwe Ekoro Ɨndɨndu.
280115008e	Ariibhʉra umwana wi ikisubhɨ, naawɨ ʉmʉrʉkɨ Yɨɨsu, kʉ kʉbha wuyo newe araasabhʉrɨ abhaatʉ bhaazɨ kurwa mʉbhʉbhɨ bhwabhʉ.”
2801160084	Gayo gʉʉsi gaakʉriibhwɨ, korereke rɨbhɨ ringʼana rɨnʉ Ʉmʉkʉrʉ Mungu aagambirɨ kʉnzɨra yʉ ʉmʉrʉʉtɨrɨri kʉbha,
