0100000007	Genesis
0101010039	Idi punganay, pinarsua ti Dios dagiti langit ken ti daga.
010102009c	Awan langlanganga ti daga ken awan naggianna. Sipnget ti adda iti rabaw ti kaadalman. Ket ti Espiritu ti Dios, aggargaraw iti ngatoen ti rabaw dagiti danum.
010103003d	Kinuna ti Dios, “Mapaadda ti lawag” ket immadda ti lawag.
0101040054	Nakita ti Dios ti lawag, a daytoy ket nasayaat. Pinagsinana ti lawag ken ti sipnget.
0101050083	Inawagan ti Dios ti lawag nga “aldaw,” ken inawaganna ti sipnget a “rabii.” Daytoy ket rabii ken bigat, ti umuna nga aldaw.
010106008e	Kinuna ti Dios, “Mapaadda ti nalawa a law-ang iti nagbaetan dagiti danum, ket daytoy ti mangbingay kadagiti danum manipud kadagiti danum.”
01010700bf	Inaramid ti Dios ti nalawa a law-ang ket pinagsinana dagiti danum nga adda iti babaen ti nalawa a law-ang ken ti danum nga adda iti ngatoen ti nalawa a law-ang. Ket kasta ngarud ti napasamak.
010108006a	Inawagan ti Dios ti nalawa a law-ang a “tangatang.” Daytoy ket rabii ken bigat, ti maikadua nga aldaw.
01010900aa	Kinuna ti Dios, “Maurnong iti maysa a disso dagiti danum nga adda iti babaen ti tangatang, ket agparang met ti disso nga awan danumna.” Ket kasta ngarud ti napasamak.
01010a0096	Inawagan ti Dios ti disso nga awan danumna iti “daga,” ken inawaganna dagiti nagmaymaysa a danum iti “baybay.” Nakitana a daytoy ket nasayaat.
01010b00c6	Kinuna ti Dios, “Agrusing dagiti mulmula iti daga: mulmula a mangpatpataud iti bukel ken kaykayo nga agbunga iti adda bukelna, tunggal mula segun iti nagtaudanna.” Ket kasta ngarud ti napasamak.
01010c0083	Nangpataud ti daga kadagiti mulmula, mulmula a mangpatpataud iti bukel segun iti ngataudanda. Nakita ti Dios a daytoy ket nasayaat.
01010d0035	Daytoy ket rabii ken bigat, ti maika-tallo nga aldaw.
01010e00b1	Kinuna ti Dios, “Mapaadda dagiti silaw iti tangatang a mangbngay iti aldaw ken iti rabii. Ket agbalinda a kas pagilasinan, kadagiti panawen, kadagiti aldaw ken kadagiti tawen.
01010f005f	Agbalinda a silaw iti tangatang a mangted iti lawag iti daga.” Ket kasta ngarud ti napasamak.
01011000a4	Inaramid ti Dios iti dua a dakkel a silaw, ti dakdakkel a silaw nga agturay iti aldaw, ken ti basbassit a silaw nga agturay iti rabii. Inaramidna met dagiti bituen.
0101110037	Inkabil ida ti Dios iti tangatang a manglawag iti daga,
0101120075	a mangituray iti aldaw ken iti rabii, ken mangbingay iti lawag ken iti sipnget. Nakita ti Dios a daytoy ket nasayaat.
0101130035	Daytoy ket rabii ken bigat, ti maika-uppat nga aldaw.
01011400a8	Kinuna ti Dios, “Mapunno dagiti danum kadagiti pangen dagiti sibibiag a parsua, ken agtayab dagiti tumatayab iti ngatoen ti daga iti nalawa a law-ang ti tangatang.”
