0100000008	Kejadian
0101010039	Pada mulanya, waktu Allah mulai menciptakan alam semesta,
01010200b1	bumi belum berbentuk, dan masih kacau-balau. Samudra yang bergelora, yang menutupi segala sesuatu, diliputi oleh gelap gulita, tetapi kuasa Allah bergerak di atas permukaan air.
0101030031	Allah berkata, "Jadilah terang!" Lalu ada terang.
0101040048	Allah senang melihat hal itu. Lalu dipisahkan-Nya terang itu dari gelap,
0101050074	dan dinamakan-Nya terang itu "Siang" dan gelap itu "Malam". Malam lewat, dan jadilah pagi. Itulah hari yang pertama.
0101060104	Kemudian Allah berkata, "Jadilah sebuah kubah untuk membagi air itu menjadi dua, dan menahannya dalam dua tempat yang terpisah." Lalu hal itu terjadi. Demikianlah Allah membuat kubah yang memisahkan air yang ada di bawah kubah itu dari air yang ada di atasnya.
0101080057	Kubah itu dinamakan-Nya "Langit". Malam lewat dan jadilah pagi. Itulah hari yang kedua.
010109008e	Kemudian Allah berkata, "Hendaklah air yang ada di bawah langit mengalir ke satu tempat, sehingga tanah akan kelihatan." Lalu hal itu terjadi.
01010a006f	Allah menamakan tanah itu "Darat", dan kumpulan air itu dinamakan-Nya "Laut". Dan Allah senang melihat hal itu.
01010b00b9	Allah berkata lagi, "Hendaklah tanah mengeluarkan segala macam tumbuh-tumbuhan, yaitu jenis yang menghasilkan biji-bijian dan jenis yang menghasilkan buah-buahan." Lalu hal itu terjadi.
01010c005e	Demikianlah tanah mengeluarkan segala macam tumbuh-tumbuhan. Dan Allah senang melihat hal itu.
01010d0036	Malam lewat dan jadilah pagi. Itulah hari yang ketiga.
01010e00d9	Kemudian Allah berkata, "Hendaklah ada benda-benda terang di langit untuk menerangi bumi, untuk memisahkan siang dari malam, dan untuk menunjukkan saat mulainya hari, tahun, dan hari raya agama." Maka hal itu terjadi.
01011000ab	Demikianlah Allah membuat kedua benda terang yang besar, yaitu matahari untuk menguasai siang, dan bulan untuk menguasai malam; selain itu dibuat-Nya juga bintang-bintang.
0101110048	Allah menempatkan benda-benda terang itu di langit untuk menerangi bumi,
010112006a	untuk menguasai siang dan malam, dan untuk memisahkan terang dari gelap. Dan Allah senang melihat hal itu.
0101130038	Malam lewat, dan jadilah pagi. Itulah hari yang keempat.
0101140087	Kemudian Allah berkata, "Hendaklah di dalam air berkeriapan banyak macam makhluk hidup, dan di udara beterbangan banyak burung-burung."
01011500a5	Maka Allah menciptakan binatang-binatang raksasa laut, dan segala jenis makhluk yang hidup di dalam air, serta segala jenis burung. Dan Allah senang melihat hal itu.
01011600b8	Allah memberkati semuanya itu dengan memberi perintah kepada makhluk yang hidup di dalam air supaya berkembang biak dan memenuhi laut, dan kepada burung-burung supaya bertambah banyak.
0101170036	Malam lewat dan jadilah pagi. Itulah hari yang kelima.
0101180096	Kemudian Allah berkata, "Hendaklah bumi mengeluarkan segala jenis binatang darat, yang jinak dan yang liar, besar maupun kecil." Lalu hal itu terjadi.
0101190045	Demikianlah Allah membuat semuanya itu dan ia senang melihat hal itu.
01011a00ef	Kemudian Allah berkata, "Sekarang Kita akan membuat manusia yang akan menjadi seperti Kita dan menyerupai Kita. Mereka akan berkuasa atas ikan-ikan, burung-burung, dan segala binatang lain, baik jinak maupun liar, baik besar maupun kecil."
01011b0087	Demikianlah Allah menciptakan manusia, dan dijadikannya mereka seperti diri-Nya sendiri. Diciptakan-Nya mereka laki-laki dan perempuan.
01011c00e0	Kemudian diberkati-Nya mereka dengan ucapan "Beranakcuculah yang banyak, supaya keturunanmu mendiami seluruh muka bumi serta menguasainya. Kamu Kutugaskan mengurus ikan-ikan, burung-burung, dan semua binatang lain yang liar.
01011d0067	Untuk makananmu Kuberikan kepadamu segala jenis tumbuhan yang menghasilkan biji-bijian dan buah-buahan.
01011e0086	Tetapi kepada segala burung dan binatang liar lainnya, Kuberikan rumput dan tanaman berdaun sebagai makanannya." Maka hal itu terjadi.
01011f0086	Allah memandang segala sesuatu yang telah dibuat-Nya itu, dan Ia sangat senang. Malam lewat dan jadilah pagi. Itulah hari yang keenam.
0102010030	Maka selesailah penciptaan seluruh alam semesta.
0102020059	Pada hari yang ketujuh Allah telah menyelesaikan pekerjaan-Nya itu, lalu Ia beristirahat.
0102030099	Maka diberkati-Nya hari yang ketujuh itu dan dijadikan-Nya hari yang khusus, karena pada hari itu Allah beristirahat setelah menyelesaikan pekerjaan-Nya.
0102040050	Itulah riwayat penciptaan alam semesta. Ketika TUHAN Allah membuat alam semesta,
0102050097	belum ada benih yang bertunas dan belum ada tanam-tanaman di bumi, karena TUHAN belum menurunkan hujan dan belum ada orang untuk mengerjakan tanah itu.
0102060042	Tetapi air mulai merembes dari bawah dan membasahi permukaan bumi.
01020700b5	Kemudian TUHAN Allah mengambil sedikit tanah, membentuknya menjadi seorang manusia, lalu menghembuskan napas yang memberi hidup ke dalam lubang hidungnya; maka hiduplah manusia itu.
0102080081	Selanjutnya TUHAN Allah membuat taman di Eden, di sebelah timur, dan ditempatkan-Nya di situ manusia yang sudah dibentuk-Nya itu.
01020900df	TUHAN Allah menumbuhkan segala macam pohon yang indah, yang menghasilkan buah-buahan yang baik. Di tengah-tengah taman tumbuhlah pohon yang memberi hidup, dan pohon yang memberi pengetahuan tentang yang baik dan yang jahat.
01020a0070	Sebuah sungai mengalir dari Eden, membasahi taman itu; dan di luar Eden sungai itu terbagi menjadi empat cabang.
01020b004a	Yang pertama bernama Pison; sungai itu mengalir mengelilingi tanah Hawila.
01020c0061	Di situ terdapat emas murni dan juga wangi-wangian yang sulit diperoleh, serta batu-batu permata.
01020d0048	Sungai yang kedua bernama Gihon; airnya mengalir mengelilingi tanah Kus.
01020e0069	Sungai yang ketiga bernama Tigris dan mengalir di sebelah timur Asyur. Sungai yang keempat bernama Efrat.
01020f0066	Kemudian TUHAN Allah menempatkan manusia itu di taman Eden untuk mengerjakan dan memelihara taman itu.
0102100060	TUHAN berkata kepada manusia itu, "Engkau boleh makan buah-buahan dari semua pohon di taman ini,
01021100b3	kecuali dari pohon yang memberi pengetahuan tentang yang baik dan yang jahat. Buahnya tidak boleh engkau makan; jika engkau memakannya, engkau pasti akan mati pada hari itu juga."
0102120074	Lalu TUHAN Allah berkata, "Tidak baik manusia hidup sendirian. Aku akan membuat teman yang cocok untuk membantunya."
0102130125	Maka Ia mengambil sedikit tanah dan membentuk segala macam binatang darat dan binatang udara. Semuanya dibawa Allah kepada manusia itu untuk melihat nama apa yang akan diberikannya kepada binatang-binatang itu. Itulah asal mulanya binatang di darat dan di udara mendapat namanya masing-masing.
01021400a5	Demikianlah manusia itu memberi nama kepada semua binatang di darat dan di udara. Tetapi tidak satu pun di antaranya bisa menjadi teman yang cocok untuk membantunya.
01021500ab	Lalu TUHAN Allah membuat manusia tidur nyenyak, dan selagi ia tidur, TUHAN Allah mengeluarkan salah satu rusuk dari tubuh manusia itu, lalu menutup bekasnya dengan daging.
0102160055	Dari rusuk itu TUHAN membentuk seorang perempuan, lalu membawanya kepada manusia itu.
01021700ae	Maka berkatalah manusia itu, "Ini dia, orang yang sama dengan aku--tulang dari tulangku, dan daging dari dagingku. Kunamakan dia perempuan, karena ia diambil dari laki-laki."
0102180076	Itulah sebabnya orang laki-laki meninggalkan ayah dan ibunya, dan bersatu dengan istrinya, lalu keduanya menjadi satu.
0102190047	Laki-laki dan perempuan itu telanjang, tetapi mereka tidak merasa malu.
01030100de	Ular adalah binatang yang paling licik dari segala binatang yang dibuat oleh TUHAN Allah. Ular itu bertanya kepada perempuan itu, "Apakah Allah benar-benar melarang kalian makan buah-buahan dari segala pohon di taman ini?"
0103020059	"Kami boleh makan buah-buahan dari setiap pohon di dalam taman ini," jawab perempuan itu,
01030300a1	"kecuali dari pohon yang ada di tengah-tengah taman. Allah melarang kami makan buah dari pohon itu ataupun menyentuhnya; jika kami melakukannya, kami akan mati."
010304003c	Ular itu menjawab, "Itu tidak benar; kalian tidak akan mati.
01030500b1	Allah mengatakan itu karena dia tahu jika kalian makan buah itu, pikiran kalian akan terbuka; kalian akan menjadi seperti Allah dan mengetahui apa yang baik dan apa yang jahat."
0103060103	Perempuan itu melihat bahwa pohon itu indah, dan buahnya nampaknya enak untuk dimakan. Dan ia berpikir alangkah baiknya jika dia menjadi arif. Sebab itu ia memetik buah pohon itu, lalu memakannya, dan memberi juga kepada suaminya, dan suaminya pun memakannya.
01030700ad	Segera sesudah makan buah itu, pikiran mereka terbuka dan mereka sadar bahwa mereka telanjang. Sebab itu mereka menutupi tubuh mereka dengan daun ara yang mereka rangkaikan.
0103080096	Petang itu mereka mendengar TUHAN Allah berjalan di dalam taman, lalu mereka berdua bersembunyi di antara pohon-pohon supaya tidak dilihat oleh TUHAN.
0103090045	Tetapi TUHAN Allah berseru kepada laki-laki itu, "Di manakah engkau?"
01030a006d	Laki-laki itu menjawab, "Saya mendengar Engkau di taman; saya takut, jadi saya bersembunyi karena telanjang."
01030b0083	"Siapa yang mengatakan kepadamu bahwa engkau telanjang?" Allah bertanya. "Apakah engkau makan buah yang Kularang engkau makan itu?"
01030c0086	Laki-laki itu menjawab, "Perempuan yang Engkau berikan untuk menemani saya, telah memberi buah itu kepada saya, lalu saya memakannya."
01030d0080	TUHAN Allah bertanya kepada perempuan itu, "Mengapa kaulakukan itu?" Jawabnya, "Saya ditipu ular, sehingga saya makan buah itu."
01030e00fa	Sesudah itu TUHAN Allah berkata kepada ular itu, "Engkau akan dihukum karena perbuatanmu itu; dari segala binatang hanya engkau saja yang harus menanggung kutukan ini: Mulai sekarang engkau akan menjalar dengan perutmu, dan makan debu seumur hidupmu.
01030f00b3	Engkau dan perempuan itu akan saling membenci, keturunannya dan keturunanmu akan selalu bermusuhan. Keturunannya akan meremukkan kepalamu, dan engkau akan menggigit tumit mereka."
01031000e3	Lalu kata TUHAN kepada perempuan itu, "Aku akan menambah kesakitanmu selagi engkau hamil dan pada waktu engkau melahirkan. Tetapi meskipun demikian, engkau masih tetap berahi kepada suamimu, namun engkau akan tunduk kepadanya."
010311010a	Lalu kata TUHAN kepada laki-laki itu, "Engkau mendengarkan kata-kata istrimu lalu makan buah yang telah Kularang engkau makan. Karena perbuatanmu itu, terkutuklah tanah. Engkau harus bekerja keras seumur hidupmu agar tanah ini bisa menghasilkan cukup makanan bagimu.
0103120061	Semak dan duri akan dihasilkan tanah ini bagimu, dan tumbuh-tumbuhan liar akan menjadi makananmu.
01031300e6	Engkau akan bekerja dengan susah payah dan berkeringat untuk membuat tanah ini menghasilkan sesuatu, sampai engkau kembali kepada tanah, sebab dari tanahlah engkau dibentuk. Engkau dijadikan dari tanah, dan akan kembali ke tanah."
0103140054	Adam menamakan istrinya Hawa, karena perempuan itu menjadi ibu seluruh umat manusia.
0103150070	Maka TUHAN Allah membuat pakaian dari kulit binatang untuk Adam dan istrinya, lalu mengenakan-Nya kepada mereka.
01031600e8	TUHAN Allah berkata, "Sekarang manusia telah menjadi seperti Kita dan mempunyai pengetahuan tentang yang baik dan yang jahat. Jadi perlu dicegah dia makan buah pohon yang memberi hidup, supaya dia jangan hidup untuk selama-lamanya."
010317006e	Maka TUHAN Allah mengusir manusia dari taman Eden dan menyuruhnya mengusahakan tanah yang menjadi asalnya itu.
0103180111	Kemudian, di sebelah timur taman itu di depan pintu masuk, TUHAN Allah menempatkan kerub-kerub, dan sebilah pedang berapi yang berputar ke segala arah, untuk menjaga jalan ke pohon yang memberi hidup itu. Dengan demikian tak seorang pun dapat masuk dan mendekati pohon itu.
01040100e1	Kemudian Adam bersetubuh dengan Hawa, istrinya, dan hamillah wanita itu. Ia melahirkan seorang anak laki-laki dan berkata, "Dengan pertolongan TUHAN aku telah mendapat seorang anak laki-laki." Maka dinamakannya anak itu Kain.
0104020079	Lalu Hawa melahirkan seorang anak laki-laki lagi, namanya Habel. Habel menjadi gembala domba, tetapi Kain menjadi petani.
0104030065	Beberapa waktu kemudian Kain mengambil sebagian dari panenannya lalu mempersembahkannya kepada TUHAN.
01040400c0	Lalu Habel mengambil anak domba yang sulung dari salah seekor dombanya, menyembelihnya, lalu mempersembahkan bagian yang paling baik kepada TUHAN. TUHAN senang kepada Habel dan persembahannya,
0104050055	tetapi menolak Kain dan persembahannya. Kain menjadi marah sekali, dan mukanya geram.
010406004f	Maka berkatalah TUHAN kepada Kain, "Mengapa engkau marah? Mengapa mukamu geram?
