0100000008	Kejadian
010101002f	Pada mulanya Allah menciptakan langit dan bumi.
010102007a	Bumi belum berbentuk dan kosong; gelap gulita menutupi samudera raya, dan Roh Allah melayang-layang di atas permukaan air.
010103003b	Berfirmanlah Allah: "Jadilah terang." Lalu terang itu jadi.
0101040052	Allah melihat bahwa terang itu baik, lalu dipisahkan-Nyalah terang itu dari gelap.
010105006e	Dan Allah menamai terang itu siang, dan gelap itu malam. Jadilah petang dan jadilah pagi, itulah hari pertama.
010106005b	Berfirmanlah Allah: "Jadilah cakrawala di tengah segala air untuk memisahkan air dari air."
0101070089	Maka Allah menjadikan cakrawala dan Ia memisahkan air yang ada di bawah cakrawala itu dari air yang ada di atasnya. Dan jadilah demikian.
010108005c	Lalu Allah menamai cakrawala itu langit. Jadilah petang dan jadilah pagi, itulah hari kedua.
0101090091	Berfirmanlah Allah: "Hendaklah segala air yang di bawah langit berkumpul pada satu tempat, sehingga kelihatan yang kering." Dan jadilah demikian.
01010a0077	Lalu Allah menamai yang kering itu darat, dan kumpulan air itu dinamai-Nya laut. Allah melihat bahwa semuanya itu baik.
01010b00df	Berfirmanlah Allah: "Hendaklah tanah menumbuhkan tunas-tunas muda, tumbuh-tumbuhan yang berbiji, segala jenis pohon buah-buahan yang menghasilkan buah yang berbiji, supaya ada tumbuh-tumbuhan di bumi." Dan jadilah demikian.
01010c00bc	Tanah itu menumbuhkan tunas-tunas muda, segala jenis tumbuh-tumbuhan yang berbiji dan segala jenis pohon-pohonan yang menghasilkan buah yang berbiji. Allah melihat bahwa semuanya itu baik.
01010d0034	Jadilah petang dan jadilah pagi, itulah hari ketiga.
01010e00d7	Berfirmanlah Allah: "Jadilah benda-benda penerang pada cakrawala untuk memisahkan siang dari malam. Biarlah benda-benda penerang itu menjadi tanda yang menunjukkan masa-masa yang tetap dan hari-hari dan tahun-tahun,
01010f0062	dan sebagai penerang pada cakrawala biarlah benda-benda itu menerangi bumi." Dan jadilah demikian.
01011000b8	Maka Allah menjadikan kedua benda penerang yang besar itu, yakni yang lebih besar untuk menguasai siang dan yang lebih kecil untuk menguasai malam, dan menjadikan juga bintang-bintang.
010111003d	Allah menaruh semuanya itu di cakrawala untuk menerangi bumi,
0101120073	dan untuk menguasai siang dan malam, dan untuk memisahkan terang dari gelap. Allah melihat bahwa semuanya itu baik.
0101130035	Jadilah petang dan jadilah pagi, itulah hari keempat.
010114008c	Berfirmanlah Allah: "Hendaklah dalam air berkeriapan makhluk yang hidup, dan hendaklah burung beterbangan di atas bumi melintasi cakrawala."
