2800000006	Matayo
2801010054	Kitabu ka ukoo wang'wa Yesu Kilisto ng'wana wang'wa Daudi, ng'wana wang'wa Ibrahimu.
2801020067	Ibrahimu ae tata wang'wa Isaka, nu Isaka tata wang'wa Yakobo, nu Yakobo tata wang'wa Yuda nialuna akwe.
2801030072	U Yuda ae tata wang'wa Peresi nu Sera kung'wa Tamari, Peresi tata wang'wa Hezeroni, nu Hezeroni tata wang'wa Ramu.
2801040063	U Ramu ae tata wang'wa Aminadabu, Aminadabu tata wang'wa Nashoni, nu Nashoni tata wang'wa Salimoni.
2801050073	Salimoni ae tata wang'wa Boazi kung'wa Rahabu, u Boazi tata wang'wa Obedi kung'wa Ruthi, u Obedi tata wang'wa Yese,
280106005d	u Yese ae tata wang'wa mtemi Daudi, u Daudi ae tata wang'wa Sulemani kumu sungu wang'wa Uria.
2801070059	Sulemani ae tata wang'wa Rehoboamu, Rehoboamu tata wang'wa Abiya, Abiya tata wang'wa Asa.
280108005e	Asa ae tata wang'wa Yehoshafati, Yehoshafati tata wang'wa Yoramu, nu Yoramu tata wang'wa Uzia.
280109005c	Uzia ae tata wang'wa Yothamu, u Yothamu ae tata wang'wa Ahazi, u Ahazi tata wang'wa Hezekia.
28010a0058	Hezekia ae tata wang'wa Manase, u Manase tata wang'wa Amoni nu Amoni tata wang'wa Yosia.
28010b004c	U Yosia ae tata wang'wa Yekonia nialuna akwe naiahoilwe kulongola ku Babeli.
28010c006b	Nai aholwa kulongola ku Babeli, Yekonia ae tata wang'wa Shetieli, u Shetieli ai sekulu wakwe nu Zerubabeli.
28010d0060	Zerubabeli ai tata wang'wa Abiudi, Abiudi tata wang'wa Eliakimu, nu Eliakimu tata wang'wa Azori.
28010e0059	Azori ai tata wang'wa Zadoki, nu Zadoki tata wang'wa Akimu, nu Akimu tata wang'wa Eliudi.
28010f0058	Eliudi ae tata wang'wa Elieza, Elieza tata wang'wa Matani nu Matani tata wang'wa Yakobo.
2801100070	U Yakobo ai tata wang'wa Yusufu mugoha wang'wa Mariamu, kukeela ng'wenso u Yesu akatugwa, naewitangilwe Kilisto.
28011100d6	Wileli wehi puma u Ibrahimu nu Daudi ae wileli wikumi na inne, kupuma u Daudi nukunolwa kulongola ku Babeli ae wileli wi kumi na inne, nu kumakuholwa kulongola ku Babeli kupika kung'wa Yesu ae wileli ikumi na inne.
2801120086	Kutugwa kung'wa Yesu Kilisto aeitwile ite, Mariamu, auligigwe nu Yusufu, akaze akile kutankanya, akigeeleka ukete nda ang'wau ng'welu.
280113006d	Umugoha wakwe u Yusufu, ae muntu wa tai, singa akalowa kumuhumya uminyala u Mariamu. Akahia amuleke kenkunku.
28011400dc	Naukusiga ulukani nulanso, umalaika wang'wa Itunda akamizeela kukeela ndoti. Akalunga, “Yusufu ng'wana wang'wa Daudi, leka kugopa kumuhola u Mariamu anga msungu wako, nsoko inda nutite upatile kungulu ya ng'waung'welu.
280115005d	Ukitunguila ng'wana mgoha ni lina lakwe ukumitanga Yesu, kunsoko ukuaguna antu ni milandu ao.
2801160059	Aya ihi aigelekile kukondanilya iko naikiligitigwe ni Tunda kukeela anyakidagu, akalunga.
2801170082	Gozi umunanso ukuhola nda nukitunguela ng'wana mugoha, ilina lakwe ukitangwa Immanueli, nsoko akwe “Itunda palung'wi nu sese.”
280118005f	Yusufu akauka kupuma mutulo akituma anga naulagiigwe nu malaika akamuhola akatula msungu wakwe.
2801190058	Palung'wi nayo nanso singa aeihugee, singa akatugwa ung'wana akamitanga lina lakwe Yesu.
2802010097	Nae watugwa u Yesu mkisale ka Bethelehemu a Uyahudi mumahiku ang'wa mutemi Herode, eantu nia manyi kupuma kilya na kuli ikapika ku Yerusalemu ikalunga.
280202005f	Ukolipi uyu nutugilwe umutemi wa Ayahudi? Aza kuina nzota akwe kukilya nusese kapika kumukulya.
2802030062	Matungo nu Herode aewija inkani izi akaambwa masigo makulu, i Yerusalemu ihi palung'wi nung'wenso.
2802040065	Herode akailingiila iakulu ihi nawa neetunza inkani ya antu, akaakolya, “u Kilisto ukutugwa pee?”
2802050055	Akamuila, “ukutugwa ku Bethelehemu a Uyahudi, kunsoko uu aeyandikilwe nianyakidagu,
280206008d	Nue Bethelehemu, ihi ang'wa Yuda, singa wimunino muatongeeli ang'wa Yuda, kunsoko kupuma kitalako uzile mkulu nuziadima iantu ane Israeli.”
280207005a	Herode akaitanga iamanyi ankani kenkunku akaakolya ite matungo kelukulu inzota ai ezigela.
28020800a0	Akaatuma alongole ku Bethelehemu, akalunga, longoli kiisa uende mumuetume ung'wana nutugilwe. Matungo angamamuona, ulete inkani nunene nihuma kuza kumukulya.”
2802090080	Nai amija umtemi, ikalongoleka numuhinzo wao, ni nzota iyo naeamiine kukilya ikaatongeela ikimika migulya apo nung'wana utugiwe.
28020a0020	Nai amiona inzota ikalowa ikulu.
28020b008b	Ikingila mnyumba ikamuona ung'wana nutugilwe nu Mariamu unyinya wakwe. Ikamiloelya nukumukulya. Ikatungula imaintu nimaza naiatite ikamupa.
28020c006b	Itunda akaahugulya kukeela ndoti kusuka kung'wa Herode, kululo, ikahega kusuka kihe ao kukeela nzila ngiza.
28020d00cc	Nai akondya kuhega, malaika akamuzeela Yusufu kukeela ndoti akalunga, “Uka, muhole ung'wana nu nyinya wakwe mumankeele ku Misri. Musige kuko mpaka ninzemuila kunsoko u Herode wenda ukumupenza amubulage.
28020e0053	Utiku wuwo u Yusufu akauka akamuhola ung'wana nu nyinya wakwe ikamankiila ku Misri.
28020f0072	Akikie kuko mpaka u Herode ikasha. Iko naikilingiligwe numunyakidagu, “Kupuma ku Misri numitangile ung'waane.”
28021000e8	Kululo u Herode, akalunga kina iantu awa niahugu antendela ubi, akalaka. Akalagiilya kubulagwa ehi iang'enya niagoha ku Bethelehemu niatite miaka ibiile ni pihe apang'wanso kunsoko aiwakondya kulinga kukeela antu ao niamanyi ankani.
2802110045	Ingi nailakondigwa ulukani naeluligitigwe kukeela mnyakidagu Yeremia,
2802120095	Luli lukigela ku Ramah, kilelo nikinyauwai kikulu, u Raheli akazealila iana akwe, hangi akahita kupumbuligwa, kunsoko ikutile singaaziziona hangi.”
2802130055	U Herode naiwasha, umalaika akamuhanga u Yusufu kukeela ndoti kuko ku Misri akalunga,
2802140075	“Uka muhole ung'wana nunyinya wakwe, mlongole mihe a Israeli kunsoko awa naienda upenza upanga wa ng'wana akuza.”
280215004e	U Yusufu akauka akamuhola ung'wana nu nyinya wakwe, ikolongola mihe a Israeli.
28021600c3	Ingi gwa nae wija kina Arikelau ae mutemi Yuda pang'wa tata wakwe u Herode. Akogopa kulongola kung'wanso. Matungo ni Tunda nae wamuhugula kukeela mundoti, akahega akalongola mukisali ka Galilaya.
280217008e	Hangi akalongola kikie mukisali nikitangwa Nazareti. Ike aekekondaniye iko naikiligitigwe kukeela nzila aanyakedagu, kina ukitangwa Mnazareti.
280301005c	I mahiku ayo u Yohana Mbatizaji auzile akazetanantya ulukani mumbuga ang'wa Yuda akazelunga,
2803020036	Leki imilandu kunsoko utemi wa kigulu ukole pakupe.”
2803030094	Kunsoko yuyu nauligitigwe numunyakidagu u Isaya ikalunga, “Luli la muntu nukitanga mumbuga, leki uza inzila ya Mkulu, gooli kisa imapanda akwe.”
2803040074	U Yohana autugae mauli angamia hangi akitunga numusipi wa ndili mkileno kakwe indya yakwe ai ngaga nu uki wa mihaka.
280305005f	Hangi Yerusalemu, Yuda ihi, nikisali kihi nikepilimiye umongo wa Yorodani ikalongola kitalakwe.
280306003b	Aizabadisigwa mumongo wa Yorodani nukila itunu imilandu ao.
2803070099	Sunga akatyatwa unuduu wa mafarisayo ni masadukayo kuza kubadisigwa, akaeela, unye wileli wa nzoka nikete sumu nyenyu numuhuguye kuutiga uubi nupembilye?
2803080034	Tugi imaintu nahegekile mumilandu, namuloeye Itunda.
280309008f	Leki kusige nukikolya kung'wanyu kutite u Ibrahimu anga tata witu, inge kumuila Itunda uhumile kumuukilya u Ibrahimu iana kupumila mumagwe aya.
28030a005f	Ihengo aikwa mumuli wa muti, kulule umuti nishawipeza indya ninza witeng'wa nukugung'wa mumoto.
28030b00be	Kumubadiza kunzila amazi, nukumuhugilya muhueli. Kululo uyu nupembilye ukete ingulu kukila unene, hangi kuleng'wa lukulu kukenka ilatu yakwe. Nuanso ukuabadisa kukeela ng'waung'welu nu moto.
28030c008c	Ipetelo nilakupelela ingano likole mumikono akwe, kilingila iyo ninza misalanka. Kululo gwa iyo nikite ipuko ikusonswa umoto uo nishawilima.
28030d005c	Sunga u Yesu akaza kupembelya kugalilaya akapika mumongo wa Yorodani akabadisigwa nu Yohana.
28030e0053	Yohana akahia amugilye akalunga, unene ntakile mbadisigwe nuewe, nikawaza kitalane?
28030f007a	U Yesu akasusha akalunga, “Gomba itule uu itungile. Kunsoko yatula kukondanilye itai ehi.” Sunga u Yohana akamugombya.
280310009f	Naiwamala kubadisigwa, u Yesu akapuma mumazi, Ilunde likaluguka kitalakwe. Akamuona ng'waung'welu wang'wi Tunda akazesima anga inkunda nukukilaja migulya akwe.
2803110061	Goza, luli ailupumie kilunde lukalunga, “Uyu ng'waane mlowa. ni ndoeigwe nangulu nung'wenso.”
2804010054	Sunga u Yesu akatongeelwa nung'waung'welu akapika mumbuga ahume kugeng'wa nu mulugu.
280402005e	Pang'wanso ae wiimile kulya indya mahiku makumi anne utiku nu ng'ung'wi sunga akahungwa nzala.
280403005b	Mugemi akaza akamuila, “Angwe tai weng'wana wang'wi Tunda maile imagwe aya atule ndya.”
2804040090	U Yesu akasukeelya akamuila, “Yandikilwe, u muntu singa uhumile kikie ni ndya du, uhumilye kikie nalukani nulupumie mumolomo wang'wi Tunda.”
2804050052	Sunga umulugu akamutwala mukisali nikiza nukumuika pigulya a nyumba ang'wa Itunda.
28040600bc	Akamuila, “ang'wi wing'wana wang'wi Tunda, puta pihi nsoko yaandikilye, ukuaila iamalaika akwe akuuke uleke kugwa, hangi akuuhumbula na mikono ao. Sunga shukukumpa umagulu wako pigwe.”
280407003e	U Yesu akaaila, “Hangi yandikilwe, leka kumgema Itunda wako.
