0100000006	Genesi
010101002b	In principio Dio creò il cielo e la terra.
010102006f	Ora la terra era informe e deserta e le tenebre ricoprivano l'abisso e lo spirito di Dio aleggiava sulle acque.
010103002a	Dio disse: «Sia la luce!». E la luce fu.
0101040043	Dio vide che la luce era cosa buona e separò la luce dalle tenebre
0101050052	e chiamò la luce giorno e le tenebre notte. E fu sera e fu mattina: primo giorno.
0101060057	Dio disse: «Sia il firmamento in mezzo alle acque per separare le acque dalle acque».
0101070083	Dio fece il firmamento e separò le acque, che sono sotto il firmamento, dalle acque, che son sopra il firmamento. E così avvenne.
0101080048	Dio chiamò il firmamento cielo. E fu sera e fu mattina: secondo giorno.
0101090075	Dio disse: «Le acque che sono sotto il cielo, si raccolgano in un solo luogo e appaia l'asciutto». E così avvenne.
01010a0058	Dio chiamò l'asciutto terra e la massa delle acque mare. E Dio vide che era cosa buona.
01010b00b5	E Dio disse: «La terra produca germogli, erbe che producono seme e alberi da frutto, che facciano sulla terra frutto con il seme, ciascuno secondo la sua specie». E così avvenne:
01010c00bf	la terra produsse germogli, erbe che producono seme, ciascuna secondo la propria specie e alberi che fanno ciascuno frutto con il seme, secondo la propria specie. Dio vide che era cosa buona.
01010d0025	E fu sera e fu mattina: terzo giorno.
01010e0099	Dio disse: «Ci siano luci nel firmamento del cielo, per distinguere il giorno dalla notte; servano da segni per le stagioni, per i giorni e per gli anni
01010f0056	e servano da luci nel firmamento del cielo per illuminare la terra». E così avvenne:
0101100079	Dio fece le due luci grandi, la luce maggiore per regolare il giorno e la luce minore per regolare la notte, e le stelle.
010111003c	Dio le pose nel firmamento del cielo per illuminare la terra
0101120062	e per regolare giorno e notte e per separare la luce dalle tenebre. E Dio vide che era cosa buona.
0101130026	E fu sera e fu mattina: quarto giorno.
0101140076	Dio disse: «Le acque brulichino di esseri viventi e uccelli volino sopra la terra, davanti al firmamento del cielo».
01011500ca	Dio creò i grandi mostri marini e tutti gli esseri viventi che guizzano e brulicano nelle acque, secondo la loro specie, e tutti gli uccelli alati secondo la loro specie. E Dio vide che era cosa buona.
010116007c	Dio li benedisse: «Siate fecondi e moltiplicatevi e riempite le acque dei mari; gli uccelli si moltiplichino sulla terra».
0101170026	E fu sera e fu mattina: quinto giorno.
0101180095	Dio disse: «La terra produca esseri viventi secondo la loro specie: bestiame, rettili e bestie selvatiche secondo la loro specie». E così avvenne:
01011900af	Dio fece le bestie selvatiche secondo la loro specie e il bestiame secondo la propria specie e tutti i rettili del suolo secondo la loro specie. E Dio vide che era cosa buona.
