0100000009	創世記
0101010027	元始に神天地を創造たまへり
010102005a	地は定形なく曠空くして黑暗淵の面にあり神の靈水の面を覆たりき
0101030030	神光あれと言たまひければ光ありき
010104003f	神光を善と觀たまへり神光と暗を分ちたまへり
010105005a	神光を晝と名け暗を夜と名けたまへり夕あり朝ありき是首の日なり
010106004e	神言たまひけるは水の中に穹蒼ありて水と水とを分つべし
0101070066	神穹蒼を作りて穹蒼の下の水と穹蒼の上の水とを判ちたまへり即ち斯なりぬ
0101080048	神穹蒼を天と名けたまへり夕あり朝ありき是二日なり
0101090066	神言たまひけるは天の下の水は一處に集りて乾ける土顯べしと即ち斯なりぬ
01010a0066	神乾ける土を地と名け水の集合るを海と名けたまへり神之を善と觀たまへり
01010b00b7	神言たまひけるは地は靑草と實蓏を生ずる草蔬と其類に從ひ果を結びみづから核をもつ所の果を結ぶ樹を地に發出すべしと即ち斯なりぬ
01010c00a2	地靑草と其類に從ひ實蓏を生ずる草蔬と其類に從ひ果を結てみづから核をもつ所の樹を發出せり神これを善と觀たまへり
01010d0024	夕あり朝ありき是三日なり
01010e0090	神言たまひけるは天の穹蒼に光明ありて晝と夜とを分ち又天象のため時節のため日のため年のために成べし
01010f004e	又天の穹蒼にありて地を照す光となるべしと即ち斯なりぬ
010110008a	神二の巨なる光を造り大なる光に晝を司どらしめ小き光に夜を司どらしめたまふまた星を造りたまへり
0101110033	神これを天の穹蒼に置て地を照さしめ
010112005d	晝と夜を司どらしめ光と暗を分たしめたまふ神これを善と觀たまへり
0101130024	夕あり朝ありき是四日なり
0101140066	神云たまひけるは水には生物饒に生じ鳥は天の穹蒼の面に地の上に飛べしと
01011500b7	神巨なる魚と水に饒に生じて動く諸の生物を其類に從ひて創造り又羽翼ある諸の鳥を其類に從ひて創造りたまへり神之を善と觀たまへり
010116005a	神之を祝して曰く生よ繁息よ海の水に充牣よ又禽鳥は地に蕃息よと
0101170024	夕あり朝ありき是五日なり
0101180087	神言給ひけるは地は生物を其類に從て出し家畜と昆蟲と地の獸を其類に從て出すべしと即ち斯なりぬ
0101190090	神地の獸を其類に從て造り家畜を其類に從て造り地の諸の昆蟲を其類に從て造り給へり神之を善と觀給へり
01011a00ae	神言給けるは我儕に象りて我儕の像の如くに我儕人を造り之に海の魚と天空の鳥と家畜と全地と地に匍ふ所の諸の昆蟲を治めんと
01011b0078	神其像の如くに人を創造たまへり即ち神の像の如くに之を創造之を男と女に創造たまへり
01011c00ab	神彼等を祝し神彼等に言たまひけるは生よ繁殖よ地に滿盈よ之を服從せよ又海の魚と天空の鳥と地に動く所の諸の生物を治めよ
01011d00ae	神言たまひけるは視よ我全地の面にある實蓏のなる諸の草蔬と核ある木果の結る諸の樹とを汝等に與ふこれは汝らの糧となるべし
01011e00a2	又地の諸の獸と天空の諸の鳥および地に匍ふ諸の物等凡そ生命ある者には我食物として諸の靑き草を與ふと即ち斯なりぬ
01011f0066	神其造りたる諸の物を視たまひけるに甚だ善りき夕あり朝ありき是六日なり
0102010027	斯天地および其衆群悉く成ぬ
010202006f	第七日に神其造りたる工を竣たまへり即ち其造りたる工を竣て七日に安息たまへり
010203008d	神七日を祝して之を神聖めたまへり其は神其創造爲たまへる工を盡く竣て是日に安息みたまひたればなり
0102040060	ヱホバ神地と天を造りたまへる日に天地の創造られたる其由來は是なり
01020500ae	野の諸の灌木は未だ地にあらず野の諸の草蔬は未生ぜざりき其はヱホバ神雨を地に降せたまはず亦土地を耕す人なかりければなり
0102060036	霧地より上りて土地の面を遍く潤したり
0102070069	ヱホバ神土の塵を以て人を造り生氣を其鼻に嘘入たまへり人即ち生靈となりぬ
010208005a	ヱホバ神エデンの東の方に園を設て其造りし人を其處に置たまへり
010209009f	ヱホバ神觀に美麗く食ふに善き各種の樹を土地より生ぜしめ又園の中に生命の樹および善惡を知の樹を生ぜしめ給へり
01020a004e	河エデンより出て園を潤し彼處より分れて四の源となれり
01020b0057	其第一の名はピソンといふ是は金あるハビラの全地を繞る者なり
01020c003c	其地の金は善し又ブドラクと碧玉彼處にあり
01020d004e	第二の河の名はギホンといふ是はクシの全地を繞る者なり
01020e007e	第三の河の名はヒデケルといふ是はアッスリヤの東に流るるものなり第四の河はユフラテなり
01020f0060	ヱホバ神其人を挈て彼をエデンの園に置き之を埋め之を守らしめ給へり
0102100072	ヱホバ神其人に命じて言たまひけるは園の各種の樹の果は汝意のままに食ふことを得
010211006f	然ど善惡を知の樹は汝その果を食ふべからず汝之を食ふ日には必ず死べければなり
010212006c	ヱホバ神言たまひけるは人獨なるは善らず我彼に適ふ助者を彼のために造らんと
01021300ea	ヱホバ神土を以て野の諸の獸と天空の諸の鳥を造りたまひてアダムの之を何と名るかを見んとて之を彼の所に率ゐいたりたまへりアダムが生物に名けたる所は皆其名となりぬ
0102140081	アダム諸の家畜と天空の鳥と野の諸の獸に名を與へたり然どアダムには之に適ふ助者みえざりき
0102150081	是に於てヱホバ神アダムを熟く睡らしめ睡りし時其肋骨の一を取り肉をもて其處を填塞たまへり
010216006f	ヱホバ神アダムより取たる肋骨を以て女を成り之をアダムの所に携きたりたまへり
0102170081	アダム言けるは此こそわが骨の骨わが肉の肉なれ此は男より取たる者なれば之を女と名くべしと
0102180051	是故に人は其父母を離れて其妻に好合ひ二人一體となるべし
010219003c	アダムと其妻は二人倶に裸體にして愧ざりき
01030100ae	ヱホバ神の造りたまひし野の生物の中に蛇最も狡猾し蛇婦に言ひけるは神眞に汝等園の諸の樹の果は食ふべからずと言たまひしや
010302003f	婦蛇に言けるは我等園の樹の果を食ふことを得
0103030087	然ど園の中央に在樹の果實をば神汝等之を食ふべからず又之に捫るべからず恐は汝等死んと言給へり
0103040036	蛇婦に言けるは汝等必らず死る事あらじ
010305007e	神汝等が之を食ふ日には汝等の目開け汝等神の如くなりて善惡を知に至るを知りたまふなりと
01030600c0	婦樹を見ば食に善く目に美麗しく且智慧からんが爲に慕はしき樹なるによりて遂に其果實を取て食ひ亦之を己と偕なる夫に與へければ彼食へり
0103070075	是において彼等の目倶に開て彼等其裸體なるを知り乃ち無花果樹の葉を綴て裳を作れり
01030800ab	彼等園の中に日の清涼き時分歩みたまふヱホバ神の聲を聞しかばアダムと其妻即ちヱホバ神の面を避て園の樹の間に身を匿せり
0103090051	ヱホバ神アダムを召て之に言たまひけるは汝は何處にをるや
01030a0063	彼いひけるは我園の中に汝の聲を聞き裸體なるにより懼れて身を匿せりと
01030b0093	ヱホバ言たまひけるは誰が汝の裸なるを汝に告しや汝は我が汝に食ふなかれと命じたる樹の果を食ひたりしや
01030c0081	アダム言けるは汝が與て我と偕ならしめたまひし婦彼其樹の果實を我にあたへたれば我食へりと
01030d007e	ヱホバ神婦に言たまひけるは汝がなしたる此事は何ぞや婦言けるは蛇我を誘惑して我食へりと
01030e00ae	ヱホバ神蛇に言たまひけるは汝是を爲たるに因て汝は諸の家畜と野の諸の獸よりも勝りて詛はる汝は腹行て一生の間塵を食ふべし
01030f0084	又我汝と婦の間および汝の苗裔と婦の苗裔の間に怨恨を置ん彼は汝の頭を碎き汝は彼の踵を碎かん
0103100093	又婦に言たまひけるは我大に汝の懷姙の劬勞を増すべし汝は苦みて子を產ん又汝は夫をしたひ彼は汝を治めん
01031100e4	又アダムに言たまひけるは汝その妻の言を聽て我が汝に命じて食ふべからずと言たる樹の果を食ひしに縁て土は汝のために詛はる汝は一生のあひだ勞苦て其より食を得ん
010312005a	土は荊棘と薊とを汝のために生ずべしまた汝は野の草蔬を食ふべし
0103130093	汝は面に汗して食物を食ひ終に土に歸らん其は其中より汝は取れたればなり汝は塵なれば塵に皈るべきなりと
010314005a	アダム其妻の名をヱバと名けたり其は彼は群の生物の母なればなり
0103150057	ヱホバ神アダムと其妻のために皮衣を作りて彼等に衣せたまへり
