0100000009	創世記
0101010033	はじめに神は天と地とを創造された。
0101020078	地は形なく、むなしく、やみが淵のおもてにあり、神の霊が水のおもてをおおっていた。
0101030042	神は「光あれ」と言われた。すると光があった。
0101040060	神はその光を見て、良しとされた。神はその光とやみとを分けられた。
010105007e	神は光を昼と名づけ、やみを夜と名づけられた。夕となり、また朝となった。第一日である。
0101060063	神はまた言われた、「水の間におおぞらがあって、水と水とを分けよ」。
0101070087	そのようになった。神はおおぞらを造って、おおぞらの下の水とおおぞらの上の水とを分けられた。
0101080072	神はそのおおぞらを天と名づけられた。夕となり、また朝となった。第二日である。
0101090084	神はまた言われた、「天の下の水は一つ所に集まり、かわいた地が現れよ」。そのようになった。
01010a0087	神はそのかわいた地を陸と名づけ、水の集まった所を海と名づけられた。神は見て、良しとされた。
01010b00bd	神はまた言われた、「地は青草と、種をもつ草と、種類にしたがって種のある実を結ぶ果樹とを地の上にはえさせよ」。そのようになった。
01010c00ae	地は青草と、種類にしたがって種をもつ草と、種類にしたがって種のある実を結ぶ木とをはえさせた。神は見て、良しとされた。
01010d003c	夕となり、また朝となった。第三日である。
01010e00a8	神はまた言われた、「天のおおぞらに光があって昼と夜とを分け、しるしのため、季節のため、日のため、年のためになり、
01010f005a	天のおおぞらにあって地を照らす光となれ」。そのようになった。
0101100096	神は二つの大きな光を造り、大きい光に昼をつかさどらせ、小さい光に夜をつかさどらせ、また星を造られた。
0101110045	神はこれらを天のおおぞらに置いて地を照らさせ、
0101120072	昼と夜とをつかさどらせ、光とやみとを分けさせられた。神は見て、良しとされた。
010113003c	夕となり、また朝となった。第四日である。
0101140075	神はまた言われた、「水は生き物の群れで満ち、鳥は地の上、天のおおぞらを飛べ」。
01011500ed	神は海の大いなる獣と、水に群がるすべての動く生き物とを、種類にしたがって創造し、また翼のあるすべての鳥を、種類にしたがって創造された。神は見て、良しとされた。
0101160081	神はこれらを祝福して言われた、「生めよ、ふえよ、海の水に満ちよ、また鳥は地にふえよ」。
010117003c	夕となり、また朝となった。第五日である。
01011800c3	神はまた言われた、「地は生き物を種類にしたがっていだせ。家畜と、這うものと、地の獣とを種類にしたがっていだせ」。そのようになった。
01011900ba	神は地の獣を種類にしたがい、家畜を種類にしたがい、また地に這うすべての物を種類にしたがって造られた。神は見て、良しとされた。
01011a00f3	神はまた言われた、「われわれのかたちに、われわれにかたどって人を造り、これに海の魚と、空の鳥と、家畜と、地のすべての獣と、地のすべての這うものとを治めさせよう」。
01011b0081	神は自分のかたちに人を創造された。すなわち、神のかたちに創造し、男と女とに創造された。
01011c00c6	神は彼らを祝福して言われた、「生めよ、ふえよ、地に満ちよ、地を従わせよ。また海の魚と、空の鳥と、地に動くすべての生き物とを治めよ」。
01011d00ea	神はまた言われた、「わたしは全地のおもてにある種をもつすべての草と、種のある実を結ぶすべての木とをあなたがたに与える。これはあなたがたの食物となるであろう。
01011e00c9	また地のすべての獣、空のすべての鳥、地を這うすべてのもの、すなわち命あるものには、食物としてすべての青草を与える」。そのようになった。
01011f009c	神が造ったすべての物を見られたところ、それは、はなはだ良かった。夕となり、また朝となった。第六日である。
010201003c	こうして天と地と、その万象とが完成した。
0102020081	神は第七日にその作業を終えられた。すなわち、そのすべての作業を終って第七日に休まれた。
01020300a2	神はその第七日を祝福して、これを聖別された。神がこの日に、そのすべての創造のわざを終って休まれたからである。
010204005a	これが天地創造の由来である。主なる神が地と天とを造られた時、
01020500b1	地にはまだ野の木もなく、また野の草もはえていなかった。主なる神が地に雨を降らせず、また土を耕す人もなかったからである。
010206004b	しかし地から泉がわきあがって土の全面を潤していた。
0102070087	主なる神は土のちりで人を造り、命の息をその鼻に吹きいれられた。そこで人は生きた者となった。
0102080072	主なる神は東のかた、エデンに一つの園を設けて、その造った人をそこに置かれた。
01020900ba	また主なる神は、見て美しく、食べるに良いすべての木を土からはえさせ、更に園の中央に命の木と、善悪を知る木とをはえさせられた。
01020a006f	また一つの川がエデンから流れ出て園を潤し、そこから分れて四つの川となった。
01020b0060	その第一の名はピソンといい、金のあるハビラの全地をめぐるもので、
01020c005d	その地の金は良く、またそこはブドラクと、しまめのうとを産した。
01020d004e	第二の川の名はギホンといい、クシの全地をめぐるもの。
01020e007e	第三の川の名はヒデケルといい、アッスリヤの東を流れるもの。第四の川はユフラテである。
01020f0075	主なる神は人を連れて行ってエデンの園に置き、これを耕させ、これを守らせられた。
010210008d	主なる神はその人に命じて言われた、「あなたは園のどの木からでも心のままに取って食べてよろしい。
010211008a	しかし善悪を知る木からは取って食べてはならない。それを取って食べると、きっと死ぬであろう」。
0102120090	また主なる神は言われた、「人がひとりでいるのは良くない。彼のために、ふさわしい助け手を造ろう」。
010213010e	そして主なる神は野のすべての獣と、空のすべての鳥とを土で造り、人のところへ連れてきて、彼がそれにどんな名をつけるかを見られた。人がすべて生き物に与える名は、その名となるのであった。
01021400a8	それで人は、すべての家畜と、空の鳥と、野のすべての獣とに名をつけたが、人にはふさわしい助け手が見つからなかった。
0102150090	そこで主なる神は人を深く眠らせ、眠った時に、そのあばら骨の一つを取って、その所を肉でふさがれた。
0102160075	主なる神は人から取ったあばら骨でひとりの女を造り、人のところへ連れてこられた。
01021700b4	そのとき、人は言った。「これこそ、ついにわたしの骨の骨、わたしの肉の肉。男から取ったものだから、これを女と名づけよう」。
0102180060	それで人はその父と母を離れて、妻と結び合い、一体となるのである。
0102190066	人とその妻とは、ふたりとも裸であったが、恥ずかしいとは思わなかった。
01030100ed	さて主なる神が造られた野の生き物のうちで、へびが最も狡猾であった。へびは女に言った、「園にあるどの木からも取って食べるなと、ほんとうに神が言われたのですか」。
010302006f	女はへびに言った、「わたしたちは園の木の実を食べることは許されていますが、
01030300b1	ただ園の中央にある木の実については、これを取って食べるな、これに触れるな、死んではいけないからと、神は言われました」。
010304005d	へびは女に言った、「あなたがたは決して死ぬことはないでしょう。
0103050099	それを食べると、あなたがたの目が開け、神のように善悪を知る者となることを、神は知っておられるのです」。
01030600e4	女がその木を見ると、それは食べるに良く、目には美しく、賢くなるには好ましいと思われたから、その実を取って食べ、また共にいた夫にも与えたので、彼も食べた。
010307009f	すると、ふたりの目が開け、自分たちの裸であることがわかったので、いちじくの葉をつづり合わせて、腰に巻いた。
01030800cf	彼らは、日の涼しい風の吹くころ、園の中に主なる神の歩まれる音を聞いた。そこで、人とその妻とは主なる神の顔を避けて、園の木の間に身を隠した。
010309005d	主なる神は人に呼びかけて言われた、「あなたはどこにいるのか」。
01030a0090	彼は答えた、「園の中であなたの歩まれる音を聞き、わたしは裸だったので、恐れて身を隠したのです」。
01030b00b1	神は言われた、「あなたが裸であるのを、だれが知らせたのか。食べるなと、命じておいた木から、あなたは取って食べたのか」。
