0100000009	Ïïjjïn
010101003d	Wääna Jooŋ ïïjjenee kä naŋŋä polloŋ ke ŋommañ ye,
0101020085	nänṭä ladaŋ aŋ batta cääygene biilke, aŋ mïïllä kul piik agee kä ääton wic, aŋ Wääktäŋ Jooŋ ken laay piik witin.
0101030047	Aŋ Jooŋ jaajjin ogo, “Dalä bownu wäätï!” Aŋ bownu wäättä.
010104004b	Aŋ Jooŋ bownu yoorre ŋeraŋ, aŋ Jooŋ bownu kiimme gïtï ke mïïllä.
01010500b4	Aŋ Jooŋ bownu äkkene ogo, “Äŋ jïñe.” Aŋ mïïllä äkkene ogo, “Wïïrïn jïñe.” Aŋ biigin ti ḍakkä aŋ tïṇṇäŋänä äätin aŋ a nïïnnä kä keelok.
0101060067	Aŋ Jooŋ jaajjin ogo, “Dalä kewnä wäätï ṭeejjük piitti, aŋ wäätï a waan piik ke piik.”
0101070070	Aŋ Jooŋ näŋŋä kewnä, aŋ piik yek mä ïñïnä ke piik yek mä ñaaloŋŋu kiimme gïtï. Aŋ wäättä.
0101080082	Aŋ kewnä mä ñaaloŋŋu äkki Jooŋ ogo polloŋ. Aŋ biigin ti ḍakkä aŋ tïṇṇäŋänä äätin aŋ a nïïnkä kä yew.
0101090091	Aŋ Jooŋ jaajjin ogo, “Piik yaaka ïñï polloŋ ŋoy ye, yoken ḍüljï nänṭä keellä, aŋ nänṭä ïwon üüko woo.” Aŋ wäättä.
01010a009c	Aŋ Jooŋ nänṭä ïwon äkkene ogo ŋommañ, aŋ nänṭ'a piik yoken agene kä ḍülgïn ye, äkkene ogo wiykä mäyken. Aŋ yoori Jooŋ aŋan ŋeraŋ.
01010b00b5	Aŋ Jooŋ jaajjin ogo, “Dalä wakkä garkä yül ŋommañ wic, aŋ gidok ṭulgen aŋ äcä käwkä, aŋ jengä gidok ṭulgen aŋ äcä käwkä daa kä biilken.” Aŋ wäättä.
01010c00a7	Aŋ ŋommañ wiñe yüllü kä wakkä garkä aŋ gidok ṭulgen aŋ äcä käwkä, aŋ jengä gidok ṭulgen ke käwken daa kä biilken. Aŋ yoori Jooŋ aŋan ŋeraŋ.
01010d0051	Aŋ biigin ti ḍakkä aŋ tïṇṇäŋänä äätin aŋ a nïïnkä kä ḍäk.
01010e00a4	Aŋ Jooŋ jaajjin ogo, “Dalä wakkä bowku wäätï ñaalok polloŋ jï kïpï gïtï äŋ jïñe ke wïïrïn jïñe aŋ nüütï waadgä ke nïïnkä ke yuungu.
01010f0068	Aŋ dalä waak bowku wäätï ñaalok polloŋ jï aŋ dïïkïdï ïñï ŋommañ wic.” Aŋ wäättä.
01011000dc	Aŋ Jooŋ näŋŋä waak yaaka yäwaŋ dïïkïdï ïñï ye, kä yewwe. Bownu yaana tälaŋ ye, ken tïïcï äŋ jïñe, aŋ bownu yaana ḍeeḍaŋ ye, ken tïïcï wïïrïn jïñe. Aŋ cäänna Jooŋ kirkä naŋŋe.
010111004b	Aŋ iken ḍooci Jooŋ ñaalok polloŋ jï dïïkïdï ïñï ŋommañ wic,
0101120072	aŋ tïïcï äŋ jïñe ke wïïrïn jïñe, aŋ kïpï gïtï bownu ke mïïllä. Aŋ yoori Jooŋ aŋan ŋeraŋ.
010113004f	Aŋ biigin ti ḍakkä aŋ tïṇṇäŋänä äätin aŋ a nïïnkä kä ŋan.
