2800000005	Mateo
280101005c	Are waꞌ ri kibꞌiꞌ ri e ratiꞌt umam ri Jesús rijaꞌl ri David, rijaꞌl ri Abraham.
2801020077	Ri Abraham are utat ri Isaac, ri Isaac are utat ri Jacob, ri Jacob are utat ri Judá xuqujeꞌ are kitat ri e rachalal.
280103007a	Ri Judá are utat ri Fares xuqujeꞌ ri Zera (are kinan ri Tamar), ri Fares are utat ri Ezrón, ri Ezrón are utat ri Ram.
280104005d	Ri Ram are utat ri Aminadab, ri Aminadab are utat ri Naasón, ri Naasón are utat ri Salmón.
2801050077	Ri Salmón are utat ri Booz (are unan ri Rahab), ri Booz are utat ri Obed (are unan ri Rut), ri Obed are utat ri Isaí.
2801060070	Ri Isaí are utat ri taqanel David, ri David are utat ri Salomón (are unan ri Betsabé, rixoqil kan ri Urías).
280107005d	Ri Salomón are utat ri Roboám, ri Roboám are utat ri Abdías, ri Abdías are utat ri Asá.
2801080059	Ri Asá are utat ri Josafat, ri Josafat are utat ri Jorán, ri Jorán are utat ri Uzías.
2801090058	Ri Uzías are utat ri Jotán, ri Jotán are utat ri Acaz, ri Acaz are utat ri Ezequías.
28010a005f	Ri Ezequías are utat ri Manasés, ri Manasés are utat ri Amón, ri Amón are utat ri Josías.
28010b009d	Xuqujeꞌ ri Josías are utat ri Jeconías xuqujeꞌ are kitat ri e rachalal che taq riꞌ are xekꞌam bꞌik ri winaq aꞌj Israel pa ri tinimit Babilonia.
28010c0093	Are ikꞌowinaq chi ri qꞌotaj are xetzalij ri winaq aꞌj Israel pa Babilonia, ri Jeconías xutik ri Salatiel, ri Salatiel are utat ri Zorobabel.
28010d005e	Ri Zorobabel are utat ri Abiud, ri Abiud are utat ri Eliaquín, ri Eliaquín are utat ri Azor.
28010e0054	Ri Azor are utat ri Sadoc, ri Sadoc are utat ri Aquín, ri Aquín are utat ri Eliud.
28010f0059	Ri Eliud are utat ri Eleazar, ri Eleazar are utat ri Matán, ri Matán are utat ri Jacob.
2801100065	Xuqujeꞌ ri Jacob are utat ri José, rachajil ri María, ri unan ri Jesús, ri kabꞌix Mesías che.
2801110204	Xaq jeriꞌ e kajlajuj puq winaq atiꞌt mam kitereneꞌlom kibꞌ xchapleꞌtaj loq rukꞌ ri Abraham xultoqꞌol rukꞌ ri David, kꞌa te riꞌ e kajlajuj puq winaq chik atiꞌt mam kitereneꞌlom kibꞌ xchapleꞌtaj loq rukꞌ ri David xopan kꞌa pa ri qꞌij are xekꞌam bꞌik ri winaq aꞌj Israel pa ri tinimit Babilonia, xuqujeꞌ kajlajuj puq winaq atiꞌt mam kitereneꞌloꞌm kibꞌ xchapleꞌtaj loq pa ri qꞌij ri xekꞌam bꞌik pa ri tinimit Babilonia kꞌa pa taq ri qꞌij are xalax ri Cristo.
28011200e6	Are waꞌ ri xkꞌulmatajik are xalax ri Jesús, ri Cristo. Ri María unan ri Jesús jubꞌiqꞌ karaj kakꞌuliꞌ rukꞌ ri José, majoꞌq kꞌu kakꞌuliꞌk are xkanaj yawabꞌ winaq rumal ri ukwinem ri Tyoxalaj Uxlabꞌixel.
28011300b1	Ri José ri rachajil ri María, rumal cher sukꞌ ranimaꞌ, man xraj taj xuya ri rixoqil pa ukꞌixibꞌal, xuchomaj kuqꞌat ribꞌ che ri rixoqil, maj jachin che xutzijoj wi.
2801140104	Tajin kꞌu kuchomaj ubꞌanik we riꞌ are xukꞌut ribꞌ jun ángel rech ri Ajawxel choch pa ri uwaram, xubꞌij che: José, rijaꞌl ri David, man kaxiꞌj ta awibꞌ kakꞌam che awixoqil ri María, rumal cher are ri Tyoxalaj Uxlabꞌixel xtikoꞌnij che.
2801150078	Kakꞌojiꞌ kꞌu na jun ral ala, kakoj na Jesús che ubꞌiꞌ, rumal cher areꞌ kakolow na ri utinimit che ri kimak.
2801160090	Ronojel we jastaq riꞌ xbꞌantajik rech kakꞌulmataj ronojel ri ubꞌim loq ri Ajawxel chuchiꞌ ri qꞌalajisal rech ri utzij, are xubꞌij:
280117008a	Ri qꞌapoj ali kux na yawabꞌ winaq. Kakꞌojiꞌ na jun ral ala, ri kabꞌix na Emanuel che, ri kel kubꞌij: Are ri Dios kꞌo qukꞌ.
280118006e	Are xkꞌastaj ri José che ri uwaram, xunimaj ri xbꞌix che rumal ri ángel, xukꞌam ri María che rixoqil.
280119006f	Man xqꞌoyiꞌ ta kꞌu na rukꞌ ri María kꞌa xkꞌojiꞌ na ri nabꞌyal ral, Jesús xukoj che ubꞌiꞌ.
28020100ca	Alaxinaq chi ri Jesús pa ri tinimit Belén rech Judea, pa taq ri qꞌij are kataqan ri taqanel Herodes. Xoꞌpan pa Jerusalén nikꞌaj achyabꞌ kꞌo ketaꞌmabꞌal, kipetik pa ri relibꞌal qꞌij.
2802020089	Xkitatabꞌelaꞌ xkibꞌij: ¿Jawjeꞌ xalax wi ri kirey ri winaq aꞌj Israel? Xqil ri uchꞌumil rumal riꞌ xujpe chuqꞌijilaꞌxik.
2802030088	Ri taqanel Herodes are xutabꞌej rech we riꞌ, xkꞌaxir ranimaꞌ, xkꞌaxir xuqujeꞌ kanimaꞌ ri winaq rech ri tinimit Jerusalén.
28020400d2	Xaq jeriꞌ xtaqan che kisikꞌixik konojel ri e kꞌamal taq bꞌe ke ri chꞌawenelabꞌ cho ri Dios pa kiwiꞌ ri winaq, xuqujeꞌ ri aꞌjtijabꞌ rech ri taqanik, xuta chike jas leꞌaj kalax wi ri Cristo.
280205006f	Pa ri tinimit Belén rech Judea, xecha che, rumal cher jeriꞌ utzꞌibꞌam loq ri qꞌalajisal utzij ri Dios:
28020600dc	Ri at tinimit Belén, ri at kꞌo pa ri rulew ri Judea, Pune nitzꞌ aqꞌij chikiwach ri e nikꞌaj leꞌaj chik rech ri Judea, Chawe kꞌut kakꞌiy wi na loq jun qꞌatal tzij, Ri kuꞌyuqꞌuj na ri nutinimit Israel.
280207008c	Kꞌa te riꞌ ri Herodes cheleqꞌal xuꞌsikꞌij ri achyabꞌ ri kꞌo ketaꞌmabꞌal, xuta chike jampaꞌ xukꞌut ribꞌ ri chꞌumil.
28020800ba	Kꞌa te riꞌ xuꞌtaq bꞌik pa Belén, xubꞌij chike: Jix chitatabꞌelaꞌ jawjeꞌ xalax wi ri akꞌal. Are kiriqo, jilibꞌij chwe jeriꞌ kineꞌ xuqujeꞌ in chuqꞌijilaꞌxik.
28020900ac	Are xtataj ri xubꞌij ri taqanel chike, xkitaqej ri kibꞌe, kꞌa te xkilo xnabꞌej ri chꞌumil chkiwach, te xeꞌtakꞌal puꞌwiꞌ ri leꞌaj ri kꞌo wi ri akꞌal.
28020a002f	Are xkil ri chꞌumil, sibꞌalaj xekiꞌkotik.
28020b00f6	Xoꞌk bꞌik pa ri ja, xkil ri akꞌal kꞌo rukꞌ ri unan María, xexukiꞌk xkiqꞌijilaꞌj ri Jesús. Kꞌa te riꞌ xkijaq ri kikꞌolibꞌal, xkisipaj qꞌana pwaq che, uqꞌolal cheꞌ, xuqujeꞌ kꞌokꞌ taq kunabꞌal ubꞌiꞌ mirra.
28020c0099	Xechꞌabꞌex kꞌu we achyabꞌ riꞌ pa ri kiwaram xbꞌix chike chi man ketzalij ta chi rukꞌ ri Herodes, rumal riꞌ pa jun bꞌe chik xetzalij wi.
28020d0175	E bꞌenaq chi ri achyabꞌ ri kꞌo ketaꞌmabꞌal, are xaq kꞌa teꞌ xukꞌut ribꞌ jun ángel rech ri Ajawxel pa uwaram ri José, xubꞌij che: Chatwaꞌjiloq, chakꞌama bꞌik ri akꞌal rachiꞌl ri unan, chatanimaj bꞌik. Jat pa Egipto, chatkanaj kan chilaꞌ kꞌa jampaꞌ na kꞌu kinbꞌij chawe, rumal cher ri Herodes kutzukuj na ri akꞌal rech kukamisaj.
28020e0089	Xaq jeriꞌ kꞌa chaqꞌabꞌ na are xwaꞌjil bꞌi ri José, xeꞌ pa Egipto, xukꞌam bꞌik ri akꞌal rachiꞌl ri unan ri akꞌal.
28020f00d0	Chilaꞌ xkꞌojiꞌ wi kꞌa xkam na ri Herodes. Jeriꞌ xkꞌulmataj ri ubꞌim loq ri Ajawxel chuchiꞌ ri qꞌalajisal rech ri utzij, are xubꞌij: Pa Egipto kꞌo wi ri nukꞌojol are xinsikꞌij apanoq.
280210018d	Are xunabꞌej ri Herodes chi man xnimax ta ri utzij kumal ri achyabꞌ ri kꞌo ketaꞌmabꞌal, xchꞌuꞌjar che royawal. Xtaqan chikikamisaxik ri akꞌalabꞌ ri majaꞌ katzꞌaqat kakabꞌ kijunabꞌ ri e kꞌo pa ri tinimit Belén xuqujeꞌ pa nikꞌaj taq leꞌaj chik ri e kꞌo apan chikixukut, are xutereneꞌj ri qꞌotaj ri xbꞌix kan che kumal ri achyabꞌ ri kꞌo ketaꞌmabꞌal.
280211005a	Jeriꞌ xkꞌulmataj ri xubꞌij loq ri qꞌalajisal utzij ri Dios Jeremías are xubꞌij:
28021200b3	Xtataj jun raqoj chiꞌ pa ri tinimit Ramá, oqꞌej xuqujeꞌ nimalaj bꞌis. Are Raquel keroqꞌej ri ral. Man karaj ta kꞌut kakubꞌisax ukꞌuꞌx, rumal cher e maj chi ral.
2802130079	Are kaminaq chi ri Herodes, jun ángel rech ri Ajawxel xukꞌut ribꞌ cho ri José pa ri uwaram, are kꞌo na pa Egipto.
280214009c	Xubꞌij che: Chatwaꞌjiloq, chakꞌama bꞌik ri akꞌal rachiꞌl ri unan, chattzalij pa Israel. Xekam riꞌ ri winaq ri kakirayij ukamisaxik ri akꞌal.
2802150063	Xwaꞌjil ri José, xukꞌam bꞌik ri akꞌal rachiꞌl ri rixoqil, xetzalij pa ri tinimit Israel.
28021600ce	Are xutabꞌej rech chi ri Arquelao are tajin kataqan pa Judea che ukꞌex wach ri utat Herodes, xuxiꞌj ribꞌ xeꞌ je laꞌ. Xya kꞌu unoꞌj rumal ri Dios pa ri uwaram rumal riꞌ xetzalij pa Galilea.
28021700a9	Xkꞌojiꞌ pa jun leꞌaj ubꞌiꞌ Nazaret, jeriꞌ xkꞌulmataj ri xkibꞌij loq ri e qꞌalajisal taq utzij ri Dios are xkibꞌij: Kabꞌix na Jesús aj Nazaret che.
2803010086	Pa taq ri qꞌij riꞌ xopan ri Juan Bꞌanal qasanaꞌ chutzijoxik ri utzij ri Dios pa taq ri katzꞌinow ulew rech ri tinimit Judea.
280302004f	Jewaꞌ xubꞌij: Chikꞌexa ikꞌuꞌx rumal xqet loq ri ajawarem rech ri kaj.
280303010c	Ri Juan are waꞌ ri achi ri xtzꞌibꞌax loq rij rumal ri qꞌalajisal rech ri utzij ri Dios Isaías, are xubꞌij: Uchꞌabꞌal jun winaq ri kasikꞌinik pa ri katzꞌinow ulew, kubꞌij: “Chisukꞌumaj ri ubꞌe ri Ajawxel, sukꞌum chibꞌana che ri ubꞌe.”
