280000000f	ମାତିଉ
280101014e	ଇକା ଆଜିନାତ୍‍ ଜିସୁ କ୍ରିସ୍ତଦି ଡକ୍ରାଦାଦ୍‍ସିରି ଦର୍‌କା ଦାଡ଼ି; ୱାନ୍‌ ଦାଉଦଦି କୁଟୁମ୍‌ ମାର୍ହାନ୍‌, ଦାଉଦ ଅବ୍ରାହାମଦି କୁଟୁମ୍‌ ମାର୍ହାନ୍‌
2801020105	ଅବ୍ରାହାମ ଇସ୍‍ହାକ୍‍ତି ବୁବାସି । ଇସ୍‌ହାକ୍‌ ଜାକୁବଦି ବୁବାସି । ଜାକୁବ, ଜିହୁଦା ନି ୱାନି ତଡ଼ାନ୍‌କା ବୁବାସି ।
28010300f6	ଜିହୁଦା, ପେରସ ନି ସେରହତି ବୁବାସି । ତାମର ୱାରି ଆଇସି । ପେରସ ହେବ୍ରଣତି ବୁବାସି । ହେବ୍ରଣ ଅରାମତି ବୁବାସି ।
28010400b6	ଅରାମ ଅମିନାଦବତି ବୁବାସି । ଅମିନାଦବ ନହସନତି ବୁବାସି । ନହସନ ସଲମନତି ବୁବାସି ।
280105011a	ସଲମନ ବୟଜତି ବୁବାସି । ବୟଜକା ଆଇସି ଦରୁ ରାହବ୍, ବୟଜ ଅବେଦତି ବୁବାସି, ରୁତ ଅବେଦକା ଆଇସି ମାର୍ହାତ୍‌, ଅବେଦ ଜେସିଦି ବୁବାସି ।
28010600f3	ଜେସି ରାଜା ଦାଉଦତି ବୁବାସି । ଦାଉଦ ସଲମନ୍‍ତି ବୁବାସି, ସଲମନକା ଆଇସି ଆଗ୍‌ଡ଼ି ଉରିୟଦି ଆଡ଼ି ମାର୍ହାତ୍‌ ।
28010700bf	ସଲମନ୍‍ ରିୟବିୟାମତି ବୁବାସି । ରିୟବିୟାମ ଅବିୟଦି ବୁବାସି । ଅବିୟ ଆସାଦି ବୁବାସି ।
28010800b3	ଆସା ଜିହସାପଟତି ବୁବାସି । ଜିହସାପଟ ଜରାମତି ବୁବାସି । ଜରାମ ଉଜିୟଦି ବୁବାସି ।
28010900aa	ଉଜିୟ ଜତାମତି ବୁବାସି । ଜୋତମ ଆହାସତି ବୁବାସି । ଆହାସ ହିଜକିୟଦି ବୁବାସି ।
28010a00a4	ହିଜକିୟ ମନସିଦି ବୁବାସି । ମନସି ଅମନତି ବୁବାସି । ଅମନ ଜସିୟଦି ବୁବାସି ।
28010b0124	ଜସିୟ, ଜିକନିୟ ମାରି ୱାନି ତଡ଼ାନ୍‌କା ବୁବାସି । ଇକା ଇସ୍ରାଏଲ୍‌ ଲୋକାଙ୍ଗ୍‌ ଗତିମୁରୁଲି କିଜି ବାବିଲନ୍‍ତୁ ଅନିୱାଲେରି ମାଟା ।
