0100000007	Genesis
0101010039	Ke mutawauk, ke God El orala kusrao, faclu, ac ma nukewa,
0101020069	faclu wangin lumah ac wangin koano. Lohsr matoltol afunla acn loal uh, ac Ngun lun God apisya fin kof uh.
0101030040	Na God El fahk, “Lela in oasr kalem” — ac kalem uh sikyak.
0101040041	God El insewowo ke ma El liye. Na El sraclik kalem liki lohsr uh,
0101050076	ac El pangon kalem uh “Len,” ac lohsr uh “Fong.” Ke safla eku sac na lotutang sikme — pa ingan len se emeet.
0101060060	Ac God El fahk, “Lela in oasr sie lisrlisr inmasrlon kof uh, in sraclik kof uh liki kof uh.”
010107007e	Ouinge God El orala lisrlisr se ac sraclik kof ma oan ye lisrlisr sac liki kof ma oan lucng liki lisrlisr sac. Na orekla oana.
010108006e	God El pangon lisrlisr sac “Yen engyeng uh.” Ke safla eku sac na lotutang sikme — pa ingan len se akluo.
0101090077	Na God El fahk, “Lela kof ye acn engyeng uh in tukeni nu ke sie acn, tuh acn pao uh fah sikyak” — na orekla oana.
01010a0077	El pangon acn pao uh “Faclu,” ac kof ma toeni nu sie uh El pangon “Meoa.” Ac God El liye ma El orala tuh na wo.
01010b0061	Na El fahk, “Lela faclu in akkapye kain in mah nukewa ac kain in sak nukewa — na sikyak oana.
01010c0050	Ouinge faclu akkapyauk kain in sak nukewa, ac God El liye ma El orala tuh na wo.
01010d003e	Ke safla eku sac na lotutang sikme — pa ingan len se aktolu.
01010e009a	Na God El fahk, “Lela mwe kalem uh in sikyak yen engyeng uh in sraclik len liki fong, ac in akkalemye pacl in mutawauk lun len, yac, ac pacl in akfulat,
01010f004e	ac elos fah kalem inkusrao me ac tolak fin faclu” — ac ouinge orekla oana.
010110006c	Ouinge God El orala kalem luo ma yohk uh: faht in leumi len, ac malem in leumi fong; El oayapa orala itu uh.
0101110031	El oakiya kalem inge inkusrao in tolak fin faclu,
010112005e	in karingin len ac fong, ac in sraclik kalem liki lohsr. Ac God El liye ma El orala tuh na wo.
010113003f	Ke safla eku sac na lotutang sikme — pa ingan len se akakosr.
0101140074	Na God El fahk, “Lela inkof uh in nwanala ke kain in ma moul puspis, ac lela yen engyeng uh in sessesla ke won.”
0101150093	Ouinge God El orala ma moul lulap in meoa uh, kain in ma moul nukewa ma muta inkof uh, ac kain in won nukewa. Ac God El liye ma El orala tuh na wo.
0101160088	El akinsewowoyalos nukewa ac fahk nu sin ma moul ma muta inkof uh elos in isus ac nwakla meoa, ac El fahk nu sin won in kapak ac puseni.
0101170042	Ke safla eku sac na lotutang sikme — pa ingan len se aklimekosr.
010118007a	Na God El fahk, “Lela faclu in oswe kain in ma orakrak nukewa; ma muna ac ma lemnak, yohk ac srik” — na orekla oana.
0101190040	Ouinge God El oralosla nukewa, ac El liye ma El orala tuh na wo.
01011a00c0	Na God El fahk, “Inge kut ac fah oru mwet uh: elos ac oana kut ac lumahlos ac oana lumasr. Ac fah oasr ku yorolos fin ik, won, ac ma orakrak nukewa, ma muna ac ma lemnak, ma yohk ac srik.”
01011b0051	Ouinge God El orala mwet uh, ac oralosla oana lumahl. El oralosla mukul ac mutan,
01011c00fa	ac akinsewowoyalos, ac fahk, “Kowos in isus fahko in pus, tuh fwilin tulik nutuwos fah fahsrelik nu fin faclu nufon ac leumi ma inge. Nga filikowosi in karingin ma moul nukewa inkof uh, won yen engyeng uh, ac ma orakrak nukewa ma moul fin faclu.”
01011d0063	Na God El fahk, “Nga akoela kain in mahsrik nukewa ac kain in fokinsak nukewa kowos in mongo kac,
01011e0069	a nu sin ma orakrak nukewa ac nu sin won nukewa nga akoela mah ac sra sak nu selos” — na orekla oana.
01011f006d	God El liye ma nukewa ma El orala tuh na wo. Ke safla eku sac na lotutang sikme — pa ingan len se akonkosr.
0102010036	Ouinge faclu ac kusrao ac ma nukewa loac aksafyeyukla.
0102020049	Ke len se akitkosr, God El aksafyela ma El oru ac mongla liki orekma lal.
010203007a	El akinsewowoye len se akitkosr, ac srela tuh in sie len mutal, mweyen El aksafyela ma nukewa El oru ac tui ke orekma lal.
010204005c	Pa ingan luman orekla lun kusrao ac faclu ac ma nukewa loac. Ke LEUM GOD EL kusrao ac faclu,
0102050066	wangin sak fin faclu ac wangin mah srunak, mweyen El soenna supwama af, ac wangin mwet in imai acn uh.
0102060040	Tusruktu kof uh otyak liki ye fohk uh ac aksroksrokye infohk uh.
0102070087	Na LEUM GOD El eis kutu fohk liki infohk uh ac lumahla mwet se kac. El mongyang nu infwen mwet sac ke momong in moul, ac mwet sac moul.
0102080057	Na LEUM GOD El orala ima se in Eden, layen kutulap, ac filiya mwet se El orala inge we.
01020900d1	El oru tuh kain in sak kato nukewa in kap we ac oswe fokinsak na wowo. Ac infulwen ima uh, oasr pac sak soko tu we ma ac sang moul nu sin mwet uh, ac oayapa oasr sak soko ma ac sang etauk ke ma wo ac ma koluk.
01020a006e	Infacl srisrik soko soror in Eden ac aksroksrokye ima sac, ac ke alukela acn Eden sengelik nu ke infacl akosr.
01020b003a	Infacl soko meet ah pa Pishon, su soror rauni acn Havilah.
01020c0046	(Gold na pwaye ac oayapa ono keng ma sesa, ac eot saok koneyukyak we.)
01020d0036	Infacl soko aklukwa pa Gihon, su soror rauni acn Cush.
01020e0064	Infacl soko aktolkwe pa Tigris, su soror ut kutulap in Assyria, ac infacl soko akakosr pa Euphrates.
01020f0046	Na LEUM GOD El filiya mwet sac in ima Eden tuh elan yukwi ac karingin.
010210004c	El fahk nu sel, “Kom ku in mongo ke fokinsak ke kutena sak in ima se inge,
0102110089	sayen sak soko ma asang etauk ke ma wo ac ke ma koluk. Kom fah tia kang fokin sak soko ingan. Kom fin kang, kom ac misa ke len sacnna.”
010212006a	Na LEUM GOD El fahk, “Tia wo mukul se inge in mukena muta. Nga ac oru sie mwet in welulang in kasrel.”
01021300b3	Ouinge el eis kutu fohk liki infohk uh, ac lumahla kain in kosro nukewa ac kain won nukewa. Na El usalosla nu yurin mwet sac elan sang inelos. Ouinge itukyang inen ma inge nukewa.
0102140072	Ke ma inge mwet sac sang inen won nukewa ac kosro nukewa, tusruktu wanginna inmasrlolos fal in welulang in kasrel.
0102150083	Na LEUM GOD El oru mwet sac in motul folosuwosla, ac pacl se el motul inge El eisla soko sri in pap kacl ac sifil folokoneni ikwal.
0102160047	El orala mutan se liki sri in pap soko ah, ac usalu nu yurin mukul sac.
01021700a4	Na mukul sac fahk, “Tufahna pa inge sie su oana nga — Srel itukla liki srik, ac ikwal liki ikok. Ac pangpang el ‘mutan,’ mweyen itukla el liki sie mukul.”
0102180079	Pa ingan sripa se oru sie mukul el som liki papa tumal ac nina kial, ac fulyang nu sin mutan kial, ac eltal ma sefannala.
0102190044	Mukul sac ac mutan sac kewana koflufol, tusruktu eltal tiana mwekin.
01030100b2	Na serpent pa kutasrik oemeet ke ma orakrak nukewa ma LEUM GOD El orala. El siyuk sin mutan sac, “Ku pwayena God El fahk mu kom in tiana kang kutena fokinsak in ima se inge?”
0103020043	Ac mutan sac fahk, “Kut ku in kang kutena fokinsak in ima se inge
010303009a	sayen sak soko ma tu infulwen ima uh. God El fahk nu sesr mu kut in tiana kang fokin sak soko ah, ac kut in tia pacna pusral. Kut fin oru, kut ac misa.”
0103040032	Na serpent el fahk, “Tia pwaye. Kom ac tia misa.
0103050076	God El fahk angan mweyen El etu lah pacl se na komtal kangla an, komtal ac oana God in etu lah mea wo ac mea koluk.”
01030600f1	Mutan sac liye lah sak soko ah arulana kato, ac fahko kac uh luman ac arulana wo ke mongo, ac el sifilpa nunku lah ac fuka woiya in lalmwetmet. Ke ma inge el eis kutu fahko kac ac kangla. Na el sang kutu nu sin mukul tumal, ac el kangla pac.
0103070094	Tukunna eltal kangla ah, na itukyang nu seltal etauk, ac eltal akilenak lah eltal koflufol. Ouinge eltal etolla sra ke sak fig ac sang afunultal uh.
0103080060	In eku sac, eltal lohng ke LEUM GOD El forfor in ima sac, ac eltal wikla lukel inmasrlon sak uh.
0103090037	Ac LEUM GOD El pangon mukul sac ac fahk, “Kom aya?”
01030a0066	Ac mukul sac fahk, “Nga lohng kom inima uh, a nga sangeng ac wikla liki kom, mweyen nga koflufol.”
01030b007a	God El siyuk, “Su fahk nu sum mu kom koflufol an? Ya kom kang fokinsak soko ma nga tuh fahk mu komtal in tia kang ah?”
01030c0063	Mukul sac fahk, “Mutan se kom filiya yuruk inge tuh se nu sik fokinsak soko ah, ac nga kangla.”
01030d0087	LEUM GOD El siyuk sin mutan sac, “Efu ku kom oru angan?” Mutan sac topuk ac fahk, “Serpent soko ah kiapweyula, oru nga kangla.”
01030e00eb	Na LEUM GOD El fahk nu sin serpent soko ah, “Ke sripen kom orala ma se inge, ac fah kalyeiyuk kom. Kom mukena sin ma orakrak nukewa ac fah eis selnga se inge: Ingela kom fah orak ke siom, ac kom ac fah mongo kutkut in moul lom nufon.
01030f00c5	Nga fah oru tuh kom ac mutan se inge in arulana akwasui. Tulik natul ac tulik nutum ac fah alokoaloki pacl nukewa. Fahko lal ac fah futungya sifom, ac kom ac fah ngalisya kapin nien tulik natul.”
01031000cc	Ac El fahk nu sin mutan sac, “Nga ac fah akyokye mwe elya lom ke pitutu lom, ac akyokye ngal lom ke kom ac isus. Finne ouinge, a ac fah srakna oasr kena lom nu sin mukul tomom, ac el ac fah leum fom.”
0103110106	Ac El fahk nu sin mukul sac, “Kom tuh wela pusren mutan kiom, ac kangla fokinsak su nga wili nu sum in tia kang. Ke sripen ma kom oru inge, fohk uh ac fah selngawiyuki. Kom fah orekma upa in moul lom nufon in oru tuh fohk uh in ku in asot mwe mongo fal nu sum.
010312005d	Fohk uh ac fah oswe mah wangin sripa ac mah oasr otoh, ac kom fah kang sak ma kap wel inimae.
01031300cb	Kom fah fio in kemkatu lom in akwoyela fohk uh tuh in ku in oswe kutena mwe mongo, nwe ke na kom folokla nu ke fohk su kom orekla kac. Kom tuh orekla ke fohk uh, ac kom ac fah sifilpa ekla nu ke fohk.”
0103140047	Adam el sang inen mutan kial Eve, mweyen el nina kien mwet moul nukewa.
0103150055	Ac LEUM GOD El orek nuknuk lal Adam ac mutan kial ke kulun kosro, ac El nokmultalang.
01031600cc	Na LEUM GOD El fahk, “Inge mwet se inge el ekla oana sie sesr, ac oasr etauk lal ke ma wo ac ke ma koluk.” Enenu in tia filfilla nu sel in eis fahko ke sak su sang moul, tuh elan kang ac moul nwe tok.
0103170055	Ouinge LEUM GOD El supwalla liki Ima Eden ac oru elan pikin fohk uh su el orekla kac.
01031800bb	Na ke layen kutulap in ima sac, El likiya cherub luo ac sie cutlass firir su pitukot pitukme nu yen nukewa. Ma inge ma in taran tuh kutena mwet in tia tuku apkuran nu ke sak in sang moul.
010401009a	Na Adam el ona yurin mutan kial, ac mutan sac pitutuyak. El oswela wen se ac fahk, “LEUM GOD El kasreyu ac se wen se nutik.” Ouinge el sang inel Cain.
0104020052	Tok el oswela pac wen se, Abel. Abel el mwet liyaung sheep, a Cain el mwet ima se.
010403005a	In kutu pacl tok, Cain el use kutu fokin ima lal, ac sang tuh in mwe kisa nu sin LEUM GOD.
01040400ab	Na Abel el use sheep fusr soko ma osweyukla oemeet sin soko sheep natul. El uniya ac sang ip ma wo emeet kac in mwe kisa. LEUM GOD El insewowo sel Abel ac ke mwe kisa lal,
0104050069	a El tia insewowo sel Cain ac mwe kisa lal. Cain el arulana foloyak, ac ngetnget toasr ke kasrkusrak lal.
010406004b	Na LEUM GOD El fahk nu sel Cain, “Efu ku kom kasrkusrak? Efu kom srasrol?
01040700a3	Kom funu oru ma wo, kom lukun israsr na. A ke koluk ma kom oru an, na ma koluk uh tawi kom na in sruokkomi. El kena leumi kom, tusruktu kom enenu in kutangulla.”
0104080095	Na Cain el fahk nu sel Abel, tamulel lal, “Fahsru kital som nu inima uh.” Ke pacl se eltal sun inima uh, na Cain el forang nu sel Abel ac unilya.
010409007f	LEUM GOD El siyuk sel Cain, “El aya Abel, tamulel lom?” El topuk, “Nga nikin. Mea, nga mwet in liyaung tamulel luk uh?”
01040a008f	Na LEUM GOD El fahk, “Efu ku kom oru ma na koluk se inge? Srahn tamulel lom pa wowoyak nu sik infohk uh me, oana sie pusra ma sukok foloksak.
01040b00b1	Inge kom oan ye sie selnga ac kom fah tia ku in sifilpa imai fohk uh. Fohk uh numwani srahn tamulel lom, oana sie oalu su mangelik soano in numla srahl ke pacl se kom unilya ah.
01040c0081	Kom fin srike in yok sacn, infohk uh ac fah tia oswe kutena ma. Ac fah wangin acn sum, ac kom fah forfor pukafukwel fin faclu.”
01040d0047	Ac Cain el fahk nu sin LEUM GOD, “Kalya se inge arulana upala nu sik.
01040e0096	Kom lisyula liki acn uh in som loesla liki ye motom. Nga fah sie mwet wangin acn se, takusrkusr fin faclu, ac kutena mwet fin koneyuyak ac uniyuwi.”
01040f00ca	Tusruktu LEUM GOD El fahk, “Mo. Mwet se fin unikomi, moul lun mwet itkosr fah itukla in aolkomla.” Ke ma inge LEUM GOD El filiya sie akul facl Cain in akesmakinye kutena mwet su sonol in tia unilya.
0104100067	Ac Cain el som liki ye mutun LEUM GOD ac muta in acn se pangpang “Nod,” su oan kutulap in acn Eden.
010411007f	Oasr wen se natul Cain ac mutan kial, ac eltal sang inel Enoch. Na Cain el musaela siti se ac sang inen wen se natul ah nu kac.
010412007c	Oasr wen se natul Enoch, inel pa Irad, su papa tumal Mehujael. Ac wen se natul Mehujael pa Methushael, su papa tumal Lamech.
0104130034	Oasr mutan luo kial Lamech, eltal pa Adah ac Zillah.
0104140051	Adah el oswella Jabal, su papa matu tumun mwet tohf kosro ac muta in lohm nuknuk.
0104150066	Tamulel se lal Jabal pa Jubal, ac el papa tumun mwet orek on nukewa su srital ke mwe on harp ac flute.
0104160087	Zillah el oswella Tubal Cain, sie mwet su oru kain in kufwen sroasr nukewa ke osra bronze ac iron. Tamtael se lal Tubal Cain pa Naamah.
0104170072	Lamech el fahk nu sin mutan luo kial, “Adah ac Zillah, porongeyu: Nga uniya mwet fusr se mweyen el tuh puokyuwi.
010418007b	Moul lun mwet itkosr fin itukla in aol misa lal Cain, Na mwet itngoul itkosr ac fah itukla moul la, mwet se fin uniyuwi.”
01041900a0	Adam ac mutan kial oswela sie pac wen. Na mutan sac fahk, “God El sifilpa ase wen se nutik in aolulla Abel, su Cain el uniya.” Ke ma inge el sang inel Seth.
01041a0087	Oasr pac wen se natul Seth, ac el sang inel Enosh. In pacl sac me pa mwet uh mutawauk in orekmakin ine mutal lun LEUM GOD ke alu lalos.
010501005b	Pa inge takin fwilin tulik natul Adam. (Ke God El tuh orala mwet uh, El oralosla in lumahl.
010502004b	El oralosla mukul ac mutan, ac akinsewowoyalos, ac sang inelos “Mwet.”)
0105030056	Ke Adam el yac siofok tolngoul matwal, el oswela wen se oana el, ac el sang inel Seth.
0105040061	Tukun pacl sac, Adam el sifilpa moul yac oalfoko. Oasr pac tulik mukul ac tulik mutan saya natul,
0105050025	ac el misa ke el yac eufoko tolngoul.
0105060041	Ke Seth el yac siofok limekosr, oasr wen se natul pangpang Enosh,
0105070045	ac toko el moul pac ke yac oalfoko itkosr. Oasr pac tulik saya natul,
0105080028	ac el misa ke el yac eufoko singoul luo.
010509003a	Ke Enosh el yac eungoul, oasr wen se natul pangpang Kenan,
01050a004c	na toko el moul pac yac oalfoko singoul limekosr. Oasr pac tulik saya natul,
01050b0025	ac el misa ke el yac eufoko limekosr.
01050c003e	Ke Kenan el yac itngoul, oasr wen se natul pangpang Mahalalel,
01050d0044	na toko el moul pac yac oalfoko angngaul. Oasr pac tulik saya natul,
01050e0024	ac el misa ke el yac eufoko singoul.
01050f0047	Ke Mahalalel el yac onngoul limekosr, oasr wen se natul pangpang Jared,
0105100044	na toko el moul pac yac oalfoko tolngoul. Oasr pac tulik saya natul,
010511002e	ac el misa ke el yac oalfoko eungoul limekosr.
0105120045	Ke Jared el yac siofok onngoul luo, oasr wen se natul pangpang Enoch,
010513003b	na toko el moul pac yac oalfoko. Oasr pac tulik saya natul,
0105140028	ac el misa ke el yac eufoko onngoul luo.
0105150048	Ke Enoch el yac onngoul limekosr, oasr wen se natul pangpang Methuselah.
0105160064	Tukun pacl sac, Enoch el moul in sie sin sie yurin God ke yac tolfoko, ac oasr pac tulik saya natul.
0105170029	El moul sun yac tolfoko onngoul limekosr.
0105180046	El moul in sie sin sie yurin God, na el wanginla mweyen God El usalla.
010519004f	Ke Methuselah el yac siofok oalngoul itkosr, oasr wen se natul pangpang Lamech,
01051a0046	na toko el moul pac yac itfoko oalngoul luo. Oasr pac tulik saya natul
01051b0027	ac el misa ke el yac eufoko onngoul eu.
01051c0038	Ke Lamech el yac siofok oalngoul luo, oasr wen se natul,
