2800000005	Mateu
2801010045	Imbuka ya luzuvo lwa Jesu Kereste mwana wa Daafita mwana wa Abrahama.
2801020058	Abrahama a vali nji si wa Isaka, ni Isaka isi wa Jakobo, ni Jakobo isi wa Juda ni vance.
280103005e	Juda a vali njisi wa Perezi ni Zera cha Tama, Perezi isi wa Hezironi, ni Hezironi isi wa Ramu.
2801040057	Ramu a vali njisi wa Amminadab, Amminadab isi wa Nahshoni, ni Nahshoni isi wa Salumoni.
280105005b	Salumoni ivali nji si wa Boazi cha Rahaba, Boazi isi wa Obedi cha Ruti, Obedi isi wa Jesse,
280106005d	Jesse a vali nji si wa Daafita simwine. Daafita a vali njisi Solomoni cha mwihyavwe wa Uriya.
2801070050	Solomoni a vali nji si wa Rehoboamu, Rehoboamu isi wa Abijah, Abijah isi wa Asa.
280108004e	Asa a vali njisi wa Josafati, Josafati isi wa Joramu, ni Joramu isi wa Uzziah.
2801090049	Uzziya avali njisi wa Jotamu, Jotamu isi wa Ahazi, Ahazi isi wa Hezekiya.
28010a0053	Hezekiya a vali njisi wa Manasseh, Mannasseh isi wa Amoni, ni Amoni isi wa Josiyah.
28010b004f	Josiya avali njisi wa Jekoniya ni vanche he nako i vavaka luwitwe kwa Bavilona.
28010c0070	Mi kuzwa ha kuka luwiwa kwa Babilona, Jekoniya a vali njisi wa Salatiele, Salatiele a vali muzimu wa Zerubabele.
28010d0056	Zerubabele a vali njisi wa Abiudi, Abiudi isi wa Eliyakimu, ni Eliyakimu isi wa Azoro.
28010e004a	Azoro a vali njisi wa Zadoki, Zadoki isi wa Akimu, ni Akimu isi wa Eliudu.
28010f0053	Eliudi avali nji si wa Eliyazere, Eliyazere isi wa Matani, ni Matani isi wa Jakobo.
280110005a	Jokobo avali nji si wa Josefa mwihyabwe wa Maria, kakwe Jesu na zalwa, yo sumpwa Keresite.
28011100c6	Mahasi onse ku zwa kwa Abrahama ku ya kwa Daafita a vali mahasi ena ikumi lyonke ni one, kuzwa kwa Daafita kuya ha vaka luwiwa kwa Babilona ku leta kwa Keresite avali masika ena ikumi lyonke ni one.
28011200c5	Ku zalwa kwa Jesu Keresite kuva chitahali mu nzila i chilila. Inyina, Maria, ava veelezwe kuti a seswe kwa Josefa, kono pili ni vaseni kwiza hamwina, ava waniki ha menzi mahya cha Luhuho lu Jolola.
28011300ab	Mwihyavwe, Josefa, avali mukwane yo shiyeme, kono kana a vali kusaka ku shuvulisa mwihyabve iñandaleza. Cwale cha nahana ku manisa che nkunutu ku li veereza kwaakwe naye.
28011400e2	Havali kusi nahana cezi zintu, Iñeloi lya Ireza ni lya livonisa kwali mu chiloto, liti, “Josefa, mwana wa Daafita, kanji u tiyi to hinda Maria kuva muhwenu, kakuli yo lihinditwe kwali avali ku lihindwa cha Luhuho lu Jolola.
2801150064	Mwa zale mwana' mushisu, mi momu ulike izina lya Jesu, mukuti ka puluse vantu vakwe ku zivi zavo.”
2801160056	Izo zonse zi va pangahali kwi zuziliza chiva wambiwa kwa Simwine cha muporofita, nati,
2801170094	“Mu vone, mwalyango mwave ha menzi mahya, mi mwa zale mwana' shwisu, mi mu va mu sumpe izina lyakwe Imanuere”- i talusa, “Ireza wina neswe.”
