3a0000000b	aBiraniyawa
3a01010096	Ne ayeha sa ˂akamaa, Ashini ˂ukuyane anaza ne ncaaran maaro ne uwunda wo hare niyiyezi ne anaza ha Ashini ne agaba pan, ne aməmo tiwunda muwa muwa,
3a010200be	ama ne aye ha umanne, ⁺uyane haro anaza ne uwunda wo Vana bewo, a ne uwunda wo Vanama Ashini ˂ukuyane unaafase wo kuwede yina, hane ⁺uzangneke-wo, wərike kuwede yina ne inang are hawo.
3a0103010e	Vanama a wo ure nsaa me umənu wo Ashini, a wo ⁺udonke tantaasa Ashini ure, ne ugaso wo anaza hawo, ˃upiti unaafase wo kuwede yina. Sa ˂ukuwone haro hare apuwa araa ⁺ticuge ne nsano ubusa ke Ashini, hane ⁺ucuge ne upang wo taare tine te Bore Upere sa ure ashini.
3a01040060	Anongo, ⁺ucuge upere atuma ha Ashini sa are ashini saa niziya newo sa ⁺uciye sa nipere neha.
3a010500ab	Anna ne aməmo atuma ha Ashini sa are ashini, Ashini unumaga ukunan kewo, “Bo a Vana bom, yenəy me a Babba wobo”? Baa “Me nta nre Babba woo, wo uta ure Vana bom”?
3a01060087	Anongo, sa Ashini ˂ukuye ne Vana bewo bo uciba ne aməmo inang, ⁺ukuna, “Sa unaafase wo atuma ha Ashini sa are ashini arumi-wo.”
3a01070097	Sa ˂ukure ne anaza ha atuma ha Ashini sa are ashini ⁺ukuna, “꞊Ukukutti atuma hawo sa are ashini acuge uway, ariyare hawo acuge aniyam ha una.”
3a0108008c	Ama ne ashini ha Vanama ˂ukukone, “Ashini, ukpənku wo tigbama tebo uta ure shere umuwene, uyane wo anowa uta ure ubinda wo tigbama tebo.
3a010900a4	⁺Boyeme uzira wo araa, ⁺bogaa-bo araa, wərike nongo Ashini, Ashini habo ⁺unyante-bo ashini ke aruwanke habo, sa ˂ukuwuuniki-bo ne mmay me nsano me iruwa.”
3a010a0053	Ukuri ⁺ukuna, “Mbaa, ne uciba ˂kibotunki inang, nshini a nituma ne taare tebo.
3a010b0037	Ata acaano, ama bo bore ne, ata akooninka saa mpoppuwa.
3a010c007c	Bota bogbindiki-ha saa mpoppuwa, ata atanke-ha ne saa mpoppuwa nkonema. Ama bo anongo bore-bo, a tinay tebo tiza timuwew.”
3a010d00af	Anna ne aməmo atuma ha Ashini sa are ashini, Ashini unumaga ukunan kewo, “Cuge ne taare tine tom sa nkutti hare ugaa wo unay wobo acuge apuwa ha uruwabta ne tikaza tebo”?
3a010e0088	Unaafase wo atuma ha Ashini sa are ashini, haza idiri yee sa ꞊ayane Ashini nituma sa ⁺atonte-ha a kande haremay sa ata aciye utubsa?
