0100000012	پەیدابوون
010101004b	لە سەرەتادا خودا ئاسمان و زەویی بەدیهێنا.
01010200be	زەویش بێ شێوە و بەتاڵ بوو، تاریکیش لەسەر ڕووی قووڵاییەکان بوو. ڕۆحی خوداش لەسەر ڕووی ئاوەکان دەجوڵایەوە.
010103005c	خودا فەرمووی: «با ڕووناکی ببێت.» ئینجا ڕووناکی بوو.
0101040090	خوداش بینی کە ڕووناکییەکە باش بوو. ئیتر خودا ڕووناکییەکەی لە تاریکی جیا کردەوە.
01010500bd	خودا ڕووناکییەکەی ناو نا «ڕۆژ» و تاریکییەکەی ناو نا «شەو.» ئێوارە بوو، بووە بەیانی، ئەمە ڕۆژی یەکەم بوو.
010106008f	خودا فەرمووی: «با بۆشاییەک لەنێوان ئاوەکاندا ببێت، بۆ جیابوونەوەی ئاو لە ئاو.»
01010700c0	جا ئاوا بوو. خودا بۆشاییەکەی دروستکرد و ئاوەکەی ژێر بۆشاییەکەی لە ئاوەکەی سەر بۆشاییە کراوەکە جیا کردەوە.
0101080093	خودا بۆشاییەکەی ناو نا «ئاسمان.» جا ئێوارە بوو، بووە بەیانی، ئەمە ڕۆژی دووەم بوو.
01010900a6	خودا فەرمووی: «با ئاوەکانی ژێر ئاسمان لە یەک شوێن کۆببنەوە و وشکانی دەربکەوێت.» جا ئاوا بوو.
01010a00a8	خودا وشکانییەکەی ناو نا «زەوی». ئاوە کۆبووەوەکەشی ناو نا «دەریا». خوداش بینی کە ئەمە باش بوو.
01010b0108	ئینجا خودا فەرمووی: «با زەوی سەوزایی بەرهەم بهێنێت: ڕووەکی تۆودار و داری بەردار لەسەر زەوی، ئەوەی تۆوەکەی لەناو خۆیەتی، لە جۆری خۆی.» جا ئاوا بوو.
01010c00ee	زەوی سەوزایی بەرهەم هێنا: ڕووەکی تۆودار لە جۆری خۆی و دار کە بەر دروستبکات و تۆوەکەی تێدابێت لە جۆری خۆی. خوداش بینی کە ئەمە باش بوو.
01010d0057	جا ئێوارە بوو، بووە بەیانی، ئەمە ڕۆژی سێیەم بوو.
01010e00e7	ئینجا خودا فەرمووی: «با لە بۆشایی ئاسماندا ڕووناکییەکان هەبن بۆ جیاکردنەوەی ڕۆژ لە شەو، هەروەها بۆ نیشانکردنی وەرز و ڕۆژ و ساڵ.
01010f0097	با ڕووناکییەکان لە بۆشایی ئاسماندا ببن، تاکو سەر زەوی ڕووناک بکەنەوە.» جا ئاوا بوو.
0101100128	هەروەها خودا دوو ڕووناکییە مەزنەکەی دروستکرد، ڕووناکییە گەورەکەیان بۆ فەرمانڕەوایەتی ڕۆژ، ڕووناکییە بچووکەکەشیان بۆ فەرمانڕەوایەتی شەو، هەروەها ئەستێرەکانیش.
010111006c	خودا لە بۆشایی ئاسماندا بۆ ڕووناککردنەوەی سەر زەوی داینان،
010112009f	بۆ فەرمانڕەوایەتی ڕۆژ و شەو و جیاکردنەوەی ڕووناکی لە تاریکی. خوداش بینی کە ئەمە باش بوو.
0101130059	جا ئێوارە بوو، بووە بەیانی، ئەمە ڕۆژی چوارەم بوو.
01011400d8	ئینجا خودا فەرمووی: «با ئاوەکان پڕ ببن لە ئاپۆرەی بوونەوەری زیندوو، با باڵندەش لە بۆشایی ئاسماندا بەسەر زەویدا بفڕێت.»
0101150176	ئیتر خودا بوونەوەرە مەزنەکانی دەریای بەدیهێنا، لەگەڵ هەموو زیندەوەرە جوڵاوەکانی ناو ئاوەکان کە لێی پڕبوون، بەپێی جۆرەکانیان، لەگەڵ هەموو باڵندەیەکی باڵداریش بەپێی جۆرەکانیان. خوداش بینی کە ئەمە باش بوو.
01011600cc	خودا بەرەکەتداری کردن و فەرمووی: «بەردار بن و زۆر بن و ئاوی دەریاکان پڕ بکەن، با باڵندەکانیش لەسەر زەوی زۆر ببن.»
0101170059	جا ئێوارە بوو، بووە بەیانی، ئەمە ڕۆژی پێنجەم بوو.
010118010f	خودا فەرمووی: «با زەوی بوونەوەرە زیندووەکان لە جۆری خۆیان بەرهەم بهێنێت. ئاژەڵی ماڵی و خشۆکی زەوی و ئاژەڵی کێوی، هەریەکەیان لە جۆری خۆی.» جا ئاوا بوو.
010119010b	خودا ئاژەڵی کێوی بەپێی جۆری خۆیان دروستکرد، ئاژەڵی ماڵیش بەپێی جۆری خۆیان و هەموو خشۆکێکیش لەسەر زەوی بەپێی جۆری خۆیان. خوداش بینی کە ئەمە باش بوو.
01011a019c	ئینجا خودا فەرمووی: «با مرۆڤ لەسەر وێنەی خۆمان دروستبکەین و لە خۆمان بچێت. با دەسەڵاتدار بن بەسەر ماسی دەریا و باڵندەی ئاسمان و ئاژەڵی ماڵی و بەسەر هەموو زەویدا، هەروەها بەسەر هەموو ئەو بوونەوەرە خشۆکانەی بەسەر زەویدا دەخشێن.»
01011b00a4	خودا مرۆڤی لەسەر وێنەی خۆی بەدیهێنا، لەسەر وێنەی خودی خۆی بەدیهێنا، بە نێر و مێ بەدیهێنان.
01011c0176	خودا بەرەکەتداری کردن و پێی فەرموون: «بەردار بن و زۆر بن و زەوی پڕ بکەن و بیخەنە ژێر ڕکێفتانەوە. دەسەڵاتدار بن بەسەر ماسی دەریا و باڵندەی ئاسمان و بەسەر هەموو بوونەوەرێکی زیندوودا کە لەسەر زەوی دەجوڵێتەوە.»
01011d011a	ئینجا خودا فەرمووی: «هەموو ڕووەکی تۆودار کە لە سەرتاسەری ڕووی زەوییە داومە بە ئێوە، لەگەڵ هەموو دارێکیش کە بەری هەیە و تۆوی خۆی تێدایە. بۆ ئێوە دەبنە خۆراک.
