2a00000004	Iluk
2a0101005a	Ɔrɔ ɔmɔmɔrʊ Itiyofolus, orokru na pany wɔrɔ bikywi ʊʊma sini ʊsi bi idɔɔ eri.
2a01020041	Orokru men wɔri arʊ nɛmɛr kǝni sini akʊng, orong bi tee ni.
2a01030091	Imyɛ kam, ipyerhe ʊʊmamen noshushong nɛmɛr wroo bai itee, Irii ini igyang iwɔrɔ atananw nɛmɛr kǝni ushoyoni ari ɔmɔmɔrʊ Itiyofalus.
2a01040046	Aki ʊkpɛrhi ngɛ nashisha asani imisini ɛmɛr nwʊ ʊbrʊbrʊwɔɔ.
2a010500dd	Akywa dang Ihiridus ngee ani ogumo Iyahudiya, Ogoku Ʊnʊng nʊwɔ amisini ayirhi ʊtʊwa ngɛ ni Izakariya. Arʊ sini okuni bai edei ʊna Ogoku Abija. Kǝnawɔ eree Alisabatu kaa okuni bai edei Iharuna Ogu ubyen Ʊnʊng.
2a01060074	Izakariya kǝni eree Alisabatu kukumo aki nashisha bite Ʊnʊng. Asa nɛmɛr kǝni sini ɛwɛi bi ogro Ete pɛri ni.
2a01070056	Asamɔ ni ɔnɔɔ, bɛkɛi sini Alisabatu saa ni ubyere ngɛ. Eme ɔkɔrɔmɔ kukummo.
2a01080073	Akywa ka fwa sini Izakariya kǝni orobyoo amu ʊna Abija ani bi ʊtina, ani owroo ʊsa ʊtina ogoku bi ite Ʊnʊng.
2a01090083	Apari wɔ oko shoo nʊ uworo nge kǝni sini ɛrɛn uworo ogoku, ɛngɛɛ nʊ raa ubyen Ʊnʊng Ete aka pya ɛnyɛ ʊnyang ʊduduma.
2a010a0062	Sini akywa ʊpya ɛkǝri ɛnyɛ ʊnyang ʊduduma fwa, kukum orokru ni besing asʊ sɔrhɔ Ʊnʊng.
2a010b004e	Atina Ete ko kuno bi itee, ka ting ba avu ʊra ʊnara ɛnyɛ ʊnyang ʊduduma.
2a010c004d	Akywa sini Izakariya rii ɛkǝri atina Ʊnʊng aka kung irung nge asuya owroo
2a010d00a3	Atina Ʊnʊng ka sani, “Izakariya bekya kung irung! Ʊnʊng kʊng ʊsɔrhɔnw, erenw Alisabatu nʊ byerenw ɛnɛ ɛrimɛ, inyi nʊ yirha ʊtʊwa ngɛ ni Iyohana.
2a010e003a	Anʊ konyi ofofuru ba, orokru napany nʊmɛ ni ubyere nge.
2a010f0089	Anʊ shoo ɔrɔ mɔmɔrʊ eberi Ete. Ana ʊsaa omung inabi ko akama, wroo bai idɔɔ ofo akwaa Ering Ʊshisha nʊ shoo kǝni ɛngɛ ngɛ.
2a0110003a	Anʊ tere arʊ Isrela na pany ke ba eberi Ete Ʊnʊng mɔ.
2a01110102	Anʊ kpite Ete, akywa sini eye ba, eye ba ni ʊring kǝni ikrʊ edei eying ni Iliya. Anʊ tere ikywi ɛkpɛri kya eberi ɔnɔmɔ, etere ikywi arʊ larha amraa ke kya ɛsɛr ara amraa asa iminisi ini nɛgbɛn, anʊ kyene orokru okyo asʊ ʊsha ukye ba Ete.”
2a01120096	Izakariya ko gyurho atina Ʊnʊng ka sani, “Ini sa nenyee kǝ kperhi ni iring yen nʊ tirɛ? Imye we ito ɛkpɛri, erem kaa ɔkɔrɔ ngɛ nagang.”
2a011300a6	Ɛkǝri atina Ʊnʊng ka sani ɛngɛɛ ni, imyɛɛ ni Ijebrilu. Ko ikina ikpara ini bi ite Ʊnʊng. Ɛngɛɛ atʊmim iba pya onuo ni ɔnwɔ atananw iring ididima yen.
2a011400af	Bai kaimen ʊnʊ rana na kprʊkpring ʊna sʊ branw ʊpya onuo kekya ʊnʊng sini ʊring men nʊ tirɛ, bi ɛkɛi sini unoyorong ni iring mi, imisini inʊ tirɛ akywaa ba fwa.
2a01150097	Bakywa sini atina Ʊnʊng kʊ pɛrɛ ni Izakariya orokru kʊ shaa besing, akasʊ wɔrɔ ofo ikimɔ yɔ isi Izakariya dɛrhi ngɛ kǝn bi ubyen Ʊnʊng.
2a011600b1	Akywa sini obo kuno ana braa ʊpya onuo ni ɔmɔ, orokru kǝ kperhi ni ara ni ɔmɔrʊ bidɔɔ ubyen Ʊnʊng, ʊwɔɔ Izakariya kʊ pɛrɛ ni ɔmɔ ni ivʊ bau ʊbra ʊpya onuo.
2a01170040	Akywa sini awri ʊtʊna ngɛ tirɛ Izakariya kɔsɔɔ ngɛ apya.
2a0118004a	Anakywa naji eree Alisabatu ka kpin ofo kasa ipɛri itong bau ukuno esing.
2a01190061	Aka sani, “Ete karha sam inyen ima,” “Ete sam ima ididima, oworom ʊwaa bi eberi orokru.”
2a011a008e	Akywa sini ofo Alisabatu fwa ipɛri iten, Ʊnʊng ka tʊma atina ngɛ Ijebrilu kya apya sini ayirhi ʊtʊwa yɔ ni Inazaret bi ibʊng Igalili,
2a011b007e	kya eberi adira sini ɛnɛkpɛrhi ngɛ ɛrɛrimɛ sini owo lorho ʊbarha Isufu ɛyɛri Idouda. Ʊtʊwa ɛkǝri adira ni Imeri.
2a011c0086	Atina Ʊnʊng kii eberi ngɛ, iku fong, ka sani ngɛ ni, “Ʊnwʊɔ ʊni arʊ sini Ʊnʊng wɛinwʊ nagang! Ete ni kǝni ɔnwɔɔ.”
2a011d005b	Imeri kǝ pen uwure ngɛ nagang ni iring ngɛ, kasʊ wɔrɔ ofo ni akyina edei ufo ni kǝn.
2a011e0065	Ɛkǝri atina Ʊnʊng ka sani ɛngɛɛ ni, “Imeri bekya kung irung, kii upen ʊyirha eberi Ʊnʊng.
2a011f004b	Ʊnʊ kpara ofo ebyere ɔnɔ ɛrɛrimɛ, ʊnʊ yirha ʊtʊwa ngɛ ni Iyesu.
2a0120007f	Anʊ shoo ɔrɔ mɔmɔrʊ, anʊ yirha ngɛ ni Ɔnɔ Arayaya Ʊnʊng, Ete Ʊnʊng nʊ maa igɔgɔrʊ Igumo Ɛkpɛri ngɛ Idouda.
2a01210049	Anʊ kong igumo ʊna Iyakubu ishishaa, igumo nge sayo na akʊrha ngɛ.”
2a0122006e	Imeri ko gyurho atina Ʊnʊng ni “Iring yen nʊ shoo nenyee wo, imyɛ arʊ sini inɛ kpɛrhim ɛrɛrimɛ?”
2a012300c0	Atina Ʊnʊng ko yoro ngɛ ka sani, “Ering Ʊshisha nʊ shuro ba yanw, ikrʊ Ʊnʊng ara yaya nʊ franw. Bi kǝna Ɔnɔ sini ʊnʊ byere anʊ shoo nashisha, anʊ yirha ngɛ ni Ɔnɔ Ʊnʊng.
2a0124008e	Kǝnawo arʊpyanw Alisabatu nʊ byere ɔnɔ bi idɔɔ ʊkɔrɔ ngɛ. Kǝni sini akpari ni anasʊ ubyere ngɛ ni, nɛchiyɛn okofo ipɛri iten,
2a01250025	bai ima sini igyi ni Ʊnʊng ʊsa.”
2a0126007a	Imeri ko yoro ni, “Ina agara Ete ngɛ” kǝni sini ʊpɛri ni ishoo kǝna bi ikywim. Atina Ʊnʊng ka shere ngɛ akyaa.
2a0127006f	Akywa dang, Imeri ko tuno ʊʊma akpin ʊtira nekǝkǝrhe kyaa ki opyo apya ki oyokro sini ayirhi ni Iyahudiya.
2a0128004c	Sini afwi ɛkǝri apya, aka raa ʊna Izakariya, oko rong Alisabatu nge ofoo.
2a0129005b	Ni sini Alisabatu kʊng ufo Imeri Ɔnɔ idɔfoo kǝyin ni ɛmɛ, Ering Ʊshisha karaa ngɛ.
2a012a0065	Aka takpa ayaya kani: “Ʊnʊng tanw onuo adadʊma. Ʊnʊng ta Ɔnɔ sini ʊnʊ byere onuo adadʊma.
2a012b0042	Ikisi Ʊnʊng pri ni ʊwaami kǝn, sini ogro Etem nʊ ba bi owrom?
2a012c0047	Ikpara sini ikʊng ihywi oshongnwu, ɔnɔ idɔɔ ofom kǝ yin ni ɛmɛ.
2a012d0058	Ʊnʊng ta arʊ sini oyori ni Ete nʊsa ima sini ɛpɛri bi ikywi ngɛ onuo adadʊma!”
2a012e0026	Imeri ka sani, “Ipam dɔɔ Ete ngɛ,
2a012f0041	kǝnawo ʊring mi ku mɛ ni imisini Ʊnʊng mi arʊsam oforo sim,
2a01300070	kii adirha ni ɛmyɛ agara ngɛ arʊ sini akpari ʊkaa atata. Bai kaimen kukum orokru nʊ yirham ni arʊ ofofuru
2a0131002d	kii Arayaya sam nɛgbɛn. Ʊtʊwa ni ashisha.
2a01320041	Ese kʊng okwo arʊ sini akʊng irung ngɛ, bai ituo kyekya ituo.
2a0133004d	Ʊnʊng sarʊ ʊring ujujire ni avuɔ, eyeri arʊ fwa igɔng bidɔɔ ikywimo,
2a01340053	oshuro ogumo bi igɔgɔrʊ igumo mo, eke shwe arʊ sini akpari ʊkamɔ atata ayaya.
2a01350050	Ama arʊ kʊng ihywʊng ʊmʊduduma, Aka shirha arʊ shoo nʊ ʊmaa avu akʊrʊ.
2a0136002e	Ekǝ shɛ agara ngɛ Isrela, ka dirha ni okwo,
2a01370053	kya eberi Ibraim kǝni ɛyɛri ngɛ ishishaa, kǝni sini atani ɛkpɛri arʊ ni.”
2a0138005f	Imeri kikii kǝni Alisabatu nge, etekya ʊsa ipɛri itaru ko shoo nʊ sɔɔ ngɛ kidɔɔ Ʊnaa.
2a0139003c	Sini akywa fwi ami ubyere Alisabatu ekǝ byere ɛnɛɛrimɛ.
2a013a0058	Ariyoyou kǝni arʊpyaa akʊng sini Ete kʊng okwo ngɛ nagang ɛkǝ mɛ kǝni ɛngɛɛ.
2a013b006a	Sini Ɔnɔ fwa awri ochupari, aka ba ushoo igang, aka waa ʊyirha ngɛ ni ʊtʊwa ɛkpɛri ngɛ Izakariya,
2a013c0038	Akwa ɔnɔ ka sani, “O-o anu yirha ngɛ ni Iyohana.”
2a013d004f	Aka sani ɛngɛɛ ni, “Bi idɔɔ arupyanw ararʊ saa ni ʊtʊwa dang ngɛ.”
2a013e005e	Oko gyurho ɛkpɛri ɔnɔ ni ivu ʊwaa ʊkpɛrhi, ni ʊkina ʊtuwawɔɔ ɛwɛi ni ama ɔnɔɔ.
2a013f0067	Ekǝ yen ni, amaa ima ʊwɔrɔ. Ikʊ iyang ko gyo avu bi kɔw nisini ɔwɔri, “ʊtʊwa ni Iyohana”.
2a01400059	Akywakywa dang onuo kɔ furɔ irimɛɛ ka shire, akasʊ pya onuo, asu dɔɔ Ʊnʊng ngɛ.
2a01410065	Kukum arʊ iyoyow ka kʊng irung, kukum bi ibʊng oyokro Iyahudiya orokru ku pɛrɛ ʊring men kukum.
2a01420081	Ikuyaa sini akung iring yen akasu wɔrɔ ofo bi ikywimɔ ko gyurho, “Ɔnɔ wen anushoo ikimɔyɔ?” Kii Ete niskǝni ɛngɛɛ.
2a01430049	Ʊring Ʊshisha kǝ tirɛ ɛkpɛri ngɛ Izakariya, ka tana itina Ʊnʊng:
2a0144004b	“Arʊ dɔ Ete, Ʊnʊng Isrela, kii ɛngɛɛ abii eberi aruo asamɔ oforo.
2a01450044	Ɛshinɛ arʊ ni arʊ sa oforo ɛrɛrɛ baa ʊduna agara ngɛ Idouda
2a01460049	(kǝni sini ɛpɛri uwruwroo ni bi onuo arʊ tana onuo Ʊnʊng ʊshisha),
2a01470068	ani ɛngɛɛ nʊsa arʊ oforo bai avu arʊ sini atiirʊ bi ite, kǝni bai ivʊ arʊ sini ana waamɔ arʊ
2a01480048	ka kʊng okwo ɛkpɛri arʊ aka dirha ni imi sini olorhi iring nashisha,
2a0149002f	ɔkɔ kro ukro kǝni ɛkpɛri arʊ Ibraim kani:
2a014a0056	anʊ karha arʊ bavu arʊ sini ana waamɔ arʊ, sini arʊ nʊ sa ʊtina ngɛ bai irung
2a014b0060	arʊ nʊ sa ʊtina ngɛ shoo nashisha, ʊpʊpʊrhi bite Ʊnʊng kukum bi ʊkiki arʊ bi eyesing.
2a014c006c	“Ʊnwɔ, ɔnɔm, anʊ yirhanw ni arʊ tana onuo Ʊnʊng Ayaya, unuvo Ete ngɛ ite ʊkya ukyene nge ʊtira,
2a014d0052	ʊnʊ tana orokru ngɛ ani anʊ pen oforo akywa sini Ʊnʊng nʊ pʊnanyi ʊyanyi,
2a014e006f	bekai sini okwo Ʊnʊng ni ɔgrɔɔ Ʊnʊng nʊ marʊ arʊ sa oforo kǝni sini Ʊnʊng nʊta arʊ baa ayaya ni,
2a014f005c	ata arʊ shoo idɔɔ eting kǝni idɔɔ uwru ukpo, ekyeng ni arʊ bi ʊtira ʊyari ikywi.”
2a0150008a	Ɛkǝri ɔnɔ ko fɔnɔ kasa ikrʊ bi idɔɔ ʊring Ʊnʊng, aka kiki bi idɔɔ orumo kekya akywa sini okuni eyen ʊkaa owro ɔnɔ Isrela.
2a02010081	Ba kywa dang, Agostus, arʊ sini ɛngɛɛ ni Ikaisar okong Igumo ibʊng Irom, aka ta okro asani apara orokru kukum bi igumo Irom.
2a0202005d	(Uwen wo ʊni ʊpara orokru itee sini apari akywa sini Ikwirinus okong igumo ibʊng Isiriya.)
2a02030029	Ikʊyang ka kyaa ki apyaa aki apara ngɛ.
2a02040082	Kǝnawɔ Isufu sheri Inazaret ngɛ bi Igalili kyaa ki Ibetalami bi ibʊng Iyahudiya ba apya Idouda. Okuni baw ʊdʊna edei Idouda.
2a02050058	Aki aparamɔ kǝni Imeri sini owo lorho ʊbarha ngɛ, akywa dang Imeri kong ofo ɔkɔng.
2a02060042	Akywa sini eshi bi Ibetalami akywa ka fwa sini anʊ byere ɔnɔɔ.
2a020700ac	Ekǝ byere ɔnɔ itee, ɛnɛɛrimɛ, aka gǝrha ngɛ ni arigidi bi ʊbɔrʊ upiri anama aka yara ngɛ bidɔɔ ukyo, bekai sini baw ʊbɔrʊ bi ʊna ekyeng sini oshuri ngɛ.
2a0208003c	Bi ɛkǝri ibʊng asha nuo kyi orumo akʊ sha inaa ni eting.
