2a00000004	Luke
2a010100ab	Jau parašyta keletas Kristaus biografijų, kurių šaltinis – pasakojimai, paplitę tarp mūsų iš pirmųjų mokinių ir kitų liudininkų, mačiusių Kristų, lūpų,
2a01030085	Tačiau man pasirodė, kad gerai būtų patikrinti visus iki vieno aprašymus ir, kruopščiai patyrinėjus, pateikti tau santrauką,
2a0104002b	kad įtikėtum tiesa, kurios buvai mokomas.
2a01050112	Savo pasakojimą pradėsiu nuo žydų kunigo Zacharijo. Jis gyveno tada, kai Judėją valdė Erodas, Zacharijas buvo šventyklos tarnų Abijo skyriaus narys. Jo žmona Elzbieta buvo kilusi iš Aarono palikuonių, ir taip pat kaip Zacharijas priklausė žydų kunigų luomui.
2a0106004c	Jie buvo dievobaimingi žmonės, ir stropiai laikėsi visų Dievo įsakymų.
2a01070057	Tačiau jie neturėjo vaikų, nes Elzbieta buvo nevaisinga, ir abu jau buvo labai seni.
2a0108009c	Vieną budėjimo savaitės dieną, kai Zacharijas šventykloje vykdė savo pareigas, burtų keliu jam teko garbė smilkyti Dievo šlovei šventyklos viduje.
2a010a0055	Tuo tarpu didelė minia meldėsi šventyklos kieme, kaip buvo įprasta smilkymo metu,
2a010b007d	Zacharijas buvo šventykloje, kai staiga smilkalų altoriaus dešinėje pasirodė angelas! Zacharijas apstulbo ir išsigando,
2a010d00a8	Tačiau angelas pasakė: „Nebijok, Zacharijau, aš atėjau pranešti, kad Dievas išklausė jūsų maldą, ir tavo žmona Elzbieta pagimdys sūnų. Pavadink jį Jonu.
2a010e0061	Jūs abu turėsite daug džiaugsmo ir malonumų jam gimus, ir daugelis džiaugsis kartu su jumis.
2a010f00b2	Jis bus vienas iš didžiųjų Dievo žmonių. Jam nebus galima gerti vyno ar kurio kito svaiginančio gėrimo – jis bus kupinas Šventosios Dvasios dar savo motinos įsčiose.
2a01100032	Jis įkalbės daugelį žydų grįžti prie Dievo.
2a01110118	Jis bus tvirtos dvasios ir galingas vyras kaip Elijas, senovės pranašas, ir paruoš kelią Mesijui, parengs žmones Jo atėjimui. Jis sušvelnins suaugusiųjų širdis, kad jos taptų panašios į mažų vaikų širdeles, o neklusniųjų mintis pakeis į tikėjimo išmintį.“
