010000000c	Olubereberye
010101002f	Ku lubereberye Katonda yatonda eggulu n’ensi.
0101020082	Ensi yali njereere nga yeetabuddetabudde, ekizikiza nga kibisse kungulu ku buziba, n’Omwoyo wa Katonda ng’atambulira ku mazzi.
010103004d	Awo Katonda n’agamba nti, “Wabeerewo obutangaavu,” ne waba obutangaavu.
0101040051	Katonda n’alaba obutangaavu nga bulungi; n’ayawula obutangaavu n’ekizikiza.
0101050097	Katonda obutangaavu n’abuyita emisana, n’ekizikiza n’akiyita ekiro. Ne wabaawo akawungeezi ate ne buba enkya. Olwo lwe lunaku olw’olubereberye.
010106004b	Era Katonda n’agamba nti, “Wabeewo ebbanga lyawule olufu n’amazzi.”
010107005f	Bw’atyo Katonda n’akola ebbanga okwawula wansi n’amazzi agali waggulu. Ne kiba bwe kityo.
0101080067	Katonda ebbanga n’aliyita eggulu. Ne buba akawungeezi, ate ne buba enkya, olwo lwe lunaku olwokubiri.
0101090081	Awo Katonda n’ayogera nti, “Amazzi agali wansi w’eggulu gakuŋŋaanire mu kifo kimu, wabeewo olukalu.” Ne kiba bwe kityo.
01010a007a	Katonda olukalu n’aluyita ensi, amazzi agakuŋŋaanye go n’agayita ennyanja. Katonda n’alaba nga ky’akoze kirungi.
01010b00b5	Awo Katonda n’agamba nti, “Ensi ereete ebimera: emiti egizaala ensigo mu ngeri yaagyo, emiti egy’ebibala ebibaamu ensigo mu ngeri yaagyo, gibeere ku nsi.” Ne kiba bwe kityo.
01010c00a3	Ensi n’ereeta ebimera: ebimera eby’ensigo ebya buli ngeri, n’emiti egy’ebibala ebya buli ngeri n’ebijja ku nsi. Katonda n’alaba nga ky’akoze kirungi.
01010d0042	Ne buba akawungeezi ate ne buba enkya. Olwo lwe lunaku olwokusatu.
01010e00a0	Awo Katonda n’agamba nti, “Wabeewo ebyaka mu bbanga ly’eggulu, okwawula emisana n’ekiro; bibeerenga obubonero okwawulanga ebiro, n’ennaku, n’emyaka.
01010f004a	Bibeere ebyaka ku ggulu, bireetere ensi obutangaavu.” Ne kiba bwe kityo.
010110008b	Katonda n’akola ebyaka ebinene bibiri, ekyaka ekisinga obunene kifugenga emisana, n’ekitono kifugenga ekiro, n’akola n’emmunyeenye.
010111003f	Awo Katonda n’abiteeka mu bbanga ly’eggulu byakenga ku nsi,
010112007f	enjuba efugenga emisana, omwezi gufugenga ekiro, era byawulenga obutangaavu n’ekizikiza. Katonda n’alaba ng’ekyo kirungi.
0101130041	Ne buba akawungeezi, ate ne buba enkya. Olwo lwe lunaku olwokuna.
0101140070	Katonda n’ayogera nti, “Amazzi galeete ebibinja by’ebiramu, n’ebinyonyi bibuukenga waggulu mu bbanga.”
01011500bc	Bw’atyo Katonda n’akola ebitonde eby’omu nnyanja ebinene ennyo, na buli kiramu ekya buli ngeri eky’omu nnyanja, na buli kinyonyi ekibuuka. Katonda n’alaba nga ky’akoze kirungi.
0101160081	Bw’atyo Katonda n’abiwa omukisa n’agamba nti, “Muzaale mwale, mujjuze amazzi g’ennyanja, n’ebinyonyi byale ku nsi.”
0101170044	Ne buba akawungeezi, ate ne buba enkya; olwo lwe lunaku olwokutaano.
0101180098	Katonda n’ayogera nti, “Ensi ereete ebiramu ebya buli ngeri: ente, n’ebyewalula, n’ensolo ez’omu nsiko eza buli ngeri.” Bwe kityo bwe kyali.
01011900a6	Katonda n’atonda ensolo ez’oku nsi eza buli ngeri, n’ente eza buli ngeri, na buli ekyewalula ku ttaka ekya buli ngeri. Katonda n’alaba nga ky’akoze kirungi.
01011a00f1	Awo Katonda n’agamba nti, “Tukole omuntu mu kifaananyi kyaffe mu ngeri yaffe. Bafugenga ebyennyanja eby’omu nnyanja, n’ebinyonyi eby’omu bbanga, n’ensolo zonna, n’ensi yonna, era bafugenga na buli ekyewalulira ku nsi kyonna.”
