280000000f	मत्ती
28010100bb	ये यीशु मसीह रे पुर्वजा रे नाओं ए जो राजा दाऊद और अब्राहमो रे वंशो रे थे।
28010200d6	अब्राहमो ते इसहाक ऊआ; इसहाको ते याकूब ऊआ, याकूबो ते यहूदा और तेसरे ओर बी बऊत पाई ऊए।
28010300ee	यहूदा री लाड़ी तामारा ते फिरिस और जोरह ऊआ, फिरिसो ते हिस्रोन जम्मेया और हिस्रोनो ते एराम ऊआ,
28010400b8	एरामो ते अम्मीनादाब ऊआ, अम्मीनादाबो ते नहशोन ऊआ और नहशोनो ते सलमोन ऊआ।
28010500d6	सलमोन और तेसरी लाड़ी राहाबा ते बोअज ऊआ, बोअज और रूता ते ओबेद ऊआ और ओबेदो ते यिशै ऊआ।
28010600f3	यिशै ते दाऊद राजा जम्मेया। दाऊदो ते सुलेमान तेसा जवाणसा ते ऊआ, जो पईले ऊरिय्याहो री लाड़ी थी।
28010700a7	सुलेमानो ते रहबाम ऊआ, रहबामो ते अबिय्याह ऊआ, अबिय्याहो ते आसा ऊआ,
28010800a2	आसा ते यहोशफात ऊआ, यहोशफातो ते योराम और योरामो ते उज्जियाह ऊआ।
28010900a4	उज्जियाहो ते योताम, योतामो ते आहाज और आहाजो ते हिजिकिय्याह ऊआ।
28010a00b3	हिजिकिय्याहो ते मनश्शिह, मनश्शिहो ते आमोन और आमोनो ते योशिय्याह ऊआ।
28010b010f	इस्राएली लोका खे बेबीलोनो खे बन्दी बणाई की लई जाणे ते पईले योशिय्याहो रे पोते यकुन्याह और तेसरे पाई ऊए।
28010c0110	बन्दी ऊई की बेबीलोनो रे पऊँछाणे ते बाद यकुन्याहो ते शालतिएल जम्मेया और शालतिएलो रा पोता जरूब्बाबिल ऊआ।
28010d00b3	जरूब्बाबिलो ते अबीहूद, अबीहूदो ते इल्याकीम और इल्याकीमो ते अजोर ऊआ।
28010e0083	अजोरो ते सदोक, सदोको ते अखीम और अखीमो ते इलीहूद ऊआ।
28010f00aa	इलीहूदो ते इलियाजार, इलियाजारो ते मत्तान और मत्तानो ते याकूब ऊआ।
2801100118	याकूबो ते यूसुफ ऊआ, जो मरियमा रा लाड़ा था। मरियमा रे यीशु पवित्र आत्मा ते जम्मेया, जिना खे मसीह बोलेया जाओआ।
28011101f7	अब्राहमो ते दाऊदो तक सारिया चौदा पीढ़िया ऊईया और दाऊदो ते इस्राएलिया खे बाबेलो तक बन्दी बणाई की पऊँछाणे तक चौदा पीढ़िया ऊईया और बेबीलोनो तक बन्दी बणाई की पऊँछाणे ते मसीह तक चौदा पीढ़िया ऊईया।
280112019d	एबे यीशु मसीह रा जन्म ईंयां ऊआ, कि जेबे तिना री आम्मा मरियमा री मंगणी यूसुफो साथे ऊई, तेबे तिना रा ब्या ऊणे ते पईले ई मरियम पवित्र आत्मा री तरफा ते गर्भवती ऊईगी।
2801130150	तेबे तेसा रा ऊणे वाल़ा लाड़ा यूसुफ जो तर्मी था, से तेसा खे बदनाम नि करना चाओ था, तिने आपणे मनो रे सोचेया कि मां ये चुपचाप छाडी देणी।
2801140292	जेबे से एड़ा सोचणे ई लगी रा था, तेबे प्रभुए रा स्वर्गदूत तेसखे सुपने रे दिशेया और से तेसखे बोलणे लगेया, “ओ दाऊदो रे वंशो रे यूसुफ! तूँ आपणी ऊणे वाल़ी लाड़ी मरियमा खे आपणे कअरे ल्याऊणे ते नि डर, कऊँकि जो तेसा रे पेटो रे बच्चा ए, से पवित्र आत्मा रिया तरफा तेआ।
28011500f2	तेसा रे एक पाऊ जमणा, तैं तेसरा नाओं यीशु राखणा। कऊँकि तेस आपणे लोक तिना रे पापो ते बचाई देणे।”
28011600c1	ये सब कुछ तेबे ऊआ ताकि जो वचन प्रभुए भविष्यबक्ता ते बुलाई राखे, सेयो पूरे ओ
280117012c	“देखो, एक कुआँरी गर्भवती ऊणी और तेसा रे एक पाऊ जमणा और तेसरा नाओं इम्मानुएल ऊणा,” जेतेरा मतलब ए “परमेशर आसा साथे ए।”
280118014f	तेबे यूसुफ सयी की उठेया और जिंयाँ ई तेसखे परमेशरो रे स्वर्गदूते बोलेया था, तिंयाँ ई से आपणी ऊणे वाल़ी लाड़िया खे आपणे कअरे ली आया
280119013c	और जदुओ तक, तेसा रे पाऊ नि जम्मेया, तदुओ तक यूसुफ तेसा गे नि गया और तेबे तेसा रे पाऊ जम्मेया और तिने तेसरा नाओं यीशु राखेया।
280201018f	हेरोदेस राजे रे राज्य रे बखते जेबे यहूदिया प्रदेशो रे बैतलहम नगरो रे यीशुए रा जन्म ऊआ, तेबे देखो, पूर्व देशो ते कई ज्योतषी यरूशलेम नगरो रे आए और पूछणे लगे,
280202016c	“जो यहूदिया रा राजा जम्मी रा, से केई ए? कऊँकि आसे पूर्वो रे तेसरा तारा देखेया जो तेसरे जन्मो रे बारे रे बताओआ और आसे तेसगे माथा टेकणे आयी रे।”
2802030097	ये सुणी की हेरोदेस राजा और तेस साथे पूरा यरूशलेम कबराईगा।
