0100000008	Genesisy
0101010041	Tamin’ ny voalohany Andriamanitra nahary ny lanitra sy ny tany.
010102008e	Ary ny tany dia tsy nisy endrika sady foana; ary aizina no tambonin’ ny lalina. Ary ny fanahin’ Andriamanitra nanomba tambonin’ ny rano.
010103003b	Ary Andriamanitra nanao hoe: Misia mazava; dia nisy mazava.
0101040069	Ary hitan’ Andriamanitra fa tsara ny mazava; ary nampisarahin’ Andriamanitra ny mazava sy ny maizina.
0101050088	Ary Andriamanitra nanao ny mazava hoe andro; ary ny maizina nataony hoe alina. Dia nisy hariva, ary nisy maraina, andro voalohany izany.
0101060079	Ary Andriamanitra nanao hoe: Misia habakabaka eo anelanelan’ ny rano; ary aoka hampisaraka ny rano amin’ ny rano izy.
0101070092	Ary Andriamanitra nanao ny habakabakaka ka nampisaraka ny rano ambanin’ ny habakabaka tamin’ ny rano ambonin’ ny habakabaka; dia nisy izany.
010108006a	Ary Andriamanitra nanao ny habakabaka hoe lanitra. Dia nisy hariva, ary nisy maraina, andro faharoa izany.
0101090097	Ary Andriamanitra nanao hoe: Aoka hiangona ny rano eny ambanin’ ny lanitra ho eo amin’ ny fitoerana iray, ary aoka hiseho ny maina; dia nisy izany.
01010a0083	Ary Andriamanitra nanao ny maina hoe tany; ary ny rano tafangona nataony hoe ranomasina. Ary hitan’ Andriamanitra fa tsara izany.
01010b00c2	Ary Andriamanitra nanao hoe: Aoka ny tany haniry ahitra sy anana mamoa ary hazo fihinam-boa izay mamoa, samy araka ny karazany avy, ka manam-boa ao aminy, eny ambonin’ ny tany; dia nisy izany.
01010c00b3	Ary ny tany naniry ahitra sy anana mamoa samy araka ny karazany avy, ary hazo mamoa izay manam-boa ao aminy, samy araka ny karazany avy. Ary hitan’ Andriamanitra fa tsara izany.
01010d0038	Dia nisy hariva, ary nisy maraina, andro fahatelo izany.
01010e00b6	Ary Andriamanitra nanao hoe: Misia fahazavana eny amin’ ny habakabaky ny lanitra hampisaraka ny andro sy ny alina; ary aoka ho famantarana sy ho fotoana ary ho andro sy taona ireo.
01010f0070	Ary aoka ho fanazavana eny amin’ ny habakabaky ny lanitra izy hanazava eny ambonin’ ny tany; dia nisy izany.
010110009c	Ary Andriamanitra nanao ny fanazavana roa lehibe, dia ny fanazavana lehibe ho mpanapaka ny andro ary ny fanazavana kely ho mpanapaka ny alina sy ny kintana.
0101110066	Ary Andriamanitra nametraka azy teny amin’ ny habakabaky ny lanitra hanazava eny ambonin’ ny tany,
