0100000008	Genesisy
010101004c	Tam-pifotorañ’ añe, namboaren’ Añahare o likerañeo naho ty tane toy,
01010200a8	ie amy zay tsy amam‑bintañe naho kòake ty tane toy naho nimoro­­­moro­ñe ty an-tarehe’ i lalekey, vaho nihelahela ambone’ o ranoo t’i Arofon’ Añahare.
010103004e	Hoe t’i ­Andrianañahare: Ampiloneahan-kazavàñe; le nisodehan-kazavàñe.
010104005d	Nivazohon’ Añahare i hazavañey te nisoa, le navahen’ Añahare amy ieñey i hazavàñey,
0101050089	nataon’ Añahare ty hoe Andro i hazavàñey vaho nanoe’e ty hoe Haleñe i ieñey. I haleñey vaho i antoandroy—ty andro valoha’e.
0101060068	Le hoe t’i Andrianañahare: Ampiboahan-dañelañe añivo’ o ranoo hisitaha’ ty rano ami’ty rano.
0101070089	Aa le namboaren’ Añahare i lañelañey vaho navì’e amy rano ambone’ i lañelañey ty rano ambane’ i lañelañey. Le izay ty ie.
0101080065	Nataon’ Añahare ty hoe like­rañe i lañelañey. I haleñey vaho i antoandroy—ty andro faharoe.
0101090082	Le hoe t’i Andrianañahare: Hatontoñe antoetse raike o rano ambane’ i likera­ñeio hiboaha’ ty tane maike. Le iizay ty ie.
01010a006f	Nataon’Añahare ty hoe Tane i maikey, naho ty hoe Riake o rano nifanontoñeo, le nivazohon’Añahare te soa.
01010b009d	Aa le hoe t’i Andrianañahare: Ampitiriañ’ ahetse i taney, rongoñe mamoa voa naho hatae mamoa voa rekets’ àta’e ty amy karaza’ey. Le izay ty ie.
01010c00aa	Aa le nitirian’ ahetse ty tane toy, rongoñe mamoa voa ty amy karaza’ey, vaho hatae mamoa voa rekets’ àta’e, ty amy karaza’ey. Le nivazohon’ Añahare te soa.
01010d0031	I haleñey vaho i antoandroy—ty andro fahatelo.
01010e00aa	Le hoe t’i Andrianañahare: Ampiboaheñe failo i lañelañen-dike­rañey hañavake ty antoandro ami’ty haleñe ho vintañe naho famotoañañe naho andro vaho taoñe;
01010f0047	ho jiro amy lañelañen-dikerañey hañilo ty tane toy. Le iizay ty ie.
0101100088	Le namboa­ren’ Añahare ty jiro roe jabajaba—hifehe ty andro ty jiro bey naho hifehe ty haleñe ty jiro zai’e—vaho o vasiañeo.
010111004d	Aa le napon’Añahare amy lañelañen-dikera­ñey iereo hañilo ty tane toy
010112006a	hame­he ty andro naho ty haleñe vaho hañavake i ieñey amy hazavàñey. Ni­vazohon’ Añahare te soa.
0101130036	I haleñey vaho i antoandroy—ty andro fah’ efatse.
01011400b1	Le hoe t’i Andrianañahare: Ampifamorohoteñe raha veloñe hangetseke­tseke o ranoo, naho ampitiliñem-boroñe ty ambone’ tane toy an-tarehe’ i lañelañen-dindìñ’ey.
01011500d6	Le namboaren’ Añahare o fañanen-driakeo naho ze hene raha veloñe mihetseke, mifamorohotse amo ranoo, ty amy karaza’ey, naho ze hene voroñe reketse elatse ty amy karaza’ey. Le nivazohon’ Añahare te soa.
0101160092	Nitatan’ Añahare iereo ami’ ty hoe: Manaranàha le mangetseketseha, atsafo o ranon-driakeo, vaho ampangorokitsiheñe voroñe ty an-tane atoy.
0101170033	I haleñey vaho i antoandroy —ty andro faha-lime.
