0100000018	ഉല്പത്തി
010101006b	ആദിയിൽ ദൈവം ആകാശവും ഭൂമിയും സൃഷ്ടിച്ചു.
010102016f	ഭൂമി രൂപരഹിതവും ശൂന്യവുമായിരുന്നു; ആഴത്തിന്മീതെ ഇരുൾ ഉണ്ടായിരുന്നു. ദൈവത്തിന്‍റെ ആത്മാവ് വെള്ളത്തിൻ മീതെ പരിവർത്തിച്ചുകൊണ്ടിരുന്നു.
01010300a7	“വെളിച്ചം ഉണ്ടാകട്ടെ” എന്നു ദൈവം കല്പിച്ചു; വെളിച്ചം ഉണ്ടായി.
01010400ce	വെളിച്ചം നല്ലതു എന്നു ദൈവം കണ്ടു; ദൈവം വെളിച്ചവും ഇരുളും തമ്മിൽ വേർപിരിച്ചു.
0101050122	ദൈവം വെളിച്ചത്തിനു “പകൽ” എന്നും ഇരുളിനു “രാത്രി” എന്നും പേരുവിളിച്ചു. സന്ധ്യയായി ഉഷസ്സുമായി, ഒന്നാം ദിവസം.
010106015c	ദൈവം: “വെള്ളങ്ങളുടെ മദ്ധ്യേ ഒരു വിതാനം ഉണ്ടാകട്ടെ; അത് വെള്ളത്തിനും വെള്ളത്തിനും തമ്മിൽ വേർതിരിവായിരിക്കട്ടെ” എന്നു കല്പിച്ചു.
010107015b	വിതാനം ഉണ്ടാക്കിയിട്ട് ദൈവം വിതാനത്തിൻ കീഴിലുള്ള വെള്ളവും വിതാനത്തിൻ മീതെയുള്ള വെള്ളവും തമ്മിൽ വേർപിരിച്ചു; അങ്ങനെ സംഭവിച്ചു.
01010800d9	ദൈവം വിതാനത്തിന് “ആകാശം” എന്നു പേർവിളിച്ചു. സന്ധ്യയായി ഉഷസ്സുമായി, രണ്ടാംദിവസം.
0101090128	ദൈവം: “ആകാശത്തിൻ കീഴുള്ള വെള്ളം ഒരു സ്ഥലത്തു കൂടട്ടെ; ഉണങ്ങിയ നിലം കാണട്ടെ” എന്നു കല്പിച്ചു; അങ്ങനെ സംഭവിച്ചു.
01010a0139	ഉണങ്ങിയ നിലത്തിനു ദൈവം “ഭൂമി“എന്നും വെള്ളത്തിന്‍റെ കൂട്ടത്തിനു “സമുദ്രം“എന്നും പേരിട്ടു; നല്ലത് എന്നു ദൈവം കണ്ടു.
01010b01a2	ഭൂമിയിൽ നിന്നു പുല്ലും വിത്തുള്ള സസ്യങ്ങളും ഭൂമിയിൽ അതത് തരം വിത്തുള്ള ഫലം കായിക്കുന്ന വൃക്ഷങ്ങളും മുളച്ചുവരട്ടെ എന്നു ദൈവം കല്പിച്ചു; അങ്ങനെ സംഭവിച്ചു.
01010c0125	ഭൂമിയിൽനിന്നു പുല്ലും അതത് തരം വിത്തുള്ള ഫലം കായിക്കുന്ന വൃക്ഷങ്ങളും മുളച്ചുവന്നു; നല്ലത് എന്നു ദൈവം കണ്ടു.
01010d0064	സന്ധ്യയായി ഉഷസ്സുമായി, മൂന്നാംദിവസം.
