0100000019	ማዢንቲ ማፃኣፔ
010101005a	ቤርታዺ ፆኦሲ ጫሪንቺና ሳዓና ዔኤቢ ባኣያይዳፓ ማዤኔ።
0101020141	ዬኖ ዎዶና ሳዖኮ ሃማኬ ጌዒ ዔርታ ባኣዚ ባኣያ፤ ሃሣ ፔቴታዖ ዒዞይዳ ዓኣ ባኣዚያ ባኣያኬ፥ ሚርጌና ዔቴ ማዔ ዼኤፖ ዒጊቻ ዋኣፆ ዑፆይዳ ሻኔ ዹሚ ዓኣኔ፤ ፆኦሲኮዋ ዓያና ዋኣፆ ዑፆይዳ ሴካ ሃንጋ ጋዓኔ።
010103004c	ዬካፓ ፆኦሲ «ፖዒ ፖዖንጎ» ጌዒ ዓይሣዛ ፖዔኔ።
0101040071	ፆኦሲ ፖዒ ዛጋዖ ዒ ማዤ ባኮና ዎዛዼኔ፤ ዬካፓ ፆኦሲ ፖዒ ዹሚፓ ዱማሲ፥
0101050097	ፖዖ «ሮኦሪ» ጌዒ፥ ሃሣ ዹሞዋ «ዋንቴ» ጌዔኔ። ሳዓ ዓሚ ካሬኔ፤ ዬና ፔታሳ ቤርታሲ ኬሊ ማዔኔ።
010106009f	ዬካፓ ፆኦሲ «ዋኣፆ ዋኣፆይዳፓ ፓቂ ቃዛያ ሳዖኮ ዑፆይዳ ሌካ ዼጌ ቤሲ ማዖንጎ» ጌዒ ዓይሣዛ ማዔኔ፤
01010700f9	ፆኦሲ ዬያይዲ ሌካ ዼጌ ዋኣፆኮ ሳዛ ጉሪ ቤሲ ማዤኔ፤ ዬካፓ ፆኦሲ «ዬኖ ጉሮ ቤዞኮ ዴማ ዓኣ ዋኣፆና ዑፃ ዓኣሢና ፓቂንቶንጎ» ጌዔኔ፤ ዒዚ ጌዔሢጉዴያ ማዔኔ።
0101080097	ፆኦሲ ዬኖ ሳዖኮ ዑፃ ዼጊ ጌዔ ጉሮ ቤዞ «ጫሪንቺ» ጌዔኔ። ሳዓ ዓሚ ካሬኔ፤ ላምዓሳ ኬሊ ማዔኔ።
01010900bc	ዬካፓ ፆኦሲ ፃኣዺ ዓጪ ፔጋዺ ጴዻንዳጉዲ ጫሪንጮኮ ዴማ ዓኣ ዋኣፆ «ፔቴ ቤስካ ዴዖም» ጌዔኔ፤ ዒዚ ጌዔሢጉዴያ ማዔኔ።
01010a00ba	ፆኦሲ ፃኣዾ ዓጮ «ሳዓ» ጌዒ፥ ሃሣ ፔቴ ቤዛ ዴዒ ዓኣ ዋኣፆ «ዼኤፒ ባዚ» ጌዔኔ፤ ፆኦሲ ዬያ ዛጋዖ ማዤ ባኮና ዎዛዼኔ።
01010b00d1	ዬካፓ ፆኦሲ «ሳዓ ቱኮ ሚሢንታ ሃኣኮ ዜርሢ ጉቤ፤ ሃሣ ዓኣፒ ዓኣፓ ሚሢ ዱማ ዱማ ባቃልሶንጎ» ጌዒ ዓይሣዛ፥ ዒዚ ጌዔሢጎይፆ ማዔኔ።
01010c0077	ዬያ ጎይፆና ሳዓ ቢያ ባኮ ባቃልሴም፥ ፆኦሲ ዬያ ዛጋዖ ማዤ ባኮና ዎዛዼኔ።
01010d003b	ሳዓ ዓሚ ካሬኔ፤ ሃይሣሳ ኬሊ ማዔኔ።
01010e0107	ዬካፓ ፆኦሲ «ሮኦሮ ዋንታፓ ዱማሳኒ ዱማ ዱማ ፖዒ ጫሪንጮይዳ ማዖንጎ፤ ዱማ ዱማ ኬሎንታ፥ ሌዖንታ ሌዖይዳ ዓኣ ዱማ ዱማ ዎዳኣ ዓርቃ ዎዶ ዱማሲ ዔርዛ ማላታ ማዖንጎ፤
01010f0057	ሳዖም ፖዓኒ ጫሪንጫ ማዒ ፖዖንጎ» ጌዒ ዓይሣዛ ማዔኔ።
