2800000005	Matei
280101006c	Ganga ndi mahina gaka hoku baka Yesu Kilisitu, jojabii mu kibeleku saka Daudi, jojabii nsoko waka Ibulahimu.
280102005c	Ibulahimu ambelika Isaka na Isaka ambelika Yakobo na Yakobu ambelika Yuda naaka alongu baki.
280103006d	Yuda ambelika Pelesi na Zela, nyongo wabu jwabii Tamali, Pelesi ambelika Heziloni na Heziloni ambelika Alami,
2801040054	Alami ambelika Aminadabu na Aminadabu ambelika Nashoni na Nashoni ambelika Salumoni,
280105007c	Salumoni ambelika Boazi, nyongoo waka Boazi jojabii Lahabu na Boazi na Lutu bakabii azazi baka Obedi na Obedi ambelika Yese.
280106007e	Yese ambelika Bambu Nkolongu Daudi. Daudi ambelika Solomoni, nyongoo waki Solomoni bunkema Besisheba jojabii nhwanu waka Ulia.
280107004c	Solomoni ambelika Leoboamu na Leoboamu ambelika Abiya na Abiya ambelika Asa,
2801080058	Asa ambelika Yeoshafati na Yeoshafati ambelika Yolamu na Yolamu na Yolamu ambelika Uzia,
2801090048	Uzia ambelika Yosamu na Yosamu ambelika Ahazi na Ahazi ambelika Hezekia,
28010a0049	Hezekia ambelika Manase na Manase ambelika Amoni na Amoni ambelika Yosia,
28010b0072	Yosia ambelika Yekonia na alongu baki, mu masoba gegala sakabii kipindi sa Ayaudi pabaapelika ku luhami ku Babeli.
28010c0071	Pababiya baapeliki Ayaudi ku luhami luku Babeli, na Yekonia ambelika Shealutieli na Shetieli ambelika Zelubabeli,
28010d0052	Zelubabeli ambelika Abiudi na Abiudi ambelika Eliakimu na Eliakimu ambelika Azoli,
28010e0048	Azoli ambelika Sadoki na Sadoki ambelika Akimu na Akimu ambelika Eliudi,
28010f004f	Eliudi ambelika Eleazali na Eleazali ambelika Matani na Matani ambelika Yakobu.
280110005f	Yakobu ambelika Josepu, jojabii nndomi waka Malia, nyongoo waka Yesu joakema Kilisitu Nkombosi.
2801110103	Ndienu kwabi niibeleku Komi nu nsesi kutumbuli Ibulahimu mbaka Daudi ni ibeleku komi nu nsesi tumbuka Daudi mbaka Ayaudi pabaakamula kujenda kuluhami ku Babeli, ni ibeleku komi nu nsesi toka pabaakamula kujenda kuluhami mbaka kusaliwa kwaka Kilisitu Nkombosi.
28011200d8	Yesu Kilisitu jwasaliwa ana, Malia nyongoo waka Yesu jwabia jusumbiki Josepu. Lakini pa babiya bakoni nganukutama pamu ngati nndomi nu nhwanumundu, Malia jabonikana jubii ni kitumbu kupete uwesu wa Loho jaka Sapanga.
2801130077	Josepu ndaba jabii mundu waamboni palongi jaka Sapanga, ngasejapai kumpoalihamu Malia, ndi japala kundeka kinunukinunu.
28011400e6	Pajwabia jwakoni jwakawasaliya lijambu leheli, Ntumi jukunani waka Bambu ampitila mundotu ampwagila, “Josepu mwana waka Daudi, wijogopa kunzuku Malia kuba nhwanu wako, ndaba kitumbu saki jupatiki ku uwesu waka Loho jaka Sapanga.
280115007c	Jwiibelika mwana mwanalomi nawe wankema liina laki Yesu, ndaba jombi ndi jojwaakombula bandu baki kuhuma mu mahakau gabu.”
2801160066	Ndienu, haga goti gapitii ili litimia lilobi laka Bambu lejwapwaga kwi indela jaka mlota waka Sapanga,
28011700b3	“Linga, kamwali jwanga kuketanga na mwanalomi jwiitotula kitumbu, ambelika mwana mwanalomi, najombi bankema liina la Manueli.” Maana jaki, “Sapanga jubii pamu na twepani.”
2801180087	Ndienu, Josepu pa jwajumuka mu lugonu jatenda ngati ntumi jukunani eampwagila, anzukua Malia nhwanu waki, nukujenda naku kunyumba jaki.
2801190066	Lakini ngasejagoni naku mbaka Malia pajabelika mwana mwanalomi. Najombi Josefu ankema liina laki Yesu.
28020100d2	Yesu jasaliwa ku musi guku Betelehemu, ku nndema uku Yudea, masoba Helodi pajwabii bambu nkolongu. Bandu baamanya gagiipitila mweni katai sukulingali ndondu babahuma upandi golipitii lyoba bahika ku Yelusalemu,
28020200a5	baalalukiya bandu, “Jubii kwaa mwana jojibiya bambu nkolongu jwa Ayaudi, jojusaliwi? Tujibweni ndondu jaki jipitii upandi golipiti lyoba, tuhikiki kungungamali.”
280203006f	Bambu nkolongu Helodi pajajoa ganiaga, jahangajiki ngamaa mmoju jaki, jombi pamu na bandu boti buku Yelusalemu.
2802040086	Ndienu Helodi, jaakema pamu agolu akolongu boti na abola ba malagalaki jalalukiya bombi, “Boo, Kilisitu Nkombosi jwisaliwa kwako?”
280205006d	Nabombi bajibua, “Jisaliwa ku musi uku Betelehemu, ku nndema uku Yudea. Ndaba mlota waka Sapanga ejuandiki,
28020600ba	‘Mwabandu buku Betelehemu musi gogubii ku Yudea, mwanganya mwaasoku kati jaka kilongosi ba bandu buku Yudea, ndaba kwinu jiihuma kilongosi, jojaalongua bandu bangu buku Izilaeli.’”
2802070079	Ndipala Helodi jaakema bandu bala baamanya gagipitila sukulingali ndondu su ujobu, ili bumpwagila muda gojipitila ndondu.
280208009d	Ndienu jaatuma ku Betelehemu, japwaaga, “Nzendannya mukataputa sapi pajubii mwana hoju. Anamubweni mwihika kumbwagi na nane kabee niijenda kungungamali.”
28020900a4	Ebajomula kunzoane bambu nkolongu batenda kuboka. Na ndondu jela jebabiya bijibweni upandi kolipitii lyoba jaalongulikiya nukujenda kujema pandu pajabii mwana pala.
28020a0027	Ebijibona ndondu jela, batoguli ngamaa.
28020b00cf	Ndienu, bajingala nnyumba, bummbona mwana jola pamu na Malia nyongoo waka mwana, bapega magoti nukungungamali. Ndipala baogula mikoba jabu, nukumpeke nhupi yabu, zaabu nu ubani na mahuta gabagakema manemane.
28020c0070	Sapanga jaakana mundotu biikelebuki kabee kwaka Helodi, ndienu bakelubuka mwa manyumba gabu kupete indela jengi.
28020d00e6	Pababoka ageni bala, ntumi juku kunani jwaka Bambu ampitila Josepu mu ndotu, ampwagila, “Jumuka! Gunzukua mwana pamu na nyongoo, ntilila ku Misili. Mwakatama konioku mbaka enampwagila, ndaba Helodi jupala kunkoma mwana weajo.”
28020e005f	Ndienu, Josepu jajumuka, anzukua mwana pamu na amabu baki ikilu ajelaje, nukujendane ku Misili.
28020f00a0	Jatama hoku mbaka Helodi ejakuwa. Lijambu heli lahengika ili lilobi lejwapwaga Bambu kwi indela juku mlota litimia, “Nunkemaa mwana wangu kuhuma ku Misili.”
2802100112	Helodi pajamanya baamanya gagipitila sukulinga ndondu bala babia ankongiki, jayomiki ngamaa. Jaamulisa bana boti akanalomi buku musi uku Betelehemu na baabii pambipi jabu, baabii na yaka ibeli na pai jaki akomika. Jwahenga hela kulengana na muda gobabia bumpwagi bandu bala.
2802110048	Ndienu, hegatimia malobi gajapwaga Mlota waka Sapanga jobunkema Yelemia,
280212008c	“Sauti jajoaniki ku Lama, kilelu su usungu nkolongu nu kulobalake. Laheli jaalele bana baki, wala ngakupala kuntulisa, ndaba boti awii.”
280213004f	Helodi ejakuwa, ntumi juku nani jwaka Bambu ampitila Josepu mu ndotu ku Misili,
280214008d	ampwagila, “Jumuka! Gunzukua mwana pamu na nyongoo waki nkelubuka kabee ku ndema uku Izilaeli, ndaba baapala kunkoma mwana hoju akuwike.”
2802150060	Ndienu, Josepu jajumuka, anzukua mwana pamu na nyongoo waki, nukukelabuka ku ndema uku Izilaeli.
28021600c0	Lakini Josepu ejajoa Alukelao mwana waka Helodi, jabii nkolongu juku Yudea jalisa kiteu sa atati baki, jajogopa kujenda hoku. Najombi ndaba babiya ankaniki mundotu jajenda upandi uku Galilaya,
2802170092	ndienu jatama mmusi gobugukema Nazaleti. Ndi egatimia malobi gajapwaga kwi indela jaka alota baka Sapanga, “Bankema mundu kuhuma ku Nazaleti.”
2803010055	Masoba gala Yohana Mmbatisa jajenda, mulukoba luku Yudea, nukutumbuli kaalandi bandu.
2803020063	Japwaaga, “Nkotuka kuhenga mahakau gino, ndaba Ubambu ukolongu ukunani kwaka Sapanga guhegali.”
2803030095	Yohana ndi joandongalia mlota waka Sapanga Isaya pajapwaaga, “Mundu jujamali kulukoba, ‘Munhandaliya Bambu indela jaki, nnyosa indela jaki.’”
2803040093	Yohana jaweti ingobu yeasoniki kwa mangoma gi kinyama sebikikema ngamia nu nkanda wa ngosi mukibunu saki. Posu jaki jabia mapai na busi gumwikioli.
280305007d	Bandu bunzendila, kuhuma ku Yelusalemu na kuhuma misi yoti yuku Yudea kuhuma ndema yoti yeibii pambipi ja losi luku Yoludani.
280306004c	Bajetakiya mahakau gabu nukugaleka, najombi jaabatisa mu losi luku Yoludani.
28030700b1	Lakini pajaabona Afalisayu bingi naka Asadukayu bunhiki ili jaabatisa, jaapwagila, “Mwanganya mwi kibeleku si lijoka! Nya joantonyiki kujepa kutemuliwa na Sapanga kokwihikaje?
280308002f	Nhenga mahengu gagalangi nndekaki mahakau gino.
28030900a8	Mwiwasali nhwesa kujepa kutemuliwa na Sapanga sukulipwagi, ‘Atati bitu Ibulahimu.’ Numpwagi sakaka, Sapanga juwesa kung'anambu malibu haga gabia bana baka Ibulaimu.
28030a007f	Ndienu lipengu abei punhina ji mikongu, na henu nkongu gokapi wanga kupapa matunda gasapi biitenda kuguseku nukuguleke pamwotu.
28030b00d4	Nepani numbatisa kwa masi kulangi nndekaki mahakau gino. Lakini jojuhika munyuma jane jubii nu uwesu kupeta nepani, nane ngasembalika hata kujuku makobasi gaki. Jombi jambatisa kwa Loho jaka Sapanga na kwa mwotu.
28030c0094	Jombi jubi ni kipalu saki mumaboku gaki, ili jupeta ilebi yaki, ni inganu yaki jaibeka mukikoku, lakini mwegeu jagujosa kwa mwotu wanga kususuka.”
28030d0053	Ndienu, Yesu jahuma ku Galilaya, jahika ku losi luku Yoludani, kubatiswa na Yohana.
28030e0073	Lakini Yohana jalenga kumpenga, sukupwaga, “Nepani ndi nembala kubatiswa nawe, kubi boo, wehapa guhika kwango?”
28030f00a1	Lakini Yesu anzibua, “Kuleka pe kubia ahelahe kwa sajeno, ndaba ndi ekupalika tutimisa goti gajupala Sapanga.” Ndienu Yohana jatenda kujetake kumbatisa Yesu.
28031000b0	Yesu pajajomula pee kubatiswa, jwapita mmasi. Apalapa kunani ku mahundi kwaka Sapanga kwatenda kuhogoka, ambona Loho jaka Sapanga jakahuluka ngati ngunda nu kumete panani jaki.
2803110068	Sauti kuhuma kunani kwaka Sapanga jajoanika jakapwaga, “Jonzo ndi Mwanangu jonumpai, jojunenganile.”
280401004f	Ndipala Loho jaka Sapanga jundongua Yesu mbaka kulukoba ili julengwa ni Lijobi.
280402004f	Japungiki kula posu masoba komi nsesi muhi ni ikilu, pajajomula jumbina inzala.
2804030073	Ndienu Lijobi, lunhikila nukunkolo, “Ana wehapa wa Mwana waka Sapanga, ugapwagila malibu aga gabiya mabumunda.”
2804040092	Yesu jajibua, “Aandiki mu Maandiku gaka Sapanga, ‘Mundu ngasejuwesa kutama kupete mabumunda pena, ila kwa kila lilobi lejupwaga Sapanga.’”
2804050072	Ndipala Lijobi lunzukua Yesu mbaka ku Yelusalemu, kumusi wa asapi, ambeka panani jikipagaa sa Nyumba jaka Sapanga.
28040600e2	Ndienu ampwagila, “Ana wehapa wa Mwana waka Sapanga, lilekala pai, ndaba aandiki mu Maandiku gaka Sapanga, ‘Sapanga jaatuma atumi baki bu kunani bagukenga, nu kugujanga mumaboku gabu, ili walikobando kwaku mu lilibu.’”
2804070061	Yesu ampwagila, “Aandiki kabee mu Maandiku gaka Sapanga, ‘Wandenga Bambu, Sapanga wako.’”
280408007e	Ndipala, Lijobi anzukua kabee mbaka panani ji kitombi kilasu, andangia ubambu ukolongu wa ndema yoka na nu ukolongu waki woti.
2804090051	Ndienu lumpwagila, “Yenze yoti misinugupekia ana gunyinamii nu kungungamali.”
28040a0097	Yesu ampwagila, “Boka neapa Lijobi wee! Aandiki mu Maandiku gaka Sapanga, ‘Gungungamaliya Bambu Sapanga waku, nukuntumakii jombi kajika jaki.’”
28040b004f	Ndienu Lijobi lundeka Yesu, na atumi bu kunani kwaka Sapanga bahika kuntumakii.
28040c003d	Yesu pajajoa Yohana ampeliki mu kipungu, jajenda ku Galilaya.
28040d009a	Jaboka ku Nazaleti, jajenda ku Kapelinaumu, musi gogubii pambipi nu nhanga uku Genesaleti, gogupakini nu nndema uku Zebuluni nuku Nafutali, jatama kokuje.
28040e0037	Ndi latimia lilobi lejapwaaga Mlota waka Sapanga Isaya,
28040f0095	“Nndema guku Zebuluni nu nndema guku Nafutali, indela jukuyetuki ku nhanga mulutengu ja losi luku Yoludani. Galilaya, nndema wa bandu banga Ayaudi!
2804100086	Bandu baatama pa lwii agubweni unang'anu nkolongu. Nabombi baatama mundema ja lwii ni kihilu sa kuwa, unang'anu gutei kwaanang'ani!”
280411008c	Tumbuka masoba gala Yesu jatumbuliya kulandi jakapwaga, “Nkotuka kuhenga mahakau, ndaba Ubambu ukolongu ukunani kwaka Sapanga guhegali!”
28041200c4	Yesu pajabia jujenda mulutengu ju nhanga uku Galilaya, jaabona aka kilongu abeli aloi, Simoni jobunkema Petili nu nndongumundu Andilea. Babia bakalopula homba kwi ilepa mu nhanga ndaba babia aloi.
280413006f	Yesu jaapwagila, “Mbwata nepani, na nepani nantenda mwanganya mbia mwa bandu babaleta bandu kwaka Sapanga.”
2804140029	Apalapa biileka ilepa yabu, nukunzengale.
28041500ce	Ejwabia jujenda palongi kidogu, jaabona aka kilongu abeli, Yakobu na Yohana bana baka Zebedayu. Haba babia nkati junhwatu pamu na ahengo babu Zebedayu, bakalenganakiya ilepa yabu. Ndi Yesu jatenda kwaakema,
2804160042	nabombi apalapa buguleka nhwatu pamu na ahengo babu, nukunzengale.
28041700b5	Yesu jayongolatiya Galilaya joa, jatumbuliya kuboola mu nyumba yukuketangane Ayaudi, jaalandila bandu Lijambu la Amboni lu Ubambu ukolongu waka Sapanga. Jaalamisa bandu magonzu goa.
28041800c9	Majambu gaki gaeni pandu poti ku Silia. Ndienu bandu bumpelakiya agonzu boti, na bandu balwala ugonzu wokapi na baang'alika, baabii ni ilombu, bana kihinduhindu na bandu baalei, najombi jaalamisa boti.
280419009c	Nsambi nkolongu wa bandu gwatenda kumpwata kuhuma ku Galilaya, nndema yuku Dekapoli maana jaki Misi Komi, Yelusalemu na Yudea na kwii ja losi luku Yoludani.
2805010063	Yesu pajugubona nsambi wa bandu, jakwela ku kitombi, nukutama pai. Banafunzi baki batenda kunzende,
280502002b	najombi jatumbuliya kwaabola, koni jupwaga.
280503005c	Apengaliwi bandu babunhobale Sapanga, ndaba Ubambu ukolongu ukunani kwaka Sapanga ndi gwabu.
2805040063	Apengiwi babii nu usungu mmoju ndaba jukutenda mahakau, ndaba Sapanga jaakelubukiya kutogule kwabu.
2805050032	Apengiwi babunzogopa Sapanga, ndaba biilisa ndema.
2805060058	Apengiwi baabii ni inzala na nywita jukuhenga gajagapala Sapanga, ndaba biitenda kutupi.
2805070036	Apengiwi baabii ni ikia, ndaba Sapanga jaabonila ikia.
2805080034	Apengiwi bana mwoju wa sapi, ndaba bammbona Sapanga.
280509003a	Apengiwi baaleta lukwali, ndaba baakema bana baka Sapanga.
28050a006d	Apengiwi baang'alika ndaba jukuhenga gajupala Sapanga, ndaba Ubambu ukolongu ukunani kwaka Sapanga ndi gwabo.
28050b0066	Mpengaliwi mwanganya bandu na buntondoo, nunkung'alisa nu kunkopake kwi isoli, ndaba mwanganya mbwata,
28050c0090	Ntoguliya nukululuta ndaba nhupi inu ngolongu ibi ku maundi. Ndaba hela ndi ebaang'alisa alota baka Sapanga bababii kabula jukusaliwa mwanganya.
28050d00b3	“Mwanganya ndi mwinyu gu pundema. Lakini mwinyu naguhoiki kunoga kwaki, boo, mwiibeka kii mbaka jinoga kabee? Ngasejibii ni lihengu kabee, ila aleke kunza nukukanyatwa na bandu.
28050e005c	“Mwanganya ndi unang'anu wu nndema! Musi goasengiki panani ji kitombi ngaguwesi kuhihiika.
28050f0078	Wala bandu ngaseapambaki taa nu kujiyekale ni kitonga, ila abeka panani ji kipanda ili gwamulakya boti baabii mu nyumba.
28051000a0	Ahelahe, mwanganya unang'anu winu gunang'ana palongi ja bandu, ili bagabona mahengu ginu gaamboni ganhenga, ili baalumbaliya atati binu bu kunani kwaka Sapanga.
2805110087	“Mwiholale hikiki kuputa malagalaki gaka Musa na mabolee gaka alota baka Sapanga. Ngasenhikiki kuputa ila kugatenda gabiya ga sakaka.
2805120097	Numpwagi sakaka, mbaka kunani kwaka Sapanga nu nndema ekwipeta, nga hata nukuta jimu au lilobi lisokopi mu Malagalaki leliiboka, mbaka goti pagiitimia.
2805130125	Ndienu jokapi jojiikana lilagisu lisokopi kuhuma ku Malagalaki gaanga, nakaabola bangi ahenga hela, mundu hoju jwiibia msoku ngani mu Ubambu ukolongu ukunani kwaka Sapanga. Lakini jojukamulaki Malagalaki na kwaabola bangi ahenga hela, hoju jwibiya nkolongu mu Ubambu ukolongu ukunani kumaunde.
280514009f	Numpwagi sakaka, ana ngasenhenga gajupala Sapanga kwaapeta abola ba Malagalaki na aka Afalisayu, kyee ngamwijingii mu Ubambu ukolongu ukunani kwaka Sapanga.”
2805150061	“Nnzoini bandu ba mwandi baapwagila, ‘Wikoma na mundu jokapi jojikoma jupalika kutemuliwa.’
28051600e6	Lakini nepani numpwagi sakaka, jokapi joanhyome ndongu waki, buntenda kuntemu. Mundu joantondo nndongu waki bampelika pasengu. Mundu joankema nndongu waki, ‘Nng'ang'a’ jubii pambipi kujingi mmwotu wanga kususuka masoba goa.”
2805170075	“Ndienu, egupeleka matambiku gaku palongi ja mesa jukupiiki litambiku na papuje gukomboka gukomini nu nndongu waku,
2805180090	wagaleka hoti matambiku gaku palongi ja mesa jukupiiki litambiku, jenda hoti wakajomulania nu nndongu waku, ndi wikelubuka kupia litambiku laku.
28051900c9	“Mundu na jugutaki, jongana na jojugutaki nyata mwindela kabula jukujenda pasengu, anangahela jojugutaki jagukabisa kwaka jojutemu, najombi ntemu jagukabisa kwaka nndonda, nanagu wikongika kukipungu.
28051a0052	Nugupwagi sakaka, ngawipiti mukipungu mola mbaka gwilepa lingengalema la mwisu.”
28051b0032	“Nnzoini bandu bumpwagila, ‘Mwitenda ugoni!’
28051c0055	Lakini nepani numpwagi, joandingali mmbomba nukuntokule, jutei naku ugoni mmoju jaki.
28051d00b0	Ana ngati liu laku la malele lugukolo kuhenga mahakau, tupula ukalekala kutali. Nambanga kuhoa kipandi simu sa nhyega jaku, kuliku nhyega jaku joti kuleke mmwotu wa masoba goa.
28051e00ba	Anangati kuboku kwaku kwa malele gukukolo kuhenga mahakau, sekula wakalekala kutali. Nambanga kuhoa kipandi simu sa nhyega jaku, kuliku nhyega jaku joti kuguleke mmwotu wa masoba goa.”
28051f0059	“Apwagiki kabee, ‘Joandeka nhanu waki, kupalika ampekiya likalatasi lu kutalikana.’
28052000bc	Lakini nepani numpwagi, mundu jokapi joantalika nhwanu waki, ila pee ndaba jutei ugoni, ankolo jutenda ugoni, na mundu jokapi anajujukwi mmbomba joantaliki, najombi kabee jutenda ugoni.”
280521007c	“Kabee nzoini bandu ba mwandi ebaapwagila, ‘Wikotoka kutenda sewalagila kutenda, ila gutimisa kulagi kwaku kwa Bambu.’
280522006e	Lakini nepani numpwagi, mwilapa, wala su kunani kwaka Sapanga, ndaba senyesi ndi kiteu su ubambu saka Sapanga,
2805230087	wala kulilapi kwa nndema, ndaba paniapa ndi pandu pukubeke magolu gaki, wala ku Yelusalemu, ndaba goniogu ndi musi waka Bambu nkolongu.
280524005d	Wala wilapa su umutu waku, ndaba ngaseguwesa kuling'anambu lijunzu limu kuba lihuu au lijilu.
2805250092	Anagupwagiki, ‘Hena,’ kubia, ‘Hena,’ na gupwagiki, ‘Ngahela,’ kubia, ‘Ngahela.’ Sokapi sekijonzuke haga kihuma kuku Mbaja jola.”
280526003a	“Nzoini ebapwaaga, ‘Lihu kwa lihu na linu kwa linu.’
2805270096	Lakini nepani numpwagi, gwandepa sindu silia mundu mbaja. Mundu ana jugulapwi likopi lituku luku malele, kabee gundeka jugulapula lituku luku mangega,
280528004e	Mundu ana jukutaki ili kugujukuki likoti laku, gundeka jujukua na kaputi jaku.
280529004d	Mundu anajupala untotuliya nsigu waki kilumita jimu, witotula kilumita ibeli.
28052a0030	Gumpekiya jojuguloba, na jojuguloba wannzima.”
28052b0043	“Nnzoini ebapwaaga, ‘Gumpala nnzako na gunsukila jojugusuki.’
28052c0061	Lakini nepani numpwagi, mwaapala banga kumpala na kwaalobe kwaka Sapanga babunng'alisa mwanganya,
28052d00b4	ili mbia mwabana ba Atati binu baabii kunani ku mahundi. Ndaba lyoba laki laanang'ani bandu abaya na baamboni, na kwaakuni iyula bandu baabi abaya na baamboni palongi jaka Sapanga.
28052e0060	Ana mwaapai babumpai pee, boo, mwiipata nhupi bole? Ndaba baajopa kodi nabombi ahenga ahelahela!
28052f0080	Ana mwaalamuki alongu bii pena, boo ntenda sindu boo sakwaapea bandu bange? Hata bandu banga kummanya Sapanga, ahenga ahelahela.
2805300053	Henu, mbia momkamiliki, ngati Atati binu bu kunani kwaka Sapanga ebii akamiliki.”
280601009d	“Nnzepa kuhenga mahengu gaamboni palongi ja bandu ili mbonikana. Ndaba anantei hela ngamwiipati nhupi jokapi kuhuma kwa Atati binu bu kunani kwaka Sapanga.
28060200f2	“Henu, hemunzangati mundu nhagu sindu sokapi, walilangii kwa bandu. Wiihenga ngati bandu babilikopake baamboni, heahenga mu manyumba gukuketangane Ayaudi na mwiindela ili bandu baalumbaliya. Numpwagi sakaka, baniaba apatiki nhupi yabu yoti.
2806030051	Lakini wehapa egunzangati nhagu, henga kinunu hata nkosi waku jwimanya seguhenga.
280604005e	Waajangatya ahagu kinunukinunu, na Atati baku babagabona gaguhenga mukinunu, bagupekiya nhupi.
28060500e1	“Pamundoba Sapanga, mwihenga ngati babilikopake baamboni. Ndaba bombi apala kujema kundoba Sapanga mu manyumba gukuketangane Ayaudi na mumagobukanu giindeela ili bandu baabona. Numpwagi sakaka, haba apatiki nhupi yabu yoti.
28060600b2	Lakini wehapa pagundoba Sapanga, jingala nsumba saku, jigala ndyangu waku, ndi waaloba Atati baku banga kubonikana. Ndienu Atati baku babagabona gauhenga sujobu bagupekiya nhupi.
28060700a9	“Pamundoba Sapanga, mwiposukana malobi gingi ganga na mana ngati ehenga bandu banga kummanya Sapanga. Ndaba bombi awasali baajogwaniya ndaba ja malobi gabu kuba gingi.
280608004d	Mwikuba ngati bombi, ndaba Atati binu amamyiki gampala kabula ngasemwalobiki.
2806090073	Lakini mwanganya nndoba ana, ‘Atati bitu mombii kunani kwaka Sapanga kwaka Sapanga, liina linu lilumbalika ngani.
