010000000b	Ittẹwọr
010101003c	K'ittẹwọr, Ibinọkpaabyi osi ẹrọng ọmaana irerek.
0101020095	M'ogbe nwuma ọttọhk manda vani kode, ọyagbin ode idukhi, ibe kpenamkpen ipyi erungi bi kaang. Egwugwuma ch'Ibinọkpaabyi erenga ẹbaabha asi.
0101030050	Mẹ wọ osi, Ibinọkpaabyi, oben bi, “Tte iyaan iwobha.” Wa iyaan iwobha.
0101040065	Ibinọkpaabyi ore bi, iyaan ikk'ijibha, Ibinọkpaabyi ọbhaangi iyaan ide ngọmi ttara ipyerungi.
0101050097	Mẹ wọ osi, Ibinọkpaabyi oyeri iyaan nnuma, ẹya, obiro oyeri ipyerungi, erungi. Wa ekpebha ọmaana ẹchọhkha bọ asi echedenwu m'ọyagbin.
0101060080	Ibinọkpaabyi oben bi, “Tte ọrọngkpakpa oyin k'ottem kw'asi. Tte ọbhaangi asi p'ẹrọng ọmaana asi p'irekh-irek.”
01010700ad	Mẹ wọ osi, Ibinọkpaabyi osi ọrọngkpakpa ọbhaangi asi. Asi bani awobha k'ọrọngkpakpa ebir-ebir, bani awobha k'ọrọngkpakpa irekh-irek. Iwa kwẹ ode mando.
0101080074	Ibinọkpaabyi oyeri ẹrọng, ọrọngkpakpa. Wa ekpebha ọmaana ẹchọhkha bọ asi ottong iwu ifa m'oyagbin.
0101090088	Ibinọkpaabyi obiro oben bi, “Tte asi p'awobh k'ọrọngkpakpa irekh-irek atzobha ibe rani, ifha ogbin oyin.” Iwa kwẹ ode mando.
01010a007b	Ibinọkpaabyi oyeri irerek, ogbin, obiro oyeri asi p'atzobh ibe rani, araanga p'ideden. Ibinọkpaabyi ore bi, okk'ojibha.
01010b00d3	Ibinọkpaabyi oben bi, “Tte irerek imen ekpo k'adem-k'adem: araraari p'áwọm amọma p'ámen ka ngera sabẹ ọmaana nchi si ńwọm aduk p'ási amọma pabẹ, k'odem kwa sẹ nde.” Iwa kwẹ ode mando.
01010c00b9	Irerek imen araraari k'adem-k'adem, araraari awọm amọma p'afon k'amọma pabẹ ka for, nchi nwọm aduk p'afon k'amọma p'achiduk pabẹ ka for. Ibinọkpaabyi ore bi, okk'ojibha.
01010d0046	Wa ekpebha ọmaana ẹchọhkha bọ asi ottong iwu ittaan m'oyagbin.
01010e00a7	Ibinọkpaabyi oben bi, “Tte mkpon nwobha k'ọrọngkpakpa, sa ḿmaangi ẹya k'ipyerungi, tte sẹ nde ẹkhọhkha ch'igbe s'ọdadaami, ch'iwu ọmaana cha cho.
01010f0062	Tte mkpon nnuma mmaani k'ọrọngkpakpa, ifha sẹ ńnang iyaan k'irerek.” Iwa kwẹ ode mando.
0101100097	Ibinọkpaabyi osi mkpon mfa sa ndeden. Wa osi ch'ẹbar-ọbar bi ẹkhaama ẹfa k'ẹya, ch'ẹkhar-ọkhara bi ekkeri erungi. Wa obiro osi ndodori.
0101110051	Ibinọkpaabyi ohok mkpon nwobha k'ọrọngkpakpa bi, sẹ nnang iyaan k'irerek,
010112007e	ọmaana bi, sẹ nkkeri ẹya ọmaana erungi, ọmaana bi sẹ mmaangi iyaan k'ipyerungi. Ibinọkpaabyi ore bi, okk'ojibha.
0101130047	Iwa ekpebha ọmaana ẹchọhkha bọ asi ottong iwu inna m'ọyagbin.
01011400a9	Ibinọkpaabyi oben bi, “Tte nden k'adem-k'adem mfu k'asi, sa nhaabh-ọhaabh, nwobha akpen. Tte ọnọhn f'ẹrọng okhur k'iwokhi s'ọyagbin k'ọrọngkpakpa.”
01011500d2	Mando wọ kw'Ibinọkpaabyi osi nden sa ndeden s'asi, ọmaana ọttọhk kpenamkpen f'orukhi akpen, obiro orenga k'asi, ọmaana ọnọhn k'adem-k'adem f'ọkhaam mbabaang. Ibinọkpaabyi ore bi, okk'ojibha.
01011600a8	Ibinọkpaabyi odo nden nnuma biphyir s'ọkk'ọsa, oben sẹ bi, “Bọng maan ayok k'ọhaabh abira afu k'asi p'araanga. Tte ọnọhn ọn-ọhaabh k'ọyagbin.”
0101170046	Wa ekpebha ọmaana ẹchọhkha bọ asi ottong iwu izen m'ọyagbin.
01011800db	Ibinọkpaabyi obiro oben bi, “Tte irerek itzima nden sa nnukhi akpen k'adem pabẹ iyin, nden s'otzer, ọmaana ọttọhk kpenamkpen f'oreng k'irerek ttara nden s'ẹtzam otzor k'adem pabẹ.” Iwa kwẹ ode mando.
01011900c4	Mando wọ kw'iwa Ibinọkpaabyi osi nden s'ẹtzam, ọmaana nden s'otzer otzor k'adem pabẹ, ttara ọttọhk kpenamkpen f'oreng k'irerek otzor k'adem pabẹ. Ibinọkpaabyi ore bi, okk'ojibha.
01011a00f3	Mẹ wọ, Ibinọkpaabyi oben bi, “Tte mosi anọngẹya ka ngera saman, p'akher man. Tte bẹ abaabha nden s'asi, ọmaana ọnọhn f'ẹrọng, ọmaana nden s'otzer, ọmaana irerek biphyir ttara ọttọhk kpenamkpen f'oreng k'irek.”
01011b0074	Mẹ wọ, wa Ibinọkpaabyi oyok anọngẹya, oyok bẹ ka ngera sẹ. Wa oyok bẹ, ojinọng ọmaana kwanọng.
01011c00f6	Ibinọkpaabyi odo bẹ, oben bẹ bi, “Bọng maan ayok, abira ahaabh, tte va pabọng afu ọyagbin, abira abaabha ọyagbin, ọmaana nden s'asi, ọmaana ọnọhn f'ẹrọng, ttara ọttọhk kpenamkpen f'owobh akpen, f'oreng k'irerek.”
01011d00e3	Mẹ wọ osi, Ibinọkpaabyi oben bẹ bi, “Bọng kkeri, nkk'bọng achiduk ttara achimọma kpenamkpen p'awobh k'irerek nnanga, nchi biphyir sa nwọm aduk p'amọma awobh k'ẹtzaanga bi, sẹ ńde ọchattọhk fabọng.
01011e0100	Onode nden biphyir si nnukhi akpen k'irerek, ọmaana ọnọhn f'ẹrọng biphyir, ttara ọttọhk kpenamkpen f'oreng k'irerek, obiro oruk akpen, nkk'bẹ akwongitzọhng p'ẹtzam nnanga bi, bẹ achi, mach'ọchattọhk fabẹ.” Iwa kwẹ ode mando.
01011f0098	Iwa Ibinọkpaabyi ore bi, ọttọhk kpenamkpen f'ọkk'ọsa okk'ojibha kpọng-kpọng. Wa ekpebha ọmaana ẹchọhkha bọ asi ottong iwu izadani.
0102010082	Iwa Ibinọkpaabyi okyera ọtzọhm f'ẹrọng, ọmaana irerek osisi, ttara ọttọhk kpenamkpen f'owobh k'ẹtzaanga kwabẹ.
0102020094	Ottong iwu izenamfa, Ibinọkpaabyi okk'ọtzọhm okyera f'om-osi, m'ewu ch'ettong iwu izenamfa okwokha ọwọhng k'ọtzọhm f'ọkk'ọm-ọsa.
010203009f	Ibinọkpaabyi odo ewu nda ch'ettong izenamfa, ohok chẹ mach'ewu ch'ewur-owur, okhuri bi, m'ewu nda dọ ch'okwok ọwọhng, k'ọtzọhm f'ọyagbin osisi.
0102040092	Ma wọ ode odem kw'iwa Ọvaar Ibinọkpaabyi oreng oyok ẹrọng ọmaana irek. K'ogbe kw'Ọvaar Ibinọkpaabyi osi ẹrọng ọmaana irerek,
01020500c0	iwa echi manda dani kemeni, ọraraari manda wani kobiro ommen, okhuri da Ọvaar Ibinọkpaabyi oni ẹrọng otzim ọsa bi, etzebh k'irerek, ttara bi, iwa ọnọng kw'ọyaabh irerek kode.
0102060035	Yina, asi am-ayin k'irerek, asi irerek biphyir idiri.
0102070097	Mẹ wọ, Ọvaar Ibinọkpaabyi otzima idọdọhbh ọbanga ojinọng, oji ọwọhng kw'akpen ọkhẹ-ẹ k'ahungmma, ojinọng nwa on-oruk akpen.
0102080079	Ọvaar Ibinọkpaabyi osi owoni, kẹ da ewuchen em-eyin, k'Iden. Ọtzọkha ojinọng nwa kw'ọkk'ọbanga okhe mẹ.
01020900e3	Ọvaar Ibinọkpaabyi osi irerek imen nchi kpenamkpen k'adem-k'adem, nchi si njibhi ka chen, mbiri njibh k'ọchattọhk. Nchi mfa mbe k'ewonittem, echi dani ede ch'akpen, ndonggo ede ch'etzim-nonga ch'ejibha ọmaana epyibha.
01020a0094	Kẹ kw'ọraanga, kw'ofon k'Iden obhobhi ọkwọbha, obiro ọkhe asi m'ewonittem nduma, mẹ kw'ọraanga nwuma, obiro ọbhaangi k'araanga anna.
01020b006a	Ọraanga kw'ocheden okpen Pishọn, kẹ wọ obhobhi ochina k'irek sa Havila biphyir, kẹ da gol owobh.
01020c006e	Gol kw'irerek nnuma ode ọkkakkakwẹ. Wa ibe nnuma ibiri ikhaama ana p'adaami eruk, ọmaana atza p'ọniks.
01020d005a	Ọraanga kw'ottong afa okpena Gihọn, kẹ wọ obhobhi ọkhọri irek sa Kush biphyir.
01020e0090	Ọraanga kw'ottong attaan okpena Tigiris, kẹ wọ obhobhi k'okhubha kw'ewuchen em-eyin k'Asiriya. Ọraanga kw'ottong anna okpena Yupharetes.
01020f0070	Ọvaar Ibinọkpaabyi ọtzọkha ojinọng nwa ohok k'owoni kw'Iden, ifha ọyaabha owoni nwa obiro okker-ẹ.
010210008c	Ọvaar Ibinọkpaabyi ọn-ọsana ojinọng nwa bi, “Kọ akhaam ọphaangi kẹ bi, achi achiduk kpenamkpen pa nchi si mbe m'owoni nwa.
0102110074	Onode echi ch'etzim-nonga ch'ejibha ọmaana epyibha, kọ kàkhaambi, achi. Ewu ch'achi chẹ, akhaambi da ápe.”
0102120091	Mẹ wọ, Ọvaar Ibinọkpaabyi on-oben bi, “Kojibhi bi, ojinọng nwa owobha mancheni, kaam ńsi oyok-ẹkhaan kw'ọ́baan-ẹ nnang-ẹ.”
010213011f	Ode ch'Ọvaar Ibinọkpaabyi okk'idọdọhbh otzima ọbanga nden kpenamkpen s'ẹtzam, ọmaana ọnọhn f'ẹrọng. Ọtzọkha pyẹ biphyir ochena ojinọng nwa, ifha ore che-dema p'okpe pyẹ. Che ch'ojinọng nwa okpe ọttọhk kpenamkpen f'orukhi akpen, mando kwa fẹ okpen.
01021400b2	Mẹ wọ osi, ojinọng nwa okpe nden s'otzer biphyir che, ọmaana ọnọhn f'ẹrọng ttara nden s'ẹtzam biphyir. Yina, onode ojinọng oyok-ẹkhaan, kw'ọbaan-ẹ kode.
01021500f5	Mẹ wọ osi, Ọvaar Ibinọkpaabyi osi ojinọng nwa ọttaabha ẹdadim. Mada ojinọng otzim ọttaabh-ọttaabha, ọrọbh-ẹ ọtzẹtzẹngchikpa wani, obiro ọraakha ibe nnuma s'ọrọhbh ọtzẹtzẹngchikpa nwa ttara etzen-yaara.
010216009f	Mẹ wọ osi, Ọvaar Ibinọkpaabyi ọtzọkha ọtzẹtzẹngchikpa kw'ọkk'ọrọbha k'ojinọng, otzima osi kwanọng, ọtzọkh-ẹ ochena ojinọng.
01021700b5	Ojinọng nwa oben bi, “Ma wọ on-ode ọkhọbhi kw'akhọbhi paam, ẹyaara ch'ẹyaara chaam. Kẹ bẹ áyer-ẹ, kwanọng, okhuri da bẹ arọbh-ẹ k'ojinọng ka for.”
010218008f	Ofona mẹ, ojinọng óbina oji otte ttara ọkka, ọn-ọgbakha for sẹ ttara kwanọng kwẹ, ifha bẹ anọng afa an-ade ọnọng wani.
0102190050	Wa ojinọng nwa ọmaana kwanọng kwẹ awobh irinikhum, bẹ mgbar karọbhi.
01030100f3	Iwa jọhk dọ edongi, ẹyọhnga nden s'ẹtzam biphyir, s'Ọvaar Ibinọkpaabyi ọkk'ọsa. Wa jọhk ẹtza ẹbọbh kwanọng nwa bi, “Ode odik-ọkka bi, Ibinọkpaabyi obeni bi, bọng aningi echi kpenamkpen m'owoni nwa achi o?”
010302008a	Kwanọng nwa oben jọhk bi, “Nnh, nnh! Kwẹ mando kode! Ibinọkpaabyi obeni man bi, mofho ochi achiduk pa nchi si mbe mowoni ochi e,
