0100000004	Tite
010101002a	A tite ka Ɓakuli pusǝ kùli andǝ nzali.
0101020089	Nzali ka pur kǝgìr ɗàng, nda kam anggo ɗulkǝm. Pǝndǝa gir mur mùr mǝlime. Sǝ Bangŋo mala Ɓakuli ka camarǝ gāɗi amur mùr.
010103004c	Sǝ Ɓakuli na ama, “Ɓǝ̀ tǎlaban pusǝ rǝi.” Pǝlǝa tǎlaban puro.
0101040053	Ɓakuli sǝni ka tǎlaban ɓoaro, pǝlǝa tsǝk nzong anre tǎlaban andǝ pǝndǝa.
010105008c	Ɓakuli tunǝ tǎlaban ama, “pwari” sǝ pǝndǝa ka tunǝi ama, “dù.” Pwari kya kpa, sǝ ban yi kwaro; mǝno nda nongŋo mǝdǝmbe.
0101060056	Sǝ Ɓakuli bang ama, “Ɓǝ̀ nreban gau mùr mana a kùli andǝ mana a nzali ka.”
010107006b	Anggo sǝ pa. Ɓakuli tsǝk mǝnia yì nreban ngga yi nongŋo anre mùr mana a nzali andǝ mana a kùli ka.
0101080073	Ɓakuli tunǝ mǝnia yì nreban ngga ama, “bumkuli.” Pwari kya kpa, sǝ ban yi kwaro; mǝno nda ɓaria nongŋo.
0101090071	Ɓakuli na ama, “Ɓǝ̀ mùr mǝnana aɓata bumkuli ka, dapi a banɓwáná, sǝ ɓǝ̀ nza sa.” Anggo sǝ pa.
01010a0072	Ɓakuli tunǝ nza ama, “kwàrban” sǝ ramba mala mùr ka tunǝi ama, “nggeamùr.” Ɓakuli sǝni ka ɓoaro.
01010b00f8	Ɓakuli na ama, “Ɓǝ̀ nzali pusǝ agirpwala: abondo andǝ mbúgir mǝnana à nǝ̀ pusǝ mǝsǝia ka, andǝ anggun mǝnana à nǝ̀ pusǝ ɓǝlea nǝ amǝsǝia aɓalǝia ka. Komǝyenani le ka ɓǝ̀ pusǝ ulang male yì ɓeali.” Anggo sǝ pa.
01010c00bc	Nzali pusǝ agirpwala: abondo andǝ ambúgir mǝnana à kǝ pusǝ mǝsǝia ulangyia, andǝ anggun mǝnana à kǝ pusǝ ɓǝlea nǝ amǝsǝia aɓalǝia ka ulangyia. Ɓakuli sǝni ka ɓoaro.
01010d003c	Pwari kya kpa, sǝ ban yi kwaro; mǝno nda tàruià nongŋo.
01010e00af	Pǝlǝa Ɓakuli na ama, “Ɓǝ̀ atǎlaban pusǝ rǝia a bumkuli, ɓǝà gau nre pwari andǝ du. Ɓǝà duk agir-lǝmdǝa ace lǝmdǝ anongŋo, andǝ apǝlǝa, andǝ akúnì.
01010f0051	Sǝ amǝnia yì atǎlaban ngga ɓǝà tá a bumkuli amur ɓanza.” Anggo sǝ pa.
