2a00000006	Lukasi
2a0101005b	Teopilu henu pinelangkai, Adio mia mpeꞌusaha poꞌuki tutulu mongkono henu gagi i olondo,
2a0102006f	heleo henu ro paleleꞌo ndi ikito, mia henu amba-ambano mengkitoakeo mataro ka paleleꞌo olai kareba raaꞌa.
2a010300ae	Hoꞌioto raaꞌa, umaringgu paresaꞌo mentee-mentee opio henu gagi teꞌembu la amba-ambano, iaku mokosiꞌo nggale umukiꞌakomu teꞌatora tumondaꞌo posunsuno tutuluno.
2a0104005c	Taꞌalu liraꞌa, iiko bisa tumoꞌorio taꞌalu lowono henu upinaguruꞌako mentee suꞌu.
2a010500e7	Tempono i Herode gagi mokole i waawute Iudea, hina aso puꞌu petewawo pesomba henu mengeengako i Sakaria. Iwono raaꞌa aso mia teꞌembu la bawaano i Abia. Walino mboꞌu inuleno Petewawo Pesomba Langkai Haruni, ngeeno i Elisabe.
2a01060089	Iworo neea mia henu tinuwuro mokonsanaaꞌiro Ue Ala ka iworo takau kano pompasala-sala tumondaꞌo lowono parenta ka atora-atoraro i Ue.
2a0107004f	Kanggo iworo karo peꞌana akono i Elisabe bita ka iworo mboꞌu mosuꞌoiroto.
2a010800a2	Aso tempo, tempono bawaano i Abia mohawe tiano moꞌangga i Doharo Ue Ala, i Sakariato henu lumolakoꞌakeo anggaꞌa gagi puꞌu petewawo pesomba i aroro Ue Ala.
2a01090096	Puꞌu petewawo pesomba pia mompatantu isia nggale mendamo i laro Doharo Ue Ala saru mompake lotrei. I Sakaria kono lotrei mendamo monsunu dupa rahea.
2a010a0040	Tempono dupa raaꞌa sinunu, lowono mia henu i bungkuno mekakai.
2a010b0080	Bingkosako aso malaꞌekaro Ue Ala mopokiteo koroino ndi Sakaria. Malaꞌeka raaꞌa mentada i koanano poꞌianga ponsunua dupa.
2a010c004c	Tempono i Sakaria kumiteo malaꞌeka raaꞌa, iwono takau tekokoni ka doito.
2a010d00b2	Kanggo malaꞌeka raaꞌa mepau ndi iwono, “Hooto doito Sakaria, pekakaimu hinorioto. I Elisabe walimu nggale meꞌanaꞌako aso ana tama ka iiko asolekono ngumeengakeo Iohane.
2a010e005f	Iiko nggale sanaa ka memawongko ka adio mia mpoꞌunde taꞌalu ana raaꞌa pineꞌanaꞌakoto.
2a010f00b1	Iwono nggale gagi mia henu takau mantudu i aroro Ue Ala. Iwono kano poꞌenu anggoro ara enua henu mompokomolangu. Iwono nggale bukeako Penao Mempori teꞌembu la kompono ineno.
2a01100037	Adio to Isaraeli nggale no waweiro mekule ndi Ue Alaro.
2a01110165	Iwono nggale koleko-leko meleꞌeruiꞌiro Ue Ala ka mompasadiꞌakeo ansalaRo i laro roso ka pobawa henu menggena saru nabi Elia, kano aroaro uma-uma meꞌambo mekule la ana-anaro ka mia henu tai metenunu ndi iworo Ue Ala nggale mekule mompewowolo henu mentee. Lowono raaꞌa no wowauꞌo Iohane kano mompasadia aso bawaa henu pototono ndi iworo Ue Ala.”
2a011200b4	Humoringo raaꞌa i Sakaria mepau la malaꞌeka raaꞌa, “Ehende kunggale tumoꞌorio lowono raaꞌa? Akono mosuꞌo akuto. Walinggu mboꞌu mosuꞌooto takau nggale meꞌana.”
2a01130099	Malaꞌeka raaꞌa sumangki, “Iaku neea Gabrieli, henu biasa mentada i aroro Ue Ala. No tenaꞌaku mepau ndi iiko ka pauꞌakomu kareba meꞌambo neea.
2a011400b7	Lowono henu kupauꞌakomu, aso tempo asolekono gagi. Kanggo akono iiko kau peꞌale-aleo opio henu kupauꞌo, iiko nggale gagi bebe ka kaulo mokopepau ranta anamu pineꞌanaꞌako.”
2a0115006b	Kontongaano raaꞌa mia henu mensikorio i Sakaria kombaa, akono iwono epieꞌoto lahi i laro Doharo Ue Ala.
2a011600e8	Tempono i Sakaria meluarako teꞌembu i Doharo Ue Ala, iwono andono bisa mepauꞌakero. Kumiteo raaꞌa, ro mentoꞌorioto taꞌalu iwono monggito arapio i laro Doharo Ue Ala, akono iwono butu no kawe-kaweꞌiro ka andono pokopepau.
2a01170043	Menseno popio oleo, umarioto anggaꞌano. Kanoamba mekule i dohano.
2a01180094	Ambono epie teꞌembu rahea, mentiaꞌoto i Elisabe walino. Olimo betuꞌe epieno i Elisabe kano hori meluarako teꞌembu i dohano. I Elisabe mepau,
2a0119007f	“Iwonoto neea henu winowauro Ue Ala ndi iaku. Iworo barakatiꞌaku ka umoninio mokokoꞌiinggu i aroro mia akono bitanggu.”
