2800000005	Matyu
2801010079	Nɨŋandɨhin Jisas Krais nɨŋuñɨŋgitakɨñandu kuyu. Jisas nu Devit nɨŋuñɨŋgi. Devit nu Abraham nɨŋuñɨŋgi.
2801020063	Abraham Aisak nɨŋuva. Aisak Jekop nɨŋuva. Juda nɨŋusinava naŋga nɨŋuranava nɨŋuva Jekop.
2801030068	Peres naŋga Sera nɨŋuva Juda, nurɨŋandɨ nɨŋum Tamar. Peres Hesron nɨŋuva, Hesron Ram nɨŋuva.
2801040046	Ram Aminadap nɨŋuva, Aminadap Nason nɨŋuva, Nason Salmon nɨŋuva.
2801050063	Salmon Boas nɨŋuva, Boas nɨŋum Rahap. Boas Obet nɨŋuva, Obet nɨŋum Rut. Obet Jesi nɨŋuva.
2801060065	Jesi, aru miku Devit nɨŋuva. Devit Solomon nɨŋuva. Solomon nɨŋum Batseba, Batseba Uria kindahu.
2801070048	Solomon Rehoboam nɨŋuva, Rehoboam Abiya nɨŋuva, Abiya Asap nɨŋuva.
280108004b	Asap Jehosafat nɨŋuva, Jehosafat Jehoram nɨŋuva, Jehoram Usia nɨŋuva.
2801090040	Usia Jotam nɨŋuva, Jotam Ahas nɨŋuva, Ahas Hesekia nɨŋuva.
28010a0044	Hesekia Manase nɨŋuva, Manase Emon nɨŋuva, Emon Josaia nɨŋuva.
28010b00b9	Josaia Jehoiakim naŋga nɨŋuranava nɨŋuva. Kandɨhɨrɨvɨ hañɨ Babilon hati pata Israel saŋga kurɨhata, Israel hatiŋ mɨŋata uta Babilon tamahu sɨmbɨra tɨkatɨka mɨŋamu.
28010c0074	Babilon kɨta sɨmbɨra tɨkatɨka mɨŋamu hɨrɨvɨyɨ Jehoiakim Sealtielɨŋ kavumi. Sealtiel Serubabel nɨŋuva.
28010d0048	Serubabel Abiut nɨŋuva, Abiut Eliakim nɨŋuva, Eliakim Asor nɨŋuva.
28010e003e	Asor Sadok nɨŋuva, Sadok Akim nɨŋuva, Akim Eliut nɨŋuva.
28010f0045	Eliut Eleasar nɨŋuva, Eleasar Matan nɨŋuva, Matan Jekop nɨŋuva.
2801100057	Jekop, Josep nɨŋuva, Maria nɨmuŋa. Maria Jisasɨŋ kavuhi, Jisasɨrɨm Krais vandu.
280111019e	Jisasɨndu krunzapayɨndu kimaŋgima hama Abraham. Abrahamɨyɨ kɨta 14 krunzapa sɨwɨtɨmbɨyɨtɨmbɨyɨ ñɨŋi kavumu patavata Devitɨyɨ. Devitɨyɨ kɨta 14 krunzapa sɨwɨtɨmbɨyɨtɨmbɨyɨ ñɨŋi kavumu patavata Jehoiakim kuhɨrata tɨhi, mɨŋata Babilon umu. Babilon uta sɨmbɨra tɨkatɨka mɨŋamu takuk hañɨ kɨta 14 krunzapa sɨwɨtɨmbɨyɨtɨmbɨyɨ ñɨŋi kavumu patavata Krais kuhɨrami.
28011200c6	Jisas Krais yahami vana haŋandɨhin nɨmata. Nɨŋum Mariaŋ, Josepɨrɨm mɨŋavɨhumu. Hara kɨhɨrɨ upɨ maŋgarɨhɨmat kɨta tɨhu, Gotɨndu Mavɨñɨŋi mavɨndaŋguramahi mavɨnaŋgandɨmi.
2801130118	Nɨmuŋa Josep, nu tɨtɨtaya kɨyɨhɨyɨ mɨŋga. Maria naŋga kɨhɨrɨ upɨ maŋgarɨhandu. Harɨm Maria kɨpɨ naŋgandɨhi ŋgata, krunavundindu tamɨŋgaŋgɨmbañɨ pɨŋguvarɨtɨnda Maria sɨwɨmanzɨwɨmandɨtima vata, aviñam hañɨ kɨta nuŋ mitɨrɨm indarɨmitami.
280114013b	Kamatɨrɨman vata indarɨmitata kɨyɨmiyɨ, kɨvɨyɨ karɨhata akwɨsɨhuyɨ Aru nɨmandu kutɨkara hamaŋ ŋgahi nuŋ nɨmavami, Josep, Devit nɨŋuñɨŋgi ŋgana, ñɨŋi mavɨ humbambu kɨyɨ haŋandɨhin Gotɨndu Mavɨñɨŋi mavɨndaŋguramahi kɨpɨ naŋgandɨsɨmi. Harɨm Mariaŋ uraurarɨm pɨŋimandu.
28011500c8	Nu kru ñɨŋi kavɨrɨmandɨ. Nu tɨhi nuŋandɨ krunavundi ñamba vanavana andɨndu haŋɨnɨŋ sɨhiŋgata nurɨŋ ŋguramata aŋga mɨŋɨmandɨ. Harɨm nuŋ ñɨmbi ŋguta Jisas vamba amba, vami.
2801160170	Kru Gotɨndu kuyu mɨŋata ambavaravara hama ambami, Ŋgamara, navundi muŋambɨ kru naŋga kɨhɨrɨ upɨ maŋgarɨhatara kɨpɨ naŋgandɨta, kru ñɨŋi kavɨrɨmandɨ. Kamati nuŋandɨ ñɨmbi Emanuel vɨrɨmandɨyu, vami. Kanɨmavami kuyu nɨŋandɨhin kandɨsɨkwɨsɨkwɨ yɨvurahi. Emanuel ñɨmbi kanɨŋandɨhindu kuyu sapa ha nɨmata, Got ara naŋga kɨyɨ.
2801180057	Kamavahi Josep karɨhata yahamɨrata Aru nɨmandu kutɨkara ambami maña Mariaŋ urami.
