2800000005	Matei
2801010093	Sheshino ni shitabhu sha nndondonga gwa mena gwa lubheleko lwa a Yeshu Kilishitu bha ulongo gwa a Daudi, bha ulongo gwa a Bhulaimu, puyaaliji nnei.
2801020077	A Bhulaimu gubhankwete Ishaka, a Ishaka gubhankwete Yakobho, a Yakobho gubhankwete Yuda na ashaakulugwe na ashaapwakwe,
280103008a	a Yuda gubhankwete Peleshi naka Shela anyinabhabhonji pubhashemwaga a Tamali, a Peleshi gubhankwete Eshiloni, a Eshiloni gubhankwete Lami.
2801040061	A Lami gubhankwete Aminadabhu. A Aminadabhu gubhankwete Nashoni, a Nashoni gubhankwete Shalomoni.
280105009a	A Shalomoni gubhankwete Bhoashi, akwabhe Bhoashi pubhashemwaga a Laabhu, a Bhoashi gubhankwete Obhedi kwa akongobhabho a Luti, a Obhedi gubhankwete Yeshe,
280106007d	Nabhalabho a Yeshe gubhankwete Mpalume Daudi. A Daudi gubhankwete Shelemani ku bhakongwe bhaliji akongobhabho a Ulia bhukala.
280107005f	A Shelemani gubhankwete Leobhoamu, a Leobhoamu gubhankwete Abhiya, a Abhiya gubhankwete Ashapu,
280108005c	A Ashapu gubhankwete Yoshepati, a Yoshepati gubhankwete Yolamu, a Yolamu gubhankwete Ushiya,
2801090055	a Ushiya gubhankwete Yoshamu, a Yoshamu gubhankwete Ashi, a Ashi gubhankwete Eshekia,
28010a0058	a Eshekia gubhankwete Manashe, a Manashe gubhankwete Amoni, a Amoni gubhankwete Yoshiya,
28010b005c	a Yoshiya gubhankwete Yekoniya na ashaapwakwe, mobha Bhayaudi gubhapelekwenje ku Bhabhuloni.
28010c0072	Bhayaudi bhakapelekwanjeje ku Bhabhuloni, a Yekoniya gubhankwete Sheatieli, a Sheatieli gubhankwete Shelubhabheli,
28010d0063	a Shelubhabheli gubhankwete Abhiudi, a Abhiudi gubhankwete Eliakimu, a Eliakimu gubhankwete Asholi,
28010e0056	A Asholi gubhankwete Shadoki, a Shadoki gubhankwete Akimu, a Akimu gubhankwete Eliudi,
