0100000018	ကမ္ဘာ​ဦး
01010100b4	အစ အဦး၌ ဘုရားသခင် သည် ကောင်းကင် နှင့် မြေကြီး ကို ဖန်ဆင်း တော်မူ၏။
01010201b5	မြေကြီး သည်အဆင်း သဏ္ဍာန်မရှိ၊ လွတ်လပ် လဟာဖြစ်၏။ နက်နဲ ရာအရပ် ကို မှောင်မိုက် ဖုံးလွှမ်း ၍ ဘုရားသခင် ၏ ဝိညာဉ် တော်သည် ရေ မျက်နှာပြင် ပေါ် မှာ လှုပ်ရှား တော်မူ၏။
01010300ab	ဘုရား သခင်ကလည်း အလင်း ဖြစ်စေ ဟု အမိန့် တော်ရှိ၍ အလင်း ဖြစ် လေ၏။
0101040105	ထို အလင်း ကောင်း သည်ကို ဘုရား သခင်မြင် ၍ ၊ အလင်း နှင့် မှောင်မိုက် ကိုပိုင်းခြား ခွဲထားတော်မူ၏။
010105017b	အလင်း ကို နေ့ဟူသောအမည်ဖြင့်၎င်း ၊ မှောင်မိုက် ကို ညဉ့် ဟူသောအမည်ဖြင့်၎င်း ၊ ခေါ်ဝေါ် သမုတ် တော်မူ၍ ည ဦးနှင့် နံနက် သည် ပဌမ နေ့ရက် ဖြစ် လေ၏။
010106011e	တဖန် ဘုရားသခင် က ရေ အလယ် ၌ မိုဃ်း မျက်နှာကြက်ဖြစ် စေ၊ ရေ နှင့် ရေ ချင်း ခြားနား စေဟု အမိန့် တော်ရှိသဖြင့်၊
01010701d2	မိုဃ်း မျက်နှာကြက်ကို ဘုရား သခင်ဖန်ဆင်း တော်မူ၍ ၊ မိုဃ်း မျက်နှာကြက်အောက် ၌ ရှိသောရေ နှင့်၊ မိုဃ်း မျက်နှာကြက်အပေါ် ၌ ရှိသောရေ ကို ပိုင်းခြား တော်မူသည်အတိုင်း ဖြစ် လေ၏။
0101080172	မိုဃ်း မျက်နှာကြက်ကိုလည်း မိုဃ်းကောင်းကင် ဟူသောအမည်ဖြင့် ဘုရား သခင်ခေါ်ဝေါ် သမုတ်တော်မူ ၍ ၊ ည ဦးနှင့် နံနက် သည် ဒုတိယ နေ့ ရက်ဖြစ် လေ၏။
010109012d	တဖန် ဘုရား သခင်က မိုဃ်း ကောင်းကင်အောက် ၌ ရှိသောရေ စုဝေး စေ၊ ကုန်း ပေါ် စေဟု အမိန့် တော် ရှိသည်အတိုင်း ဖြစ် လေ၏။
01010a01b3	ကုန်း ကိုမြေ ဟူသောအမည်ဖြင့်၎င်း၊ ရေ စုဝေး ရာကို ပင်လယ် ဟူသောအမည် ဖြင့်၎င်း ၊ ဘုရား သခင်ခေါ်ဝေါ် သမုတ်တော်မူ၍ ထို အမှုအရာကောင်း သည်ကို ဘုရား သခင်မြင် တော်မူ၏။
01010b021e	တဖန် ဘုရား သခင်က၊ မြေ သည် မြက် ပင်ကို၎င်း၊ စပါး သီးကို ဖြစ်စေသော စပါး ပင် ကို၎င်း၊ မြေ ပေါ် မှာ မျိုးစေ့ ပါလျက် သစ်သီး မျိုးကို ဖြစ် စေသော သစ်ပင်ကို၎င်း၊ ပေါက် စေဟု အမိန့် တော်ရှိသည် အတိုင်း ဖြစ် လေ၏။
01010c0185	မြေ သည်မြက် ပင်ကို၎င်း စပါး သီးမျိုးကို ဖြစ်စေသော စပါး ပင်ကို၎င်း၊ မိမိ ၌ မျိုးစေ့ ပါလျက် သစ်သီး မျိုး ကို ဖြစ်စေ သော သစ်ပင် ကို၎င်း ပေါက် စေ၏။
01010d00f5	ထို အမှုအရာကောင်း သည်ကို ဘုရား သခင်မြင် တော်မူ၍ ၊ ည ဦးနှင့် နံနက် သည် တတိယ နေ့ရက် ဖြစ် လေ၏။
