2800000005	Macho
280101008a	Manɛ le maŋkuŋ ma bachiji kfuu chi Jiso Kletu: Jiso gɛ̀ bee mwa wu a kfuu chi Nfoŋ Dabi wù gɛ̀ bee mwa wu a kfuu chi Ablaham le.
2801020067	Ablaham gɛ̀ bee chiji Asik, Asik gɛ̀ bee chiji Yakob, Yakob gɛ̀ bee chiji Juda bɛ booŋ bachiji,
280103007e	Juda gɛ̀ bee chiji Bɛlɛ bɛ Sɛla ba bwee bo gɛ̀ bee Tama. Bɛlɛ gɛ̀ bee chiji Ɛsloŋ, Ɛsloŋ gɛ̀ bee chiji Laŋ.
280104005e	Laŋ gɛ̀ bee chiji Aminada, Aminada gɛ̀ bee chiji Nasoŋ, Nasoŋ gɛ̀ bee chiji Salimoŋ.
2801050086	Salimoŋ gɛ̀ bee chiji Boa wù bwee gɛ̀ bee Lahab. Boa gɛ̀ bee chiji Obɛd wù bwee gɛ̀ bee Lu. Obɛd gɛ̀ bee chiji Jɛsi.
2801060064	Jɛsi gɛ̀ bee chiji Nfoŋ Dabi. Nfoŋ Dabi gɛ̀ bee chiji Salamoŋ wù bwee gɛ̀ bee kwɛ Ulia.
280107005f	Salamoŋ gɛ̀ bee chiji Luhobwaŋ, Luhobwaŋ gɛ̀ bee chiji Abija, Abija gɛ̀ bee chiji Asa.
2801080065	Asa gɛ̀ bee chiji Jɛhoshɛfat, Jɛhoshɛfat gɛ̀ bee chiji Jolaŋ, Jolaŋ gɛ̀ bee chiji Yosaya.
2801090059	Yosaya gɛ̀ bee chiji Jotaŋ, Jotaŋ gɛ̀ bee chiji Aha, Aha gɛ̀ bee chiji Hɛsikaya,
28010a005d	Hɛsikaya gɛ̀ bee chiji Manase, Manase gɛ̀ bee chiji Amoŋ, Amoŋ gɛ̀ bee chiji Yosaya.
28010b00be	Yosaya gɛ̀ bee chiji Jɛkonia bɛ booŋ ba bwee. Ba gɛ̀ boyi bo shɛshi shige nyu kife kì bamii ba Babiloŋ gɛ̀ kooyɛ bamii ba Ishwala bo gɛɛŋ bɛ bo woŋ wuboo wù Babiloŋ le.
28010c008d	Ajiŋ ayu, no bo gɛ̀ kooyɛ bamii ba Ishwala bo gɛɛŋ bɛ bo Babiloŋ, Jɛkonia gɛ̀ bee chiji Shalta, Shalta gɛ̀ bee chiji Sɛlubabe,
28010d005e	Sɛlubabe gɛ̀ bee chiji Abiud, Abiud gɛ̀ bee chiji Ɛliakim, Ɛliakim gɛ̀ bee chiji Aso,
28010e0053	Aso gɛ̀ bee chiji Sadok, Sadok gɛ̀ bee chiji Akim, Akim gɛ̀ bee chiji Ɛliud,
28010f005b	Ɛliud gɛ̀ bee chiji Ɛlisa, Ɛlisa gɛ̀ bee chiji Mataŋ, Mataŋ gɛ̀ bee chiji Yakob.
280110006e	Yakob gɛ̀ bee chiji Yosɛf wù juma Mɛɛle, Mɛɛle nyu wu wù gɛ̀ boyɛ Jiso wù ba tɛŋe lɛ Kletu.
280111015f	Noo, bachiji kfuu chi Jiso banɛ le yuufe ncho banɛh kɛge yi Ablaham le, too bude yi Nfoŋ Dabi le, ka nyu yuufe ncho banɛh kɛge yi Nfoŋ Dabi le too bude sege ba gɛ̀ kooyɛ bamii ba Ishwala ba gɛɛŋ bɛ bo Babiloŋ. Kɛge sege ba gɛ̀ kooyɛ bamii ba Ishwala too bude sege ba gɛ̀ boyɛ Kletu, bachiji kfuu chiboo tɛ nyu yuufe ncho banɛh.
28011200e4	Boyɛ chi Jiso Kletu gɛ̀ jiɛnyi a je yinɛ le. Bwee wù Mɛɛle gɛ̀ bee ba seesɛ wa lɛ wu lé wu gê wu nyûme kwɛ Yosɛf. Fɛ bo taashɛ bvuguu, fi gɛ̀ ja fi bu lɛ wu le wa bɛ fwe a bvuŋga bvu Kiyo ki Yuude le.
28011300b3	No fi gɛ̀ kooshɛ noo, Yosɛf wù jwɛɛŋ, no wù gɛ̀ bee muh wù chaaŋ wu koŋe gɛ ki wu chôosɛ wu gɛ, wu mo wu yɛŋ lɛ wu lé wu gâsɛ bɛ wu nyu ajiŋ ajiŋ.
280114014f	No wu gɛ̀ baaŋ wu kwaji ki wu gê noo, fi kooshɛ lɛ nchɛndaa wu Tada gɛ̀ ja wu to fɛ wu le a kifilɛ le sege wu gɛ̀ lefe wu jɛmɛ wu le lɛ, “Yosɛf, mwa wù a kfuu chi Nfoŋ Dabi le, keefɛ wo fâŋ ki wo jô Mɛɛle bwee yeh wo le gɛ, nje fwe chinɛ chi wu le bɛ chi wù kɛme chi a bvuŋga bvu Kiyo ki Yuude le.
2801150084	Wu lé wu gê wu boo mwa wu jwɛŋsɛ wo chû jee che lɛ Jiso, nje wu lé wu gê wu bvûsɛ bamii be yi bimbefɛ biboo le.”
280116006a	Mwɛɛ munɛ munchii gɛ̀ kooshɛ ki fi to fi kojɛ no Tada gɛ̀ jɛmɛ wa jwe wu muh we wu tuŋ le lɛ,
28011700ab	“Bɛŋ yêgɛ bɛŋ yû, mwa wuchile wumu lé wu gê wu nyu bɛ fwe, wu boo mwa wu jwɛŋsɛ ba tɛ̂ŋe wu lɛ Ɛmaniwe.” Jee chinɛ le lɛ, “Nyo le bɛ bee.”
2801180098	No kifilɛ kɛɛ gɛ̀ lanɛ Yosɛf noo, wu gɛ̀ kaŋsɛ wu mo wu ge gɛh no nchɛndaa wu Tada gɛ̀ jɛmɛ wu le. Wu gɛ̀ be wu jo Mɛɛle kwɛɛ le,
28011900b7	geenɛ gɛ wu gɛ chee bɛ wu njɛ no muh bɛ kwɛɛ to bo chee gɛ. Bɛ wu chee noo gɛɛŋ bu no Mɛɛle gɛ̀ jiɛnyɛ fɛ wu to wu boo. Yosɛf mo wu chu jee chi mwa wuyu lɛ Jiso.
