2800000005	Matei
280101007c	Chenje ndi kitabo cha maina gha lukolo lwa Yecho Kilichitu. Yecho Kilichitu akibha kibheluko cha Daude mulukolo lwa Ulahimo.
280102005f	Ulahimo ajhakumpapa Isaka, Isaka ajhakumpapa Yakobu, Yakobu ajhakumpapa Yuda na akalongo mundo.
2801030073	Yuda ajhakumpapa Pelese na Zela majhe gwabhe akibha Tamale, Pelese ajhakumpapa Hezilone, Hezilone ajhakumpapa Lame,
2801040059	Lame ajhakumpapa Aminadabo, Aminadabo ajhakumpapa Nashone, Nashone ajhakumpapa Chelemane,
2801050099	Chelemane ajhakumpapa Boaze. Na majhe mundo Boaze akemitwa Laabo. Boaze akibha tate mundo Obede na Luse akibha majhe mundo Obede. Obede ajhakumpapa Yese.
2801060080	Yese ajhakumpapa munahota nkolongwa Daude. Daude ajhakumpapa Chelemane majhe mundo Chelemone akibha Batisheba mwikeghe jwa Uliya
2801070052	Chelemane ajhakumpapa Leoboamo, Leoboamo ajhakumpapa Abiya, Abiya ajhakumpapa Asa,
2801080055	Acha ajhakumpapa Yeochafate, Yeoshafate ajhakumpapa Yolamo, Yolamo ajhakumpapa Uziya,
280109004f	Uchiya ajhakumpapa Yotamo, Yotamo ajhakumpapa Ahaze, Ahaze ajhakumpapa Ezekiya,
28010a004f	Ezekiya ajhakumpapa Manase, Manase ajhakumpapa Amone, Amone ajhakumpapa Yosiya,
28010b0085	Yosiya ajhakumpapa Yekoniya na akalongo mundo, gwenio ukibha machiko gha Akayahude pibhapelwikwa ku ughene mu kilambo chuku Babelone.
28010c0073	Akayahude pubhajhawila ku ughene ku Babelone, Yekoniya ajhakumpapa Sheyalutiele, Chelutiele ajhakumpapa Zelubabele.
28010d0059	Zelubabele ajhakumpapa Abiude, Abiude ajhakumpapa Eliyakimo, Eliyakimo ajhakumpapa Azole,
28010e004d	Azole ajhakumpapa Sadoke, Sadoke ajhakumpapa Akimo, Akimo ajhakumpapa Eliude.
28010f0054	Eliude ajhakumpapa Eleazale, Eleazale ajhakumpapa Matane, Matane ajhakumpapa Yakobu.
280110005f	Yakobu ajhakumpapa Uchupo, ungana mundo Maliya majhe mundo Yecho jhuikemwa Kilichitu Nkomboche.
28011100db	Bhahe, kukibha na ibheluko makome na ncheche kuhumii kwa Ulahimo ade kwa Daude pibhatoilwa ku ughene ku Babelone, ibheluko makome kome na ncheche kuhumii kwa Daude patoilwa ku ughene ade machiko gha Kilichitu Nkomboche.
28011200e4	Bhahe, kubhelukwa kwa Yecho Kilichitu kukibha naha, Maliya, majhe mundo, akibha nchumba mundo Uchupo. Nambo akibha amela kutama pamonga ngita munalome na mwikeghe, Maliya abhonikina na ndumbo kwa likakala lya Uhuke gwa Chapanga.
280113008c	Nhwalo Uchupo akibha jwaumbone palonge jha Chapanga, akapahi ndeka kubhehe na hone palonge jha bhando, peniya ajhakuwacha kunneka kinyemela.
2801140104	Pakibha ihwacha lilobhe lyenio, ntumiche jwa Bhambo jwa kunane kwa Chapanga ajhakumpitila mulughono, ajhakunnobholela, “Uchupo mwana gwa Daude, nkota kujhoghopa kuntolela Maliya abhehe nhwana gwino, nhwalo abhii na ndumbo kwa likakala lya Uhuke gwa Chapanga.
280115007c	Nabhelukwa mwana munalome, na mwenga namupela liina lyake Yecho, jwenio ndi nabhaghombola bhando bhake mu uhakaho gwabhe.”
2801160059	Bhahe, agha ghoha ghakapitile ili lilobhe lya Bhambo pililongila kwa kupete kwa nnondole,
28011700af	“Dola, nchikana jwangakongana na munalome najhegha ndumbo, napapa mwana munalome, na bhene nabhampela liina lya Emanuele,” mana jhake, “Chapanga abhii pamo na twenga.”
280118008a	Peniya, Uchupo pajhimwika mulughono ajhakuhenga ngita ntumiche jwenio jwa Bhambo channobholile, ajhakuntola Maliya, nhwana mundo ukajhake.
2801190084	Nambo akagholwike nako ndeka ngita mundo na nhwana mundo ade Maliya papapita mwana munalome na Uchupo ajhakuntina liina lyake Yecho.
28020100ec	Yecho akabhelwike ku muche gwa ku Betelehemo ku kilambo chuku Yudeya, machiko gheniya Helode akibha Munahota nkolongwa. Bhando bhubhamanya ghughapala kupitila kwa kulolekeya ndondwa kuhumii kulipitila lyobha bhajhakuhika ku Yeluchalemo.
28020200b5	Bhajhakwakonya bhando, “Abhii kojhe mwana jwabhelwike abhehe Munahota Nkolongwa jwa Akayahude? Tuiwene ndondwa yake ikapitile kulipitila lyobha, na twenga tuhikite kunyinamila.”
2802030078	Munahota nkolongwa Helode pajhohina gheniya, ajhakubhehe ngolongondi, jwenio pamonga na bhando bhoha bha ku Yeluchalemo.
2802040099	Bhahe, Helode ajhakwakema pamonga akapiya matambiko bhakolo bhoha na bhabhola bha Malaghalikilo, ajhakwakonya, “Kilichitu Nkomboche abhelwike kojhe?”
2802050067	Na bhene bhajhakunnyanguu, “Ku bomane ku Betelehemo, ku muche gwa ku Yudeya ndi nnondole akajhandike.
28020600d7	‘Mwe bhando bha ku Betelehemo, kumuche nkate jha kilambo chuku Yudeya, mwenga machokombe ndeka pakate jhumanyikana hake ku Yudeya. Nhwalo kwino nahika kilongoche jwalongocha bhando bhango, bhu ku Ichilahele.’”
280207006c	Peniya Helode ajhakwakema pakiyepela bheniya bhibhamanya ndondwa, ajhakwakonya lichaa lya ndondwa puipitila.
28020800be	Peniya ajhakwalaghalikiya bhajhende ku Betelehemo alongila, “Nnyendengane mukalole kwa uchakaka malobhe gha kilemba chenie. Anda mupatite unetele na nenga helahela nyende nikanyinamile.”
28020900e2	Pubhajhomalila kunyokanikiya munahota nkolongwa, bheniya bhubhaimanyilila ndondwa bhajhakubhokangana. Kwa kuhechuka kwa kuibhona ndondwa yela ibhaibhonita kulihumii lyobha ngailongolila kujhenda nu kujhema panane pabhii mwana.
28020a0030	Pubhaiwene ndondwa hela, bhajhakuhanganila hake.
28020b00f0	Bhahe, bhajhakujhingii munyumba, bhajhakummona mwana jhola pamonga na Maliya majhe mundo bhajhakutama makilikite kunyinamila. Peniya bhajhakudindula mahako ghabhe na kumpela hupo. Hupo ya chaabo na mahuta gha petelele gha manemane na ubane.
28020c0082	Chapanga ajhakwakanikiya mulughono bhakota kukelebhuka kabhele kwa Helode peniya bhajhakujhenda ukajha kwabhe kupete ndela jhenge.
28020d010e	Peniya akaghene bhala pubhabhokita, ntumiche jwa Bhambo jwa kunane ajhakumpitila Uchupo mulughono, ajhakunnobholela, “Jhimka mutole mwana pamonga na majhe mundo, mmutukile ku Michile. Ntame kwenio ade punipala kunnobholela, nhwalo Helode ipala kunkoma mwana jwenio.”
28020e0070	Peniya, Uchupo ajhakujhimuka na kuntola mwana pamonga na majhe mundo, ajhakubhoka kilo, ajhakujhenda ku Michile.
28020f00b4	Ajhakutama kwenio ade Helode pajhomwika. Lilobhe lyenio lihengika kulihenga lilobhe lyahengita Bhambo kwa ndela jha nnondole lipitile, “Nankema mwana mundo kubhoke ku Michile.”
2802100136	Helode pabhang'ang'anwika kubhehe bhala bhubhamanya ndondwa bhatekunkoloha, ajhakuyoma hake. Ajhakulaghalikiya yana yoha inalome ku muche gwa ku Betelehemo na mupelemupele jhake bhubhabhii na yaka ibhena amu pahe jhake bhakomwe. Akatehi naha kubhoke machiko ghalobholilwa kuhumii kwa bhala bhibhamanye ndondwa.
2802110050	Ndi ghatimile malobhe ghighalongilwa na jwakibha nnondole jwa Chapanga Yelemiya,
28021200a8	“Lilobhe lijhokanikike kwenio ku Lama, kulela kwa lipyanda na kujhemba mihambo jha malelo, Lahele ilelela yana yakwe, ipala ndeka kupepechwa, nhwalo bhoha bhawile.”
280213005f	Pajhomwika Helode, ntumiche jwa Bhambo Chapanga ajhakumpitila Uchupo mulughono kola ku Michile,
28021400a7	ajhakunnobholela, “Jhimka mutole mwana pamonga na majhe mundo, nkelebhuke kabhele ku kilambo chuku Ichilahele, mana bhala bhibhapala kunkoma mwana jwenio bhawile.”
2802150071	Bhahe, Uchupo ajhakujhimka, ajhakuntola mwana pamonga na majhe mundo ajhakukelebhuka ku kilambo chuku Ichilahele.
28021600c4	Nambo Uchupo ajhakujhoha Alikaelo mwana gwa Helode abhujhii unahota gwa kilambo chuku Yudeya, ajhakujhoghopa kujhenda kwenio. Kabhele ajhakukanikiwa mulugwenio na kulobholelwa ajhenda ku Galilaya.
28021700a3	Ajhakujhenda kutama ku muche ghukemwa ku Nachalete. Ndi ghakatimile malobhe ghighalongilwe kwa ndela jha milondole, “Na jwenio nakemwa mundo jwa ku Nachalete.”
280301005c	Machiko ghala Yohane Mbatichajhe ajhakujhenda na kutumbuu kutangacha kunjenga jha ku Yudeya.
280302004b	Alongila, “Muuleke uhakaho gwino nhwalo unahota gwa kunane uheghalile!”
28030300be	Jhonjo Yohane ndi jhola Isaya jwakibha nnondole akalongila panane jhake palongila, “Mundo jwailela kanonoha kunjenga, ‘Munenganikiye Bhambo pala papala kupeta, nnyoche ndela jhake.’”
2803040099	Yohane akawalite ngobho ikatengenichwe kwa mangoma gha kinyama jwakemitwa ngamiya na luhunga lwa limbendela mukibhuno chake. Na kulye madidima na bhuche.
280305008d	Bhahe, bhando kuhumii ku Yeluchalemo na kuhumii pande yoha ya ku Yudeya na chehemo yoha ya mupele jha lukemba lwa Yolodane bhajhakunnyendela,
280306005c	pibhalongela bhene uhakaho gwabhe na jwenio Yohane ajhakwabaticha mulukemba lwa ku Yolodane.
28030700d3	Nambo ajhakwabhona Mapwalichayo na Machadukayo bhamahele bhitenda kunhikilila bhabatichwe, ajhakwalobholela, “Mangota kibheluko cha lijhoka! Bho, ghane jwapwepwile mihoto kulitila lilaka lya Chapanga lilihika?
