2800000007	Amatayo
280101005c	Gangani nga mahina ga chilagwa cha Ayesu Kilisto, mwana bha Adaudi na mwana bha Aaibulahimu,
280102007c	Aaibulahimu bhakaabheleka Aisaka, na Aisaka bhakaabheleka Ayakobo, na Ayakobo bhakaabheleka Ayuda na akaanung'una bhabhenji,
2801030099	Ayuda bhakaabheleka Apelesi na Azela yakubhehe anyongo bhabhenji bhakibha Atamali, na Apelesi bhakaabheleka Ahesilomu, na Ahesiloni bhakaabheleka Aalamu.
280104006b	Aalamu bhakaabheleka Aaminadabu, na Aaminadabu bhakaabheleka Anashoni, na Anashoni bhakaabheleka Asalumoni,
280105009d	Asalumoni bhakaabheleka Aboazi, na anyongo bhabhe Aboazi bhakibha Alahabu, Aboazi na Alutu bhakiabhanga akaabhelei bha Aobedi, na Aobedi bhakaabheleka Ayese,
28010600a1	Ayese bhakaabheleka amwana yakubhehe bhakibha Amwenye Adaudi. Adaudi bhakaabheleka Asolomoni, yakubhehe anyongo bhabhe nga bhenibhala bhabhakibha hanu bha Aulia.
2801070065	Asolomoni bhakaabheleka Alehoboamu, na Alehoboamu bhakaabheleka Aabiya, na Aabiya bhakaabheleka Aasa,
2801080067	Aasa bhakaabheleka Ayehoshafati, na Ayehoshafati bhakaabheleka Ayolamu, na Ayolamu bhakaabheleka Auzia,
280109005f	Auzia bhakaabheleka Ayotamu, na Ayotamu bhakaabheleka Aahazi, na Aahazi bhakaabheleka Ahezekia,
28010a0060	Ahezekia bhakaabheleka Amanase, na Amanase bhakaabheleka Aamoni, na Aamoni bhakaabheleka Ayosia,
28010b007d	Ayosia bhakaabheleka Ayekonia na akaanung'una bhabhenji. Gono gukibha muda Bhayahudi chibhakakumukanga kuhamilanga ku Babeli.
28010c0081	Bhayahudi pabhakibhanga kuubhanda ku Babeli, Ayekonia bhakaabheleka amwana Ashelitieli, na Ashelitieli bhakaabheleka Azelubabeli,
28010d0067	Azelubabeli bhakaabheleka Abiudi, na Abiudi bhakaabheleka Aeliakimu, na Aeliakimu bhakaabheleka Aazoli,
28010e005f	Aazoli bhakaabheleka Azadoki, na Azadoki bhakaabheleka Aakimu, na Aakimu bhakaabheleka Aeliudi,
28010f0066	Aeliudi bhakaabheleka Aeleazali, na Aeleazali bhakaabheleka Amatani, na Amatani bhakaabheleka Ayakobo,
2801100094	na jonojwe Ayakobo akaabheleka Ayusufu, na habha Ayusufu akibha hangwana bhabhe Amalia, na habha Amalia nga jwakaabheleka Ayesu, bhakemitwa Kilisto.
2801110110	Bahi, penapo kukabhehe na ibhelei komi na ncheche kubhoka Aaibulahimu mpaka Adaudi, ibhelei komi na ncheche kubhoka Adaudi mpaka Bhayahudi chibhakatolekwa akaabhanda ku Babeli, na ibhelehi komi na ncheche kubhoka kutolekwa akaabhanda mpaka muda gwa kubhelekwa kwa Kilisto.
2801120108	Bahi, kubhelekwa kwa Ayesu Kilisto kukabhehe henela, Amalia anyongo bhabhe Ayesu bhakibha bhalombwite na Ayusufu. Nambo bhakibha tangu bhakakongana na kutama pamo handa analome na haikege, Amalia bhakabhonekana bhabhi na chitumbo kwa uwecho gwa Mboomo ja Annoongo.
28011300b9	Kwa kubhehe Ayusufu nga hanalome bhabhakibha bhaalombite Amalia bhabhakibha amundu bha majendelo gammbone, bhangapala kwaalekela honi palundwaje, henela bhakapala kwaaleka kwa kuchiiya.
2801140112	Pabhakibha tangu bhatenda kuganikia ngani hejo, antumichi bha kumahunde bha Hangwana bhakaabhokela mu agamii, na kwaalobholela, “Ayusufu, amwana bha Adaudi, nkotokujogopa kwaapetula Amalia bhabhe hanu bhinu, maana gakwe bhatekola chitumbo kwa uwecho ga Mboomo Ja Annoongo.
280115009c	Na bhenabho bhapakuchijogola mwana mwanalome, mpakunkema lihina lyabhe Ayesu, maana gakwe bhenabho nga bhapakwabhohanga bhandu bhabhe mu mabhou gabhenji.”
280116006f	Bahi, genego goha gapitila ili likweele lyela lilobhe lya Hangwana lilikalongelwa kwa ndela ja alondohi kubhee,
28011700b4	“Mwaali bhangaamanya analome bhapakola chitumbo na bhapakubheleka mwana mwanalome, na bhenebho bhandu bhapakwaakema liina Aemanueli” Maana gakwe, “Annoongo pamo na tweenga”
28011800a9	Henela, Ayusufu bhakajimuka kubhoka mu lugono na bhakatenda handa antumichi bha kunani kulihunde bha Annoongo chibhakaalobholela, bhakaapetula Amalia kubhee hanu bhabhe.
2801190093	Nambo Achupu bhangatyanga nabho Amalia mpaka chibhakachijogola mwana mwanalome, na bhenabho Achupu bhakaapekea amwana bhenabho lihina lyakwe Ayesu.
